id,isResult,h_id,h_title,h_short_title,a_id,a_title,a_short_title,goals_h,goals_a,xG_h,xG_a,datetime
17723,False,267,Greuther Fuerth,GRE,134,FC Cologne,COL,None,None,None,None,2022-02-26 14:30:00
17727,False,135,Freiburg,FRE,122,Hertha Berlin,HER,None,None,None,None,2022-02-26 14:30:00
17728,False,130,Borussia M.Gladbach,BMG,131,Wolfsburg,WOL,None,None,None,None,2022-02-26 14:30:00
17729,False,240,Union Berlin,UNI,125,Mainz 05,MAI,None,None,None,None,2022-02-26 14:30:00
17730,False,119,Bayer Leverkusen,LEV,262,Arminia Bielefeld,ARM,None,None,None,None,2022-02-26 14:30:00
17731,False,132,Eintracht Frankfurt,EIN,117,Bayern Munich,BAY,None,None,None,None,2022-02-26 17:30:00
17724,False,268,Bochum,BOC,136,RasenBallsport Leipzig,RBL,None,None,None,None,2022-02-27 14:30:00
17725,False,121,Augsburg,AUG,129,Borussia Dortmund,DOR,None,None,None,None,2022-02-27 16:30:00
17732,False,268,Bochum,BOC,267,Greuther Fuerth,GRE,None,None,None,None,2022-03-05 02:30:00
17733,False,134,FC Cologne,COL,120,Hoffenheim,HOF,None,None,None,None,2022-03-05 02:30:00
17734,False,262,Arminia Bielefeld,ARM,121,Augsburg,AUG,None,None,None,None,2022-03-05 02:30:00
17735,False,122,Hertha Berlin,HER,132,Eintracht Frankfurt,EIN,None,None,None,None,2022-03-05 02:30:00
17736,False,125,Mainz 05,MAI,129,Borussia Dortmund,DOR,None,None,None,None,2022-03-05 02:30:00
17737,False,133,VfB Stuttgart,STU,130,Borussia M.Gladbach,BMG,None,None,None,None,2022-03-05 02:30:00
17738,False,131,Wolfsburg,WOL,240,Union Berlin,UNI,None,None,None,None,2022-03-05 02:30:00
17739,False,136,RasenBallsport Leipzig,RBL,135,Freiburg,FRE,None,None,None,None,2022-03-05 02:30:00
17740,False,117,Bayern Munich,BAY,119,Bayer Leverkusen,LEV,None,None,None,None,2022-03-05 02:30:00
17741,False,267,Greuther Fuerth,GRE,136,RasenBallsport Leipzig,RBL,None,None,None,None,2022-03-12 02:30:00
17742,False,121,Augsburg,AUG,125,Mainz 05,MAI,None,None,None,None,2022-03-12 02:30:00
17743,False,120,Hoffenheim,HOF,117,Bayern Munich,BAY,None,None,None,None,2022-03-12 02:30:00
17744,False,135,Freiburg,FRE,131,Wolfsburg,WOL,None,None,None,None,2022-03-12 02:30:00
17745,False,130,Borussia M.Gladbach,BMG,122,Hertha Berlin,HER,None,None,None,None,2022-03-12 02:30:00
17746,False,240,Union Berlin,UNI,133,VfB Stuttgart,STU,None,None,None,None,2022-03-12 02:30:00
17747,False,119,Bayer Leverkusen,LEV,134,FC Cologne,COL,None,None,None,None,2022-03-12 02:30:00
17748,False,132,Eintracht Frankfurt,EIN,268,Bochum,BOC,None,None,None,None,2022-03-12 02:30:00
17749,False,129,Borussia Dortmund,DOR,262,Arminia Bielefeld,ARM,None,None,None,None,2022-03-12 02:30:00
17750,False,267,Greuther Fuerth,GRE,135,Freiburg,FRE,None,None,None,None,2022-03-19 02:30:00
17751,False,268,Bochum,BOC,130,Borussia M.Gladbach,BMG,None,None,None,None,2022-03-19 02:30:00
17752,False,134,FC Cologne,COL,129,Borussia Dortmund,DOR,None,None,None,None,2022-03-19 02:30:00
