id,minute,result,X,Y,xG,player,h_a,player_id,situation,season,shotType,match_id,h_team,a_team,h_goals,a_goals,date,player_assisted,lastAction
428314,7,MissedShots,0.7880000305175782,0.695,0.014179849997162819,Cristian Ramírez,h,5477,SetPiece,2021,LeftFoot,16182,FC Krasnodar,Rubin Kazan,2,0,2021-08-27 17:30:00,,None
428315,11,Goal,0.8690000152587891,0.46099998474121096,0.3566269278526306,Aleksey Ionov,h,2751,OpenPlay,2021,RightFoot,16182,FC Krasnodar,Rubin Kazan,2,0,2021-08-27 17:30:00,Jhon Córdoba,Pass
428319,31,SavedShot,0.8180000305175781,0.6040000152587891,0.058366809040308,Viktor Claesson,h,5478,OpenPlay,2021,RightFoot,16182,FC Krasnodar,Rubin Kazan,2,0,2021-08-27 17:30:00,,BallRecovery
428320,34,Goal,0.9369999694824219,0.5359999847412109,0.4404582977294922,Jhon Córdoba,h,48,OpenPlay,2021,Head,16182,FC Krasnodar,Rubin Kazan,2,0,2021-08-27 17:30:00,Rémy Cabella,Cross
428322,39,BlockedShot,0.9130000305175782,0.4929999923706055,0.14006482064723969,Jhon Córdoba,h,48,OpenPlay,2021,RightFoot,16182,FC Krasnodar,Rubin Kazan,2,0,2021-08-27 17:30:00,Cristian Ramírez,Chipped
428327,46,SavedShot,0.935,0.6680000305175782,0.1360982209444046,Aleksey Ionov,h,2751,OpenPlay,2021,LeftFoot,16182,FC Krasnodar,Rubin Kazan,2,0,2021-08-27 17:30:00,Rémy Cabella,Throughball
428332,62,ShotOnPost,0.9490000152587891,0.6179999923706054,0.07228629291057587,Viktor Claesson,h,5478,FromCorner,2021,LeftFoot,16182,FC Krasnodar,Rubin Kazan,2,0,2021-08-27 17:30:00,Egor Sorokin,HeadPass
428333,62,SavedShot,0.76,0.654000015258789,0.018738871440291405,Cristian Ramírez,h,5477,FromCorner,2021,LeftFoot,16182,FC Krasnodar,Rubin Kazan,2,0,2021-08-27 17:30:00,,Rebound
428334,63,MissedShots,0.9259999847412109,0.625999984741211,0.046751074492931366,Grzegorz Krychowiak,h,2414,FromCorner,2021,LeftFoot,16182,FC Krasnodar,Rubin Kazan,2,0,2021-08-27 17:30:00,Aleksey Ionov,Cross
428335,66,BlockedShot,0.889000015258789,0.45099998474121095,0.13544243574142456,Jhon Córdoba,h,48,OpenPlay,2021,RightFoot,16182,FC Krasnodar,Rubin Kazan,2,0,2021-08-27 17:30:00,Aleksey Ionov,Pass
428336,73,SavedShot,0.8190000152587891,0.37599998474121094,0.0411636047065258,Rémy Cabella,h,3390,OpenPlay,2021,LeftFoot,16182,FC Krasnodar,Rubin Kazan,2,0,2021-08-27 17:30:00,Eduard Spertsyan,TakeOn
428338,78,ShotOnPost,0.860999984741211,0.4279999923706055,0.10131628066301346,Viktor Claesson,h,5478,OpenPlay,2021,RightFoot,16182,FC Krasnodar,Rubin Kazan,2,0,2021-08-27 17:30:00,Sergei Petrov,Pass
428340,89,SavedShot,0.835,0.36900001525878906,0.08332105726003647,Eduard Spertsyan,h,8782,OpenPlay,2021,LeftFoot,16182,FC Krasnodar,Rubin Kazan,2,0,2021-08-27 17:30:00,Rémy Cabella,Chipped
428316,16,SavedShot,0.875,0.40599998474121096,0.45714718103408813,Soltmurad Bakaev,a,7678,OpenPlay,2021,RightFoot,16182,FC Krasnodar,Rubin Kazan,2,0,2021-08-27 17:30:00,Hwang In-Beom,Pass
428317,17,BlockedShot,0.9069999694824219,0.34900001525878904,0.07128825038671494,Soltmurad Bakaev,a,7678,OpenPlay,2021,LeftFoot,16182,FC Krasnodar,Rubin Kazan,2,0,2021-08-27 17:30:00,Sead Haksabanovic,Pass
428318,29,SavedShot,0.8830000305175781,0.6880000305175781,0.04232089966535568,Ilya Samoshnikov,a,8362,SetPiece,2021,LeftFoot,16182,FC Krasnodar,Rubin Kazan,2,0,2021-08-27 17:30:00,,None
428321,37,MissedShots,0.6969999694824218,0.6430000305175781,0.009997127577662468,Ilya Samoshnikov,a,8362,OpenPlay,2021,RightFoot,16182,FC Krasnodar,Rubin Kazan,2,0,2021-08-27 17:30:00,Montassar Talbi,Pass
428323,41,SavedShot,0.91,0.6370000076293946,0.12539182603359222,Sead Haksabanovic,a,6393,OpenPlay,2021,RightFoot,16182,FC Krasnodar,Rubin Kazan,2,0,2021-08-27 17:30:00,Hwang In-Beom,Pass
428324,42,MissedShots,0.9219999694824219,0.4640000152587891,0.08423575013875961,Montassar Talbi,a,9873,FromCorner,2021,Head,16182,FC Krasnodar,Rubin Kazan,2,0,2021-08-27 17:30:00,Soltmurad Bakaev,Cross
428325,43,SavedShot,0.7140000152587891,0.3940000152587891,0.009350680746138096,Darko Jevtic,a,8360,OpenPlay,2021,LeftFoot,16182,FC Krasnodar,Rubin Kazan,2,0,2021-08-27 17:30:00,Soltmurad Bakaev,Pass
