id,player_name,games,time,goals,xG,assists,xA,shots,key_passes,yellow_cards,red_cards,position,team_title,npg,npxG,xGChain,xGBuildup
227,Robert Lewandowski,22,1903,26,27.65704597532749,1,3.7006598971784115,110,30,1,0,F,Bayern Munich,23,25.383715987205505,32.44238820672035,6.189790142700076
1236,Patrik Schick,19,1547,19,15.389465311542153,1,0.9626023201271892,66,10,0,0,F,Bayer Leverkusen,18,13.873911926522851,15.147039636969566,2.106513485312462
8260,Erling Haaland,14,1149,16,11.357403483241796,5,3.4426279328763485,58,13,3,0,F S,Borussia Dortmund,13,9.084153857082129,13.612057883292437,3.0074996389448643
137,Anthony Modeste,21,1714,14,11.886464387178421,0,0.9230855908244848,76,10,2,0,F,FC Cologne,14,11.886464387178421,13.219795912504196,1.6643836628645658
3300,Christopher Nkunku,22,1861,11,9.656559698283672,7,6.6827636314556,53,41,1,0,F M S,RasenBallsport Leipzig,11,9.656559698283672,19.926035352051258,5.584184365347028
993,Serge Gnabry,22,1399,10,8.314563373103738,3,6.77538445033133,47,28,0,0,D M S,Bayern Munich,10,8.314563373103738,21.028949037194252,7.565228629857302
6556,Moussa Diaby,20,1727,10,6.095792356878519,6,5.4768697414547205,40,32,7,1,M,Bayer Leverkusen,10,6.095792356878519,16.57546927779913,5.886791541241109
6170,André Silva,22,1467,9,10.911926195025444,2,2.697332490235567,39,13,1,0,F S,RasenBallsport Leipzig,6,8.638596192002296,12.923815933987498,4.445591805502772
7814,Taiwo Awoniyi,19,1356,9,8.911161586642265,0,1.3642439134418964,43,12,0,0,F S,Union Berlin,9,8.911161586642265,11.257309682667255,3.146160116419196
320,Jonas Hofmann,17,1372,8,5.252807538956404,2,4.515563763678074,43,51,0,0,M S,Borussia M.Gladbach,8,5.252807538956404,10.59500641003251,4.250233951956034
216,Branimir Hrgota,22,1753,7,7.974858989939094,4,2.4197778571397066,46,27,2,0,F M S,Greuther Fuerth,2,4.186056120321155,7.807573068886995,2.4906141562387347
224,Thomas Müller,22,1826,7,7.124607589095831,16,11.039119202643633,39,69,0,0,M,Bayern Munich,7,7.124607589095831,26.57678410410881,12.574452904984355
319,Marco Reus,21,1821,7,8.726749002933502,5,4.164263306185603,39,38,2,0,F M,Borussia Dortmund,7,8.726749002933502,18.413205335848033,8.684025953523815
6271,Ihlas Bebou,18,1400,7,7.122967775911093,2,1.1701271822676063,28,11,0,0,D F M S,Hoffenheim,7,7.122967775911093,10.385997664183378,2.281679954379797
7108,Jonathan Burkardt,22,1713,7,8.68381180986762,3,2.327649112790823,48,26,0,0,F M S,Mainz 05,7,8.68381180986762,12.526482865214348,2.275619324296713
7881,Sebastian Polter,21,1476,7,7.647757291793823,1,1.2124243453145027,34,16,1,0,F S,Bochum,6,6.132203917950392,7.86109652556479,1.9112192960456014
8397,Florian Wirtz,20,1580,7,5.084942391142249,10,7.425441086292267,32,52,2,0,F M S,Bayer Leverkusen,7,5.084942391142249,16.31243834644556,6.7543158531188965
9352,Masaya Okugawa,21,1678,7,2.767934210598469,1,1.2434345735237002,19,17,0,0,F M S,Arminia Bielefeld,7,2.767934210598469,4.534881012514234,0.6738398615270853
155,Max Kruse,18,1467,6,6.506470652297139,4,5.396191526204348,32,30,1,0,F M,"Union Berlin,Wolfsburg",2,3.4753638561815023,10.060430977493525,3.0570557229220867
337,Leroy Sané,21,1419,6,9.161214921623468,7,6.139131873846054,71,41,2,0,M S,Bayern Munich,6,9.161214921623468,21.885934088379145,9.614691250026226
5113,Santos Borré,22,1760,6,6.349722106009722,4,2.8802890051156282,40,21,3,0,F M S,Eintracht Frankfurt,6,6.349722106009722,10.81265826150775,2.4769004099071026
6544,Lukas Nmecha,15,946,6,5.195579692721367,0,1.603624938055873,34,10,2,0,F M S,Wolfsburg,6,5.195579692721367,7.147682085633278,1.6499790539965034
6937,Georginio Rutter,22,1026,6,5.165589017793536,2,2.431431259959936,40,12,1,0,F M S,Hoffenheim,6,5.165589017793536,7.3074334263801575,1.475668029859662
7052,Wout Weghorst,18,1551,6,8.663456365466118,1,1.8277894593775272,38,17,2,0,F S,Wolfsburg,5,7.147903010249138,9.159816455096006,1.776404906064272
171,Michael Gregoritsch,15,686,5,2.0154519099742174,0,0.7513828929513693,19,5,2,0,F S,Augsburg,5,2.0154519099742174,3.440926546230912,1.2500714138150215
261,Julian Brandt,19,1375,5,2.1503582932054996,6,3.4449335746467113,20,34,2,0,F M S,Borussia Dortmund,5,2.1503582932054996,10.954827703535557,8.49675577506423
1524,Stevan Jovetic,13,749,5,4.0055720917880535,1,0.8680717013776302,32,9,2,0,F M S,Hertha Berlin,5,4.0055720917880535,4.527211856096983,2.096779154613614
6357,Marco Richter,21,1191,5,2.9226277507841587,0,1.1370420940220356,30,13,3,0,D M S,Hertha Berlin,5,2.9226277507841587,4.97953225299716,1.7938714064657688
226,Kingsley Coman,13,754,4,3.8024709094315767,3,2.2774749509990215,31,16,0,0,D M S,Bayern Munich,4,3.8024709094315767,10.549155339598656,5.590230258181691
2611,Philipp Lienhart,22,1972,4,3.1617446718737483,0,0.07038085162639618,14,1,1,0,D,Freiburg,4,3.1617446718737483,3.873622680082917,3.840165453031659
3310,Alassane Pléa,21,1140,4,4.039716098457575,2,4.1316455937922,38,28,2,0,F M S,Borussia M.Gladbach,4,4.039716098457575,9.925782173871994,2.7854440826922655
3455,Raphael Guerreiro,14,1088,4,2.245317168533802,2,1.2913358379155397,18,19,1,0,D S,Borussia Dortmund,3,1.4875405095517635,6.90790936537087,5.632852265611291
4340,Grischa Prömel,18,1452,4,5.368763566017151,1,0.19443272706121206,18,5,4,0,M S,Union Berlin,4,5.368763566017151,4.569226466119289,2.3453805558383465
