id,isResult,h_id,h_title,h_short_title,a_id,a_title,a_short_title,goals_h,goals_a,xG_h,xG_a,datetime,forecast_w,forecast_d,forecast_l
16376,True,244,Brentford,BRE,83,Arsenal,ARS,2,0,1.88818,1.02385,2021-08-13 19:00:00,0.6289,0.2287,0.1424
16377,True,89,Manchester United,MUN,245,Leeds,LED,5,1,1.64248,0.568342,2021-08-14 11:30:00,0.6618,0.2327,0.1055
16378,True,92,Burnley,BUR,220,Brighton,BRI,1,2,1.79548,1.6853,2021-08-14 14:00:00,0.3894,0.2877,0.3229
16379,True,80,Chelsea,CHE,78,Crystal Palace,CRY,3,0,1.18709,0.321701,2021-08-14 14:00:00,0.6405,0.2822,0.0773
16380,True,72,Everton,EVE,74,Southampton,SOU,3,1,2.38863,0.580601,2021-08-14 14:00:00,0.8359,0.1234,0.0407
16381,True,75,Leicester,LEI,229,Wolverhampton Wanderers,WOL,1,0,0.668082,1.32714,2021-08-14 14:00:00,0.1683,0.275,0.5567
16382,True,90,Watford,WAT,71,Aston Villa,AVL,3,2,1.35036,1.13718,2021-08-14 14:00:00,0.3877,0.3205,0.2918
16383,True,79,Norwich,NOR,87,Liverpool,LIV,0,3,1.3333,1.78728,2021-08-14 16:30:00,0.2578,0.2601,0.4821
16384,True,86,Newcastle United,NEW,81,West Ham,WHU,2,4,1.67926,3.00939,2021-08-15 13:00:00,0.1222,0.1825,0.6953
16385,True,82,Tottenham,TOT,88,Manchester City,MCI,1,0,1.06014,2.10585,2021-08-15 15:30:00,0.143,0.2222,0.6348
16386,True,87,Liverpool,LIV,92,Burnley,BUR,2,0,2.63945,0.690464,2021-08-21 11:30:00,0.8118,0.1329,0.0553
16387,True,88,Manchester City,MCI,79,Norwich,NOR,5,0,2.43928,0.0250088,2021-08-21 14:00:00,0.9626,0.0367,0.0007
16388,True,71,Aston Villa,AVL,86,Newcastle United,NEW,2,0,1.18426,0.63163,2021-08-21 14:00:00,0.5426,0.3163,0.1411
16389,True,78,Crystal Palace,CRY,244,Brentford,BRE,0,0,0.606313,0.712439,2021-08-21 14:00:00,0.2744,0.3907,0.3349
16390,True,245,Leeds,LED,72,Everton,EVE,2,2,0.966093,1.85713,2021-08-21 14:00:00,0.1373,0.232,0.6307
16391,True,220,Brighton,BRI,90,Watford,WAT,2,0,1.77896,0.407224,2021-08-21 16:30:00,0.7795,0.1682,0.0523
16392,True,74,Southampton,SOU,89,Manchester United,MUN,1,1,0.587526,2.26173,2021-08-22 13:00:00,0.0446,0.1431,0.8123
16393,True,229,Wolverhampton Wanderers,WOL,82,Tottenham,TOT,0,1,1.51127,1.72636,2021-08-22 13:00:00,0.2871,0.276,0.4369
16394,True,83,Arsenal,ARS,80,Chelsea,CHE,0,2,0.630099,3.64132,2021-08-22 15:30:00,0.0088,0.0395,0.9517
16395,True,81,West Ham,WHU,75,Leicester,LEI,4,1,2.28613,0.62676,2021-08-23 19:00:00,0.7776,0.1655,0.0569
16396,True,88,Manchester City,MCI,83,Arsenal,ARS,5,0,4.47273,0.116805,2021-08-28 11:30:00,0.9943,0.0054,0.0003
16397,True,86,Newcastle United,NEW,74,Southampton,SOU,2,2,1.19077,3.46036,2021-08-28 14:00:00,0.0173,0.0763,0.9064
16398,True,79,Norwich,NOR,75,Leicester,LEI,1,2,1.44084,1.27371,2021-08-28 14:00:00,0.3977,0.309,0.2933
16399,True,71,Aston Villa,AVL,244,Brentford,BRE,1,1,0.431464,1.13312,2021-08-28 14:00:00,0.1214,0.3143,0.5643
16400,True,220,Brighton,BRI,72,Everton,EVE,0,2,0.701622,1.54868,2021-08-28 14:00:00,0.1307,0.2493,0.62
16401,True,81,West Ham,WHU,78,Crystal Palace,CRY,2,2,1.44748,1.67658,2021-08-28 14:00:00,0.2841,0.2824,0.4335
16402,True,87,Liverpool,LIV,80,Chelsea,CHE,1,1,2.08462,0.573638,2021-08-28 16:30:00,0.7743,0.1646,0.0611
16403,True,92,Burnley,BUR,245,Leeds,LED,1,1,1.71102,1.52078,2021-08-29 13:00:00,0.3969,0.3278,0.2753
16404,True,82,Tottenham,TOT,90,Watford,WAT,1,0,0.920963,0.596016,2021-08-29 13:00:00,0.4144,0.361,0.2246
16405,True,229,Wolverhampton Wanderers,WOL,89,Manchester United,MUN,0,1,1.79575,0.944083,2021-08-29 15:30:00,0.6025,0.267,0.1305
16406,True,78,Crystal Palace,CRY,82,Tottenham,TOT,3,0,2.89372,0.0775646,2021-09-11 11:30:00,0.9872,0.012,0.0008
16407,True,83,Arsenal,ARS,79,Norwich,NOR,1,0,2.68515,0.577292,2021-09-11 14:00:00,0.8611,0.1008,0.0381
16408,True,244,Brentford,BRE,220,Brighton,BRI,0,1,0.729786,0.287902,2021-09-11 14:00:00,0.4446,0.4316,0.1238
16409,True,75,Leicester,LEI,88,Manchester City,MCI,0,1,0.8001,2.75058,2021-09-11 14:00:00,0.0524,0.1247,0.8229
16410,True,89,Manchester United,MUN,86,Newcastle United,NEW,4,1,2.77326,0.622042,2021-09-11 14:00:00,0.8917,0.0845,0.0238
16411,True,74,Southampton,SOU,81,West Ham,WHU,0,0,0.692135,0.725407,2021-09-11 14:00:00,0.306,0.3717,0.3223
16412,True,90,Watford,WAT,229,Wolverhampton Wanderers,WOL,0,2,0.185407,2.55922,2021-09-11 14:00:00,0.0034,0.033,0.9636
16413,True,80,Chelsea,CHE,71,Aston Villa,AVL,3,0,1.22153,1.17349,2021-09-11 16:30:00,0.3501,0.3138,0.3361
16414,True,245,Leeds,LED,87,Liverpool,LIV,0,3,0.652514,4.4016,2021-09-12 15:30:00,0.0071,0.024,0.9689
16415,True,72,Everton,EVE,92,Burnley,BUR,3,1,1.80386,1.82061,2021-09-13 19:00:00,0.3516,0.2706,0.3778
16416,True,86,Newcastle United,NEW,245,Leeds,LED,1,1,1.17668,1.42995,2021-09-17 19:00:00,0.2984,0.2732,0.4284
16417,True,229,Wolverhampton Wanderers,WOL,244,Brentford,BRE,0,2,1.02316,2.32741,2021-09-18 11:30:00,0.0763,0.1796,0.7441
16418,True,79,Norwich,NOR,90,Watford,WAT,1,3,0.782665,2.42487,2021-09-18 14:00:00,0.068,0.1477,0.7843
16419,True,92,Burnley,BUR,83,Arsenal,ARS,0,1,0.775574,1.09928,2021-09-18 14:00:00,0.2331,0.3205,0.4464
16420,True,87,Liverpool,LIV,78,Crystal Palace,CRY,3,0,2.76793,0.644168,2021-09-18 14:00:00,0.8783,0.088,0.0337
16421,True,88,Manchester City,MCI,74,Southampton,SOU,0,0,1.22451,0.490923,2021-09-18 14:00:00,0.5597,0.297,0.1433
16422,True,71,Aston Villa,AVL,72,Everton,EVE,3,0,0.777716,0.755035,2021-09-18 16:30:00,0.3236,0.365,0.3114
16423,True,220,Brighton,BRI,75,Leicester,LEI,2,1,1.47438,1.25373,2021-09-19 13:00:00,0.4099,0.3102,0.2799
16424,True,81,West Ham,WHU,89,Manchester United,MUN,1,2,1.6671,1.8954,2021-09-19 13:00:00,0.2947,0.3001,0.4052
16425,True,82,Tottenham,TOT,80,Chelsea,CHE,0,3,0.70567,2.5869,2021-09-19 15:30:00,0.0491,0.1287,0.8222
16426,True,80,Chelsea,CHE,88,Manchester City,MCI,0,1,0.194202,1.69244,2021-09-25 11:30:00,0.0287,0.1742,0.7971
16431,True,89,Manchester United,MUN,71,Aston Villa,AVL,0,1,1.9251,1.57249,2021-09-25 11:30:00,0.4531,0.2656,0.2813
16427,True,90,Watford,WAT,86,Newcastle United,NEW,1,1,0.904061,2.52338,2021-09-25 14:00:00,0.0863,0.1454,0.7683
16428,True,72,Everton,EVE,79,Norwich,NOR,2,0,2.26681,0.800903,2021-09-25 14:00:00,0.7957,0.1591,0.0452
16429,True,245,Leeds,LED,81,West Ham,WHU,1,2,1.1967,1.98962,2021-09-25 14:00:00,0.1991,0.2264,0.5745
16430,True,75,Leicester,LEI,92,Burnley,BUR,2,2,2.16233,0.428866,2021-09-25 14:00:00,0.8072,0.1483,0.0445
16432,True,244,Brentford,BRE,87,Liverpool,LIV,3,3,2.94058,2.25736,2021-09-25 16:30:00,0.552,0.2087,0.2393
16433,True,74,Southampton,SOU,229,Wolverhampton Wanderers,WOL,0,1,0.909342,0.909833,2021-09-26 13:00:00,0.3238,0.3319,0.3443
16434,True,83,Arsenal,ARS,82,Tottenham,TOT,3,1,1.44499,0.980166,2021-09-26 15:30:00,0.4985,0.2844,0.2171
16435,True,78,Crystal Palace,CRY,220,Brighton,BRI,1,1,1.36836,0.649566,2021-09-27 19:00:00,0.5996,0.2765,0.1239
16442,True,89,Manchester United,MUN,72,Everton,EVE,1,1,1.0496,1.32211,2021-10-02 11:30:00,0.2749,0.2983,0.4268
16437,True,92,Burnley,BUR,79,Norwich,NOR,0,0,0.584725,0.673617,2021-10-02 14:00:00,0.2597,0.406,0.3343
16438,True,80,Chelsea,CHE,74,Southampton,SOU,3,1,3.79243,1.52634,2021-10-02 14:00:00,0.8747,0.096,0.0293
16440,True,245,Leeds,LED,90,Watford,WAT,1,0,1.57388,0.192794,2021-10-02 14:00:00,0.775,0.1878,0.0372
16445,True,229,Wolverhampton Wanderers,WOL,86,Newcastle United,NEW,2,1,1.15849,0.865217,2021-10-02 14:00:00,0.4258,0.3526,0.2216
16436,True,220,Brighton,BRI,83,Arsenal,ARS,0,0,1.11551,0.36431,2021-10-02 16:30:00,0.5517,0.3319,0.1164
16439,True,78,Crystal Palace,CRY,75,Leicester,LEI,2,2,1.1703,1.04322,2021-10-03 13:00:00,0.369,0.3054,0.3256
16443,True,82,Tottenham,TOT,71,Aston Villa,AVL,2,1,1.78187,1.07395,2021-10-03 13:00:00,0.5459,0.2622,0.1919
16444,True,81,West Ham,WHU,244,Brentford,BRE,1,2,1.37258,1.30098,2021-10-03 13:00:00,0.3646,0.291,0.3444
16441,True,87,Liverpool,LIV,88,Manchester City,MCI,2,2,0.949368,1.04319,2021-10-03 15:30:00,0.3183,0.3225,0.3592
16455,True,90,Watford,WAT,87,Liverpool,LIV,0,5,0.302302,3.65553,2021-10-16 11:30:00,0.0022,0.0123,0.9855
16447,True,71,Aston Villa,AVL,229,Wolverhampton Wanderers,WOL,2,3,1.21276,2.19633,2021-10-16 14:00:00,0.1447,0.2184,0.6369
16450,True,75,Leicester,LEI,89,Manchester United,MUN,4,2,2.96611,1.02494,2021-10-16 14:00:00,0.8373,0.1119,0.0508
16451,True,88,Manchester City,MCI,92,Burnley,BUR,2,0,2.15712,1.07719,2021-10-16 14:00:00,0.6665,0.2235,0.11
16453,True,79,Norwich,NOR,220,Brighton,BRI,0,0,1.16088,1.17572,2021-10-16 14:00:00,0.3239,0.3312,0.3449
16454,True,74,Southampton,SOU,245,Leeds,LED,1,0,1.83082,0.446173,2021-10-16 14:00:00,0.7596,0.1866,0.0538
16448,True,244,Brentford,BRE,80,Chelsea,CHE,0,1,1.62169,0.248256,2021-10-16 16:30:00,0.7703,0.1904,0.0393
16449,True,72,Everton,EVE,81,West Ham,WHU,0,1,0.854165,2.03034,2021-10-17 13:00:00,0.1082,0.1977,0.6941
16452,True,86,Newcastle United,NEW,82,Tottenham,TOT,2,3,0.645658,1.55008,2021-10-17 15:30:00,0.1015,0.2551,0.6434
16446,True,83,Arsenal,ARS,78,Crystal Palace,CRY,2,2,1.7436,0.492239,2021-10-18 19:00:00,0.7347,0.193,0.0723
16456,True,83,Arsenal,ARS,71,Aston Villa,AVL,3,1,3.4984,1.41088,2021-10-22 19:00:00,0.8436,0.1087,0.0477
16459,True,80,Chelsea,CHE,79,Norwich,NOR,7,0,3.10509,0.267429,2021-10-23 11:30:00,0.9608,0.0353,0.0039
16460,True,78,Crystal Palace,CRY,86,Newcastle United,NEW,1,1,2.25588,0.721813,2021-10-23 14:00:00,0.7766,0.1673,0.0561
16461,True,72,Everton,EVE,90,Watford,WAT,2,5,1.84089,3.10344,2021-10-23 14:00:00,0.1422,0.1764,0.6814
16462,True,245,Leeds,LED,229,Wolverhampton Wanderers,WOL,1,1,1.71313,0.858644,2021-10-23 14:00:00,0.6119,0.2536,0.1345
16464,True,74,Southampton,SOU,92,Burnley,BUR,2,2,1.42567,0.673195,2021-10-23 14:00:00,0.5749,0.2845,0.1406
16458,True,220,Brighton,BRI,88,Manchester City,MCI,1,4,1.1695,3.57376,2021-10-23 16:30:00,0.0199,0.0811,0.899
16457,True,244,Brentford,BRE,75,Leicester,LEI,1,2,1.16789,1.00254,2021-10-24 13:00:00,0.3902,0.3246,0.2852
16465,True,81,West Ham,WHU,82,Tottenham,TOT,1,0,1.73468,0.672198,2021-10-24 13:00:00,0.6769,0.2235,0.0996
16463,True,89,Manchester United,MUN,87,Liverpool,LIV,0,5,1.35584,4.04765,2021-10-24 15:30:00,0.0288,0.0659,0.9053
16468,True,75,Leicester,LEI,83,Arsenal,ARS,0,2,1.98801,1.10288,2021-10-30 11:30:00,0.6172,0.2317,0.1511
16467,True,92,Burnley,BUR,244,Brentford,BRE,3,1,2.72901,0.834312,2021-10-30 14:00:00,0.8299,0.1193,0.0508
16469,True,87,Liverpool,LIV,220,Brighton,BRI,2,2,1.39778,1.51032,2021-10-30 14:00:00,0.3222,0.279,0.3988
16470,True,88,Manchester City,MCI,78,Crystal Palace,CRY,0,2,0.65739,1.05029,2021-10-30 14:00:00,0.2045,0.3281,0.4674
16471,True,86,Newcastle United,NEW,80,Chelsea,CHE,0,3,0.157616,2.16608,2021-10-30 14:00:00,0.0067,0.0614,0.9319
16474,True,90,Watford,WAT,74,Southampton,SOU,0,1,0.852556,1.90757,2021-10-30 14:00:00,0.1184,0.2165,0.6651
16473,True,82,Tottenham,TOT,89,Manchester United,MUN,0,3,1.15787,1.38612,2021-10-30 16:30:00,0.2873,0.3069,0.4058
16472,True,79,Norwich,NOR,245,Leeds,LED,1,2,0.661887,1.16855,2021-10-31 14:00:00,0.1855,0.3103,0.5042
16466,True,71,Aston Villa,AVL,81,West Ham,WHU,1,4,0.687551,2.66391,2021-10-31 16:30:00,0.0209,0.0903,0.8888
16475,True,229,Wolverhampton Wanderers,WOL,72,Everton,EVE,2,1,1.69344,1.69767,2021-11-01 20:00:00,0.3571,0.2722,0.3707
16484,True,74,Southampton,SOU,71,Aston Villa,AVL,1,0,0.89818,0.536077,2021-11-05 20:00:00,0.4546,0.3594,0.186
16483,True,89,Manchester United,MUN,88,Manchester City,MCI,0,2,0.759561,2.04202,2021-11-06 12:30:00,0.0837,0.1908,0.7255
16477,True,244,Brentford,BRE,79,Norwich,NOR,1,2,2.79229,1.15797,2021-11-06 15:00:00,0.7832,0.1534,0.0634
16479,True,80,Chelsea,CHE,92,Burnley,BUR,1,1,3.00585,0.674072,2021-11-06 15:00:00,0.8798,0.0929,0.0273
16480,True,78,Crystal Palace,CRY,229,Wolverhampton Wanderers,WOL,2,0,2.65161,0.25416,2021-11-06 15:00:00,0.9354,0.057,0.0076
16478,True,220,Brighton,BRI,86,Newcastle United,NEW,1,1,1.43123,0.227321,2021-11-06 17:30:00,0.7823,0.1837,0.034
16476,True,83,Arsenal,ARS,90,Watford,WAT,1,0,1.49208,0.491659,2021-11-07 14:00:00,0.6791,0.2449,0.076
16481,True,72,Everton,EVE,82,Tottenham,TOT,0,0,0.597906,0.801798,2021-11-07 14:00:00,0.2344,0.3843,0.3813
16482,True,245,Leeds,LED,75,Leicester,LEI,1,1,1.96551,0.795292,2021-11-07 14:00:00,0.7108,0.2078,0.0814
