Team,M,W,D,L,G,GA,PTS,xG,NPxG,xGA,NPxGA,NPxGD,PPDA,OPPDA,DC,ODC,xPTS
Bayern Munich,14,11,1,2,45,15,34,43.71,41.44,11.41,11.41,30.03,9.48,16.07,216,55,35.41
Borussia Dortmund,14,10,0,4,35,22,30,27.64,23.85,21.82,19.55,4.31,9.27,13.57,124,86,23.18
Bayer Leverkusen,14,8,3,3,35,19,27,21.25,19.73,19.24,16.97,2.77,11.32,9.71,94,96,20.93
Freiburg,14,7,4,3,25,13,25,22.99,21.48,18.53,17.77,3.71,11.11,10.44,91,103,21.84
Hoffenheim,14,7,2,5,30,22,23,24.62,24.62,19.25,18.49,6.13,11.08,13.87,94,67,22.06
Union Berlin,14,6,5,3,22,20,23,21.12,19.6,16.75,16.0,3.61,14.97,10.41,73,88,22.47
Mainz 05,14,6,3,5,20,14,21,21.46,21.46,13.46,12.7,8.76,9.36,9.72,90,67,23.85
Wolfsburg,14,6,2,6,15,20,20,19.55,18.04,19.74,15.95,2.09,8.96,11.42,86,58,19.03
FC Cologne,14,4,7,3,23,23,19,22.43,22.43,22.89,22.89,-0.46,6.78,11.35,83,83,20.34
Bochum,14,6,1,7,15,22,19,18.2,17.44,28.05,25.78,-8.34,12.34,8.62,52,109,16.15
RasenBallsport Leipzig,14,5,3,6,25,18,18,27.47,23.68,23.99,22.47,1.21,8.41,10.93,147,71,22.06
Eintracht Frankfurt,14,4,6,4,18,20,18,16.56,15.04,24.73,23.97,-8.93,9.94,11.82,61,106,15.15
Borussia M.Gladbach,14,5,3,6,18,24,18,24.16,22.64,18.54,18.54,4.1,9.27,12.2,102,75,22.79
Hertha Berlin,14,4,3,7,15,29,15,16.12,15.36,22.36,20.09,-4.73,13.35,7.6,46,106,17.66
VfB Stuttgart,14,3,5,6,20,25,14,16.08,16.08,21.77,21.01,-4.94,10.64,11.12,75,102,14.0
Augsburg,14,3,4,7,14,25,13,14.99,14.24,27.5,25.99,-11.75,14.39,7.82,61,102,13.21
Arminia Bielefeld,14,1,7,6,10,20,10,11.93,10.42,26.7,24.43,-14.01,14.99,9.2,59,118,9.76
Greuther Fuerth,14,0,1,13,12,46,1,15.29,13.02,28.83,26.56,-13.54,10.55,8.76,45,107,11.29
