Team,M,W,D,L,G,GA,PTS,xG,NPxG,xGA,NPxGA,NPxGD,PPDA,OPPDA,DC,ODC,xPTS
Manchester City,21,17,2,2,53,13,53,51.3,48.25,13.57,12.81,35.45,8.98,21.83,259,81,50.63
Chelsea,20,12,6,2,43,14,42,39.26,33.93,18.87,15.82,18.11,9.17,14.27,209,88,39.6
Liverpool,19,12,5,2,50,16,41,49.7,47.32,17.9,17.9,29.42,7.54,24.96,236,87,43.6
Arsenal,20,11,2,7,33,25,35,32.84,29.68,29.17,26.88,2.8,13.62,12.62,154,134,32.13
West Ham,20,10,4,6,37,27,34,31.9,27.94,27.84,26.31,1.62,12.2,11.73,118,134,31.08
Tottenham,18,10,3,5,23,20,33,28.2,26.67,21.72,20.96,5.72,11.21,10.85,132,122,29.86
Manchester United,18,9,4,5,30,26,31,27.64,25.35,28.24,25.96,-0.6,12.31,12.09,134,100,25.4
Wolverhampton Wanderers,18,7,4,7,13,14,25,19.23,19.23,24.36,21.31,-2.09,15.63,9.81,83,136,22.15
Leicester,18,7,4,7,31,33,25,24.77,24.01,31.92,27.25,-3.24,12.23,10.42,124,147,20.38
Brighton,18,5,9,4,17,18,24,21.15,18.86,21.23,19.71,-0.85,8.93,14.46,134,111,24.82
Crystal Palace,20,5,8,7,29,30,23,27.92,25.64,23.16,21.64,4.0,11.51,9.63,127,134,31.05
Aston Villa,18,7,1,10,24,28,22,17.92,16.4,27.64,23.73,-7.33,13.22,8.12,118,137,18.87
Southampton,19,4,9,6,20,29,21,22.5,20.21,29.36,28.6,-8.39,9.46,9.08,104,128,22.58
Brentford,18,5,5,8,21,25,20,24.47,22.19,21.31,20.55,1.65,10.36,9.78,105,111,27.68
Everton,17,5,4,8,21,29,19,21.64,19.36,27.36,26.6,-7.23,13.99,8.41,89,125,20.77
Leeds,18,3,7,8,18,36,16,22.21,19.16,33.0,30.72,-11.56,7.77,11.85,105,128,20.16
Watford,18,4,1,13,22,36,13,19.47,17.95,35.55,32.5,-14.55,13.31,7.79,72,184,15.39
Burnley,16,1,8,7,15,24,11,16.22,16.22,25.98,25.98,-9.76,12.91,10.4,79,138,14.92
Newcastle United,19,1,8,10,19,42,11,17.83,17.07,37.92,33.19,-16.12,15.81,7.53,76,164,14.19
Norwich,19,2,4,13,8,42,10,15.54,14.02,35.62,31.05,-17.04,13.78,10.12,96,165,13.9
