Team,M,W,D,L,G,GA,PTS,xG,NPxG,xGA,NPxGA,NPxGD,PPDA,OPPDA,DC,ODC,xPTS
Inter,19,14,4,1,49,15,46,44.79,37.82,18.18,15.89,21.92,10.64,16.44,193,82,41.94
AC Milan,19,13,3,3,40,22,42,30.56,27.43,21.88,18.07,9.36,8.79,11.37,137,98,31.19
Napoli,19,12,3,4,35,14,39,30.03,24.62,14.12,13.36,11.26,9.75,14.43,183,95,37.78
Atalanta,19,11,5,3,38,24,38,33.95,30.9,21.41,19.12,11.78,7.78,12.34,175,79,33.65
Juventus,19,10,4,5,27,17,34,34.31,30.5,18.11,16.57,13.93,10.25,12.08,131,80,36.96
Roma,19,10,2,7,31,21,32,32.81,31.27,22.47,20.95,10.32,12.63,13.08,150,91,33.53
Fiorentina,19,10,2,7,34,25,32,29.1,24.53,21.75,19.4,5.13,11.07,13.54,138,91,29.78
Lazio,19,9,4,6,39,34,31,25.75,22.7,26.6,22.7,0.0,11.83,13.99,134,122,27.45
Bologna,19,8,3,8,27,31,27,23.43,20.38,25.84,21.27,-0.89,11.8,10.98,116,110,25.29
Empoli,19,8,3,8,30,34,27,24.52,20.71,35.83,32.78,-12.07,9.48,9.78,121,180,19.19
Torino,19,7,4,8,23,19,25,26.05,26.05,18.65,15.6,10.45,6.83,11.16,110,88,30.02
Verona,19,6,6,7,34,32,24,25.24,21.43,25.34,23.82,-2.39,9.13,9.31,145,102,25.09
Sassuolo,19,6,6,7,30,31,24,27.24,25.71,28.96,25.91,-0.2,10.99,10.61,122,162,24.35
Udinese,18,4,8,6,26,28,20,24.29,23.53,23.62,21.34,2.19,14.94,8.4,100,132,25.18
Sampdoria,19,5,5,9,27,35,20,21.47,20.71,29.95,29.19,-8.48,10.45,9.93,124,132,21.33
Venezia,19,4,5,10,18,34,17,18.21,16.69,32.46,28.65,-11.97,14.05,9.52,73,182,16.97
Spezia,19,4,4,11,19,39,16,18.67,18.67,33.85,28.53,-9.85,13.95,9.01,94,156,17.44
Genoa,19,1,8,10,19,37,11,18.06,14.25,32.68,30.39,-16.14,11.17,8.15,74,172,16.43
Cagliari,19,1,7,11,17,40,10,19.15,16.86,36.24,32.31,-15.45,13.9,10.22,75,159,16.94
Salernitana,18,2,2,14,11,42,8,16.35,15.59,36.03,34.51,-18.92,15.02,7.51,93,175,12.34
