-2.9,-2.8,-2.6,-2.5,-2.4,-2.3,-2.2,-2.1,-2.0,-1.9,-1.8,-1.7,-1.6,-1.5,-1.4,-1.3,-1.2,-1.1,-1.0,-0.9,-0.8,-0.7,-0.6,-0.5,-0.4,-0.3,-0.2,-0.1,0.0,0.1,0.2,0.3,0.4,0.5,0.6,0.7,0.8,0.9,1.0,1.1,1.2,1.3,1.4,1.5,1.6,1.7,1.8,1.9,2.0,2.1,2.2,2.3,2.4,2.5,2.6,2.7,2.8,2.9,3.0
0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
0%,,0%,0%,100%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,100%,0%,0%,0%,0%,0%,100%,0%,0%,100%,0%,0%,0%,0%,0%,0%,100%,0%,0%,0%,100%,0%,0%,0%,0%,100%,0%,0%,0%,0%,0%,0%,0%,0%
50%,,50%,0%,50%,0%,0%,0%,50%,0%,50%,50%,0%,0%,0%,50%,0%,0%,0%,50%,50%,0%,50%,0%,50%,100%,0%,0%,0%,0%,0%,50%,0%,0%,100%,0%,0%,50%,0%,0%,0%,50%,0%,0%,0%,50%,50%,0%,50%,0%,50%,0%,0%,0%,0%,0%,0%,0%,50%
,,33%,33%,33%,0%,0%,0%,33%,0%,33%,33%,33%,0%,0%,67%,0%,33%,0%,33%,33%,0%,33%,33%,33%,100%,33%,0%,0%,0%,0%,33%,0%,33%,67%,33%,0%,33%,33%,0%,33%,33%,0%,0%,0%,33%,33%,0%,33%,0%,33%,0%,33%,0%,0%,0%,0%,,
,,25%,,50%,25%,0%,0%,25%,25%,25%,50%,50%,0%,0%,75%,0%,25%,25%,25%,50%,0%,50%,50%,50%,75%,25%,25%,0%,0%,0%,25%,0%,25%,50%,25%,25%,25%,25%,0%,50%,25%,0%,0%,0%,25%,25%,25%,25%,0%,25%,0%,25%,0%,0%,0%,,,
,,,,40%,,0%,0%,20%,20%,20%,40%,40%,0%,0%,60%,20%,20%,20%,20%,60%,0%,40%,40%,60%,60%,40%,40%,0%,20%,20%,40%,0%,40%,40%,20%,20%,20%,40%,0%,40%,20%,0%,0%,20%,20%,20%,20%,40%,0%,20%,0%,20%,0%,0%,0%,,,
,,,,33%,,0%,0%,17%,17%,17%,33%,33%,0%,0%,50%,17%,17%,17%,17%,50%,17%,33%,33%,67%,67%,33%,33%,0%,17%,33%,33%,17%,50%,33%,33%,17%,17%,33%,17%,33%,33%,0%,0%,17%,33%,33%,17%,33%,17%,17%,0%,17%,0%,0%,,,,
,,,,,,0%,0%,29%,29%,29%,29%,29%,14%,0%,43%,29%,14%,14%,14%,57%,14%,43%,29%,57%,57%,43%,29%,14%,14%,43%,29%,14%,43%,43%,29%,14%,14%,29%,14%,29%,43%,0%,14%,14%,29%,29%,14%,29%,29%,14%,0%,29%,0%,,,,,
,,,,,,0%,12%,38%,38%,25%,25%,38%,12%,0%,38%,25%,12%,12%,12%,50%,12%,38%,25%,50%,50%,38%,25%,12%,25%,50%,25%,12%,50%,38%,38%,12%,25%,25%,25%,25%,38%,12%,12%,25%,25%,25%,12%,25%,25%,25%,0%,25%,0%,,,,,
,,,,,,0%,11%,33%,33%,22%,33%,33%,11%,0%,33%,22%,22%,11%,22%,44%,11%,44%,22%,44%,56%,33%,33%,22%,22%,44%,22%,22%,44%,44%,33%,11%,33%,22%,33%,22%,44%,22%,11%,33%,33%,22%,11%,22%,33%,22%,11%,22%,,,,,,
,,,,,,0%,20%,40%,30%,20%,30%,30%,10%,0%,30%,20%,20%,10%,30%,40%,20%,40%,20%,50%,50%,40%,40%,30%,20%,40%,20%,20%,40%,40%,30%,10%,30%,20%,30%,20%,50%,20%,10%,30%,40%,20%,10%,20%,30%,20%,10%,30%,,,,,,
,,,,,,0%,18%,36%,36%,18%,27%,27%,18%,0%,36%,27%,27%,9%,27%,45%,18%,45%,27%,45%,45%,45%,45%,27%,18%,36%,18%,18%,36%,36%,27%,18%,27%,18%,27%,18%,45%,18%,9%,27%,45%,18%,9%,18%,27%,18%,18%,27%,,,,,,
,,,,,,0%,17%,33%,42%,25%,25%,25%,25%,0%,33%,25%,25%,8%,25%,42%,17%,42%,25%,42%,50%,42%,42%,25%,25%,33%,17%,17%,33%,42%,25%,17%,33%,17%,25%,17%,50%,17%,8%,25%,42%,25%,17%,17%,25%,17%,17%,33%,,,,,,
,,,,,,,15%,38%,38%,23%,31%,23%,23%,8%,31%,31%,23%,8%,23%,38%,15%,38%,23%,38%,54%,38%,38%,31%,23%,31%,15%,23%,31%,38%,23%,23%,31%,15%,23%,15%,46%,15%,8%,31%,38%,31%,15%,15%,23%,23%,15%,,,,,,,
,,,,,,,14%,43%,36%,21%,36%,21%,21%,7%,29%,36%,21%,14%,21%,43%,21%,36%,21%,36%,50%,43%,43%,29%,29%,29%,14%,21%,29%,36%,29%,21%,29%,14%,21%,14%,43%,14%,7%,29%,36%,29%,14%,14%,21%,21%,21%,,,,,,,
,,,,,,,13%,40%,33%,20%,33%,20%,20%,7%,27%,33%,20%,20%,27%,47%,27%,33%,20%,33%,47%,40%,40%,27%,33%,33%,20%,20%,27%,33%,33%,20%,27%,20%,27%,20%,40%,13%,13%,27%,40%,27%,13%,13%,20%,20%,20%,,,,,,,
,,,,,,,12%,38%,31%,19%,31%,25%,19%,6%,25%,31%,19%,19%,25%,44%,25%,31%,25%,31%,44%,38%,44%,25%,38%,31%,19%,19%,31%,31%,31%,19%,31%,19%,25%,19%,38%,12%,12%,25%,44%,25%,12%,12%,19%,19%,25%,,,,,,,
,,,,,,,12%,35%,29%,18%,29%,24%,24%,12%,29%,29%,18%,18%,29%,41%,24%,29%,24%,29%,41%,35%,41%,24%,35%,35%,18%,24%,29%,29%,29%,18%,35%,18%,24%,18%,35%,12%,12%,24%,41%,24%,12%,12%,18%,24%,29%,,,,,,,
,,,,,,,11%,33%,28%,17%,28%,22%,22%,11%,28%,28%,17%,17%,33%,39%,28%,28%,22%,28%,39%,33%,39%,22%,33%,33%,17%,22%,33%,28%,28%,17%,33%,22%,22%,17%,39%,11%,11%,28%,39%,22%,17%,17%,22%,22%,28%,,,,,,,
,,,,,,,,32%,26%,16%,26%,21%,21%,11%,26%,26%,16%,16%,37%,42%,32%,26%,21%,26%,37%,32%,42%,21%,32%,32%,16%,21%,32%,32%,26%,21%,37%,21%,21%,21%,37%,16%,11%,32%,37%,21%,16%,16%,21%,21%,26%,,,,,,,
,,,,,,,,30%,25%,15%,30%,20%,20%,10%,25%,30%,15%,15%,35%,40%,30%,25%,20%,25%,35%,30%,40%,25%,30%,30%,15%,20%,30%,30%,25%,25%,35%,25%,25%,20%,35%,15%,15%,30%,35%,20%,20%,15%,25%,25%,30%,,,,,,,
,,,,,,,,29%,24%,14%,29%,19%,19%,14%,24%,29%,19%,14%,38%,38%,29%,24%,24%,29%,38%,33%,43%,24%,29%,29%,14%,19%,33%,29%,24%,29%,33%,24%,29%,19%,33%,14%,14%,29%,33%,19%,19%,14%,24%,29%,29%,,,,,,,
,,,,,,,,27%,23%,18%,27%,18%,18%,14%,23%,32%,18%,14%,36%,36%,27%,23%,23%,27%,36%,32%,45%,23%,27%,27%,14%,18%,32%,27%,23%,27%,32%,23%,27%,23%,32%,14%,14%,27%,36%,18%,23%,14%,23%,27%,,,,,,,,
,,,,,,,,26%,22%,17%,30%,17%,17%,13%,22%,35%,22%,13%,35%,35%,26%,22%,26%,26%,39%,30%,43%,26%,26%,26%,13%,17%,35%,26%,22%,30%,30%,22%,26%,22%,30%,13%,13%,30%,35%,17%,26%,13%,22%,30%,,,,,,,,
