-3.6,-3.5,-3.4,-3.2,-3.0,-2.9,-2.8,-2.7,-2.6,-2.5,-2.4,-2.3,-2.2,-2.1,-2.0,-1.9,-1.8,-1.7,-1.6,-1.5,-1.4,-1.3,-1.2,-1.1,-1.0,-0.9,-0.8,-0.7,-0.6,-0.5,-0.4,-0.3,-0.2,-0.1,-0.0,0.1,0.2,0.3,0.4,0.5,0.6,0.7,0.8,0.9,1.0,1.1,1.2,1.3,1.4,1.5,1.6,1.7,1.8,1.9,2.0,2.1,2.2,2.3,2.4,2.5,2.6,2.7,2.8,2.9,3.0,3.2,3.4,3.5,3.6
0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
100%,0%,100%,0%,0%,100%,100%,100%,0%,100%,0%,100%,100%,100%,0%,100%,0%,100%,0%,0%,0%,100%,0%,0%,0%,0%,100%,0%,100%,100%,100%,100%,0%,0%,0%,0%,0%,100%,100%,100%,100%,0%,0%,100%,100%,0%,100%,0%,0%,0%,0%,100%,0%,0%,100%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
50%,,100%,50%,0%,100%,100%,100%,50%,100%,0%,100%,100%,50%,50%,100%,0%,100%,0%,0%,50%,50%,0%,0%,0%,0%,50%,50%,50%,50%,50%,100%,0%,50%,0%,0%,50%,100%,50%,50%,100%,50%,0%,50%,50%,0%,50%,0%,0%,0%,0%,50%,0%,0%,50%,0%,0%,0%,0%,50%,0%,0%,50%,0%,0%,0%,0%,,0%
,,100%,33%,0%,67%,67%,100%,33%,100%,33%,67%,67%,67%,33%,67%,0%,100%,0%,33%,33%,33%,33%,0%,0%,0%,33%,33%,67%,33%,33%,100%,0%,67%,0%,0%,67%,67%,33%,33%,67%,33%,33%,33%,67%,0%,33%,0%,0%,0%,0%,33%,0%,0%,33%,0%,0%,0%,0%,33%,0%,0%,33%,0%,0%,0%,0%,,
,,100%,,0%,75%,50%,100%,25%,75%,25%,75%,50%,75%,25%,50%,0%,75%,25%,25%,50%,25%,50%,25%,0%,0%,25%,50%,50%,50%,50%,75%,25%,50%,0%,25%,50%,50%,25%,25%,75%,25%,25%,50%,75%,0%,25%,0%,25%,0%,0%,25%,0%,0%,25%,0%,0%,0%,0%,25%,0%,25%,25%,0%,0%,,0%,,
,,80%,,0%,80%,60%,100%,40%,60%,20%,60%,40%,60%,20%,40%,0%,80%,20%,20%,40%,20%,60%,20%,0%,20%,20%,60%,40%,60%,60%,60%,20%,40%,0%,20%,40%,40%,20%,20%,60%,40%,20%,40%,60%,20%,40%,20%,20%,0%,0%,20%,20%,0%,20%,0%,0%,0%,0%,20%,0%,20%,20%,0%,0%,,0%,,
,,83%,,0%,83%,67%,100%,50%,50%,17%,50%,50%,50%,33%,33%,0%,67%,33%,17%,50%,17%,50%,33%,0%,33%,33%,50%,33%,50%,67%,67%,17%,33%,17%,17%,50%,33%,17%,33%,50%,33%,17%,33%,50%,17%,33%,17%,17%,17%,0%,17%,17%,17%,17%,17%,0%,0%,0%,17%,0%,17%,17%,0%,0%,,0%,,
,,86%,,14%,71%,57%,86%,57%,43%,29%,57%,57%,57%,29%,43%,0%,57%,29%,14%,57%,29%,57%,29%,0%,29%,43%,43%,29%,43%,71%,57%,14%,29%,14%,29%,57%,29%,29%,29%,57%,29%,14%,29%,57%,14%,43%,14%,14%,14%,0%,14%,14%,14%,14%,14%,0%,0%,0%,14%,0%,14%,14%,0%,0%,,0%,,
,,,,12%,62%,62%,88%,62%,50%,25%,50%,62%,50%,38%,38%,12%,62%,25%,12%,50%,38%,62%,38%,0%,38%,38%,50%,25%,50%,75%,50%,12%,25%,25%,25%,62%,25%,25%,25%,50%,38%,25%,25%,62%,12%,38%,12%,25%,12%,0%,12%,12%,12%,12%,25%,0%,0%,0%,12%,0%,12%,12%,0%,0%,,,,
,,,,22%,67%,56%,89%,67%,56%,33%,44%,56%,56%,33%,33%,22%,56%,33%,22%,44%,33%,56%,33%,0%,33%,33%,44%,22%,44%,67%,44%,11%,33%,22%,22%,56%,22%,22%,33%,44%,33%,22%,22%,56%,11%,44%,11%,33%,11%,0%,11%,11%,11%,11%,22%,0%,0%,0%,11%,0%,11%,11%,0%,0%,,,,
,,,,30%,70%,50%,90%,70%,50%,40%,40%,60%,60%,40%,30%,20%,60%,30%,30%,40%,30%,60%,30%,10%,30%,30%,40%,20%,40%,70%,50%,20%,30%,30%,20%,50%,20%,20%,40%,50%,30%,20%,30%,50%,10%,40%,10%,30%,20%,0%,20%,10%,10%,20%,20%,0%,0%,0%,10%,0%,10%,10%,0%,0%,,,,
,,,,36%,64%,55%,91%,73%,45%,45%,45%,64%,55%,36%,27%,18%,64%,36%,27%,36%,36%,55%,36%,18%,27%,36%,36%,27%,36%,64%,55%,27%,27%,27%,18%,55%,18%,18%,45%,45%,27%,18%,27%,45%,9%,36%,9%,36%,18%,0%,18%,9%,9%,27%,18%,9%,0%,0%,9%,0%,9%,9%,0%,0%,,,,
,,,,42%,67%,58%,83%,75%,50%,50%,50%,67%,58%,42%,25%,17%,67%,42%,33%,33%,42%,50%,42%,17%,33%,42%,42%,33%,42%,58%,50%,25%,25%,25%,25%,50%,25%,17%,42%,42%,25%,25%,33%,42%,8%,33%,17%,33%,17%,8%,17%,8%,17%,25%,17%,8%,0%,0%,8%,0%,8%,17%,8%,0%,,,,
