Dátum,Meccs-Id,Hazai-Csapat,Vendég-Csapat,Hazai-PR,Vendég-PR,PR-diff,PR-diff-darabszám,H%,D%,A%,Több mint -3,-3,-2,-1,0,1,2,3,Több mint 3
2021-12-10 19:30:00,17644,FC Cologne,Augsburg,10.9401,10.7420,0.2,346,49%,24%,26%,1%,2%,6%,17%,24%,22%,16%,6%,5%
2021-12-10 19:45:00,16917,Genoa,Sampdoria,9.4849,10.1368,-0.7,418,39%,27%,34%,3%,3%,10%,18%,27%,22%,12%,4%,1%
2021-12-10 20:00:00,16527,Brentford,Watford,9.1647,10.1845,-1.0,313,34%,31%,35%,2%,5%,10%,18%,31%,15%,14%,4%,1%
2021-12-10 20:00:00,17299,Mallorca,Celta Vigo,10.2090,10.1766,0.0,377,43%,27%,31%,2%,3%,9%,16%,27%,19%,12%,5%,6%
2021-12-10 20:00:00,18000,Nantes,Lens,9.7581,10.1583,-0.4,404,46%,27%,27%,1%,2%,8%,16%,27%,26%,13%,5%,2%
2021-12-11 11:00:00,16274,Krylya Sovetov Samara,Rubin Kazan,10.2081,9.7887,0.4,414,52%,27%,21%,1%,3%,4%,14%,27%,27%,14%,6%,5%
2021-12-11 12:30:00,16534,Manchester City,Wolverhampton Wanderers,11.9264,10.8630,1.1,379,51%,27%,22%,1%,1%,8%,12%,27%,22%,15%,9%,5%
2021-12-11 13:00:00,17301,Espanyol,Levante,10.7631,9.2742,1.5,253,57%,23%,20%,1%,1%,7%,11%,23%,28%,17%,7%,6%
2021-12-11 13:30:00,16275,CSKA Moscow,Arsenal Tula,10.6298,10.2726,0.4,414,52%,27%,21%,1%,3%,4%,14%,27%,27%,14%,6%,5%
2021-12-11 14:00:00,16916,Fiorentina,Salernitana,11.1623,9.0901,2.1,152,61%,21%,18%,0%,1%,7%,11%,21%,27%,19%,8%,7%
2021-12-11 14:30:00,17643,Bochum,Borussia Dortmund,11.4013,11.3349,0.1,393,46%,23%,32%,1%,4%,8%,19%,23%,27%,11%,5%,3%
2021-12-11 14:30:00,17645,Hertha Berlin,Arminia Bielefeld,9.7845,10.6126,-0.8,404,35%,28%,37%,2%,5%,9%,20%,28%,21%,10%,3%,1%
2021-12-11 14:30:00,17646,Freiburg,Hoffenheim,11.8361,11.3611,0.5,433,47%,26%,27%,1%,3%,8%,15%,26%,24%,14%,6%,3%
2021-12-11 14:30:00,17649,RasenBallsport Leipzig,Borussia M.Gladbach,9.7994,8.3092,1.5,253,57%,23%,20%,1%,1%,7%,11%,23%,28%,17%,7%,6%
2021-12-11 14:30:00,17650,Bayern Munich,Mainz 05,11.5487,10.2242,1.3,298,56%,23%,20%,1%,1%,5%,14%,23%,25%,15%,9%,7%
2021-12-11 15:00:00,16526,Arsenal,Southampton,9.7191,9.1350,0.6,367,49%,27%,24%,1%,3%,4%,16%,27%,20%,13%,10%,6%
2021-12-11 15:00:00,16530,Chelsea,Leeds,11.5810,10.2734,1.3,298,56%,23%,20%,1%,1%,5%,14%,23%,25%,15%,9%,7%
2021-12-11 15:00:00,16533,Liverpool,Aston Villa,12.7092,10.7858,1.9,135,58%,20%,22%,0%,1%,8%,13%,20%,27%,18%,8%,4%
2021-12-11 15:15:00,17296,Alaves,Getafe,9.9389,10.5334,-0.6,363,37%,23%,39%,3%,3%,15%,17%,23%,19%,10%,4%,4%
2021-12-11 16:00:00,17996,Brest,Montpellier,11.7336,10.6368,1.1,379,51%,27%,22%,1%,1%,8%,12%,27%,22%,15%,9%,5%
2021-12-11 16:00:00,16272,FC Rostov,Ural,11.0390,11.4158,-0.4,404,46%,27%,27%,1%,2%,8%,16%,27%,26%,13%,5%,2%
2021-12-11 17:00:00,16925,Venezia,Juventus,9.4585,11.2870,-1.8,211,27%,26%,47%,4%,8%,11%,24%,26%,16%,9%,1%,1%
2021-12-11 17:30:00,17648,Wolfsburg,VfB Stuttgart,9.1129,9.8191,-0.7,418,39%,27%,34%,3%,3%,10%,18%,27%,22%,12%,4%,1%
