Dátum,Meccs-Id,Hazai-Csapat,Vendég-Csapat,Hazai-PR,Vendég-PR,PR-diff,PR-diff-darabszám,H%,D%,A%,Több mint 3,3,2,1,0,-1,-2,-3,Több mint -3
2021-12-12 11:30:00,16923,Torino,Bologna,10.525,10.383,0.1,398,50%,25%,25%,1%,3%,7%,15%,25%,26%,14%,5%,4%
2021-12-12 12:00:00,17995,Lille,Lyon,10.757,10.300,0.5,420,47%,25%,28%,1%,3%,8%,16%,25%,23%,14%,6%,4%
2021-12-12 13:00:00,17305,Villarreal,Rayo Vallecano,9.841,10.947,-1.1,291,40%,26%,35%,1%,4%,13%,17%,26%,20%,12%,5%,3%
2021-12-12 13:30:00,16278,FK Akhmat,Khimki,10.865,9.701,1.2,292,55%,26%,19%,0%,1%,4%,13%,26%,25%,15%,10%,5%
2021-12-12 14:00:00,16528,Brighton,Tottenham,10.146,10.524,-0.4,391,48%,25%,27%,1%,2%,9%,15%,25%,24%,13%,7%,4%
2021-12-12 14:00:00,16529,Burnley,West Ham,10.532,11.078,-0.5,420,40%,26%,34%,2%,3%,10%,19%,26%,21%,12%,5%,2%
2021-12-12 14:00:00,16532,Leicester,Newcastle United,10.311,9.962,0.3,392,48%,27%,26%,1%,3%,8%,14%,27%,26%,13%,6%,4%
2021-12-12 14:00:00,17993,Rennes,Nice,12.235,9.723,2.5,92,53%,22%,25%,0%,3%,4%,17%,22%,23%,14%,8%,9%
2021-12-12 14:00:00,17994,Angers,Clermont Foot,10.205,9.719,0.5,420,47%,25%,28%,1%,3%,8%,16%,25%,23%,14%,6%,4%
2021-12-12 14:00:00,17997,Troyes,Bordeaux,9.944,9.627,0.3,392,48%,27%,26%,1%,3%,8%,14%,27%,26%,13%,6%,4%
2021-12-12 14:00:00,18001,Metz,Lorient,8.979,8.801,0.2,343,54%,27%,19%,1%,2%,4%,12%,27%,26%,15%,9%,3%
2021-12-12 14:00:00,16918,Verona,Atalanta,10.526,12.657,-2.1,123,16%,29%,54%,8%,6%,18%,23%,29%,12%,3%,1%,0%
2021-12-12 14:30:00,17642,Greuther Fuerth,Union Berlin,7.561,10.651,-3.1,42,36%,21%,43%,2%,2%,14%,24%,21%,21%,10%,5%,0%
2021-12-12 15:15:00,17302,Osasuna,Barcelona,9.799,10.641,-0.8,323,35%,27%,38%,2%,5%,15%,16%,27%,20%,9%,4%,2%
2021-12-12 16:00:00,17992,Strasbourg,Marseille,11.850,10.363,1.5,278,57%,25%,18%,1%,1%,5%,10%,25%,18%,21%,10%,9%
2021-12-12 16:00:00,16273,FC Krasnodar,Nizhny Novgorod,11.298,9.949,1.3,302,52%,25%,22%,1%,3%,5%,13%,25%,18%,16%,11%,7%
2021-12-12 16:00:00,16277,Lokomotiv Moscow,FC Ufa,9.484,10.398,-0.9,374,34%,29%,37%,3%,2%,10%,22%,29%,20%,9%,4%,2%
2021-12-12 16:30:00,17647,Eintracht Frankfurt,Bayer Leverkusen,11.073,11.665,-0.6,491,41%,23%,36%,2%,5%,8%,21%,23%,22%,10%,6%,3%
2021-12-12 16:30:00,16531,Crystal Palace,Everton,10.268,9.576,0.7,344,55%,26%,19%,0%,2%,3%,14%,26%,22%,19%,7%,7%
2021-12-12 17:00:00,16920,Napoli,Empoli,11.770,11.074,0.7,344,55%,26%,19%,0%,2%,3%,14%,26%,22%,19%,7%,7%
2021-12-12 17:00:00,16922,Sassuolo,Lazio,10.942,10.654,0.3,392,48%,27%,26%,1%,3%,8%,14%,27%,26%,13%,6%,4%
2021-12-12 17:30:00,17298,Real Betis,Real Sociedad,11.261,10.336,0.9,375,49%,29%,22%,0%,3%,5%,14%,29%,23%,13%,7%,6%
2021-12-12 19:45:00,17999,Paris Saint Germain,Monaco,10.897,11.337,-0.4,391,48%,25%,27%,1%,2%,9%,15%,25%,24%,13%,7%,4%
2021-12-12 19:45:00,16919,Inter,Cagliari,12.467,9.945,2.5,92,53%,22%,25%,0%,3%,4%,17%,22%,23%,14%,8%,9%
2021-12-12 20:00:00,17303,Real Madrid,Atletico Madrid,11.914,10.586,1.3,302,52%,25%,22%,1%,3%,5%,13%,25%,18%,16%,11%,7%
2021-12-13 16:00:00,16279,PFC Sochi,Spartak Moscow,10.602,10.717,-0.1,384,39%,25%,36%,2%,4%,9%,21%,25%,21%,13%,4%,2%
2021-12-13 19:45:00,16921,Roma,Spezia,10.154,9.891,0.3,392,48%,27%,26%,1%,3%,8%,14%,27%,26%,13%,6%,4%
