Dátum,Meccs-Id,Hazai-Csapat,Vendég-Csapat,Hazai-PRXG,Vendég-PRXG,PRXG-diff,PRXG-diff-darabszám,H%,D%,A%,Több mint 3,3,2,1,0,-1,-2,-3,Több mint -3
2022-02-18 19:30:00,17718,Mainz 05,Bayer Leverkusen,10.652,10.354,0.3,706,41%,25%,34%,5%,6%,13%,18%,25%,20%,8%,3%,2%
2022-02-18 19:45:00,17010,Juventus,Torino,9.962,10.238,-0.3,717,39%,28%,33%,4%,7%,10%,19%,28%,16%,10%,4%,2%
2022-02-18 20:00:00,17385,Elche,Rayo Vallecano,10.596,10.065,0.5,715,45%,27%,28%,6%,7%,14%,19%,27%,17%,5%,3%,3%
2022-02-18 20:00:00,18067,Lille,Metz,9.775,11.054,-1.3,148,39%,24%,38%,0%,5%,14%,20%,24%,18%,10%,3%,6%
2022-02-19 12:30:00,16634,West Ham,Newcastle United,10.499,10.006,0.5,715,45%,27%,28%,6%,7%,14%,19%,27%,17%,5%,3%,3%
2022-02-19 13:00:00,17380,Granada,Villarreal,10.661,9.703,1.0,443,44%,25%,31%,5%,7%,14%,18%,25%,17%,10%,1%,2%
2022-02-19 14:00:00,17013,Sampdoria,Empoli,10.279,10.445,-0.2,694,41%,25%,33%,4%,4%,13%,20%,25%,18%,8%,6%,2%
2022-02-19 14:30:00,17715,Arminia Bielefeld,Union Berlin,11.385,9.744,1.6,132,56%,28%,16%,6%,6%,17%,27%,28%,6%,8%,1%,1%
2022-02-19 14:30:00,17717,Augsburg,Freiburg,10.068,10.080,-0.0,827,47%,25%,28%,4%,7%,15%,21%,25%,15%,9%,3%,1%
2022-02-19 14:30:00,17719,VfB Stuttgart,Bochum,10.194,9.870,0.3,706,41%,25%,34%,5%,6%,13%,18%,25%,20%,8%,3%,2%
2022-02-19 14:30:00,17720,Wolfsburg,Hoffenheim,9.281,10.504,-1.2,180,41%,24%,35%,2%,6%,12%,21%,24%,19%,11%,4%,2%
2022-02-19 15:00:00,16626,Arsenal,Brentford,10.563,9.492,1.1,349,48%,27%,25%,6%,8%,11%,23%,27%,15%,7%,2%,1%
2022-02-19 15:00:00,16627,Aston Villa,Watford,10.396,9.674,0.7,587,47%,24%,29%,6%,6%,14%,21%,24%,15%,8%,4%,2%
2022-02-19 15:00:00,16628,Brighton,Burnley,10.213,10.535,-0.3,717,39%,28%,33%,4%,7%,10%,19%,28%,16%,10%,4%,2%
2022-02-19 15:00:00,16629,Crystal Palace,Chelsea,9.607,9.897,-0.3,717,39%,28%,33%,4%,7%,10%,19%,28%,16%,10%,4%,2%
2022-02-19 15:00:00,16631,Liverpool,Norwich,9.494,8.965,0.5,715,45%,27%,28%,6%,7%,14%,19%,27%,17%,5%,3%,3%
2022-02-19 15:00:00,16633,Southampton,Everton,10.712,10.537,0.2,753,45%,24%,31%,5%,6%,10%,23%,24%,16%,9%,3%,2%
2022-02-19 15:15:00,17382,Osasuna,Atletico Madrid,10.081,9.480,0.6,636,46%,25%,28%,4%,7%,15%,20%,25%,15%,8%,3%,2%
2022-02-19 16:00:00,18068,Lens,Lyon,9.854,9.862,-0.0,827,47%,25%,28%,4%,7%,15%,21%,25%,15%,9%,3%,1%
2022-02-19 17:00:00,17011,Roma,Verona,10.266,10.181,0.1,819,47%,24%,29%,5%,5%,13%,23%,24%,16%,8%,3%,2%
2022-02-19 17:30:00,17714,FC Cologne,Eintracht Frankfurt,9.716,10.918,-1.2,180,41%,24%,35%,2%,6%,12%,21%,24%,19%,11%,4%,2%
2022-02-19 17:30:00,16632,Manchester City,Tottenham,10.704,9.163,1.5,185,53%,27%,20%,5%,8%,19%,21%,27%,12%,5%,2%,1%
2022-02-19 17:30:00,17379,Cadiz,Getafe,10.871,10.207,0.7,587,47%,24%,29%,6%,6%,14%,21%,24%,15%,8%,4%,2%
2022-02-19 19:45:00,17012,Salernitana,AC Milan,9.316,11.042,-1.7,47,28%,38%,34%,6%,4%,4%,13%,38%,15%,11%,6%,2%
2022-02-19 20:00:00,17383,Real Madrid,Alaves,10.279,10.253,0.0,828,46%,25%,28%,4%,7%,14%,21%,25%,16%,9%,3%,1%
2022-02-19 20:00:00,18070,Nantes,Paris Saint Germain,10.652,9.511,1.1,349,48%,27%,25%,6%,8%,11%,23%,27%,15%,7%,2%,1%
2022-02-20 11:30:00,17008,Fiorentina,Atalanta,10.403,9.870,0.5,715,45%,27%,28%,6%,7%,14%,19%,27%,17%,5%,3%,3%
2022-02-20 12:00:00,18069,Nice,Angers,10.542,9.772,0.8,540,48%,24%,29%,4%,9%,12%,23%,24%,17%,8%,3%,1%
2022-02-20 13:00:00,17381,Espanyol,Sevilla,10.711,11.157,-0.4,611,40%,26%,34%,3%,5%,13%,20%,26%,18%,9%,5%,2%
2022-02-20 14:00:00,16630,Leeds,Manchester United,8.871,10.468,-1.6,63,48%,19%,33%,3%,8%,13%,24%,19%,19%,6%,3%,5%
2022-02-20 14:00:00,18062,Saint-Etienne,Strasbourg,9.782,9.715,0.1,819,47%,24%,29%,5%,5%,13%,23%,24%,16%,8%,3%,2%
2022-02-20 14:00:00,18063,Rennes,Troyes,10.083,9.480,0.6,636,46%,25%,28%,4%,7%,15%,20%,25%,15%,8%,3%,2%
2022-02-20 14:00:00,18064,Reims,Brest,10.591,10.131,0.5,715,45%,27%,28%,6%,7%,14%,19%,27%,17%,5%,3%,3%
2022-02-20 14:00:00,18064,Reims,Brest,10.591,10.131,0.5,715,45%,27%,28%,6%,7%,14%,19%,27%,17%,5%,3%,3%
2022-02-20 14:00:00,17015,Venezia,Genoa,10.006,10.241,-0.2,694,41%,25%,33%,4%,4%,13%,20%,25%,18%,8%,6%,2%
2022-02-20 14:30:00,17722,Bayern Munich,Greuther Fuerth,10.392,9.762,0.6,636,46%,25%,28%,4%,7%,15%,20%,25%,15%,8%,3%,2%
