Dátum,Meccs-Id,Hazai-Csapat,Vendég-Csapat,Hazai-XG,Vendég-XG,XG-diff,XG-diff-darabszám,H%,D%,A%,Több mint 3,3,2,1,0,-1,-2,-3,Több mint -3
2022-01-15 12:30:00,16590,Manchester City,Chelsea,12.380,11.140,1.2,308,67%,19%,14%,9%,12%,24%,22%,19%,9%,4%,1%,0%
2022-01-15 14:00:00,16973,Sampdoria,Torino,9.891,11.367,-1.5,167,22%,22%,56%,1%,2%,5%,13%,22%,23%,14%,14%,5%
2022-01-15 14:30:00,17678,FC Cologne,Bayern Munich,10.548,11.247,-0.7,444,32%,28%,39%,1%,3%,10%,19%,28%,24%,9%,3%,3%
2022-01-15 14:30:00,17681,Mainz 05,Bochum,10.016,9.875,0.1,645,44%,29%,27%,3%,6%,13%,22%,29%,17%,6%,3%,1%
2022-01-15 14:30:00,17682,VfB Stuttgart,RasenBallsport Leipzig,9.287,11.376,-2.1,67,15%,16%,69%,0%,0%,3%,12%,16%,28%,16%,18%,6%
2022-01-15 14:30:00,17684,Union Berlin,Hoffenheim,11.128,10.799,0.3,684,48%,27%,25%,4%,8%,14%,23%,27%,16%,7%,1%,1%
2022-01-15 14:30:00,17685,Wolfsburg,Hertha Berlin,9.328,9.299,0.0,729,43%,28%,29%,3%,5%,13%,22%,28%,20%,6%,2%,1%
2022-01-15 15:00:00,16588,Burnley,Leicester,9.558,10.131,-0.6,491,35%,29%,36%,2%,4%,8%,21%,29%,19%,12%,4%,1%
2022-01-15 15:00:00,16591,Newcastle United,Watford,9.310,9.203,0.1,645,44%,29%,27%,3%,6%,13%,22%,29%,17%,6%,3%,1%
2022-01-15 15:00:00,16592,Norwich,Everton,8.718,9.775,-1.1,274,26%,26%,48%,0%,3%,8%,15%,26%,20%,19%,4%,4%
2022-01-15 15:00:00,16595,Wolverhampton Wanderers,Southampton,10.296,9.825,0.5,578,51%,29%,21%,4%,8%,15%,24%,29%,14%,4%,2%,1%
2022-01-15 16:00:00,18029,Saint-Etienne,Lens,8.857,10.492,-1.6,125,23%,22%,55%,1%,2%,4%,17%,22%,26%,10%,8%,11%
2022-01-15 17:00:00,16972,Salernitana,Lazio,9.630,10.474,-0.8,425,34%,22%,44%,1%,3%,6%,24%,22%,25%,10%,7%,2%
2022-01-15 17:30:00,17683,Borussia M.Gladbach,Bayer Leverkusen,10.476,10.415,0.1,645,44%,29%,27%,3%,6%,13%,22%,29%,17%,6%,3%,1%
2022-01-15 17:30:00,16586,Aston Villa,Manchester United,10.412,10.126,0.3,684,48%,27%,25%,4%,8%,14%,23%,27%,16%,7%,1%,1%
2022-01-15 19:45:00,16969,Juventus,Udinese,10.673,9.798,0.9,400,61%,22%,17%,6%,9%,20%,26%,22%,10%,4%,2%,1%
2022-01-15 20:00:00,18026,Paris Saint Germain,Brest,11.160,9.921,1.2,308,67%,19%,14%,9%,12%,24%,22%,19%,9%,4%,1%,0%
2022-01-16 11:30:00,16974,Sassuolo,Verona,10.823,10.130,0.7,486,53%,28%,19%,6%,7%,15%,25%,28%,11%,5%,2%,1%
2022-01-16 12:00:00,18028,Rennes,Bordeaux,10.890,9.598,1.3,272,66%,20%,14%,9%,11%,18%,27%,20%,8%,5%,1%,0%
2022-01-16 14:00:00,16589,Liverpool,Brentford,11.966,9.820,2.1,60,85%,12%,3%,23%,17%,22%,23%,12%,3%,0%,0%,0%
2022-01-16 14:00:00,16594,West Ham,Leeds,10.467,9.784,0.7,486,53%,28%,19%,6%,7%,15%,25%,28%,11%,5%,2%,1%
2022-01-16 14:00:00,18022,Lorient,Angers,9.930,10.001,-0.1,654,40%,29%,31%,3%,5%,12%,21%,29%,18%,9%,3%,2%
2022-01-16 14:00:00,18024,Monaco,Clermont Foot,10.682,10.028,0.7,486,53%,28%,19%,6%,7%,15%,25%,28%,11%,5%,2%,1%
2022-01-16 14:00:00,18027,Reims,Metz,10.165,8.496,1.7,129,74%,14%,12%,16%,16%,18%,26%,14%,7%,3%,2%,0%
2022-01-16 14:00:00,18030,Strasbourg,Montpellier,11.483,10.134,1.3,272,66%,20%,14%,9%,11%,18%,27%,20%,8%,5%,1%,0%
2022-01-16 14:00:00,16975,Venezia,Empoli,8.829,9.094,-0.3,635,38%,27%,34%,2%,5%,11%,20%,27%,19%,10%,4%,1%
2022-01-16 14:30:00,17680,Augsburg,Eintracht Frankfurt,9.963,10.222,-0.3,635,38%,27%,34%,2%,5%,11%,20%,27%,19%,10%,4%,1%
2022-01-16 16:05:00,18031,Troyes,Lyon,9.812,10.393,-0.6,491,35%,29%,36%,2%,4%,8%,21%,29%,19%,12%,4%,1%
2022-01-16 16:30:00,17679,Arminia Bielefeld,Greuther Fuerth,9.952,8.813,1.1,311,62%,23%,15%,10%,10%,18%,24%,23%,10%,2%,2%,1%
2022-01-16 16:30:00,16593,Tottenham,Arsenal,11.622,11.394,0.2,678,43%,28%,29%,4%,5%,13%,22%,28%,16%,8%,3%,1%
2022-01-16 17:00:00,16971,Roma,Cagliari,10.656,10.502,0.2,678,43%,28%,29%,4%,5%,13%,22%,28%,16%,8%,3%,1%
2022-01-16 19:45:00,18023,Marseille,Lille,10.865,11.032,-0.2,614,38%,31%,31%,1%,4%,11%,22%,31%,17%,10%,4%,1%
