Dátum,Meccs-Id,Fő-Csapat,Ellenfél-Csapat,Hazai-Gól,Ellenfél-Gól,Hazai-XG,Ellenfél-XG,Ellenfél-PR,Meccs-Előtti-PR,Meccs-Utáni-PR,Vendég-xgPR,Meccs-Előtti-xgPR,Meccs-Utáni-xgPR,Vendég-Mixed_PR,Meccs-Előtti-Mixed_PR,Meccs-Utáni-Mixed_PR
2016-08-22 00:15:00,1786,(H) Atletico Madrid,(V) Alaves,1,1,0.0332215,4.17855,10.931,10.000,10.358,10.378,10.000,9.183,10.274,10.000,11.230
2016-08-28 20:15:00,1796,(H) Alaves,(V) Sporting Gijon,0,0,1.12017,0.27695,10.275,10.358,10.212,9.745,9.183,9.409,10.358,11.230,10.676
2016-09-10 22:30:00,1804,(H) Barcelona,(V) Alaves,1,2,0.290172,1.352,13.068,10.212,11.301,12.669,9.409,10.084,10.460,10.676,11.262
2016-09-19 22:45:00,1818,(H) Alaves,(V) Deportivo La Coruna,0,0,0.45933,0.671784,9.412,11.301,10.704,9.978,10.084,9.879,9.348,11.262,10.712
2016-09-23 00:00:00,1828,(H) Valencia,(V) Alaves,2,1,0.259625,1.42235,9.148,10.704,10.190,9.985,9.879,9.740,9.250,10.712,10.512
2016-09-26 22:45:00,1838,(H) Alaves,(V) Granada,3,1,1.72967,0.820437,9.169,10.190,10.310,9.279,9.740,9.727,9.794,10.512,10.480
2016-10-01 18:15:00,1841,(H) Sevilla,(V) Alaves,2,1,1.11701,2.4771,9.789,10.310,10.055,10.015,9.727,9.584,9.868,10.480,10.542
2016-10-16 14:00:00,1854,(H) Alaves,(V) Malaga,1,1,1.34202,0.419972,9.952,10.055,9.904,9.768,9.584,9.736,10.080,10.542,10.071
2016-10-22 20:30:00,1862,(H) Real Sociedad,(V) Alaves,3,0,0.772306,1.84569,10.053,9.904,9.316,9.769,9.736,9.601,10.382,10.071,9.792
2016-10-29 18:15:00,3310,(H) Alaves,(V) Real Madrid,1,4,1.37267,2.77099,11.635,9.316,9.021,11.655,9.601,9.640,9.905,9.792,9.295
2016-11-05 21:30:00,2779,(H) Osasuna,(V) Alaves,0,1,1.62667,0.471469,9.705,9.021,9.567,9.417,9.640,9.998,10.351,9.295,9.645
2016-11-20 15:00:00,2791,(H) Alaves,(V) Espanyol,0,1,0.570571,1.26246,9.862,9.567,9.266,9.517,9.998,9.580,10.211,9.645,9.584
2016-11-27 15:00:00,2801,(H) Villarreal,(V) Alaves,0,2,1.58373,1.92523,10.549,9.266,10.212,9.977,9.580,9.719,10.577,9.584,10.543
2016-12-04 21:30:00,3170,(H) Alaves,(V) Las Palmas,1,1,1.0718,0.495163,10.220,10.212,10.089,9.797,9.719,9.758,10.223,10.543,10.194
2016-12-11 15:00:00,3178,(H) Eibar,(V) Alaves,0,0,0.263174,0.482454,10.080,10.089,10.212,10.361,9.758,9.979,9.647,10.194,10.237
2016-12-16 23:45:00,3183,(H) Alaves,(V) Real Betis,1,0,0.854496,0.523568,9.996,10.212,10.283,9.621,9.979,9.847,10.094,10.237,10.244
2017-01-08 15:00:00,3889,(H) Athletic Club,(V) Alaves,0,0,0.825588,1.15744,10.090,10.283,10.360,9.979,9.847,9.922,9.953,10.244,10.379
2017-01-15 19:15:00,3899,(H) Celta Vigo,(V) Alaves,1,0,0.558191,1.4187,9.939,10.360,10.130,9.998,9.922,9.851,9.952,10.379,10.362
2017-01-21 20:30:00,3907,(H) Alaves,(V) Leganes,2,2,1.00747,0.448681,9.257,10.130,9.787,9.874,9.851,9.871,9.179,10.362,9.802
2017-01-28 18:15:00,3916,(H) Alaves,(V) Atletico Madrid,0,0,1.25495,0.320877,10.562,9.787,9.856,10.057,9.871,10.026,10.486,9.802,9.614
2017-02-05 15:15:00,3925,(H) Sporting Gijon,(V) Alaves,2,4,3.304,1.10417,9.459,9.856,10.382,8.898,10.026,10.419,10.640,9.614,9.946
2017-02-11 15:15:00,3936,(H) Alaves,(V) Barcelona,0,6,0.907655,2.96499,12.297,10.382,9.236,11.143,10.419,9.961,11.042,9.946,9.109
2017-02-18 17:30:00,3946,(H) Deportivo La Coruna,(V) Alaves,0,1,1.33904,1.57995,9.689,9.236,9.724,9.931,9.961,10.018,9.976,9.109,9.761
2017-02-25 12:00:00,3959,(H) Alaves,(V) Valencia,2,1,1.33101,0.634332,10.559,9.724,10.058,10.096,10.018,10.087,10.219,9.761,9.826
2017-03-01 20:30:00,3971,(H) Granada,(V) Alaves,2,1,1.09303,0.737167,9.274,10.058,9.737,9.323,10.087,10.110,9.999,9.826,9.655
2017-03-06 19:45:00,3979,(H) Alaves,(V) Sevilla,1,1,2.42054,0.532506,10.992,9.737,9.926,11.004,10.110,10.681,9.887,9.655,9.116
2017-03-11 17:30:00,3993,(H) Malaga,(V) Alaves,1,2,0.625695,1.50045,9.259,9.926,10.134,9.873,10.681,10.385,9.472,9.116,9.799
2017-03-18 17:30:00,4004,(H) Alaves,(V) Real Sociedad,1,0,2.12281,0.418478,9.873,10.134,10.194,9.825,10.385,10.546,9.956,9.799,9.537
2017-04-02 15:15:00,4005,(H) Real Madrid,(V) Alaves,3,0,1.16793,1.54447,11.602,10.194,9.921,11.116,10.546,10.719,10.616,9.537,9.276
2017-04-05 19:30:00,4020,(H) Alaves,(V) Osasuna,0,1,0.640826,0.59864,8.645,9.921,9.227,9.626,10.719,10.331,9.003,9.276,8.822
2017-04-08 12:00:00,4032,(H) Espanyol,(V) Alaves,1,0,0.345434,1.24148,10.072,9.227,9.313,9.674,10.331,10.068,10.574,8.822,9.359
2017-04-17 19:45:00,4041,(H) Alaves,(V) Villarreal,2,1,1.31518,1.33363,10.985,9.313,9.856,10.462,10.068,10.037,10.565,9.359,9.790
2017-04-23 17:30:00,4045,(H) Las Palmas,(V) Alaves,1,1,0.488145,0.969015,9.527,9.856,9.899,9.774,10.037,9.976,9.992,9.790,10.086
2017-04-27 18:30:00,4062,(H) Alaves,(V) Eibar,0,0,1.61616,0.164559,10.237,9.899,9.859,10.437,9.976,10.329,9.907,10.086,9.553
2017-04-30 15:15:00,4074,(H) Real Betis,(V) Alaves,1,4,2.54109,0.615113,10.633,9.859,10.927,10.169,10.329,10.895,10.777,9.553,10.253
2017-05-07 11:00:00,4083,(H) Alaves,(V) Athletic Club,1,0,0.327836,1.07917,11.858,10.927,11.285,11.367,10.895,10.700,10.670,10.253,10.670
2017-05-14 15:00:00,4093,(H) Alaves,(V) Celta Vigo,3,1,1.45961,1.54197,9.170,11.285,11.131,9.317,10.700,10.209,9.826,10.670,10.855
