Dátum,Meccs-Id,Fő-Csapat,Ellenfél-Csapat,Hazai-Gól,Ellenfél-Gól,Hazai-XG,Ellenfél-XG,Ellenfél-PR,Meccs-Előtti-PR,Meccs-Utáni-PR,Vendég-xgPR,Meccs-Előtti-xgPR,Meccs-Utáni-xgPR,Vendég-Mixed_PR,Meccs-Előtti-Mixed_PR,Meccs-Utáni-Mixed_PR
2014-08-02 16:00:00,6419,(H) Arsenal Tula,(V) Zenit St. Petersburg,0,4,0.767575,2.48554,10.000,10.000,8.875,10.000,10.000,9.446,10.000,10.000,9.304
2014-08-10 16:30:00,6432,(H) Arsenal Tula,(V) Lokomotiv Moscow,0,2,0.793735,2.19601,9.875,8.875,8.500,9.890,9.446,9.081,9.860,9.304,9.169
2014-08-13 17:00:00,6436,(H) Arsenal Tula,(V) Rubin Kazan,0,0,1.25115,0.75607,9.500,8.500,8.625,9.996,9.081,9.309,9.504,9.169,9.004
2014-08-17 13:00:00,6444,(H) Arsenal Tula,(V) Dinamo Moscow,1,2,1.02861,2.68242,11.016,8.625,8.848,10.373,9.309,9.037,10.690,9.004,9.464
2014-08-22 17:00:00,6449,(H) FK Akhmat,(V) Arsenal Tula,3,0,0.588019,1.62482,10.324,8.848,8.592,10.241,9.037,9.204,9.869,9.464,9.199
2014-08-30 17:00:00,6460,(H) Arsenal Tula,(V) Kuban Krasnodar,0,1,0.946525,1.4656,10.082,8.592,8.590,9.721,9.204,9.078,10.181,9.199,9.199
2014-09-13 10:30:00,6393,(H) CSKA Moscow,(V) Arsenal Tula,2,1,0.305538,1.81451,11.290,8.590,9.140,10.848,9.078,9.268,10.290,9.199,9.724
2014-09-19 17:00:00,6401,(H) Arsenal Tula,(V) Mordovya,0,1,0.482912,0.288387,9.795,9.140,8.929,9.455,9.268,9.238,10.426,9.724,9.476
2014-09-28 15:30:00,6414,(H) FC Krasnodar,(V) Arsenal Tula,3,0,0.154675,2.92143,10.390,8.929,8.669,10.641,9.238,9.022,9.841,9.476,9.634
2014-10-19 13:30:00,6381,(H) Arsenal Tula,(V) FC Rostov,1,1,0.686991,1.79059,8.284,8.669,8.448,9.118,9.022,8.645,9.108,9.634,9.653
