Dátum,Meccs-Id,Fő-Csapat,Ellenfél-Csapat,Hazai-Gól,Ellenfél-Gól,Hazai-XG,Ellenfél-XG,Vendég-PR,Meccs-Előtti-PR,Meccs-Utáni-PR,Meccs-Előtti-xgPR,Meccs-Utáni-xgPR,Meccs-Előtti-Mixed_PR,Meccs-Utáni-Mixed_PR
2014-08-23 17:30:00,5453,(V) Bayer Leverkusen,(H) Borussia Dortmund,2,0,1.14915,0.482324,10,10,10.6250,10,10.2917,10,10.4583
2014-08-30 14:30:00,5460,(H) Bayer Leverkusen,(V) Hertha Berlin,4,2,2.53036,0.712547,9.875,10.625,11.0000,10.2917,10.6212,10.4583,10.3788
2014-09-12 19:30:00,5411,(H) Bayer Leverkusen,(V) Werder Bremen,3,3,1.98321,1.72618,10.0,11.0,10.7500,10.6212,10.4355,10.3788,10.0645
2014-09-21 14:30:00,5427,(V) Bayer Leverkusen,(H) Wolfsburg,1,4,0.616799,1.55879,10.0,10.75,9.8125,10.4355,10.0125,10.0645,9.3625
2014-09-24 19:00:00,5434,(H) Bayer Leverkusen,(V) Augsburg,1,0,1.65235,0.571159,10.3125,9.8125,9.6875,10.0125,9.9078,9.3625,8.9672
2014-09-27 14:30:00,5439,(V) Bayer Leverkusen,(H) Freiburg,0,0,1.17679,0.722358,9.4375,9.6875,9.6250,9.9078,9.9589,8.9672,8.7911
2014-10-04 14:30:00,5387,(H) Bayer Leverkusen,(V) Paderborn,2,2,1.60118,1.12552,9.625,9.625,9.5781,9.9589,10.0309,8.7911,8.6253
2014-10-18 14:30:00,5396,(V) Bayer Leverkusen,(H) VfB Stuttgart,3,3,1.86824,1.30466,9.6524,9.5781,9.7187,10.0309,10.3124,8.6253,8.6250
2014-10-25 17:30:00,5407,(H) Bayer Leverkusen,(V) Schalke 04,1,0,0.837202,0.145365,10.6211,9.7187,10.0683,10.3124,10.5850,8.625,8.8016
2014-11-01 14:30:00,5351,(V) Bayer Leverkusen,(H) Hamburger SV,0,1,0.426376,1.33863,9.1748,10.0683,9.9531,10.585,10.4917,8.8016,8.9144
2014-11-08 14:30:00,5359,(H) Bayer Leverkusen,(V) Mainz 05,0,0,2.07319,0.293271,9.0459,9.9531,9.8198,10.4917,10.8034,8.9144,8.3361
2014-11-22 14:30:00,5369,(V) Bayer Leverkusen,(H) Hannover 96,3,1,2.36608,0.780087,10.2537,9.8198,10.2861,10.8034,11.1662,8.3361,8.4059
2014-11-29 14:30:00,5377,(H) Bayer Leverkusen,(V) FC Cologne,5,1,2.37812,0.950144,9.5608,10.2861,11.1469,11.1662,11.3840,8.4059,8.9097
2014-12-06 17:30:00,5318,(V) Bayer Leverkusen,(H) Bayern Munich,0,1,0.389245,0.947473,12.1528,11.1469,11.5898,11.384,11.9373,8.9097,9.4921
2014-12-14 14:30:00,5328,(H) Bayer Leverkusen,(V) Borussia M.Gladbach,1,1,1.01373,1.15522,9.7338,11.5898,11.1037,11.9373,11.4159,9.4921,9.0414
2014-12-17 19:00:00,5337,(V) Bayer Leverkusen,(H) Hoffenheim,1,0,2.17898,0.443131,10.227,11.1037,11.0210,11.4159,11.5172,9.0414,8.5248
2014-12-20 14:30:00,5343,(H) Bayer Leverkusen,(V) Eintracht Frankfurt,1,1,0.861769,1.45883,10.3257,11.021,10.8453,11.5172,11.1922,8.5248,8.4984
2015-01-31 17:30:00,5311,(H) Bayer Leverkusen,(V) Borussia Dortmund,0,0,0.341818,0.451401,9.7052,10.8453,10.4169,11.1922,10.7365,8.4984,8.0974
2015-02-04 19:00:00,5269,(V) Bayer Leverkusen,(H) Hertha Berlin,1,0,1.06863,0.531751,8.3593,10.4169,10.3556,10.7365,10.5594,8.0974,7.9019
2015-02-08 14:30:00,5278,(V) Bayer Leverkusen,(H) Werder Bremen,1,2,1.74921,0.885549,10.7635,10.3556,10.0628,10.5594,10.7325,7.9019,7.3932
2015-02-14 14:30:00,5282,(H) Bayer Leverkusen,(V) Wolfsburg,4,5,1.98748,2.08631,12.0388,10.0628,9.9733,10.7325,10.8683,7.3932,7.3284
2015-02-21 14:30:00,5291,(V) Bayer Leverkusen,(H) Augsburg,2,2,1.93428,1.92692,10.2199,9.9733,10.1550,10.8683,11.0519,7.3284,7.5083
2015-02-28 14:30:00,5300,(H) Bayer Leverkusen,(V) Freiburg,1,0,0.57152,0.271169,9.5099,10.155,10.2043,11.0519,10.9263,7.5083,7.4825
2015-03-08 16:30:00,5241,(V) Bayer Leverkusen,(H) Paderborn,3,0,1.17926,0.755297,7.8567,10.2043,10.5210,10.9263,10.5990,7.4825,7.6932
2015-03-13 19:30:00,5242,(H) Bayer Leverkusen,(V) VfB Stuttgart,4,0,1.59835,1.03528,9.182,10.521,11.1197,10.599,10.3385,7.6932,8.1511
2015-03-21 17:30:00,5257,(V) Bayer Leverkusen,(H) Schalke 04,1,0,1.3174,1.79663,10.3693,11.1197,11.4058,10.3385,10.2548,8.1511,8.5570
2015-04-04 14:30:00,5199,(H) Bayer Leverkusen,(V) Hamburger SV,4,0,3.81979,0.35348,8.8123,11.4058,11.7359,10.2548,10.4515,8.557,8.0205
