Dátum,Meccs-Id,Fő-Csapat,Ellenfél-Csapat,Hazai-Gól,Ellenfél-Gól,Hazai-XG,Ellenfél-XG,Vendég-PR,Meccs-Előtti-PR,Meccs-Utáni-PR,Vendég-xgPR,Meccs-Előtti-xgPR,Meccs-Utáni-xgPR,Vendég-Mixed_PR,Meccs-Előtti-Mixed_PR,Meccs-Utáni-Mixed_PR
2014-08-22 19:30:00,5447,(H) Bayern Munich,(V) Wolfsburg,2,1,2.57012,1.19842,10,10,10.1250,10,10,10.2179,10,10,9.7821
2014-08-30 17:30:00,5462,(V) Bayern Munich,(H) Schalke 04,1,1,1.50328,1.30795,9.875,10.125,10.2500,10.0692,10.2179,10.3917,9.9308,9.7821,9.8583
2014-09-13 14:30:00,5413,(H) Bayern Munich,(V) VfB Stuttgart,2,0,1.22987,0.310166,9.5,10.25,10.6250,9.3621,10.3917,10.4966,10.1379,9.8583,10.0034
2014-09-20 14:30:00,5422,(V) Bayern Munich,(H) Hamburger SV,0,0,1.03519,0.203118,8.875,10.625,10.5000,9.603,10.4966,10.5796,9.397,10.0034,9.6704
2014-09-23 19:00:00,5430,(H) Bayern Munich,(V) Paderborn,4,0,3.48286,0.402844,10.875,10.5,11.3750,9.9206,10.5796,11.2246,10.5794,9.6704,9.7754
2014-09-27 14:30:00,5442,(V) Bayern Munich,(H) FC Cologne,2,0,3.46966,0.821798,10.25,11.375,11.9688,10.0776,11.2246,11.9803,10.1724,9.7754,9.7072
2014-10-04 14:30:00,5385,(H) Bayern Munich,(V) Hannover 96,4,0,2.69879,0.443178,9.9688,11.9688,12.6250,9.5349,11.9803,12.2005,10.1526,9.7072,9.7995
2014-10-18 14:30:00,5392,(H) Bayern Munich,(V) Werder Bremen,6,0,2.49826,0,8.8203,12.625,13.1875,9.9188,12.2005,11.8875,9.2219,9.7995,9.7374
2014-10-26 16:30:00,5409,(V) Bayern Munich,(H) Borussia M.Gladbach,0,0,1.2047,0.648384,11.5039,13.1875,12.8740,11.0255,11.8875,11.7131,9.9823,9.7374,9.2848
2014-11-01 17:30:00,5352,(H) Bayern Munich,(V) Borussia Dortmund,2,1,2.64367,0.942884,8.5215,12.874,11.8925,10.7896,11.7131,10.9068,7.5035,9.2848,7.8782
2014-11-08 14:30:00,5360,(V) Bayern Munich,(H) Eintracht Frankfurt,4,0,3.03467,0.222447,8.8516,11.8925,12.1115,8.8509,10.9068,10.8289,9.3522,7.8782,7.3942
