Dátum,Meccs-Id,Hazai-Csapat,Vendég-Csapat,Hazai-Gól,Ellenfél-Gól,Hazai-XG,Ellenfél-XG,Ellenfél-PR,Meccs-Előtti-PR,Meccs-Utáni-PR,Vendég-xgPR,Meccs-Előtti-xgPR,Meccs-Utáni-xgPR,Vendég-Mixed_PR,Meccs-Előtti-Mixed_PR,Meccs-Utáni-Mixed_PR
2021-08-14 13:30:00,17521,(H) Wolfsburg,(V) Bochum,1,0,0.297792,2.78774,10.686,10.000,10.046,10.543,10.000,9.638,9.891,10.000,10.470
2021-08-21 13:30:00,17527,(H) Bochum,(V) Mainz 05,2,0,1.05301,0.817413,10.958,10.046,10.649,10.925,9.638,9.894,9.883,10.470,10.639
2021-08-28 13:30:00,17535,(H) FC Cologne,(V) Bochum,2,1,0.721445,2.91135,10.342,10.649,10.447,9.889,9.894,9.470,10.479,10.639,11.021
2021-09-12 15:30:00,17550,(H) Bochum,(V) Hertha Berlin,1,3,1.02687,0.605231,8.780,10.447,9.405,9.814,9.470,9.536,9.014,11.021,9.789
2021-09-18 13:30:00,17556,(H) Bayern Munich,(V) Bochum,7,0,1.23312,6.88189,12.752,9.405,8.617,13.053,9.536,9.128,9.669,9.789,9.546
2021-09-26 13:30:00,17568,(H) Bochum,(V) VfB Stuttgart,0,0,0.925854,0.29441,9.521,8.617,8.718,10.016,9.128,9.383,9.394,9.546,9.225
2021-10-02 16:30:00,17577,(H) RasenBallsport Leipzig,(V) Bochum,3,0,1.51583,2.46461,11.801,8.718,8.864,11.270,9.383,9.743,10.421,9.225,9.136
2021-10-16 13:30:00,17579,(H) Greuther Fuerth,(V) Bochum,0,1,1.72207,0.69855,9.353,8.864,9.361,10.051,9.743,10.201,9.365,9.136,9.312
2021-10-24 17:30:00,17588,(H) Bochum,(V) Eintracht Frankfurt,2,0,2.78664,1.51826,10.270,9.361,9.963,9.695,10.201,10.267,10.464,9.312,9.658
2021-10-31 16:30:00,17601,(H) Borussia M.Gladbach,(V) Bochum,2,1,1.07958,1.81742,10.340,9.963,9.932,10.685,10.267,10.312,9.738,9.658,9.737
2021-11-06 14:30:00,17607,(H) Bochum,(V) Hoffenheim,2,0,2.12433,0.641687,11.072,9.932,10.592,10.874,10.312,10.698,10.093,9.737,9.830
2021-11-20 14:30:00,17622,(H) Bayer Leverkusen,(V) Bochum,1,0,0.708697,1.62637,9.913,10.592,10.297,10.232,10.698,10.477,9.742,9.830,9.912
2021-11-27 14:30:00,17625,(H) Bochum,(V) Freiburg,2,1,0.955994,2.12135,10.632,10.297,10.506,10.196,10.477,9.990,10.394,9.912,10.449
2021-12-04 14:30:00,17634,(H) Augsburg,(V) Bochum,2,3,2.04524,2.86606,10.674,10.506,10.923,10.032,9.990,9.920,10.723,10.449,11.098
2021-12-11 14:30:00,17643,(H) Bochum,(V) Borussia Dortmund,1,1,0.966453,2.68284,10.981,10.923,10.812,10.120,9.920,9.416,10.725,11.098,11.309
2021-12-14 19:30:00,17651,(H) Arminia Bielefeld,(V) Bochum,2,0,0.748012,0.642785,9.778,10.812,10.179,9.298,9.416,9.538,10.494,11.309,10.704
2021-12-18 14:30:00,17661,(H) Bochum,(V) Union Berlin,0,1,1.04215,0.999651,10.055,10.179,9.773,11.091,9.538,9.812,8.910,10.704,9.870
2022-01-09 16:30:00,17670,(H) Bochum,(V) Wolfsburg,1,0,1.57295,0.400404,8.769,9.773,9.647,9.391,9.812,9.875,9.281,9.870,9.555
2022-01-15 14:30:00,17681,(H) Mainz 05,(V) Bochum,1,0,1.32639,1.60302,10.357,9.647,9.699,10.016,9.875,9.966,10.459,9.555,9.725
2022-01-22 17:30:00,17688,(H) Bochum,(V) FC Cologne,2,2,1.77931,1.5434,9.719,9.699,9.579,9.887,9.966,9.880,9.604,9.725,9.511
2022-02-04 19:30:00,17698,(H) Hertha Berlin,(V) Bochum,1,1,0.993261,0.444153,9.283,9.579,9.630,8.562,9.880,9.813,10.518,9.511,9.750
2022-02-12 14:30:00,17706,(H) Bochum,(V) Bayern Munich,4,2,1.34846,1.87083,12.250,9.630,10.660,11.969,9.813,10.096,10.152,9.750,10.356
2022-02-19 14:30:00,17719,(H) VfB Stuttgart,(V) Bochum,1,1,1.93431,1.37485,9.475,10.660,10.489,10.227,10.096,10.394,9.328,10.356,10.084
