Dátum,Meccs-Id,Fő-Csapat,Ellenfél-Csapat,Hazai-Gól,Ellenfél-Gól,Hazai-XG,Ellenfél-XG,Vendég-PR,Meccs-Előtti-PR,Meccs-Utáni-PR,Vendég-xgPR,Meccs-Előtti-xgPR,Meccs-Utáni-xgPR,Vendég-Mixed_PR,Meccs-Előtti-Mixed_PR,Meccs-Utáni-Mixed_PR
2015-08-22 22:45:00,552,(V) Bologna,(H) Lazio,1,2,0.375662,1.54404,10.7508,10,9.9198,9.0321,10,9.8777,4.2196,10,10.2118
2015-08-29 20:00:00,561,(H) Bologna,(V) Sassuolo,0,1,0.153057,0.760634,10.9355,9.9198,9.7404,9.8725,9.8777,9.7964,13.749,10.2118,10.1843
2015-09-14 22:45:00,580,(V) Bologna,(H) Sampdoria,0,2,0.262969,1.29105,10.3217,9.7404,9.4674,7.4702,9.7964,9.7664,10.9231,10.1843,10.1683
2015-09-20 17:00:00,588,(H) Bologna,(V) Frosinone,1,0,1.20228,1.47246,8.3639,9.4674,9.3483,8.3735,9.7664,9.3298,9.6042,10.1683,10.1168
2015-09-23 22:45:00,597,(V) Bologna,(H) Fiorentina,0,2,0.311562,1.64826,10.545,9.3483,9.2345,9.4686,9.3298,9.3818,7.3709,10.1168,10.3371
2015-09-27 17:00:00,607,(H) Bologna,(V) Udinese,1,2,1.61378,1.75506,8.9456,9.2345,8.8234,8.3442,9.3818,9.1854,13.7971,10.3371,9.9613
2015-10-04 20:00:00,617,(V) Bologna,(H) Juventus,1,3,0.139356,3.4019,9.9008,8.8234,8.6431,7.2175,9.1854,8.6895,0.8335,9.9613,10.5967
2015-10-18 14:30:00,623,(H) Bologna,(V) Palermo,0,1,1.7239,1.66538,9.6363,8.6431,8.5709,13.2897,8.6895,8.8819,7.2333,10.5967,10.5098
2015-10-24 20:00:00,632,(V) Bologna,(H) Carpi,2,1,1.96954,0.820122,9.274,8.5709,9.1618,10.8928,8.8819,9.5101,10.4051,10.5098,10.8133
2015-10-27 23:45:00,641,(H) Bologna,(V) Inter,0,1,0.662582,1.26761,9.9508,9.1618,9.1317,10.618,9.5101,9.5788,6.0339,10.8133,10.9345
