Dátum,Meccs-Id,Fő-Csapat,Ellenfél-Csapat,Hazai-Gól,Ellenfél-Gól,Meccs-Előtti-PR,Meccs-Utáni-PR,Meccs-Előtti-xgPR,Meccs-Utáni-xgPR,Meccs-Előtti-Mixed_PR,Meccs-Utáni-Mixed_PR
2015-08-08 18:00:00,82,Bournemouth,Aston Villa,0,1,10,9.3632,10,9.6367,10,9.3397
2015-08-17 23:00:00,100,Bournemouth,Liverpool,0,1,9.3632,8.8265,9.6367,8.9275,9.3397,9.2254
2015-08-22 18:00:00,106,Bournemouth,West Ham,4,3,8.8265,9.3367,8.9275,9.5261,9.2254,9.3973
2015-08-29 18:00:00,114,Bournemouth,Leicester,1,1,9.3367,9.8042,9.5261,9.8442,9.3973,10.0142
2015-09-12 18:00:00,126,Bournemouth,Norwich,1,3,9.8042,9.6833,9.8442,9.9878,10.0142,10.1288
2015-09-19 18:00:00,134,Bournemouth,Sunderland,2,0,9.6833,9.9151,9.9878,9.6670,10.1288,10.4133
2015-09-26 18:00:00,143,Bournemouth,Stoke,1,2,9.9151,9.7207,9.667,9.4543,10.4133,10.4871
2015-10-03 18:00:00,153,Bournemouth,Watford,1,1,9.7207,9.8119,9.4543,9.6928,10.4871,10.4310
2015-10-17 18:00:00,167,Bournemouth,Manchester City,1,5,9.8119,9.0834,9.6928,8.8294,10.431,10.8375
2015-10-25 18:05:00,178,Bournemouth,Tottenham,1,5,9.0834,8.4640,8.8294,8.4744,10.8375,10.9538
2015-11-01 20:00:00,189,Bournemouth,Southampton,0,2,8.464,8.4853,8.4744,8.8838,10.9538,11.0870
2015-11-07 16:45:00,191,Bournemouth,Newcastle United,0,1,8.4853,8.2867,8.8838,9.0601,11.087,10.7634
2015-11-21 19:00:00,202,Bournemouth,Swansea,2,2,8.2867,8.6479,9.0601,9.3462,10.7634,11.1996
2015-11-28 19:00:00,213,Bournemouth,Everton,3,3,8.6479,9.2156,9.3462,10.1544,11.1996,11.5268
2015-12-12 21:30:00,236,Bournemouth,Manchester United,2,1,9.2156,10.0837,10.1544,10.5431,11.5268,12.6242
2015-12-19 19:00:00,241,Bournemouth,West Bromwich Albion,2,1,10.0837,10.8826,10.5431,11.3904,12.6242,13.1247
2015-12-26 19:00:00,255,Bournemouth,Crystal Palace,0,0,10.8826,10.9840,11.3904,11.6084,13.1247,13.1095
2015-12-28 21:30:00,266,Bournemouth,Arsenal,0,2,10.984,10.5817,11.6084,11.0097,13.1095,13.4037
2016-01-02 19:00:00,274,Bournemouth,Leicester,0,0,10.5817,10.6651,11.0097,10.8366,13.4037,13.7435
2016-01-12 23:45:00,283,Bournemouth,West Ham,1,3,10.6651,9.8206,10.8366,10.3783,13.7435,13.0127
2016-01-16 19:00:00,296,Bournemouth,Norwich,3,0,9.8206,10.3529,10.3783,10.6444,13.0127,13.0612
2016-01-23 19:00:00,306,Bournemouth,Sunderland,1,1,10.3529,10.5410,10.6444,10.9966,13.0612,13.0852
