Dátum,Meccs-Id,Fő-Csapat,Ellenfél-Csapat,Hazai-Gól,Ellenfél-Gól,Meccs-Előtti-PR,Meccs-Utáni-PR,Meccs-Előtti-xgPR,Meccs-Utáni-xgPR,Meccs-Előtti-Mixed_PR,Meccs-Utáni-Mixed_PR
2021-08-13 19:00:00,16376,Brentford,Arsenal,2,0,10,10.8502,10,10.5663,10,10.6341
2021-08-21 14:00:00,16389,Brentford,Crystal Palace,0,0,10.8502,10.9329,10.5663,10.6755,10.6341,10.6902
2021-08-28 14:00:00,16399,Brentford,Aston Villa,1,1,10.9329,10.9668,10.6755,10.8848,10.6902,10.5486
2021-09-11 14:00:00,16408,Brentford,Brighton,0,1,10.9668,10.5190,10.8848,10.7975,10.5486,9.9904
2021-09-18 11:30:00,16417,Brentford,Wolverhampton Wanderers,2,0,10.519,10.8671,10.7975,10.9716,9.9904,10.0124
2021-09-25 16:30:00,16432,Brentford,Liverpool,3,3,10.8671,11.0439,10.9716,11.3192,10.0124,10.0184
2021-10-03 13:00:00,16444,Brentford,West Ham,2,1,11.0439,11.3209,11.3192,11.3283,10.0184,10.3133
2021-10-16 16:30:00,16448,Brentford,Chelsea,0,1,11.3209,11.4030,11.3283,12.0038,10.3133,10.0520
2021-10-24 13:00:00,16457,Brentford,Leicester,1,2,11.403,10.6931,12.0038,11.5853,10.052,9.3008
2021-10-30 14:00:00,16467,Brentford,Burnley,1,3,10.6931,9.7915,11.5853,10.7101,9.3008,8.8729
2021-11-06 15:00:00,16477,Brentford,Norwich,1,2,9.7915,8.9137,10.7101,10.4909,8.8729,7.5865
2021-11-20 15:00:00,16491,Brentford,Newcastle United,3,3,8.9137,8.9035,10.4909,10.2429,7.5865,7.8141
