Dátum,Meccs-Id,Hazai-Csapat,Vendég-Csapat,Hazai-Gól,Ellenfél-Gól,Hazai-XG,Ellenfél-XG,Ellenfél-PR,Meccs-Előtti-PR,Meccs-Utáni-PR,Vendég-xgPR,Meccs-Előtti-xgPR,Meccs-Utáni-xgPR,Vendég-Mixed_PR,Meccs-Előtti-Mixed_PR,Meccs-Utáni-Mixed_PR
2014-08-18 20:00:00,4758,(H) Burnley,(V) Chelsea,1,3,0.371141,2.12996,10.000,10.000,9.375,10.000,10.000,9.435,10.000,10.000,9.815
2014-08-23 15:00:00,4763,(H) Swansea,(V) Burnley,1,0,0.843331,0.914215,10.375,9.375,9.500,9.903,9.435,9.659,10.597,9.815,9.903
2014-08-30 12:45:00,4769,(H) Burnley,(V) Manchester United,0,0,0.513746,0.467281,9.875,9.500,9.469,10.255,9.659,9.695,9.683,9.903,9.711
2014-09-13 15:00:00,4721,(H) Crystal Palace,(V) Burnley,0,0,1.2493,0.780534,9.453,9.469,9.590,9.787,9.695,9.960,9.760,9.711,9.731
2014-09-20 15:00:00,4732,(H) Burnley,(V) Sunderland,0,0,0.710673,0.643512,9.484,9.590,9.439,9.193,9.960,9.660,10.197,9.731,9.706
2014-09-28 16:00:00,4747,(H) West Bromwich Albion,(V) Burnley,4,0,0.473814,1.81127,9.444,9.439,8.565,10.062,9.660,9.551,9.475,9.706,9.108
2014-10-04 15:00:00,4690,(H) Leicester,(V) Burnley,2,2,0.957718,1.57773,10.154,8.565,9.087,9.464,9.551,9.499,10.805,9.108,9.812
2014-10-18 15:00:00,4701,(H) Burnley,(V) West Ham,1,3,1.74404,2.84138,10.317,9.087,8.770,10.318,9.499,9.304,9.972,9.812,9.501
2014-10-26 13:30:00,4716,(H) Burnley,(V) Everton,1,3,1.55564,1.32187,10.231,8.770,8.510,10.119,9.304,9.441,10.088,9.501,8.964
2014-11-01 15:00:00,4652,(H) Arsenal,(V) Burnley,3,0,0.684259,4.3298,10.346,8.510,8.344,10.671,9.441,8.962,9.686,8.964,9.431
