Dátum,Meccs-Id,Fő-Csapat,Ellenfél-Csapat,Hazai-Gól,Ellenfél-Gól,Hazai-XG,Ellenfél-XG,Meccs-Előtti-PR,Meccs-Utáni-PR,Meccs-Előtti-xgPR,Meccs-Utáni-xgPR,Meccs-Előtti-Mixed_PR,Meccs-Utáni-Mixed_PR
2020-09-12 19:00:00,14138,(H) Cadiz,(V) Osasuna,0,2,0.600934,0.633286,10,9.1982,10,9.6901,10,9.2062
2020-09-20 14:00:00,14148,(V) Cadiz,(H) SD Huesca,2,0,1.50522,0.223846,9.1982,9.5552,9.6901,9.8675,9.2062,9.2429
2020-09-27 19:00:00,14159,(H) Cadiz,(V) Sevilla,1,3,1.0983,2.2102,9.5552,9.2080,9.8675,9.7423,9.2429,9.1737
2020-10-01 17:00:00,14164,(V) Cadiz,(H) Athletic Club,1,0,0.263675,0.545027,9.208,9.0600,9.7423,9.2739,9.1737,9.0960
2020-10-04 16:30:00,14818,(H) Cadiz,(V) Granada,1,1,1.09095,0.820558,9.06,9.1967,9.2739,9.4782,9.096,9.1651
2020-10-17 16:30:00,14833,(V) Cadiz,(H) Real Madrid,1,0,1.768,1.1359,9.1967,9.7627,9.4782,9.9522,9.1651,9.5731
2020-10-25 15:00:00,14838,(H) Cadiz,(V) Villarreal,0,0,0.20914,0.752296,9.7627,9.6799,9.9522,9.7336,9.5731,9.6261
2020-10-30 20:00:00,14849,(V) Cadiz,(H) Eibar,2,0,0.932416,0.466935,9.6799,9.7127,9.7336,9.3828,9.6261,9.5425
2020-11-07 20:00:00,14855,(V) Cadiz,(H) Atletico Madrid,0,4,0.395983,2.62556,9.7127,8.9553,9.3828,9.0680,9.5425,9.3425
2020-11-22 15:15:00,14869,(H) Cadiz,(V) Real Sociedad,0,1,0.0824748,1.90588,8.9553,8.7897,9.068,8.6966,9.3425,9.6328
2020-11-28 13:00:00,14884,(V) Cadiz,(H) Elche,1,1,0.678171,0.0867292,8.7897,8.6748,8.6966,8.7296,9.6328,9.3701
2020-12-05 20:00:00,14885,(H) Cadiz,(V) Barcelona,2,1,2.61118,1.71026,8.6748,8.9215,8.7296,8.9515,9.3701,9.3916
2020-12-14 20:00:00,14900,(V) Cadiz,(H) Celta Vigo,0,4,0.906249,1.51712,8.9215,7.9634,8.9515,8.8406,9.3916,8.5862
2020-12-20 17:30:00,14912,(H) Cadiz,(V) Getafe,0,2,0.356498,1.10435,7.9634,6.9856,8.8406,8.1758,8.5862,7.7954
2020-12-23 21:00:00,14918,(V) Cadiz,(H) Real Betis,0,1,0.282205,0.342496,6.9856,6.9695,8.1758,8.3947,7.7954,7.7944
2020-12-29 20:30:00,14932,(H) Cadiz,(V) Real Valladolid,0,0,0.786846,0.299749,6.9695,7.2440,8.3947,8.7910,7.7944,7.9471
2021-01-04 20:00:00,14945,(V) Cadiz,(H) Valencia,1,1,0.522228,0.942061,7.244,7.8476,8.791,9.2897,7.9471,8.6557
2021-01-10 15:15:00,14950,(H) Cadiz,(V) Alaves,3,1,2.59473,0.829834,7.8476,8.5746,9.2897,9.9579,8.6557,8.9415
2021-01-19 18:00:00,14964,(H) Cadiz,(V) Levante,2,2,0.725743,2.00702,8.5746,8.6823,9.9579,9.7453,8.9415,9.3695
2021-01-23 15:15:00,14971,(V) Cadiz,(H) Sevilla,0,3,1.16695,2.51675,8.6823,8.1875,9.7453,9.6631,9.3695,9.2122
2021-01-31 15:15:00,14982,(H) Cadiz,(V) Atletico Madrid,2,4,0.861261,1.79542,8.1875,8.0107,9.6631,9.7527,9.2122,9.2689
2021-02-07 13:00:00,14995,(V) Cadiz,(H) Real Sociedad,1,4,0.354151,4.7946,8.0107,7.4722,9.7527,8.8541,9.2689,9.8405
2021-02-15 20:00:00,15002,(H) Cadiz,(V) Athletic Club,0,4,0.567254,2.36113,7.4722,6.8073,8.8541,8.7407,9.8405,9.6240
2021-02-21 13:00:00,15010,(V) Cadiz,(H) Barcelona,1,1,1.32905,2.39005,6.8073,7.6719,8.7407,9.3400,9.624,10.7538
2021-02-28 15:15:00,15022,(H) Cadiz,(V) Real Betis,0,1,0.227972,0.596164,7.6719,7.9707,9.34,9.7967,10.7538,11.1446
2021-03-06 17:30:00,15031,(H) Cadiz,(V) Eibar,1,0,1.6239,1.6003,7.9707,8.0867,9.7967,9.6686,11.1446,11.2547
2021-03-13 13:00:00,15038,(V) Cadiz,(H) Alaves,1,1,1.74684,1.48992,8.0867,8.0691,9.6686,9.7153,11.2547,11.1729
2021-03-21 15:15:00,15057,(V) Cadiz,(H) Villarreal,1,2,0.90665,2.50648,8.0691,7.9852,9.7153,9.4814,11.1729,11.4889
2021-04-04 16:30:00,15060,(H) Cadiz,(V) Valencia,2,1,1.02818,0.858442,7.9852,8.1953,9.4814,9.4840,11.4889,11.6566
2021-04-10 12:00:00,15072,(V) Cadiz,(H) Getafe,1,0,0.640397,2.78378,8.1953,8.6837,9.484,9.1865,11.6566,12.6808
2021-04-18 16:30:00,15104,(H) Cadiz,(V) Celta Vigo,0,0,0.322965,0.436078,8.6837,8.6718,9.1865,9.1463,12.6808,12.6972
