Dátum,Meccs-Id,Fő-Csapat,Ellenfél-Csapat,Hazai-Gól,Ellenfél-Gól,Hazai-XG,Ellenfél-XG,Meccs-Előtti-PR,Meccs-Utáni-PR,Meccs-Előtti-xgPR,Meccs-Utáni-xgPR,Meccs-Előtti-Mixed_PR,Meccs-Utáni-Mixed_PR
2015-08-23 22:45:00,555,(V) Carpi,(H) Sampdoria,2,5,2.67392,1.40755,10,9.3750,10,10.4416,10,9.0584
2015-08-30 22:45:00,567,(H) Carpi,(V) Inter,1,2,0.866071,3.03344,9.375,9.1334,10.4416,9.9082,9.0584,9.3586
2015-09-13 17:00:00,575,(V) Carpi,(H) Palermo,2,2,0.912214,1.31893,9.1334,9.6632,9.9082,10.3363,9.3586,9.9901
2015-09-20 20:00:00,589,(H) Carpi,(V) Fiorentina,0,1,1.49722,0.418407,9.6632,9.6607,10.3363,10.8535,9.9901,9.7179
2015-09-23 22:45:00,595,(H) Carpi,(V) Napoli,0,0,0.362323,1.16585,9.6607,9.4526,10.8535,10.4445,9.7179,9.7106
2015-09-26 20:00:00,601,(V) Carpi,(H) Roma,1,5,1.51645,3.46661,9.4526,8.9148,10.4445,10.4191,9.7106,9.6603
2015-10-03 20:00:00,611,(H) Carpi,(V) Torino,2,1,0.880132,1.21414,8.9148,9.5057,10.4191,10.6765,9.6603,10.3347
2015-10-18 17:00:00,628,(V) Carpi,(H) Atalanta,0,3,1.03029,2.23861,9.5057,9.2825,10.6765,10.9012,10.3347,10.4136
2015-10-24 20:00:00,632,(H) Carpi,(V) Bologna,1,2,0.820122,1.96954,9.2825,8.6854,10.9012,10.2667,10.4136,10.1039
2015-10-28 23:45:00,642,(V) Carpi,(H) Frosinone,1,2,0.640609,1.00468,8.6854,8.7021,10.2667,10.4424,10.1039,10.2116
2015-11-01 18:00:00,656,(H) Carpi,(V) Verona,0,0,1.24528,0.525153,8.7021,8.6780,10.4424,10.5983,10.2116,10.0074
2015-11-08 18:00:00,664,(V) Carpi,(H) Sassuolo,0,1,0.271335,1.37733,8.678,8.8698,10.5983,10.7636,10.0074,10.4757
2015-11-22 18:00:00,676,(H) Carpi,(V) Chievo,1,2,0.949266,0.535478,8.8698,8.7632,10.7636,11.0105,10.4757,10.2657
2015-11-29 18:00:00,685,(V) Carpi,(H) Genoa,2,1,2.06166,0.666263,8.7632,9.5314,11.0105,11.8775,10.2657,10.6851
2015-12-06 23:45:00,700,(H) Carpi,(V) AC Milan,0,0,0.413865,0.859272,9.5314,9.8690,11.8775,12.1038,10.6851,11.1341
2015-12-13 18:00:00,706,(V) Carpi,(H) Empoli,0,3,1.39607,1.76158,9.869,9.4748,12.1038,12.3682,11.1341,10.8312
2015-12-20 15:30:00,711,(H) Carpi,(V) Juventus,2,3,1.00082,1.66604,9.4748,9.6426,12.3682,12.6197,10.8312,11.1653
2016-01-06 18:00:00,726,(V) Carpi,(H) Lazio,0,0,0.194449,0.445881,9.6426,9.6780,12.6197,12.5922,11.1653,11.2636
2016-01-09 18:00:00,730,(H) Carpi,(V) Udinese,2,1,1.49909,0.326424,9.678,9.8209,12.5922,12.7782,11.2636,11.1133
2016-01-17 18:00:00,748,(H) Carpi,(V) Sampdoria,2,1,1.3392,2.30542,9.8209,9.9632,12.7782,12.4290,11.1133,11.4972
2016-01-24 18:00:00,755,(V) Carpi,(H) Inter,1,1,0.685858,2.22439,9.9632,10.3238,12.429,12.4050,11.4972,12.2425
2016-01-30 18:00:00,761,(H) Carpi,(V) Palermo,1,1,1.18567,0.981895,10.3238,9.7921,12.405,11.9243,12.2425,11.6599
2016-02-03 23:45:00,773,(V) Carpi,(H) Fiorentina,1,2,0.959221,0.630181,9.7921,9.5497,11.9243,12.0141,11.6599,11.3352
2016-02-07 18:00:00,786,(V) Carpi,(H) Napoli,0,1,0.0810378,2.27124,9.5497,10.1168,12.0141,12.2836,11.3352,12.4498
2016-02-12 23:45:00,792,(H) Carpi,(V) Roma,1,3,0.873983,2.28532,10.1168,9.7520,12.2836,12.0659,12.4498,12.4378
2016-02-21 18:00:00,807,(V) Carpi,(H) Torino,0,0,0.299053,1.23939,9.752,9.6552,12.0659,11.7340,12.4378,12.5761
2016-02-28 18:00:00,817,(H) Carpi,(V) Atalanta,1,1,1.43845,0.947109,9.6552,9.4463,11.734,11.6479,12.5761,12.2443
2016-03-06 18:00:00,828,(V) Carpi,(H) Bologna,0,0,0.285025,1.16209,9.4463,9.7661,11.6479,11.7485,12.2443,12.7834
2016-03-13 18:00:00,836,(H) Carpi,(V) Frosinone,2,1,1.78367,1.27464,9.7661,9.9148,11.7485,11.7745,12.7834,12.8049
2016-03-20 18:00:00,844,(V) Carpi,(H) Verona,2,1,1.2492,0.68967,9.9148,9.9555,11.7745,11.7051,12.8049,12.7057
2016-04-02 20:00:00,851,(H) Carpi,(V) Sassuolo,1,3,1.39986,1.80569,9.9555,9.7102,11.7051,11.8584,12.7057,12.5619
2016-04-09 20:00:00,863,(V) Carpi,(H) Chievo,0,1,0.721378,1.22666,9.7102,9.7651,11.8584,12.0370,12.5619,12.7431
2016-04-16 20:00:00,872,(H) Carpi,(V) Genoa,4,1,3.16479,1.37647,9.7651,10.6461,12.037,12.6151,12.7431,13.1770
2016-04-21 22:45:00,890,(V) Carpi,(H) AC Milan,0,0,0.26311,1.03038,10.6461,10.7248,12.6151,12.5020,13.177,13.4475
2016-04-25 21:00:00,900,(H) Carpi,(V) Empoli,1,0,1.70068,0.696372,10.7248,10.6260,12.502,12.4043,13.4475,13.0977
2016-05-01 14:30:00,903,(V) Carpi,(H) Juventus,0,2,0.507266,0.97521,10.626,10.5659,12.4043,12.7272,13.0977,13.1546
2016-05-08 17:00:00,918,(H) Carpi,(V) Lazio,1,3,3.44148,1.98265,10.5659,9.7750,12.7272,12.8010,13.1546,11.9990
2016-05-15 22:45:00,928,(V) Carpi,(H) Udinese,2,1,1.76289,1.29064,9.775,9.7189,12.801,12.6130,11.999,11.8248
