Dátum,Meccs-Id,Hazai-Csapat,Vendég-Csapat,Hazai-Gól,Ellenfél-Gól,Hazai-XG,Ellenfél-XG,Ellenfél-PR,Meccs-Előtti-PR,Meccs-Utáni-PR,Vendég-xgPR,Meccs-Előtti-xgPR,Meccs-Utáni-xgPR,Vendég-Mixed_PR,Meccs-Előtti-Mixed_PR,Meccs-Utáni-Mixed_PR
2014-08-24 20:00:00,5832,(H) Celta Vigo,(V) Getafe,3,1,1.91721,0.673965,10.000,10.000,10.375,10.000,10.000,10.186,10.000,10.000,10.064
2014-08-30 18:00:00,5838,(H) Cordoba,(V) Celta Vigo,1,1,0.786352,0.241504,9.625,10.375,10.313,10.066,10.186,10.417,9.684,10.064,9.958
2014-09-13 21:00:00,5790,(H) Celta Vigo,(V) Real Sociedad,2,2,2.85395,1.30012,10.375,10.313,10.203,10.155,10.417,10.615,10.158,9.958,9.495
2014-09-20 19:00:00,5799,(H) Atletico Madrid,(V) Celta Vigo,2,2,0.926164,2.42868,10.531,10.203,10.410,10.116,10.615,10.240,10.509,9.495,10.249
2014-09-23 21:00:00,5807,(H) Celta Vigo,(V) Deportivo La Coruna,2,1,1.19299,1.04057,8.414,10.410,10.036,9.810,10.240,10.046,8.526,10.249,9.905
2014-09-26 20:00:00,5816,(H) Elche,(V) Celta Vigo,0,1,2.04008,0.402099,8.889,10.036,10.124,9.220,10.046,10.374,9.756,9.905,9.833
2014-10-05 16:00:00,5761,(H) Celta Vigo,(V) Villarreal,1,3,1.17846,2.02409,10.226,10.124,9.525,10.495,10.374,10.068,9.649,9.833,9.373
2014-10-18 17:00:00,5766,(H) Athletic Club,(V) Celta Vigo,1,1,0.221015,2.66245,9.057,9.525,9.533,9.253,10.068,9.379,9.888,9.373,10.237
2014-10-24 20:00:00,5774,(H) Celta Vigo,(V) Levante,3,0,1.88024,0.207108,8.634,9.533,9.933,8.701,9.379,9.503,9.871,10.237,10.352
2014-11-01 19:00:00,5718,(H) Barcelona,(V) Celta Vigo,0,1,1.55562,2.66159,12.179,9.933,10.870,11.830,9.503,9.933,10.484,10.352,11.036
2014-11-08 21:00:00,5730,(H) Celta Vigo,(V) Granada,0,0,1.3927,1.30763,9.000,10.870,10.278,9.328,9.933,9.678,9.675,11.036,10.549
2014-11-23 11:00:00,5740,(H) Rayo Vallecano,(V) Celta Vigo,1,0,0.704494,0.865947,9.075,10.278,9.852,9.106,9.678,9.620,10.177,10.549,10.371
2014-11-29 21:00:00,5749,(H) Celta Vigo,(V) Eibar,0,1,1.42996,1.06888,9.509,9.852,9.391,9.122,9.620,9.461,10.471,10.371,9.931
2014-12-06 19:00:00,5689,(H) Real Madrid,(V) Celta Vigo,3,0,0.552243,2.59443,12.972,9.391,9.661,12.473,9.461,9.828,10.794,9.931,10.032
2014-12-13 21:00:00,5701,(H) Malaga,(V) Celta Vigo,1,0,1.10271,1.10137,10.708,9.661,9.798,9.391,9.828,9.844,11.440,10.032,10.259
2014-12-19 19:45:00,5707,(H) Celta Vigo,(V) Almeria,0,1,1.44921,1.36468,8.722,9.798,9.154,9.706,9.844,9.706,9.029,10.259,9.555
