Dátum,Meccs-Id,Fő-Csapat,Ellenfél-Csapat,Hazai-Gól,Ellenfél-Gól,Hazai-XG,Ellenfél-XG,Meccs-Előtti-PR,Meccs-Utáni-PR,Meccs-Előtti-xgPR,Meccs-Utáni-xgPR,Meccs-Előtti-Mixed_PR,Meccs-Utáni-Mixed_PR
2014-08-31 19:45:00,5154,(H) Cesena,(V) Parma,1,0,1.09417,0.438551,10,10.1250,10,10.0389,10,9.9611
2014-09-14 14:00:00,5112,(V) Cesena,(H) Lazio,0,3,0.154651,1.55271,10.125,9.5000,10.0389,9.8144,9.9611,9.6856
2014-09-20 17:00:00,5119,(H) Cesena,(V) Empoli,2,2,2.03766,2.57707,9.5,9.2500,9.8144,9.4295,9.6856,9.5705
2014-09-24 19:45:00,5133,(V) Cesena,(H) Juventus,0,3,0.0127481,2.23177,9.25,8.9375,9.4295,9.3122,9.5705,9.8128
2014-09-28 14:00:00,5143,(H) Cesena,(V) AC Milan,1,1,1.13049,0.876708,8.9375,9.0938,9.3122,9.5319,9.8128,9.9056
2014-10-05 14:00:00,5074,(V) Cesena,(H) Udinese,1,1,2.08506,0.836953,9.0938,9.6250,9.5319,10.3752,9.9056,10.1248
2014-10-19 14:00:00,5082,(V) Cesena,(H) Palermo,1,2,1.13078,0.995603,9.625,9.4414,10.3752,10.4754,10.1248,9.9074
2014-10-26 17:00:00,5097,(H) Cesena,(V) Inter,0,1,0.645724,2.06734,9.4414,8.9453,10.4754,9.8739,9.9074,9.7667
2014-10-29 19:45:00,5103,(V) Cesena,(H) Roma,0,2,0.167116,2.93622,8.9453,9.0820,9.8739,9.8183,9.7667,10.5957
2014-11-03 18:00:00,5038,(H) Cesena,(V) Verona,1,1,0.901371,0.654003,9.082,8.7979,9.8183,9.5960,10.5957,10.2497
2014-11-09 14:00:00,5043,(V) Cesena,(H) Chievo,1,2,0.834337,1.26794,8.7979,8.5655,9.596,9.5052,10.2497,10.1257
