Dátum,Meccs-Id,Hazai-Csapat,Vendég-Csapat,Hazai-Gól,Ellenfél-Gól,Hazai-XG,Ellenfél-XG,Ellenfél-PR,Meccs-Előtti-PR,Meccs-Utáni-PR,Vendég-xgPR,Meccs-Előtti-xgPR,Meccs-Utáni-xgPR,Vendég-Mixed_PR,Meccs-Előtti-Mixed_PR,Meccs-Utáni-Mixed_PR
2014-08-18 20:00:00,4758,(H) Burnley,(V) Chelsea,1,3,2.12996,0.371141,10.000,10.000,10.625,10.000,10.000,10.565,10.000,10.000,10.185
2014-08-23 15:00:00,4760,(H) Chelsea,(V) Leicester,2,0,2.02939,0.550894,9.875,10.625,10.813,10.041,10.565,10.679,9.709,10.185,10.071
2014-08-30 17:30:00,4775,(H) Everton,(V) Chelsea,3,6,2.02665,1.4491,10.000,10.813,11.485,9.875,10.679,10.747,10.062,10.071,10.799
2014-09-13 15:00:00,4720,(H) Chelsea,(V) Swansea,4,2,3.56581,1.02153,10.812,11.485,11.692,10.018,10.747,11.076,10.639,10.799,10.498
2014-09-21 16:00:00,4737,(H) Manchester City,(V) Chelsea,1,1,1.02093,1.05592,10.382,11.692,11.489,10.466,11.076,11.040,9.971,10.498,10.500
2014-09-27 15:00:00,4742,(H) Chelsea,(V) Aston Villa,3,0,3.14218,0.228896,9.712,11.489,11.670,9.909,11.040,11.361,9.689,10.500,10.194
2014-10-05 14:05:00,4697,(H) Chelsea,(V) Arsenal,2,0,1.40263,0.330699,10.552,11.670,11.765,10.418,11.361,11.268,10.065,10.194,10.269
2014-10-18 15:00:00,4702,(H) Crystal Palace,(V) Chelsea,1,2,1.01515,1.16779,9.782,11.765,11.644,9.798,11.268,10.987,10.027,10.269,10.622
2014-10-26 16:00:00,4717,(H) Manchester United,(V) Chelsea,1,1,0.989916,1.84074,10.351,11.644,11.446,9.959,10.987,10.642,10.428,10.622,10.911
2014-11-01 15:00:00,4653,(H) Chelsea,(V) Queens Park Rangers,2,1,2.23703,0.510067,9.295,11.446,11.033,9.490,10.642,10.661,9.702,10.911,10.302
2014-11-08 12:45:00,4659,(H) Liverpool,(V) Chelsea,1,2,1.97201,0.531905,9.901,11.033,11.125,9.570,10.661,10.873,10.415,10.302,10.345
2014-11-22 15:00:00,4674,(H) Chelsea,(V) West Bromwich Albion,2,0,4.36607,0.0930471,9.440,11.125,11.079,9.599,10.873,11.498,9.709,10.345,9.493
2014-11-29 17:30:00,4686,(H) Sunderland,(V) Chelsea,0,0,0.761171,1.03133,9.460,11.079,10.799,9.751,11.498,11.119,9.761,9.493,9.753
2014-12-03 19:45:00,4595,(H) Chelsea,(V) Tottenham,3,0,1.71947,0.289204,10.032,10.799,11.232,10.393,11.119,11.170,9.580,9.753,9.977
2014-12-06 12:45:00,4599,(H) Newcastle United,(V) Chelsea,2,1,2.16232,1.48574,10.300,11.232,10.874,10.087,11.170,11.193,10.397,9.977,9.788
2014-12-13 15:00:00,4610,(H) Chelsea,(V) Hull,2,0,1.21862,0.435091,9.159,10.874,10.820,9.068,11.193,10.733,10.063,9.788,10.036
2014-12-22 20:00:00,4628,(H) Stoke,(V) Chelsea,0,2,1.45482,0.411669,10.032,10.820,11.248,10.461,10.733,11.051,9.696,10.036,10.315
2014-12-26 12:45:00,4629,(H) Chelsea,(V) West Ham,2,0,3.56764,0.45944,10.663,11.248,11.477,9.970,11.051,11.433,10.584,10.315,9.980
2014-12-28 14:05:00,4640,(H) Southampton,(V) Chelsea,1,1,0.521788,0.528455,10.775,11.477,11.427,10.785,11.433,11.394,10.065,9.980,10.128
2015-01-01 17:30:00,4560,(H) Tottenham,(V) Chelsea,5,3,3.03274,1.82436,10.248,11.427,10.757,9.412,11.394,11.326,10.741,10.128,9.604
2015-01-10 15:00:00,4565,(H) Chelsea,(V) Newcastle United,2,0,1.08131,0.394837,9.510,10.757,10.820,9.368,11.326,10.883,9.980,9.604,9.901
2015-01-17 15:00:00,4575,(H) Swansea,(V) Chelsea,0,5,3.19733,0.214209,9.445,10.820,11.851,9.289,10.883,11.355,10.100,9.901,10.580
2015-01-31 17:30:00,4588,(H) Chelsea,(V) Manchester City,1,1,0.708923,0.907151,9.894,11.851,11.237,10.363,11.355,10.932,9.437,10.580,10.219
2015-02-07 15:00:00,4516,(H) Aston Villa,(V) Chelsea,1,2,1.11662,0.707847,8.529,11.237,10.935,9.630,10.932,10.834,8.989,10.219,10.184
2015-02-11 19:45:00,4529,(H) Chelsea,(V) Everton,1,0,0.89846,0.706994,10.026,10.935,10.833,9.925,10.834,10.530,9.989,10.184,10.212
2015-02-21 15:00:00,4536,(H) Chelsea,(V) Burnley,1,1,1.53973,0.513251,9.095,10.833,10.274,9.700,10.530,10.454,9.442,10.212,9.638
2015-03-04 19:45:00,4485,(H) West Ham,(V) Chelsea,0,1,2.38358,1.46324,9.832,10.274,10.539,9.876,10.454,10.665,9.942,9.638,9.859
2015-03-15 13:30:00,4499,(H) Chelsea,(V) Southampton,1,1,3.19317,1.82802,9.995,10.539,10.278,10.565,10.665,10.856,9.304,9.859,9.254
2015-03-22 16:00:00,4511,(H) Hull,(V) Chelsea,2,3,0.758601,1.32415,9.491,10.278,10.456,9.929,10.856,10.608,9.689,9.254,9.879
2015-04-04 17:30:00,4446,(H) Chelsea,(V) Stoke,2,1,3.28546,0.277288,9.553,10.456,10.355,9.705,10.608,11.009,9.719,9.879,9.212
2015-04-12 13:30:00,4458,(H) Queens Park Rangers,(V) Chelsea,0,1,0.920984,0.780982,10.102,10.355,10.667,9.225,11.009,10.723,11.069,9.212,10.016
2015-04-18 17:30:00,4465,(H) Chelsea,(V) Manchester United,1,0,1.1493,0.744613,11.736,10.667,11.059,11.080,10.723,10.788,10.488,10.016,10.158
2015-04-26 16:00:00,4477,(H) Arsenal,(V) Chelsea,0,0,0.853305,1.07482,11.576,11.059,11.313,10.696,10.788,10.835,10.905,10.158,10.525
2015-04-29 19:45:00,4479,(H) Leicester,(V) Chelsea,1,3,1.51717,0.600074,10.530,11.313,11.742,10.102,10.835,11.006,10.478,10.525,10.909
2015-05-03 13:30:00,4406,(H) Chelsea,(V) Crystal Palace,1,0,1.5619,0.41646,9.049,11.742,11.194,9.862,11.006,10.881,9.009,10.909,10.273
2015-05-10 16:00:00,4417,(H) Chelsea,(V) Liverpool,1,1,0.535272,1.33324,10.060,11.194,10.785,10.714,10.881,10.515,9.372,10.273,10.122
2015-05-18 20:00:00,4428,(H) West Bromwich Albion,(V) Chelsea,3,0,1.07679,1.22743,9.871,10.785,9.932,9.291,10.515,10.296,10.735,10.122,9.688
2015-05-24 15:00:00,4431,(H) Chelsea,(V) Sunderland,3,1,2.52912,1.39272,10.486,9.932,10.446,10.455,10.296,10.495,10.041,9.688,9.867
2015-08-08 20:30:00,86,(H) Chelsea,(V) Swansea,2,2,0.64396,2.59203,10.314,10.446,10.288,9.919,10.495,9.739,10.490,9.867,10.385
