Dátum,Meccs-Id,Fő-Csapat,Ellenfél-Csapat,Hazai-Gól,Ellenfél-Gól,Hazai-XG,Ellenfél-XG,Vendég-PR,Meccs-Előtti-PR,Meccs-Utáni-PR,Vendég-xgPR,Meccs-Előtti-xgPR,Meccs-Utáni-xgPR,Vendég-Mixed_PR,Meccs-Előtti-Mixed_PR,Meccs-Utáni-Mixed_PR
2014-08-25 19:00:00,5834,(V) Cordoba,(H) Real Madrid,0,2,0.37841,0.612645,10,10,9.6250,10,10,10.0664,10,10,9.6836
2014-08-30 18:00:00,5838,(H) Cordoba,(V) Celta Vigo,1,1,0.241504,0.786352,10.375,9.625,9.5000,10.1858,10.0664,9.8052,10.0642,9.6836,9.6948
2014-09-12 20:00:00,5786,(V) Cordoba,(H) Almeria,1,1,0.763656,1.03628,9.75,9.5,9.6875,10.1432,9.8052,9.9245,9.6068,9.6948,9.9505
2014-09-21 18:00:00,5803,(H) Cordoba,(V) Sevilla,1,3,0.901931,2.64146,10.5625,9.6875,9.2500,10.2064,9.9245,9.5521,10.1686,9.9505,9.9479
2014-09-25 21:00:00,5815,(V) Cordoba,(H) Valencia,0,3,0.116667,1.26428,11.75,9.25,8.9844,10.623,9.5521,9.7496,10.877,9.9479,9.9692
2014-09-28 20:00:00,5825,(H) Cordoba,(V) Espanyol,0,0,0.137119,0.112527,9.5781,8.9844,8.8438,10.3889,9.7496,9.6151,9.0173,9.9692,9.8224
2014-10-03 20:00:00,5754,(V) Cordoba,(H) Getafe,1,1,0.377042,1.4608,8.6875,8.8438,8.8282,8.9652,9.6151,9.3285,10.1599,9.8224,10.0777
2014-10-18 21:00:00,5768,(H) Cordoba,(V) Malaga,1,2,0.395949,1.41292,9.6758,8.8282,8.6134,9.772,9.3285,9.1094,10.0795,10.0777,10.1171
2014-10-25 21:00:00,5778,(H) Cordoba,(V) Real Sociedad,1,1,2.09938,0.967731,8.9961,8.6134,8.7188,9.5145,9.1094,9.4978,9.4777,10.1171,9.9396
2014-11-01 17:00:00,5717,(V) Cordoba,(H) Atletico Madrid,2,4,0.785648,1.77353,11.1611,8.7188,9.0703,11.9783,9.4978,10.1024,8.3439,9.9396,10.5381
2014-11-07 19:45:00,5725,(H) Cordoba,(V) Deportivo La Coruna,0,0,1.22585,0.217729,9.9883,9.0703,9.3872,11.0245,10.1024,10.6713,11.202,10.5381,10.6030
2014-11-23 18:00:00,5742,(V) Cordoba,(H) Elche,2,2,0.941968,2.11064,9.8659,9.3872,9.6287,10.3393,10.6713,10.6206,12.3927,10.603,11.1366
2014-11-30 18:00:00,5752,(H) Cordoba,(V) Villarreal,0,2,0.541323,0.84254,10.0434,9.6287,9.1138,11.5865,10.6206,10.5304,7.7506,11.1366,10.6970
2014-12-06 17:00:00,5688,(V) Cordoba,(H) Athletic Club,1,0,1.1939,0.611024,10.7207,9.1138,9.6838,10.8765,10.5304,10.9962,11.0649,10.697,11.1213
2014-12-13 19:00:00,5700,(H) Cordoba,(V) Levante,0,0,0.806315,0.603413,9.6307,9.6838,9.7250,10.5882,10.9962,11.0881,13.1729,11.1213,11.1118
2014-12-20 15:00:00,5708,(V) Cordoba,(H) Barcelona,0,5,0.29662,2.59358,11.5546,9.725,9.1729,11.442,11.0881,11.2117,4.4172,11.1118,11.1339
