Dátum,Meccs-Id,Fő-Csapat,Ellenfél-Csapat,Hazai-Gól,Ellenfél-Gól,Hazai-XG,Ellenfél-XG,Vendég-PR,Meccs-Előtti-PR,Meccs-Utáni-PR,Vendég-xgPR,Meccs-Előtti-xgPR,Meccs-Utáni-xgPR,Vendég-Mixed_PR,Meccs-Előtti-Mixed_PR,Meccs-Utáni-Mixed_PR
2015-08-15 17:30:00,1026,(H) Darmstadt,(V) Hannover 96,2,2,1.80912,1.85731,9.5347,10,9.7283,11.071,10,9.7163,11.9987,10,9.7404
2015-08-22 17:30:00,1032,(V) Darmstadt,(H) Schalke 04,1,1,0.790379,1.05775,10.129,9.7283,9.6937,7.5873,9.7163,9.6149,11.4206,9.7404,9.7726
2015-08-29 17:30:00,1044,(H) Darmstadt,(V) Hoffenheim,0,0,0.287238,1.3935,9.6974,9.6937,9.6704,10.6187,9.6149,9.3150,10.7759,9.7726,10.0258
2015-09-12 17:30:00,1053,(V) Darmstadt,(H) Bayer Leverkusen,1,0,0.284787,1.3554,9.9839,9.6704,10.2443,7.897,9.315,9.3713,6.0711,10.0258,10.8674
2015-09-19 17:30:00,1058,(H) Darmstadt,(V) Bayern Munich,0,3,0.204756,1.71752,11.7218,10.2443,9.9043,7.5681,9.3713,9.4031,-2.1245,10.8674,10.9055
2015-09-22 22:00:00,1069,(H) Darmstadt,(V) Werder Bremen,2,1,1.91868,1.19628,9.7456,9.9043,9.9663,12.2383,9.4031,9.3957,11.2526,10.9055,10.7869
2015-09-27 19:30:00,1083,(V) Darmstadt,(H) Borussia Dortmund,2,2,0.508638,1.97055,11.6515,9.9663,10.7205,15.2956,9.3957,9.7844,3.0073,10.7869,11.9066
2015-10-02 22:30:00,1084,(H) Darmstadt,(V) Mainz 05,2,3,1.86109,1.45155,9.7884,10.7205,10.4397,9.3833,9.7844,9.8559,10.693,11.9066,11.5234
2015-10-17 17:30:00,1094,(V) Darmstadt,(H) Augsburg,2,0,2.54284,1.42706,8.5367,10.4397,10.4504,7.9405,9.8559,9.6455,10.3837,11.5234,11.2552
2015-10-24 17:30:00,1104,(H) Darmstadt,(V) Wolfsburg,0,1,0.594469,0.976111,9.5498,10.4504,9.7043,5.9138,9.6455,9.0540,4.185,11.2552,10.6045
2015-11-01 18:30:00,1118,(V) Darmstadt,(H) VfB Stuttgart,0,2,1.08627,2.13203,9.4655,9.7043,8.9999,16.8538,9.054,8.5882,8.5773,10.6045,10.1616
2015-11-07 21:30:00,1126,(H) Darmstadt,(V) Hamburger SV,1,1,1.6995,1.15876,9.7736,8.9999,8.9702,11.3207,8.5882,8.6937,15.7273,10.1616,9.9967
2015-11-22 20:40:00,1137,(V) Darmstadt,(H) Ingolstadt,1,3,0.58372,2.73623,10.6502,8.9702,8.8433,9.8893,8.6937,8.5286,11.9109,9.9967,10.4079
2015-11-27 23:30:00,1138,(H) Darmstadt,(V) FC Cologne,0,0,0.508721,0.933778,9.7685,8.8433,9.0316,8.9964,8.5286,8.6107,12.7902,10.4079,10.7025
2015-12-06 20:30:00,1155,(V) Darmstadt,(H) Eintracht Frankfurt,1,0,1.55006,1.0568,9.0799,9.0316,9.5429,7.8637,8.6107,8.9953,12.7961,10.7025,11.0905
2015-12-12 18:30:00,1157,(H) Darmstadt,(V) Hertha Berlin,0,4,0.26179,1.99133,10.5156,9.5429,8.7977,9.1099,8.9953,8.8177,15.4211,11.0905,10.7777
2015-12-20 20:30:00,1173,(V) Darmstadt,(H) Borussia M.Gladbach,2,3,2.23006,1.0366,10.0298,8.7977,9.1321,5.1032,8.8177,9.7004,7.4568,10.7777,10.8137
