Dátum,Meccs-Id,Hazai-Csapat,Vendég-Csapat,Hazai-Gól,Ellenfél-Gól,Hazai-XG,Ellenfél-XG,Ellenfél-PR,Meccs-Előtti-PR,Meccs-Utáni-PR,Vendég-xgPR,Meccs-Előtti-xgPR,Meccs-Utáni-xgPR,Vendég-Mixed_PR,Meccs-Előtti-Mixed_PR,Meccs-Utáni-Mixed_PR
2016-08-13 22:00:00,2255,(H) Dijon,(V) Nantes,0,1,0.294202,1.31806,9.290,10.000,9.447,9.630,10.000,9.527,9.684,10.000,9.802
2016-08-20 22:00:00,2265,(H) Lille,(V) Dijon,1,0,0.524902,0.877699,10.144,9.447,9.496,10.380,9.527,9.777,9.928,9.802,9.797
2016-08-27 19:00:00,2270,(H) Dijon,(V) Lyon,4,2,1.99507,2.38079,11.564,9.496,10.388,11.352,9.777,9.949,10.139,9.797,10.354
2016-09-10 22:00:00,2282,(H) Angers,(V) Dijon,3,1,0.804238,0.606116,9.013,10.388,9.669,9.515,9.949,10.015,9.600,10.354,9.741
2016-09-17 22:00:00,2292,(H) Dijon,(V) Metz,0,0,1.68116,0.973689,10.365,9.669,9.718,9.533,10.015,9.946,10.865,9.741,9.720
2016-09-20 23:00:00,2300,(H) Paris Saint Germain,(V) Dijon,3,0,0.300163,2.11535,12.367,9.718,9.755,11.858,9.946,10.095,10.540,9.720,9.754
2016-09-24 22:00:00,2313,(H) Dijon,(V) Rennes,3,0,1.91376,1.11236,10.257,9.755,10.505,9.744,10.095,10.083,10.434,9.754,10.349
2016-10-01 22:00:00,2321,(H) Dijon,(V) Montpellier,3,3,0.539549,1.40043,8.839,10.505,9.963,9.595,10.083,9.621,9.181,10.349,10.147
2016-10-16 19:00:00,2337,(H) Saint-Etienne,(V) Dijon,1,1,0.581944,1.41682,10.117,9.963,10.127,9.910,9.621,9.610,10.273,10.147,10.512
2016-10-22 22:00:00,2344,(H) Dijon,(V) Lorient,1,0,1.40274,2.36061,9.479,10.127,10.090,10.087,9.610,9.365,9.268,10.512,10.565
2016-10-29 22:00:00,3320,(H) SC Bastia,(V) Dijon,0,0,0.61738,2.00977,9.319,10.090,10.022,9.693,9.365,9.224,9.683,10.565,10.818
2016-11-05 23:00:00,2837,(H) Dijon,(V) Guingamp,3,3,2.31365,0.556753,10.656,10.022,10.056,9.923,9.224,9.713,10.691,10.818,10.222
2016-11-19 23:00:00,2848,(H) Nancy,(V) Dijon,1,0,1.17526,1.12749,9.180,10.056,9.712,9.266,9.713,9.738,10.047,10.222,10.041
2016-11-26 23:00:00,2858,(H) Bordeaux,(V) Dijon,3,2,0.762821,1.68047,10.357,9.712,9.748,9.813,9.738,9.652,10.676,10.041,10.304
2016-11-30 00:00:00,2865,(H) Dijon,(V) Monaco,1,1,1.17295,1.12554,12.912,9.748,10.414,11.487,9.652,9.998,11.396,10.304,10.440
2016-12-02 23:45:00,3229,(H) Caen,(V) Dijon,3,3,1.30829,2.02919,9.285,10.414,10.257,9.770,9.998,9.886,9.600,10.440,10.535
2016-12-10 17:30:00,3239,(H) Dijon,(V) Marseille,1,2,0.638652,2.50503,10.764,10.257,10.009,10.192,9.886,9.371,10.622,10.535,10.648
2016-12-18 18:00:00,3256,(H) Nice,(V) Dijon,2,1,1.21955,2.03736,11.142,10.009,10.167,9.850,9.371,9.411,11.389,10.648,10.913
2016-12-21 23:50:00,3265,(H) Dijon,(V) Toulouse,2,0,1.34846,1.15322,9.659,10.167,10.415,9.906,9.411,9.459,9.586,10.913,10.907
2017-01-14 23:00:00,4107,(H) Montpellier,(V) Dijon,1,1,0.952638,1.00063,10.508,10.415,10.563,10.323,9.459,9.788,10.251,10.907,10.880
2017-01-21 22:00:00,4120,(H) Dijon,(V) Lille,0,0,1.21244,0.693361,9.868,10.563,10.264,10.383,9.788,9.942,9.296,10.880,10.229
2017-01-28 19:00:00,4130,(H) Lorient,(V) Dijon,2,3,1.50632,2.64697,9.291,10.264,10.396,10.155,9.942,9.835,9.253,10.229,10.645
2017-02-04 19:00:00,4139,(H) Dijon,(V) Paris Saint Germain,1,3,0.30456,2.9385,11.791,10.396,10.120,11.542,9.835,9.478,10.201,10.645,10.567
2017-02-08 21:00:00,4154,(H) Metz,(V) Dijon,2,1,0.903103,1.70583,10.048,10.120,9.977,9.398,9.478,9.382,10.617,10.567,10.655
2017-02-11 19:00:00,4159,(H) Dijon,(V) Caen,2,0,1.0632,1.79181,9.243,9.977,10.169,9.647,9.382,9.141,9.647,10.655,10.960
2017-02-19 16:00:00,4169,(H) Lyon,(V) Dijon,4,2,0.339918,5.08781,10.541,10.169,9.887,10.998,9.141,8.543,9.616,10.960,11.436
2017-02-24 18:00:00,4183,(H) Nantes,(V) Dijon,3,1,0.392187,1.72203,9.814,9.887,9.494,10.066,8.543,8.716,9.693,11.436,10.958
2017-03-04 19:00:00,4190,(H) Dijon,(V) Nice,0,1,0.895857,0.630889,10.686,9.494,9.417,9.935,8.716,8.962,10.772,10.958,10.470
