Dátum,Meccs-Id,Fő-Csapat,Ellenfél-Csapat,Hazai-Gól,Ellenfél-Gól,Hazai-XG,Ellenfél-XG,Meccs-Előtti-PR,Meccs-Utáni-PR,Meccs-Előtti-xgPR,Meccs-Utáni-xgPR,Meccs-Előtti-Mixed_PR,Meccs-Utáni-Mixed_PR
2014-08-23 14:30:00,5451,(H) Eintracht Frankfurt,(V) Freiburg,1,0,1.75331,1.38084,10,10.1250,10,9.9681,10,10.0319
2014-08-30 14:30:00,5461,(V) Eintracht Frankfurt,(H) Wolfsburg,2,2,1.59633,1.00484,10.125,10.2500,9.9681,10.2410,10.0319,10.0090
2014-09-14 14:30:00,5418,(H) Eintracht Frankfurt,(V) Augsburg,0,1,0.845902,1.00028,10.25,9.7500,10.241,9.9524,10.009,9.5476
2014-09-20 14:30:00,5423,(V) Eintracht Frankfurt,(H) Schalke 04,2,2,0.83546,1.78008,9.75,9.7500,9.9524,9.7162,9.5476,9.7838
2014-09-23 19:00:00,5432,(H) Eintracht Frankfurt,(V) Mainz 05,2,2,1.45137,1.09799,9.75,9.8281,9.7162,9.8827,9.7838,9.7736
2014-09-28 16:30:00,5446,(V) Eintracht Frankfurt,(H) Hamburger SV,2,1,0.232889,1.09327,9.8281,10.0156,9.8827,9.6051,9.7736,10.1762
2014-10-04 17:30:00,5389,(H) Eintracht Frankfurt,(V) FC Cologne,3,2,2.49948,1.12408,10.0156,10.2461,9.6051,9.9294,10.1762,10.0628
2014-10-19 16:30:00,5400,(V) Eintracht Frankfurt,(H) Paderborn,1,3,0.558647,2.37575,10.2461,9.7735,9.9294,9.5025,10.0628,10.0444
2014-10-25 14:30:00,5402,(H) Eintracht Frankfurt,(V) VfB Stuttgart,4,5,2.97969,3.13433,9.7735,9.2501,9.5025,9.1904,10.0444,9.5596
2014-11-01 14:30:00,5349,(V) Eintracht Frankfurt,(H) Hannover 96,0,1,0.353128,1.11725,9.2501,8.8516,9.1904,8.8509,9.5596,9.3522
