Dátum,Meccs-Id,Fő-Csapat,Ellenfél-Csapat,Hazai-Gól,Ellenfél-Gól,Hazai-XG,Ellenfél-XG,Vendég-PR,Meccs-Előtti-PR,Meccs-Utáni-PR,Vendég-xgPR,Meccs-Előtti-xgPR,Meccs-Utáni-xgPR,Vendég-Mixed_PR,Meccs-Előtti-Mixed_PR,Meccs-Utáni-Mixed_PR
2014-08-31 19:45:00,5158,(V) Empoli,(H) Udinese,0,2,0.68925,1.68654,10,10,9.6250,10,10,9.8757,10,10,9.8743
2014-09-13 17:00:00,5109,(H) Empoli,(V) Roma,0,1,0.593046,1.37321,10.375,9.625,9.2500,10.3406,9.8757,9.5557,9.9094,9.8743,9.6943
2014-09-20 17:00:00,5119,(V) Empoli,(H) Cesena,2,2,2.57707,2.03766,9.5,9.25,9.5000,9.8144,9.5557,9.9406,9.6856,9.6943,9.8094
2014-09-23 19:45:00,5129,(H) Empoli,(V) AC Milan,2,2,2.03406,0.58264,10.375,9.5,9.7500,10.1653,9.9406,10.5535,10.0847,9.8094,9.6965
2014-09-28 14:00:00,5144,(V) Empoli,(H) Chievo,1,1,1.67402,0.837322,9.6875,9.75,9.9219,9.0608,10.5535,10.9345,10.8142,9.6965,9.6592
2014-10-05 11:30:00,5071,(H) Empoli,(V) Palermo,3,0,1.99387,0.319965,8.8594,9.9219,10.5782,9.6654,10.9345,11.2592,9.3034,9.6592,9.8970
2014-10-20 19:45:00,5088,(V) Empoli,(H) Genoa,1,1,1.57434,0.637598,10.2032,10.5782,10.7032,9.2998,11.2592,11.6184,11.1065,9.897,9.7878
2014-10-25 14:00:00,5089,(H) Empoli,(V) Cagliari,0,4,0.456529,1.4998,10.6211,10.7032,9.6016,11.7415,11.6184,11.2560,10.0008,9.7878,8.9470
2014-10-28 19:45:00,5099,(V) Empoli,(H) Sassuolo,1,3,1.83984,3.30543,10.2304,9.6016,8.9297,10.7281,11.256,10.7177,11.4828,8.947,8.6415
2014-11-01 17:00:00,5031,(H) Empoli,(V) Juventus,0,2,0.770663,1.51283,10.3087,8.9297,8.5908,10.2639,10.7177,10.6933,7.3531,8.6415,8.4882
2014-11-09 14:00:00,5044,(H) Empoli,(V) Lazio,2,1,0.482375,0.370879,11.0782,8.5908,9.0984,10.0341,10.6933,10.9787,9.8721,8.4882,8.9679
2014-11-23 14:00:00,5055,(V) Empoli,(H) Parma,2,0,0.846637,0.807441,7.8968,9.0984,9.8374,9.6238,10.9787,11.2275,9.6698,8.9679,9.6971
2014-11-30 14:00:00,5062,(H) Empoli,(V) Atalanta,0,0,1.28198,0.680702,10.1073,9.8374,9.9883,10.1152,11.2275,11.5287,12.0992,9.6971,9.6977
2014-12-07 11:30:00,5003,(V) Empoli,(H) Napoli,2,2,1.95768,1.36387,11.378,9.9883,10.5479,12.905,11.5287,12.2368,7.851,9.6977,10.1089
2014-12-15 18:00:00,5018,(H) Empoli,(V) Torino,0,0,1.04851,0.446794,9.9664,10.5479,10.3628,11.7378,12.2368,12.2021,9.9451,10.1089,9.7733
2014-12-21 14:00:00,5026,(V) Empoli,(H) Fiorentina,1,1,1.28163,1.66301,12.1484,10.3628,10.8369,11.4766,12.2021,12.5808,10.8204,9.7733,10.3427
2015-01-06 14:00:00,4962,(H) Empoli,(V) Verona,0,0,1.39734,0.943501,9.2258,10.8369,10.4310,8.6114,12.5808,12.2884,12.0901,10.3427,9.8234
2015-01-11 14:00:00,4975,(V) Empoli,(H) Sampdoria,0,1,0.326387,0.989643,9.8638,10.431,10.3157,8.9201,12.2884,12.2573,9.5575,9.8234,9.8739
2015-01-17 17:00:00,4977,(H) Empoli,(V) Inter,0,0,0.752011,0.956836,10.5624,10.3157,10.0838,10.5435,12.2573,11.9741,9.5809,9.8739,9.6932
2015-01-26 18:00:00,4995,(H) Empoli,(V) Udinese,1,2,1.78285,0.71193,9.2883,10.0838,9.6036,7.522,11.9741,12.0116,11.8046,9.6932,8.9453
2015-01-31 19:45:00,4998,(V) Empoli,(H) Roma,1,1,1.07254,0.709503,10.6119,9.6036,9.8292,9.331,12.0116,12.3279,7.3927,8.9453,9.0801
2015-02-08 14:00:00,4930,(H) Empoli,(V) Cesena,2,0,1.46461,0.625894,9.818,9.8292,10.0842,11.3346,12.3279,12.2926,13.3012,9.0801,9.1254
2015-02-15 11:30:00,4939,(V) Empoli,(H) AC Milan,1,1,1.07186,0.905576,9.9305,10.0842,10.2162,8.1406,12.2926,12.4661,10.9704,9.1254,9.2158
2015-02-22 14:00:00,4949,(H) Empoli,(V) Chievo,3,0,2.17179,0.286685,9.6233,10.2162,10.6601,9.2886,12.4661,12.6312,12.2082,9.2158,9.1884
2015-03-01 14:00:00,4882,(V) Empoli,(H) Palermo,0,0,1.18531,1.15896,9.9464,10.6601,10.7676,10.1671,12.6312,12.7453,9.9763,9.1884,9.2893
2015-03-08 14:00:00,4893,(H) Empoli,(V) Genoa,1,1,1.17737,0.915374,10.8105,10.7676,10.7030,7.5339,12.7453,12.7462,12.3371,9.2893,9.1593
2015-03-14 19:45:00,4900,(V) Empoli,(H) Cagliari,1,1,0.670824,0.976957,8.7419,10.703,10.4701,13.7924,12.7462,12.4367,7.9419,9.1593,9.0029
2015-03-22 11:30:00,4911,(H) Empoli,(V) Sassuolo,3,1,2.08642,0.619932,9.4679,10.4701,10.3763,9.0655,12.4367,12.2095,11.6207,9.0029,8.5425
2015-04-04 20:00:00,4838,(V) Empoli,(H) Juventus,0,2,0.445433,2.06686,10.8258,10.3763,10.0275,7.8015,12.2095,11.9553,3.5996,8.5425,8.5990
2015-04-12 14:00:00,4844,(V) Empoli,(H) Lazio,0,4,0.897859,1.65017,12.244,10.0275,9.6945,11.9058,11.9553,12.4342,6.0818,8.599,8.4541
2015-04-19 14:00:00,4855,(H) Empoli,(V) Parma,2,2,1.06989,1.0285,9.6122,9.6945,9.5484,11.5953,12.4342,12.2984,15.6292,8.4541,8.2976
2015-04-26 11:30:00,4863,(V) Empoli,(H) Atalanta,2,2,2.44969,1.88314,9.7108,9.5484,9.6105,10.0405,12.2984,12.5021,13.1303,8.2976,8.2180
2015-04-30 19:45:00,4880,(H) Empoli,(V) Napoli,4,2,1.19679,1.0197,11.3234,9.6105,10.2999,12.8585,12.5021,12.7358,5.2885,8.218,8.8631
2015-05-06 14:00:00,4788,(V) Empoli,(H) Torino,1,0,1.26479,0.961341,10.3769,10.2999,10.8229,10.5895,12.7358,13.0847,9.1641,8.8631,9.3103
2015-05-10 17:00:00,4796,(H) Empoli,(V) Fiorentina,2,3,1.16432,1.12848,9.5886,10.8229,10.1064,10.3186,13.0847,12.6271,7.1084,9.3103,8.5848
2015-05-17 14:00:00,4804,(V) Empoli,(H) Verona,1,2,1.21175,1.18511,9.922,10.1064,9.7210,10.1405,12.6271,12.4984,13.9531,8.5848,8.1928
2015-05-24 11:30:00,4811,(H) Empoli,(V) Sampdoria,1,1,1.6605,0.502291,10.4135,9.721,9.6486,8.9135,12.4984,12.7156,10.4133,8.1928,7.8309
2015-05-31 19:45:00,4826,(V) Empoli,(H) Inter,3,4,2.04109,3.0703,10.6747,9.6486,9.7896,11.1291,12.7156,12.8493,7.7202,7.8309,8.2293
2015-08-23 22:45:00,558,(H) Empoli,(V) Chievo,1,3,1.24183,1.0769,9.3037,9.7896,9.1810,8.561,12.8493,12.7820,13.2964,8.2293,7.5795
2015-08-29 22:45:00,562,(V) Empoli,(H) AC Milan,1,2,1.01877,1.05099,10.3741,9.181,9.2275,7.3078,12.782,13.0704,12.4405,7.5795,7.6341
2015-09-13 17:00:00,577,(H) Empoli,(V) Napoli,2,2,1.29389,1.03333,9.1532,9.2275,9.0941,12.7678,13.0704,13.0021,1.7888,7.6341,7.4355
2015-09-19 20:00:00,581,(V) Empoli,(H) Udinese,2,1,0.68218,0.991963,9.7508,9.0941,9.6409,8.4676,13.0021,13.2214,14.784,7.4355,8.0597
2015-09-24 22:45:00,600,(H) Empoli,(V) Atalanta,0,1,0.719009,0.690699,10.2511,9.6409,9.5708,10.6084,13.2214,13.4084,14.3927,8.0597,7.9825
2015-09-28 21:00:00,609,(V) Empoli,(H) Frosinone,0,2,1.10742,1.56653,8.942,9.5708,8.9063,8.8997,13.4084,13.1291,10.4843,7.9825,7.4328
2015-10-04 14:30:00,613,(H) Empoli,(V) Sassuolo,1,0,0.835463,0.298038,10.8713,8.9063,9.3672,9.3804,13.1291,13.4744,13.6128,7.4328,7.7594
2015-10-17 20:00:00,621,(V) Empoli,(H) Roma,1,3,0.552993,1.59672,11.7323,9.3672,9.5992,9.1366,13.4744,13.9454,6.5784,7.7594,8.2523
2015-10-24 17:00:00,631,(H) Empoli,(V) Genoa,2,0,1.60235,0.550221,10.0835,9.5992,10.0309,5.3698,13.9454,14.1401,11.5475,8.2523,8.4209
2015-10-29 23:45:00,650,(V) Empoli,(H) Sampdoria,1,1,0.698332,0.578361,10.331,10.0309,10.2335,7.1178,14.1401,14.3726,11.0443,8.4209,8.5935
2015-11-03 00:00:00,660,(V) Empoli,(H) Palermo,1,0,0.848186,1.12409,9.9917,10.2335,10.5279,13.4243,14.3726,14.3480,8.0595,8.5935,8.9569
2015-11-08 18:00:00,667,(H) Empoli,(V) Juventus,1,3,0.478585,2.15262,10.3501,10.5279,9.9668,8.6098,14.348,13.8683,-0.6604,8.9569,8.8143
2015-11-22 18:00:00,677,(V) Empoli,(H) Fiorentina,2,2,0.640222,1.62042,11.9568,9.9668,10.3756,10.4884,13.8683,14.0320,5.9246,8.8143,9.4681
2015-11-29 21:00:00,687,(H) Empoli,(V) Lazio,1,0,0.283493,0.923335,9.6729,10.3756,10.4775,9.505,14.032,13.7239,2.5911,9.4681,9.7300
2015-12-06 18:00:00,698,(V) Empoli,(H) Verona,1,0,0.644992,1.40759,8.5852,10.4775,10.3787,8.6663,13.7239,13.1845,16.0033,9.73,9.8218
2015-12-13 18:00:00,706,(H) Empoli,(V) Carpi,3,0,1.76158,1.39607,9.9069,10.3787,10.7774,12.1418,13.1845,12.9245,11.1719,9.8218,10.1291
2015-12-19 23:45:00,710,(V) Empoli,(H) Bologna,3,2,1.9478,1.25861,10.5674,10.7774,11.1248,9.2052,12.9245,13.1942,12.9296,10.1291,10.3042
2016-01-06 21:00:00,728,(H) Empoli,(V) Inter,0,1,0.506892,1.13955,11.3588,11.1248,11.1097,9.8835,13.1942,13.2709,7.0842,10.3042,10.4472
2016-01-10 18:00:00,736,(V) Empoli,(H) Torino,1,0,1.23208,1.94161,10.056,11.1097,11.2490,12.1893,13.2709,12.9828,7.1731,10.4472,10.7639
2016-01-17 18:00:00,747,(V) Empoli,(H) Chievo,1,1,0.941671,1.13429,10.468,11.249,11.1203,8.0607,12.9828,12.8059,15.1252,10.7639,10.6833
2016-01-23 23:45:00,752,(H) Empoli,(V) AC Milan,2,2,1.30659,1.18014,10.8004,11.1203,10.6921,8.3652,12.8059,12.4093,10.736,10.6833,10.2235
2016-01-31 18:00:00,767,(V) Empoli,(H) Napoli,1,5,0.239824,2.68666,11.827,10.6921,9.9306,13.8244,12.4093,12.0361,-0.9204,10.2235,10.0737
2016-02-03 23:45:00,779,(H) Empoli,(V) Udinese,1,1,2.10015,0.665742,8.8775,9.9306,9.2737,10.4738,12.0361,11.7379,14.5316,10.0737,9.0582
2016-02-07 21:00:00,789,(V) Empoli,(H) Atalanta,0,0,0.588857,0.983654,9.2046,9.2737,9.2272,9.1398,11.7379,11.5927,15.0184,9.0582,9.1104
2016-02-13 18:00:00,793,(H) Empoli,(V) Frosinone,1,2,2.54317,1.02693,9.547,9.2272,8.7980,9.4898,11.5927,11.7926,16.104,9.1104,8.3022
2016-02-21 18:00:00,805,(V) Empoli,(H) Sassuolo,2,3,1.49386,0.982567,9.0835,8.798,8.5800,8.5339,11.7926,11.9524,11.6332,8.3022,7.9564
2016-02-27 21:00:00,811,(H) Empoli,(V) Roma,1,3,0.332954,1.08467,11.833,8.58,8.4923,7.6729,11.9524,12.1768,3.9936,7.9564,8.0566
2016-03-06 18:00:00,827,(V) Empoli,(H) Genoa,0,1,1.03143,1.05898,10.4484,8.4923,8.9508,6.3467,12.1768,12.8784,12.0501,8.0566,8.5220
2016-03-12 21:00:00,832,(H) Empoli,(V) Sampdoria,1,1,1.83798,0.754732,10.5981,8.9508,9.0956,6.9099,12.8784,13.2941,13.7865,8.522,8.3960
2016-03-19 21:00:00,841,(H) Empoli,(V) Palermo,0,0,0.522438,0.683302,8.8386,9.0956,8.8333,12.7135,13.2941,12.9916,11.2144,8.396,8.1739
2016-04-02 22:45:00,852,(V) Empoli,(H) Juventus,0,1,0.627317,2.19126,11.9749,8.8333,9.3035,5.9289,12.9916,13.3209,-3.7298,8.1739,9.0351
2016-04-10 14:30:00,865,(H) Empoli,(V) Fiorentina,2,0,0.724395,1.04376,10.0356,9.3035,9.9897,8.2374,13.3209,13.4273,3.5836,9.0351,9.8011
2016-04-17 20:00:00,879,(V) Empoli,(H) Lazio,0,2,0.407612,2.55889,10.5418,9.9897,9.7797,11.8944,13.4273,13.1795,0.9389,9.8011,10.1289
2016-04-20 22:45:00,887,(H) Empoli,(V) Verona,1,0,2.20742,1.9251,8.8779,9.7797,9.7525,9.8984,13.1795,12.9729,18.8565,10.1289,10.0311
2016-04-25 21:00:00,900,(V) Empoli,(H) Carpi,0,1,0.696372,1.70068,10.7536,9.7525,9.8513,12.5306,12.9729,13.0706,13.4761,10.0311,10.3810
2016-05-01 17:00:00,905,(H) Empoli,(V) Bologna,0,0,0.569866,0.596736,8.9207,9.8513,9.3562,7.5941,13.0706,12.5688,12.9973,10.381,9.8927
2016-05-07 20:00:00,911,(V) Empoli,(H) Inter,1,2,0.929999,1.75375,10.6713,9.3562,9.5725,10.2314,12.5688,12.8292,5.112,9.8927,10.3150
2016-05-15 20:00:00,925,(H) Empoli,(V) Torino,2,1,0.640557,1.10246,10.7868,9.5725,10.0477,14.7259,12.8292,12.9389,6.5985,10.315,10.9057
