Dátum,Meccs-Id,Fő-Csapat,Ellenfél-Csapat,Hazai-Gól,Ellenfél-Gól,Hazai-XG,Ellenfél-XG,Ellenfél-PR,Meccs-Előtti-PR,Meccs-Utáni-PR,Vendég-xgPR,Meccs-Előtti-xgPR,Meccs-Utáni-xgPR,Vendég-Mixed_PR,Meccs-Előtti-Mixed_PR,Meccs-Utáni-Mixed_PR
2014-08-23 22:00:00,5829,(H) Almeria,(V) Espanyol,1,1,0.399306,0.978788,10.000,10.000,10.125,10.000,10.000,9.980,10.000,10.000,10.270
2014-08-30 22:00:00,5841,(H) Espanyol,(V) Sevilla,1,2,0.945745,1.36011,9.875,10.125,9.687,9.731,9.980,9.689,10.019,10.270,9.936
2014-09-14 16:00:00,5792,(H) Valencia,(V) Espanyol,3,1,1.09215,1.86199,10.750,9.687,9.578,10.266,9.689,9.766,10.422,9.936,9.875
2014-09-20 21:00:00,5800,(H) Espanyol,(V) Malaga,2,2,2.76188,0.446347,9.219,9.578,9.363,9.700,9.766,10.203,9.456,9.875,9.066
2014-09-25 19:00:00,5814,(H) Espanyol,(V) Getafe,2,0,2.09364,0.40196,9.012,9.363,9.650,9.222,10.203,10.256,9.688,9.066,9.174
2014-09-28 20:00:00,5825,(H) Cordoba,(V) Espanyol,0,0,0.112527,0.137119,9.259,9.650,9.677,9.560,10.256,10.201,9.767,9.174,9.453
2014-10-05 18:00:00,5762,(H) Espanyol,(V) Real Sociedad,2,0,1.39473,0.481761,10.282,9.677,10.203,9.982,10.201,10.249,10.205,9.453,9.788
2014-10-19 11:00:00,5769,(H) Atletico Madrid,(V) Espanyol,2,0,0.723748,4.12804,11.130,10.203,10.060,11.382,10.249,9.806,9.823,9.788,10.273
2014-10-26 16:00:00,5781,(H) Espanyol,(V) Deportivo La Coruna,0,0,0.410527,0.0932128,9.829,10.060,9.877,9.428,9.806,9.666,10.310,10.273,10.078
2014-11-02 20:00:00,5723,(H) Elche,(V) Espanyol,2,1,2.01995,2.35234,8.823,9.877,9.488,8.978,9.666,9.536,9.923,10.078,9.997
2014-11-09 16:00:00,5732,(H) Espanyol,(V) Villarreal,1,1,0.926317,2.12387,9.959,9.488,9.481,10.910,9.536,9.455,8.962,9.997,9.913
2014-11-21 19:45:00,5735,(H) Athletic Club,(V) Espanyol,3,1,0.746307,0.829053,10.357,9.481,9.325,10.346,9.455,9.782,10.092,9.913,9.603
2014-11-29 17:00:00,5747,(H) Espanyol,(V) Levante,2,1,1.12491,1.64662,9.626,9.325,9.525,9.196,9.782,9.380,10.351,9.603,10.045
2014-12-07 16:00:00,5692,(H) Barcelona,(V) Espanyol,5,1,0.223494,2.11804,11.571,9.525,9.161,11.712,9.380,9.614,9.960,10.045,9.622
2014-12-14 11:00:00,5702,(H) Espanyol,(V) Granada,2,1,1.94193,0.699727,8.706,9.161,9.172,9.441,9.614,9.756,9.216,9.622,9.335
2014-12-20 21:00:00,5711,(H) Rayo Vallecano,(V) Espanyol,1,3,2.25875,1.37834,8.958,9.172,9.743,9.098,9.756,9.937,9.996,9.335,9.905
2015-01-04 18:00:00,5649,(H) Espanyol,(V) Eibar,1,2,1.54932,1.53054,10.072,9.743,9.450,9.075,9.937,9.601,10.993,9.905,9.797
2015-01-10 15:00:00,5653,(H) Real Madrid,(V) Espanyol,3,0,0.367803,1.73073,11.972,9.450,9.456,11.799,9.601,9.935,10.507,9.797,9.690
2015-01-17 21:00:00,5666,(H) Espanyol,(V) Celta Vigo,1,0,1.11281,0.234731,9.688,9.456,9.639,10.355,9.935,10.135,9.364,9.690,9.514
2015-01-25 18:00:00,5679,(H) Espanyol,(V) Almeria,3,0,2.44178,0.300551,9.678,9.639,10.274,9.700,10.135,10.437,10.213,9.514,9.778
2015-02-01 18:00:00,5604,(H) Sevilla,(V) Espanyol,3,2,0.904898,3.32956,10.486,10.274,10.202,10.154,10.437,9.885,10.414,9.778,10.418
2015-02-08 18:00:00,5615,(H) Espanyol,(V) Valencia,1,2,1.57927,1.49482,10.652,10.202,9.939,9.889,9.885,9.782,10.846,10.418,10.129
2015-02-14 21:00:00,5622,(H) Malaga,(V) Espanyol,0,2,0.6984,1.56057,9.235,9.939,10.388,9.309,9.782,9.573,10.004,10.129,10.938
2015-02-20 19:45:00,5628,(H) Getafe,(V) Espanyol,2,1,0.705886,1.43242,9.854,10.388,10.129,9.964,9.573,9.614,10.062,10.938,10.776
2015-02-27 19:45:00,5638,(H) Espanyol,(V) Cordoba,1,0,0.579128,1.14225,8.900,10.129,9.947,9.005,9.614,9.196,9.893,10.776,10.821
2015-03-08 16:00:00,5577,(H) Real Sociedad,(V) Espanyol,1,0,0.445724,0.740356,9.790,9.947,9.783,9.608,9.196,9.350,10.336,10.821,10.648
2015-03-14 15:00:00,5582,(H) Espanyol,(V) Atletico Madrid,0,0,0.197774,1.49831,11.017,9.783,9.966,10.336,9.350,9.146,10.640,10.648,10.846
2015-03-22 11:00:00,5597,(H) Deportivo La Coruna,(V) Espanyol,0,0,1.551,0.89593,9.355,9.966,9.938,9.666,9.146,9.565,9.798,10.846,10.545
2015-04-06 19:00:00,5514,(H) Espanyol,(V) Elche,1,1,0.536142,0.496354,8.628,9.938,9.485,9.209,9.565,9.361,9.343,10.545,10.110
2015-04-09 21:00:00,5524,(H) Villarreal,(V) Espanyol,0,3,1.95758,0.259097,10.618,9.485,10.643,10.557,9.361,10.210,10.144,10.110,10.569
2015-04-12 16:00:00,5531,(H) Espanyol,(V) Athletic Club,1,0,0.512811,0.269712,10.386,10.643,10.704,10.447,10.210,10.205,9.849,10.569,10.453
2015-04-17 19:45:00,5535,(H) Levante,(V) Espanyol,2,2,1.71351,1.05378,9.605,10.704,10.554,9.902,10.205,10.419,9.767,10.453,10.242
2015-04-25 15:00:00,5546,(H) Espanyol,(V) Barcelona,0,2,1.00138,3.49523,12.108,10.554,10.318,11.197,10.419,9.865,10.792,10.242,10.378
2015-04-30 21:00:00,5564,(H) Granada,(V) Espanyol,1,2,0.862324,1.23315,8.184,10.318,10.159,9.212,9.865,9.734,9.001,10.378,10.501
2015-05-03 11:00:00,5470,(H) Espanyol,(V) Rayo Vallecano,1,1,0.760792,0.614259,9.563,10.159,9.885,9.196,9.734,9.511,10.207,10.501,10.266
2015-05-08 19:45:00,5475,(H) Eibar,(V) Espanyol,0,2,1.46248,0.243878,8.814,9.885,10.242,9.406,9.511,9.914,9.390,10.266,10.367
2015-05-17 18:00:00,5492,(H) Espanyol,(V) Real Madrid,1,4,1.5021,2.42924,11.664,10.242,9.722,10.975,9.914,9.822,10.476,10.367,9.751
2015-05-23 17:30:00,5503,(H) Celta Vigo,(V) Espanyol,3,2,2.36037,1.28113,10.598,9.722,9.816,10.036,9.822,10.270,10.486,9.751,9.540
2015-08-22 20:30:00,1401,(H) Espanyol,(V) Getafe,1,0,0.477297,1.27636,8.184,9.816,9.533,9.181,10.270,9.673,9.041,9.540,9.740
