Dátum,Meccs-Id,Fő-Csapat,Ellenfél-Csapat,Hazai-Gól,Ellenfél-Gól,Hazai-XG,Ellenfél-XG,Ellenfél-PR,Meccs-Előtti-PR,Meccs-Utáni-PR,Vendég-xgPR,Meccs-Előtti-xgPR,Meccs-Utáni-xgPR,Vendég-Mixed_PR,Meccs-Előtti-Mixed_PR,Meccs-Utáni-Mixed_PR
2014-08-16 15:00:00,4750,(H) Leicester,(V) Everton,2,2,0.613273,1.2783,10.000,10.000,10.125,10.000,10.000,9.959,10.000,10.000,10.291
2014-08-23 17:30:00,4764,(H) Everton,(V) Arsenal,2,2,1.33429,1.43355,10.125,10.125,10.000,10.224,9.959,9.875,9.776,10.291,10.062
2014-08-30 17:30:00,4775,(H) Everton,(V) Chelsea,3,6,1.4491,2.02665,10.813,10.000,9.328,10.679,9.875,9.807,10.071,10.062,9.334
2014-09-13 15:00:00,4725,(H) West Bromwich Albion,(V) Everton,0,2,0.807492,0.602059,9.438,9.328,9.981,9.867,9.807,9.998,9.727,9.334,10.006
2014-09-21 16:00:00,4738,(H) Everton,(V) Crystal Palace,2,3,2.56122,1.62886,9.332,9.981,9.444,9.522,9.998,9.987,9.740,10.006,9.331
2014-09-27 12:45:00,4739,(H) Liverpool,(V) Everton,1,1,0.475885,1.5286,9.900,9.444,9.683,10.175,9.987,9.896,9.826,9.331,9.843
2014-10-05 12:00:00,4695,(H) Manchester United,(V) Everton,2,1,2.13558,1.6239,10.329,9.683,9.720,9.807,9.896,10.127,10.488,9.843,9.751
2014-10-18 15:00:00,4700,(H) Everton,(V) Aston Villa,3,0,1.67016,0.37205,9.265,9.720,10.231,9.298,10.127,10.119,9.896,9.751,10.088
2014-10-26 13:30:00,4716,(H) Burnley,(V) Everton,1,3,1.32187,1.55564,8.770,10.231,10.491,9.304,10.119,9.982,9.501,10.088,10.625
2014-11-01 15:00:00,4654,(H) Everton,(V) Swansea,0,0,1.14779,0.694419,9.937,10.491,10.227,9.706,9.982,9.901,10.217,10.625,10.285
2014-11-09 13:30:00,4665,(H) Sunderland,(V) Everton,1,1,1.31898,0.508326,9.243,10.227,10.106,9.717,9.901,10.183,9.519,10.285,10.016
2014-11-22 15:00:00,4673,(H) Everton,(V) West Ham,2,1,1.82651,1.11958,10.131,10.106,10.237,9.883,10.183,10.160,10.222,10.016,10.016
2014-11-30 16:00:00,4688,(H) Tottenham,(V) Everton,2,1,0.934335,1.13109,9.797,10.237,10.002,10.572,10.160,10.339,9.333,10.016,9.769
2014-12-03 19:45:00,4596,(H) Everton,(V) Hull,1,1,1.27965,0.29547,8.952,10.002,9.614,9.134,10.339,10.159,9.889,9.769,9.428
2014-12-06 17:30:00,4605,(H) Manchester City,(V) Everton,1,0,0.385845,2.2487,12.170,9.614,10.128,11.060,10.159,10.044,11.285,9.428,10.233
2014-12-15 20:00:00,4618,(H) Everton,(V) Queens Park Rangers,3,1,0.747708,0.972265,9.986,10.128,10.468,9.598,10.044,9.751,10.262,10.233,10.671
2014-12-20 15:00:00,4623,(H) Southampton,(V) Everton,3,0,0.597999,2.21266,9.520,10.468,9.606,10.399,9.751,9.634,9.161,10.671,10.072
2014-12-26 15:00:00,4634,(H) Everton,(V) Stoke,0,1,1.00929,1.39552,9.604,9.606,9.230,10.143,9.634,9.540,9.417,10.072,9.630
2014-12-28 16:15:00,4647,(H) Newcastle United,(V) Everton,3,2,1.07321,1.71345,9.481,9.230,9.168,9.574,9.540,9.513,10.000,9.630,9.758
2015-01-01 15:00:00,4558,(H) Hull,(V) Everton,2,0,0.957698,1.95682,9.286,9.168,8.823,9.848,9.513,9.472,9.361,9.758,9.534
2015-01-10 15:00:00,4566,(H) Everton,(V) Manchester City,1,1,0.95041,1.50724,10.685,8.823,9.164,10.709,9.472,9.517,9.819,9.534,9.619
2015-01-19 20:00:00,4580,(H) Everton,(V) West Bromwich Albion,0,0,1.4927,0.196316,9.659,9.164,9.163,9.921,9.517,9.817,9.700,9.619,9.190
2015-01-31 15:00:00,4587,(H) Crystal Palace,(V) Everton,0,1,1.35977,1.21034,10.361,9.163,9.838,10.069,9.817,10.042,10.378,9.190,9.825
2015-02-07 17:30:00,4521,(H) Everton,(V) Liverpool,0,0,0.227711,1.03601,11.088,9.838,10.026,10.884,10.042,9.925,10.174,9.825,9.989
