Dátum,Meccs-Id,Fő-Csapat,Ellenfél-Csapat,Hazai-Gól,Ellenfél-Gól,Hazai-XG,Ellenfél-XG,Ellenfél-PR,Meccs-Előtti-PR,Meccs-Utáni-PR,Vendég-xgPR,Meccs-Előtti-xgPR,Meccs-Utáni-xgPR,Vendég-Mixed_PR,Meccs-Előtti-Mixed_PR,Meccs-Utáni-Mixed_PR
2014-08-09 20:00:00,6187,(H) Evian Thonon Gaillard,(V) Caen,0,3,0.813737,1.23869,10.000,10.000,9.125,10.000,10.000,9.769,10.000,10.000,9.231
2014-08-16 19:00:00,6197,(H) Rennes,(V) Evian Thonon Gaillard,6,2,1.06246,1.81988,9.625,9.125,8.375,9.703,9.769,9.688,10.047,9.231,8.749
2014-08-22 19:30:00,6205,(H) Evian Thonon Gaillard,(V) Paris Saint Germain,0,0,0.632883,0.388902,10.437,8.375,8.765,10.520,9.688,9.832,9.855,8.749,8.840
2014-08-30 19:00:00,6218,(H) Toulouse,(V) Evian Thonon Gaillard,1,0,0.710663,0.851431,9.860,8.765,8.914,9.940,9.832,9.949,10.012,8.840,9.043
2014-09-14 20:00:00,6154,(H) Evian Thonon Gaillard,(V) Marseille,1,3,0.912171,1.12115,10.735,8.914,8.744,10.866,9.949,10.001,9.792,9.043,8.657
2014-09-19 19:30:00,6155,(H) Bordeaux,(V) Evian Thonon Gaillard,2,1,0.365111,0.539429,10.145,8.744,8.969,10.051,10.001,10.095,10.179,8.657,8.956
2014-09-24 18:00:00,6167,(H) Evian Thonon Gaillard,(V) Lens,2,1,0.96835,0.860457,9.776,8.969,9.296,10.047,10.095,9.985,9.637,8.956,9.224
2014-09-27 19:00:00,6180,(H) Lorient,(V) Evian Thonon Gaillard,0,2,0.834365,0.791519,9.060,9.296,9.862,9.381,9.985,9.970,9.762,9.224,9.973
2014-10-04 19:00:00,6119,(H) Evian Thonon Gaillard,(V) Metz,3,0,1.25083,0.334334,10.559,9.862,10.661,9.883,9.970,10.052,10.596,9.973,10.525
2014-10-18 19:00:00,6128,(H) Monaco,(V) Evian Thonon Gaillard,2,0,1.3361,2.44399,10.277,10.661,10.190,10.344,10.052,9.973,10.056,10.525,10.310
2014-10-25 19:00:00,6139,(H) Evian Thonon Gaillard,(V) Nantes,0,2,0.258938,2.12732,9.828,10.190,9.474,9.847,9.973,9.349,9.873,10.310,10.043
2014-11-01 19:00:00,6080,(H) Montpellier,(V) Evian Thonon Gaillard,2,0,0.196777,2.13023,9.453,9.474,9.094,9.834,9.349,9.112,9.814,10.043,10.094
2014-11-08 19:00:00,6090,(H) Evian Thonon Gaillard,(V) Nice,1,0,1.37071,1.13378,10.472,9.094,9.564,10.014,9.112,9.272,10.212,10.094,10.189
2014-11-30 16:00:00,6112,(H) Evian Thonon Gaillard,(V) Guingamp,2,0,0.910803,0.583473,8.993,9.564,9.796,9.756,9.272,9.350,9.006,10.189,10.186
2014-12-03 18:00:00,6042,(H) SC Bastia,(V) Evian Thonon Gaillard,1,2,1.15876,1.69568,9.856,9.796,10.186,9.840,9.350,9.463,9.932,10.186,10.632
2014-12-07 13:00:00,6052,(H) Evian Thonon Gaillard,(V) Lyon,2,3,0.973267,2.92037,10.529,10.186,9.897,10.261,9.463,9.051,10.150,10.632,10.623
2014-12-13 19:00:00,6059,(H) Reims,(V) Evian Thonon Gaillard,3,2,0.810448,1.86473,9.774,9.897,9.741,9.676,9.051,9.069,9.943,10.623,10.592
2014-12-21 16:00:00,6074,(H) Saint-Etienne,(V) Evian Thonon Gaillard,3,0,0.321493,1.3033,10.948,9.741,9.418,10.228,9.069,9.238,10.762,10.592,10.255
2015-01-07 19:30:00,5998,(H) Lille,(V) Evian Thonon Gaillard,1,0,0.749129,0.437156,10.173,9.418,9.482,10.119,9.238,9.661,10.216,10.255,10.042
2015-01-10 19:00:00,6001,(H) Evian Thonon Gaillard,(V) Rennes,1,1,1.16628,2.1526,8.736,9.482,9.171,9.325,9.661,9.205,9.240,10.042,9.963
2015-01-18 13:00:00,6016,(H) Paris Saint Germain,(V) Evian Thonon Gaillard,4,2,0.39894,3.42779,9.792,9.171,8.951,10.854,9.205,8.985,9.011,9.963,10.107
2015-01-25 13:00:00,6024,(H) Evian Thonon Gaillard,(V) Toulouse,1,0,0.438885,1.3373,9.320,8.951,9.168,9.540,8.985,8.774,9.697,10.107,10.354
