Dátum,Meccs-Id,Fő-Csapat,Ellenfél-Csapat,Hazai-Gól,Ellenfél-Gól,Hazai-XG,Ellenfél-XG,Ellenfél-PR,Meccs-Előtti-PR,Meccs-Utáni-PR,Vendég-xgPR,Meccs-Előtti-xgPR,Meccs-Utáni-xgPR,Vendég-Mixed_PR,Meccs-Előtti-Mixed_PR,Meccs-Utáni-Mixed_PR
2014-08-03 18:30:00,6423,(H) Lokomotiv Moscow,(V) FC Krasnodar,0,0,0.733761,0.793814,10.000,10.000,10.125,10.000,10.000,10.110,10.000,10.000,10.140
2014-08-10 13:30:00,6431,(H) Ural,(V) FC Krasnodar,1,1,1.05965,0.537186,9.625,10.125,10.125,9.625,10.110,10.244,9.875,10.140,10.068
2014-08-14 18:00:00,6439,(H) FC Krasnodar,(V) Spartak Moscow,4,0,3.24782,0.253954,11.437,10.125,11.328,10.828,10.244,11.013,10.797,10.068,10.377
2014-08-17 18:00:00,6446,(H) FC Rostov,(V) FC Krasnodar,0,2,1.05955,1.97411,9.610,11.328,11.524,9.517,11.013,10.535,10.358,10.377,11.226
2014-08-24 13:30:00,6454,(H) Torpedo Moscow,(V) FC Krasnodar,0,3,0.909639,0.850627,9.281,11.524,11.838,9.194,10.535,10.340,10.193,11.226,11.828
2014-08-31 17:15:00,6464,(H) FC Krasnodar,(V) Dinamo Moscow,0,2,0.891462,1.1706,10.689,11.838,10.926,11.056,10.340,10.324,9.491,11.828,10.689
2014-09-14 16:00:00,6398,(H) FC Krasnodar,(V) FC Ufa,0,2,2.0646,0.284849,9.909,10.926,10.047,9.314,10.324,10.391,10.716,10.689,9.626
2014-09-22 14:00:00,6407,(H) Amkar,(V) FC Krasnodar,1,2,1.72432,1.03792,9.919,10.047,10.390,10.204,10.391,10.641,9.672,9.626,9.841
2014-09-28 15:30:00,6414,(H) FC Krasnodar,(V) Arsenal Tula,3,0,2.92143,0.154675,8.929,10.390,10.650,9.238,10.641,10.857,9.476,9.841,9.683
2014-10-18 14:00:00,6378,(H) FC Krasnodar,(V) Zenit St. Petersburg,2,2,1.12732,1.05008,11.467,10.650,10.729,10.931,10.857,10.770,10.464,9.683,9.734
2014-10-27 15:45:00,6390,(H) FC Krasnodar,(V) FK Akhmat,2,0,1.88925,0.437514,9.815,10.729,10.876,10.056,10.770,10.829,9.687,9.734,9.734
2014-11-02 13:30:00,6348,(H) Mordovya,(V) FC Krasnodar,2,1,0.585072,1.27157,7.966,10.876,10.024,8.725,10.829,10.256,9.470,9.734,9.715
2014-11-09 12:45:00,6359,(H) FC Krasnodar,(V) Rubin Kazan,2,0,1.46184,0.347577,10.799,10.024,10.593,10.667,10.256,10.512,10.022,9.715,9.888
2014-11-22 13:30:00,6363,(H) FC Krasnodar,(V) CSKA Moscow,2,1,1.52531,0.779559,10.898,10.593,10.794,10.255,10.512,10.509,10.682,9.888,10.025
2014-11-30 15:30:00,6376,(H) FK Akhmat,(V) FC Krasnodar,0,1,0.429711,1.40864,10.347,10.794,11.057,10.076,10.509,10.281,10.398,10.025,10.738
2014-12-03 17:00:00,6334,(H) Kuban Krasnodar,(V) FC Krasnodar,1,1,1.72101,0.712667,9.682,11.057,10.838,10.526,10.281,10.719,9.178,10.738,10.221
2014-12-06 13:45:00,6338,(H) Zenit St. Petersburg,(V) FC Krasnodar,4,0,0.558035,2.52296,10.767,10.838,9.945,11.145,10.719,10.459,9.778,10.221,9.726
2015-03-08 10:30:00,6308,(H) Spartak Moscow,(V) FC Krasnodar,1,3,1.82727,1.29783,10.088,9.945,10.606,10.057,10.459,10.616,9.854,9.726,10.251
2015-03-13 16:00:00,6314,(H) FC Krasnodar,(V) Ural,1,1,1.47246,0.538396,9.221,10.606,10.135,9.549,10.616,10.458,9.907,10.251,9.806
2015-03-20 14:00:00,6322,(H) FC Ufa,(V) FC Krasnodar,0,2,1.3656,1.00173,9.527,10.135,10.608,9.486,10.458,10.431,10.250,9.806,10.451
2015-04-04 14:45:00,6267,(H) FC Krasnodar,(V) Mordovya,4,0,3.81833,0.270059,9.191,10.608,11.129,9.317,10.431,10.915,9.759,10.451,10.266
2015-04-07 18:00:00,6274,(H) Rubin Kazan,(V) FC Krasnodar,1,2,0.432515,1.79575,10.943,11.129,11.458,10.667,10.915,10.637,10.175,10.266,10.959
2015-04-11 17:00:00,6281,(H) FC Krasnodar,(V) Kuban Krasnodar,3,2,1.76155,0.795699,9.069,11.458,10.986,9.985,10.637,10.590,8.856,10.959,10.317
2015-04-19 11:30:00,6292,(H) CSKA Moscow,(V) FC Krasnodar,1,1,0.672758,1.00304,10.340,10.986,10.949,10.207,10.590,10.537,10.345,10.317,10.532
2015-04-25 17:00:00,6301,(H) FC Krasnodar,(V) Lokomotiv Moscow,1,0,0.902975,0.39614,9.475,10.949,10.705,9.841,10.537,10.365,9.829,10.532,10.355
2015-05-04 13:30:00,6231,(H) Arsenal Tula,(V) FC Krasnodar,0,3,1.85799,1.60924,10.029,10.705,11.411,9.358,10.365,10.300,10.879,10.355,11.299
2015-05-11 16:30:00,6240,(H) FC Krasnodar,(V) Amkar,1,1,1.51005,1.86509,9.840,11.411,10.893,9.791,10.300,9.959,9.812,11.299,10.891
2015-05-17 16:30:00,6247,(H) FC Krasnodar,(V) Torpedo Moscow,2,2,1.68052,0.884648,9.748,10.893,10.482,9.596,9.959,9.942,10.214,10.891,10.398
2015-05-24 11:30:00,6252,(H) FC Krasnodar,(V) FC Rostov,2,1,1.02886,1.1085,9.480,10.482,10.357,9.921,9.942,9.792,9.557,10.398,10.333
2015-05-30 11:30:00,6258,(H) Dinamo Moscow,(V) FC Krasnodar,1,1,1.49084,0.338184,9.467,10.357,10.260,9.386,9.792,10.104,10.049,10.333,10.099
2015-07-20 18:00:00,2355,(H) Amkar,(V) FC Krasnodar,0,1,0.839486,0.132366,10.237,10.260,10.629,9.866,10.104,10.346,10.288,10.099,10.344
2015-07-26 21:00:00,2363,(H) FC Krasnodar,(V) Spartak Moscow,0,1,0.544814,1.11679,9.183,10.629,9.893,10.386,10.346,10.088,8.395,10.344,9.625
2015-08-02 21:00:00,2371,(H) FC Rostov,(V) FC Krasnodar,0,0,1.07707,1.05419,10.110,9.893,10.072,9.954,10.088,10.185,10.163,9.625,9.879
2015-08-10 21:15:00,2380,(H) FC Krasnodar,(V) Kuban Krasnodar,1,1,0.838512,0.524728,9.676,10.072,9.848,9.367,10.185,9.934,10.253,9.879,9.769
2015-08-15 17:30:00,2383,(H) Zenit St. Petersburg,(V) FC Krasnodar,0,2,0.719358,0.56666,11.459,9.848,10.876,11.752,9.934,10.552,9.748,9.769,10.351
2015-08-23 21:00:00,2394,(H) FC Krasnodar,(V) Mordovya,0,0,1.55153,0.337717,9.258,10.876,10.346,9.325,10.552,10.424,9.809,10.351,9.787
2015-08-30 14:30:00,2402,(H) Lokomotiv Moscow,(V) FC Krasnodar,2,1,0.445379,1.2514,11.138,10.346,10.419,10.454,10.424,10.355,10.789,9.787,10.114
2015-09-13 17:30:00,2409,(H) FC Krasnodar,(V) Dinamo Moscow,4,0,1.47954,1.2373,10.329,10.419,11.272,9.912,10.355,10.180,10.368,10.114,10.992
2015-09-21 17:30:00,2419,(H) Ural,(V) FC Krasnodar,3,1,0.860796,1.52104,9.833,11.272,10.537,9.712,10.180,10.023,10.305,10.992,10.610
2015-09-27 17:30:00,2425,(H) FC Krasnodar,(V) FK Akhmat,1,1,0.636757,0.956022,10.780,10.537,10.473,10.108,10.023,9.839,10.730,10.610,10.595
2015-10-04 17:00:00,2435,(H) FC Ufa,(V) FC Krasnodar,1,1,1.45252,0.326268,9.011,10.473,10.232,9.134,9.839,10.069,10.144,10.595,10.326
2015-10-18 19:30:00,2443,(H) Anzhi Makhachkala,(V) FC Krasnodar,2,2,1.72226,1.4435,9.538,10.232,10.184,9.866,10.069,10.213,9.792,10.326,10.248
2015-10-25 17:30:00,2450,(H) FC Krasnodar,(V) Rubin Kazan,2,1,2.33883,1.06358,10.100,10.184,10.288,9.537,10.213,10.238,10.551,10.248,10.130
2015-11-01 15:00:00,2455,(H) Krylya Sovetov Samara,(V) FC Krasnodar,0,4,2.8451,0.284119,9.458,10.288,11.205,9.971,10.238,10.936,9.626,10.130,10.489
2015-11-08 18:00:00,2467,(H) FC Krasnodar,(V) CSKA Moscow,2,1,1.04769,0.756333,11.190,11.205,11.326,10.965,10.936,10.891,10.182,10.489,10.464
