Dátum,Meccs-Id,Hazai-Csapat,Vendég-Csapat,Hazai-Gól,Ellenfél-Gól,Hazai-XG,Ellenfél-XG,Ellenfél-PR,Meccs-Előtti-PR,Meccs-Utáni-PR,Vendég-xgPR,Meccs-Előtti-xgPR,Meccs-Utáni-xgPR,Vendég-Mixed_PR,Meccs-Előtti-Mixed_PR,Meccs-Utáni-Mixed_PR
2019-07-14 16:00:00,11028,(H) Zenit St. Petersburg,(V) FC Tambov,2,1,0.316317,1.36875,11.338,10.000,10.209,10.677,10.000,10.031,10.363,10.000,10.229
2019-07-21 13:30:00,11036,(H) Lokomotiv Moscow,(V) FC Tambov,2,1,0.767953,1.17162,10.726,10.209,10.213,11.000,10.031,10.297,9.651,10.229,10.060
2019-07-27 13:30:00,11041,(H) FC Tambov,(V) Spartak Moscow,2,0,1.73925,0.842638,10.649,10.213,10.697,9.932,10.297,10.305,10.885,10.060,10.417
2019-08-04 14:30:00,11051,(H) FC Tambov,(V) Arsenal Tula,0,1,0.594033,1.0036,10.218,10.697,10.202,10.274,10.305,10.070,9.740,10.417,9.975
2019-08-10 12:00:00,11055,(H) FC Orenburg,(V) FC Tambov,2,2,1.03687,1.96059,10.123,10.202,10.307,10.709,10.070,10.124,9.574,9.975,10.231
2019-08-17 14:30:00,11065,(H) FC Tambov,(V) FC Krasnodar,0,2,0.402856,1.19372,11.640,10.307,10.015,10.988,10.124,10.017,10.635,10.231,9.905
2019-08-24 12:00:00,11071,(H) FC Tambov,(V) Dinamo Moscow,0,2,0.8282,1.43116,10.269,10.015,9.453,10.283,10.017,9.808,9.748,9.905,9.391
2019-08-31 17:00:00,11083,(H) FK Akhmat,(V) FC Tambov,1,1,0.148436,0.861492,9.865,9.453,9.681,9.765,9.808,9.744,10.258,9.391,9.911
2019-09-15 13:30:00,11088,(H) FC Tambov,(V) CSKA Moscow,0,2,0.51095,1.8874,11.394,9.681,9.484,10.900,9.744,9.564,10.504,9.911,9.778
2019-09-21 16:00:00,11095,(H) FC Tambov,(V) FC Rostov,2,1,2.29276,1.73111,10.925,9.484,9.969,10.689,9.564,9.861,10.170,9.778,9.861
2019-09-28 11:00:00,11104,(H) Krylya Sovetov Samara,(V) FC Tambov,2,0,0.23468,1.76105,10.262,9.969,9.667,10.631,9.861,9.797,9.785,9.861,9.849
2019-10-05 14:30:00,11112,(H) Rubin Kazan,(V) FC Tambov,2,1,1.17289,2.68899,9.223,9.667,9.431,9.192,9.797,9.392,10.019,9.849,10.146
2019-10-19 12:00:00,11119,(H) FC Tambov,(V) Ural,1,2,1.44215,1.59902,9.744,9.431,9.134,9.769,9.392,9.322,9.807,10.146,9.725
2019-10-26 12:00:00,11128,(H) FC Tambov,(V) FC Ufa,3,0,1.21467,0.289181,10.037,9.134,9.985,9.675,9.322,9.517,10.160,9.725,10.227
2019-11-02 13:30:00,11135,(H) PFC Sochi,(V) FC Tambov,1,2,1.60876,1.20402,10.130,9.985,10.396,9.764,9.517,9.805,10.578,10.227,10.589
2019-11-09 13:30:00,11143,(H) FC Rostov,(V) FC Tambov,1,2,0.707999,0.979083,11.126,10.396,10.953,9.892,9.805,9.884,11.335,10.589,11.218
2019-11-22 16:30:00,11152,(H) FC Tambov,(V) Lokomotiv Moscow,2,3,0.618225,0.834066,10.233,10.953,10.398,10.365,9.884,9.825,9.711,11.218,10.520
2019-12-02 16:30:00,11159,(H) FC Krasnodar,(V) FC Tambov,0,0,0.715876,1.31046,11.128,10.398,10.706,10.933,9.825,10.078,10.276,10.520,10.733
