Dátum,Meccs-Id,Hazai-Csapat,Vendég-Csapat,Hazai-Gól,Ellenfél-Gól,Hazai-XG,Ellenfél-XG,Ellenfél-PR,Meccs-Előtti-PR,Meccs-Utáni-PR,Vendég-xgPR,Meccs-Előtti-xgPR,Meccs-Utáni-xgPR,Vendég-Mixed_PR,Meccs-Előtti-Mixed_PR,Meccs-Utáni-Mixed_PR
2014-08-03 16:30:00,6422,(H) Kuban Krasnodar,(V) FC Ufa,2,0,0.0390915,2.04538,10.000,10.000,9.625,10.000,10.000,9.623,10.000,10.000,10.127
2014-08-08 15:00:00,6425,(H) Amkar,(V) FC Ufa,0,1,0.190173,0.360411,9.125,9.625,9.875,9.662,9.623,9.715,9.588,10.127,10.410
2014-08-13 12:00:00,6434,(H) FC Ufa,(V) Dinamo Moscow,0,2,1.29986,1.15316,10.563,9.875,9.422,10.474,9.715,9.816,9.901,10.410,9.621
2014-08-16 17:00:00,6442,(H) Zenit St. Petersburg,(V) FC Ufa,1,0,0.0754628,1.89274,12.016,9.422,9.945,11.143,9.816,9.818,10.952,9.621,10.283
2014-08-23 11:00:00,6450,(H) FC Ufa,(V) Spartak Moscow,1,2,0.395761,2.35689,10.773,9.945,9.777,10.374,9.818,9.342,10.723,10.283,10.508
2014-08-31 13:00:00,6462,(H) Rubin Kazan,(V) FC Ufa,1,1,0.591905,1.7471,9.806,9.777,9.909,9.884,9.342,9.314,9.685,10.508,10.716
2014-09-14 16:00:00,6398,(H) FC Krasnodar,(V) FC Ufa,0,2,0.284849,2.0646,10.926,9.909,10.788,10.324,9.314,9.247,10.689,10.716,11.779
2014-09-20 09:00:00,6402,(H) FC Ufa,(V) Ural,0,1,0.486007,2.49365,9.143,10.788,10.002,8.863,9.247,8.524,10.245,11.779,11.522
2014-09-27 13:00:00,6410,(H) Mordovya,(V) FC Ufa,0,2,1.22752,0.462631,10.006,10.002,10.628,9.485,8.524,9.080,10.674,11.522,11.744
2014-10-20 14:00:00,6382,(H) FC Ufa,(V) Torpedo Moscow,1,1,0.775502,0.832131,8.997,10.628,10.095,9.787,9.080,9.118,9.515,11.744,11.076
2014-10-26 10:30:00,6388,(H) FC Ufa,(V) CSKA Moscow,3,3,2.29967,3.15643,12.158,10.095,10.486,11.419,9.118,9.354,10.545,11.076,11.032
2014-11-03 16:00:00,6352,(H) FK Akhmat,(V) FC Ufa,1,0,0.595448,1.1052,9.668,10.486,10.156,9.997,9.354,9.512,9.687,11.032,10.698
2014-11-09 12:00:00,6358,(H) FC Ufa,(V) FC Rostov,0,0,0.334536,0.202466,8.865,10.156,9.708,9.388,9.512,9.389,9.417,10.698,10.220
2014-11-24 16:00:00,6368,(H) Lokomotiv Moscow,(V) FC Ufa,0,0,0.418921,0.855049,10.596,9.708,10.055,10.651,9.389,9.720,9.932,10.220,10.382
2014-11-29 12:45:00,6371,(H) CSKA Moscow,(V) FC Ufa,5,0,0.247345,3.31277,10.697,10.055,9.090,10.258,9.720,9.213,10.545,10.382,10.064
2014-12-02 16:00:00,6330,(H) Arsenal Tula,(V) FC Ufa,0,1,1.07088,1.03782,9.356,9.090,9.532,9.225,9.213,9.349,10.004,10.064,10.416
2014-12-08 14:00:00,6343,(H) Torpedo Moscow,(V) FC Ufa,2,2,0.850171,1.2908,10.016,9.532,9.778,10.031,9.349,9.534,10.110,10.416,10.575
2015-03-08 13:00:00,6309,(H) Dinamo Moscow,(V) FC Ufa,3,1,1.2082,2.01051,11.874,9.778,9.927,10.341,9.534,9.660,11.584,10.575,10.653
2015-03-14 10:00:00,6315,(H) FC Ufa,(V) Amkar,1,1,0.848365,0.957562,8.828,9.927,9.527,9.572,9.660,9.486,9.432,10.653,10.250
2015-03-20 14:00:00,6322,(H) FC Ufa,(V) FC Krasnodar,0,2,1.00173,1.3656,10.135,9.527,9.054,10.458,9.486,9.513,9.806,10.250,9.605
2015-04-05 16:00:00,6271,(H) FC Ufa,(V) FK Akhmat,0,1,0.148117,0.72335,9.448,9.054,8.778,9.697,9.513,9.290,9.682,9.605,9.393
2015-04-09 18:00:00,6280,(H) FC Rostov,(V) FC Ufa,2,0,0.502553,1.39655,9.577,8.778,8.603,9.838,9.290,9.329,9.748,9.393,9.330
2015-04-12 14:00:00,6283,(H) FC Ufa,(V) Arsenal Tula,0,1,0.817325,0.507546,9.395,8.603,8.426,9.077,9.329,9.218,10.014,9.330,9.049
2015-04-18 11:00:00,6289,(H) FC Ufa,(V) Lokomotiv Moscow,1,0,1.65378,0.763692,9.991,8.426,8.942,10.179,9.218,9.556,9.959,9.049,9.179
2015-04-24 11:00:00,6297,(H) FC Ufa,(V) Kuban Krasnodar,3,2,1.44942,0.666947,9.857,8.942,9.296,10.197,9.556,9.787,9.522,9.179,9.194
2015-05-04 11:00:00,6230,(H) FC Ufa,(V) Mordovya,1,2,0.985513,1.85541,9.271,9.296,8.915,9.116,9.787,9.277,10.036,9.194,9.247
2015-05-08 14:30:00,6233,(H) Ural,(V) FC Ufa,1,1,0.700076,2.20863,9.763,8.915,9.252,9.406,9.277,9.057,10.659,9.247,10.102
2015-05-17 14:00:00,6246,(H) FC Ufa,(V) Zenit St. Petersburg,1,1,0.401449,1.9843,11.160,9.252,9.604,11.224,9.057,9.078,9.796,10.102,10.296
2015-05-23 16:00:00,6251,(H) Spartak Moscow,(V) FC Ufa,1,2,0.473722,1.45118,9.192,9.604,9.876,10.054,9.078,9.203,9.095,10.296,10.615
2015-05-30 11:30:00,6262,(H) FC Ufa,(V) Rubin Kazan,1,1,1.12986,1.01244,9.491,9.876,9.655,10.808,9.203,9.509,8.981,10.615,10.052
2015-07-17 20:00:00,2349,(H) Spartak Moscow,(V) FC Ufa,2,2,0.867226,3.11719,9.192,9.655,9.664,10.095,9.509,9.218,8.759,10.052,10.416
2015-07-25 17:00:00,2358,(H) FC Ufa,(V) FC Rostov,1,2,0.995154,1.0611,9.759,9.664,9.313,10.011,9.218,9.275,9.601,10.416,9.854
2015-07-31 21:00:00,2365,(H) Kuban Krasnodar,(V) FC Ufa,1,1,0.749518,0.660127,9.964,9.313,9.601,9.594,9.275,9.502,10.523,9.854,10.124
2015-08-09 17:00:00,2377,(H) FC Ufa,(V) Zenit St. Petersburg,0,1,0.353812,2.85495,11.578,9.601,9.720,11.502,9.502,9.252,9.957,10.124,10.333
