Dátum,Meccs-Id,Fő-Csapat,Ellenfél-Csapat,Hazai-Gól,Ellenfél-Gól,Hazai-XG,Ellenfél-XG,Meccs-Előtti-PR,Meccs-Utáni-PR,Meccs-Előtti-xgPR,Meccs-Utáni-xgPR,Meccs-Előtti-Mixed_PR,Meccs-Utáni-Mixed_PR
2018-07-29 14:00:00,8948,(H) FC Yenisey Krasnoyarsk,(V) Zenit St. Petersburg,0,2,0.2504,1.21626,10,9.2537,10,9.5122,10,9.4951
2018-08-05 21:30:00,8959,(V) FC Yenisey Krasnoyarsk,(H) FK Akhmat,0,1,0.761499,1.87773,9.2537,9.0682,9.5122,9.2976,9.4951,9.5886
2018-08-11 16:30:00,8962,(H) FC Yenisey Krasnoyarsk,(V) CSKA Moscow,1,1,0.843862,1.06383,9.0682,9.2847,9.2976,9.4592,9.5886,9.8601
2018-08-19 21:30:00,8975,(V) FC Yenisey Krasnoyarsk,(H) FC Rostov,0,4,0.600401,2.07961,9.2847,8.6905,9.4592,9.4952,9.8601,9.6357
2018-08-27 17:30:00,8984,(H) FC Yenisey Krasnoyarsk,(V) Krylya Sovetov Samara,1,0,2.67243,0.389572,8.6905,8.8122,9.4952,9.9377,9.6357,9.1867
2018-09-02 11:00:00,8989,(H) FC Yenisey Krasnoyarsk,(V) Arsenal Tula,0,0,0.219556,0.354815,8.8122,8.2848,9.9377,9.3765,9.1867,8.6931
2018-09-15 11:00:00,8996,(V) FC Yenisey Krasnoyarsk,(H) Rubin Kazan,0,1,0.406202,1.16286,8.2848,7.8954,9.3765,9.0479,8.6931,8.4928
2018-09-22 08:30:00,9004,(H) FC Yenisey Krasnoyarsk,(V) Ural,1,2,1.34967,0.382784,7.8954,7.0483,9.0479,8.6925,8.4928,7.4040
2018-09-29 13:30:00,9014,(V) FC Yenisey Krasnoyarsk,(H) FC Ufa,1,2,0.210637,1.45755,7.0483,6.5812,8.6925,8.1637,7.404,7.2487
2018-10-07 08:30:00,9019,(H) FC Yenisey Krasnoyarsk,(V) Spartak Moscow,2,3,1.61194,1.71339,6.5812,6.5927,8.1637,8.3998,7.2487,7.2856
2018-10-20 08:30:00,9027,(V) FC Yenisey Krasnoyarsk,(H) FC Orenburg,0,0,0.990084,0.896855,6.5927,7.2089,8.3998,9.0393,7.2856,7.8785
2018-10-28 10:00:00,9035,(H) FC Yenisey Krasnoyarsk,(V) Lokomotiv Moscow,0,3,1.4174,1.13195,7.2089,7.1113,9.0393,9.7630,7.8785,7.7095
2018-11-05 16:00:00,9043,(V) FC Yenisey Krasnoyarsk,(H) Anzhi Makhachkala,1,2,1.03159,1.72972,7.1113,7.4341,9.763,10.1612,7.7095,8.2068
2018-11-11 13:00:00,9163,(V) FC Yenisey Krasnoyarsk,(H) FC Krasnodar,0,3,0.0885916,1.47586,7.4341,7.5675,10.1612,10.6978,8.2068,8.6870
2018-11-24 11:00:00,9059,(V) FC Yenisey Krasnoyarsk,(H) Dinamo Moscow,2,1,0.925541,1.60905,7.5675,8.2969,10.6978,11.0063,8.687,9.5873
2018-12-01 11:00:00,9067,(H) FC Yenisey Krasnoyarsk,(V) FK Akhmat,1,1,1.82952,0.121566,8.2969,8.6418,11.0063,11.7782,9.5873,9.5052
2018-12-08 12:00:00,9075,(V) FC Yenisey Krasnoyarsk,(H) CSKA Moscow,1,2,1.42109,2.16867,8.6418,9.0624,11.7782,12.2619,9.5052,10.1127
2019-03-03 11:00:00,9082,(H) FC Yenisey Krasnoyarsk,(V) FC Rostov,1,1,0.204402,0.719445,9.0624,9.0209,12.2619,12.0916,10.1127,10.1999
2019-03-09 11:00:00,9089,(V) FC Yenisey Krasnoyarsk,(H) Krylya Sovetov Samara,0,4,0.204488,4.36731,9.0209,7.9553,12.0916,10.9853,10.1999,10.1751
