Dátum,Meccs-Id,Fő-Csapat,Ellenfél-Csapat,Hazai-Gól,Ellenfél-Gól,Hazai-XG,Ellenfél-XG,Meccs-Előtti-PR,Meccs-Utáni-PR,Meccs-Előtti-xgPR,Meccs-Utáni-xgPR,Meccs-Előtti-Mixed_PR,Meccs-Utáni-Mixed_PR
2014-08-04 17:00:00,6424,(H) FK Akhmat,(V) Amkar,4,0,2.1776,0.325138,10,10.8750,10,10.3381,10,10.4119
2014-08-09 17:00:00,6429,(H) FK Akhmat,(V) Rubin Kazan,1,1,0.427576,0.695471,10.875,10.7500,10.3381,10.1461,10.4119,10.3539
2014-08-13 17:00:00,6437,(V) FK Akhmat,(H) CSKA Moscow,0,1,1.12884,1.16511,10.75,10.5625,10.1461,10.1995,10.3539,10.1755
2014-08-18 17:00:00,6447,(H) FK Akhmat,(V) Mordovya,1,0,0.710709,0.172829,10.5625,10.5000,10.1995,10.0215,10.1755,9.9785
2014-08-22 17:00:00,6449,(H) FK Akhmat,(V) Arsenal Tula,3,0,1.62482,0.588019,10.5,10.5156,10.0215,9.5463,9.9785,9.7349
2014-08-29 15:00:00,6457,(V) FK Akhmat,(H) Ural,1,0,1.15159,0.847584,10.5156,10.3750,9.5463,9.2317,9.7349,9.5183
2014-09-15 17:00:00,6400,(H) FK Akhmat,(V) Kuban Krasnodar,0,0,0.349373,0.129176,10.375,10.1875,9.2317,9.0992,9.5183,9.2758
2014-09-20 17:00:00,6405,(V) FK Akhmat,(H) Spartak Moscow,1,1,0.691701,0.903857,10.1875,10.2422,9.0992,9.1008,9.2758,9.3835
2014-09-28 18:00:00,6415,(H) FK Akhmat,(V) FC Rostov,2,1,2.06991,1.42324,10.2422,9.8594,9.1008,8.6296,9.3835,8.8390
2014-10-18 16:30:00,6379,(V) FK Akhmat,(H) Lokomotiv Moscow,1,2,0.833496,1.19945,9.8594,9.6934,8.6296,8.6221,8.839,8.7645
2014-10-27 15:45:00,6390,(V) FK Akhmat,(H) FC Krasnodar,0,2,0.437514,1.88925,9.6934,9.4591,8.6221,8.5248,8.7645,8.8931
2014-11-03 16:00:00,6352,(H) FK Akhmat,(V) FC Ufa,1,0,1.1052,0.595448,9.4591,9.6964,8.5248,8.6395,8.8931,9.0030
2014-11-08 16:00:00,6356,(V) FK Akhmat,(H) Zenit St. Petersburg,3,1,1.38892,1.64141,9.6964,10.8941,8.6395,9.2741,9.003,10.2638
2014-11-23 10:30:00,6365,(V) FK Akhmat,(H) Dinamo Moscow,0,3,0.325557,1.74321,10.8941,10.2592,9.2741,9.0348,10.2638,9.9833
2014-11-30 15:30:00,6376,(H) FK Akhmat,(V) FC Krasnodar,0,1,1.40864,0.429711,10.2592,9.8968,9.0348,9.1671,9.9833,9.3762
2014-12-03 17:00:00,6335,(H) FK Akhmat,(V) Torpedo Moscow,0,1,0.3184,0.848475,9.8968,9.2257,9.1671,8.6135,9.3762,8.8376
2014-12-07 10:30:00,6340,(H) FK Akhmat,(V) Lokomotiv Moscow,0,0,0.467206,0.630929,9.2257,9.2934,8.6135,8.6403,8.8376,8.9463
2015-03-07 13:00:00,6306,(H) FK Akhmat,(V) CSKA Moscow,1,2,0.586805,0.806751,9.2934,9.2839,8.6403,8.8258,8.9463,8.9917
2015-03-15 15:30:00,6320,(V) FK Akhmat,(H) Rubin Kazan,1,2,0.700016,1.61753,9.2839,9.4230,8.8258,8.9855,8.9917,9.3602
2015-03-22 15:30:00,6329,(V) FK Akhmat,(H) Kuban Krasnodar,0,1,0.292347,1.48452,9.423,9.4485,8.9855,8.9630,9.3602,9.6838
2015-04-05 16:00:00,6271,(V) FK Akhmat,(H) FC Ufa,1,0,0.72335,0.148117,9.4485,9.7868,8.963,9.1952,9.6838,9.8783
2015-04-08 15:45:00,6275,(H) FK Akhmat,(V) Zenit St. Petersburg,1,2,0.43545,1.11367,9.7868,10.0543,9.1952,9.5432,9.8783,10.3154
2015-04-13 16:00:00,6287,(V) FK Akhmat,(H) Torpedo Moscow,0,0,0.959175,0.33724,10.0543,10.3140,9.5432,9.9584,10.3154,10.4197
2015-04-19 14:00:00,6293,(H) FK Akhmat,(V) Dinamo Moscow,0,0,0.16119,1.39631,10.314,10.4343,9.9584,9.7699,10.4197,10.8488
2015-04-25 11:00:00,6299,(V) FK Akhmat,(H) Amkar,1,2,0.560268,0.872147,10.4343,10.0717,9.7699,9.5793,10.8488,10.5641
2015-05-02 17:00:00,6226,(V) FK Akhmat,(H) FC Rostov,1,0,0.993592,0.700394,10.0717,10.4284,9.5793,9.7593,10.5641,10.8475
2015-05-11 11:30:00,6238,(H) FK Akhmat,(V) Spartak Moscow,4,2,1.35535,1.40606,10.4284,10.8871,9.7593,9.7053,10.8475,11.3189
2015-05-16 14:30:00,6243,(V) FK Akhmat,(H) Arsenal Tula,1,1,1.62042,0.395528,10.8871,10.7958,9.7053,9.9202,11.3189,10.9214
2015-05-24 14:00:00,6253,(V) FK Akhmat,(H) Mordovya,0,1,0.844309,1.39136,10.7958,10.4145,9.9202,9.6521,10.9214,10.6768
2015-05-30 11:30:00,6261,(H) FK Akhmat,(V) Ural,1,3,0.814762,0.752347,10.4145,9.4585,9.6521,9.2117,10.6768,9.7051
2015-07-18 22:00:00,2351,(V) FK Akhmat,(H) FC Rostov,1,1,0.814127,0.826853,9.4585,9.4183,9.2117,9.1683,9.7051,9.6681
2015-07-25 22:00:00,2360,(H) FK Akhmat,(V) Kuban Krasnodar,1,1,1.05145,0.130666,9.4183,9.5289,9.1683,9.5091,9.6681,9.5485
2015-08-01 18:00:00,2367,(V) FK Akhmat,(H) Zenit St. Petersburg,0,3,0.477496,3.28239,9.5289,9.1096,9.5091,9.1386,9.5485,9.8304
2015-08-07 20:00:00,2373,(H) FK Akhmat,(V) Mordovya,0,0,1.09587,0.416573,9.1096,8.9811,9.1386,9.1800,9.8304,9.5321
2015-08-16 14:30:00,2385,(V) FK Akhmat,(H) Lokomotiv Moscow,0,0,0.607677,0.579886,8.9811,9.5099,9.18,9.7157,9.5321,10.0540
2015-08-21 21:00:00,2389,(H) FK Akhmat,(V) Dinamo Moscow,1,1,0.485241,1.14736,9.5099,9.6798,9.7157,9.7200,10.054,10.3894
2015-08-28 18:00:00,2397,(V) FK Akhmat,(H) Ural,3,3,1.60035,1.92437,9.6798,9.7712,9.72,9.7304,10.3894,10.5618
2015-09-13 20:00:00,2410,(V) FK Akhmat,(H) Anzhi Makhachkala,2,0,2.09936,0.805453,9.7712,10.3428,9.7304,10.1255,10.5618,10.8099
2015-09-19 17:00:00,2414,(H) FK Akhmat,(V) FC Ufa,4,1,2.39831,1.4181,10.3428,10.8220,10.1255,10.0998,10.8099,11.0441
2015-09-27 17:30:00,2425,(V) FK Akhmat,(H) FC Krasnodar,1,1,0.956022,0.636757,10.822,11.1652,10.0998,10.5228,11.0441,11.3075
2015-10-04 17:00:00,2434,(H) FK Akhmat,(V) Rubin Kazan,2,1,1.94492,1.86713,11.1652,11.1850,10.5228,10.3120,11.3075,11.3079
2015-10-18 17:00:00,2442,(V) FK Akhmat,(H) Krylya Sovetov Samara,2,0,0.403338,0.676669,11.185,11.5735,10.312,10.1321,11.3079,11.7647
2015-10-25 20:00:00,2451,(H) FK Akhmat,(V) CSKA Moscow,0,0,0.462358,1.11688,11.5735,11.3965,10.1321,9.7915,11.7647,11.7513
2015-11-02 18:00:00,2459,(V) FK Akhmat,(H) Amkar,0,1,0.479875,0.949338,11.3965,10.6695,9.7915,9.1972,11.7513,11.1417
2015-11-07 20:30:00,2465,(H) FK Akhmat,(V) Spartak Moscow,2,1,0.60918,0.821247,10.6695,10.4384,9.1972,8.6631,11.1417,10.9636
2015-11-22 18:00:00,2474,(V) FK Akhmat,(H) Kuban Krasnodar,2,2,1.43046,0.679094,10.4384,10.6240,8.6631,9.0366,10.9636,10.9614
2015-11-28 18:30:00,2480,(H) FK Akhmat,(V) Zenit St. Petersburg,4,1,2.73194,1.08147,10.624,11.1972,9.0366,9.2724,10.9614,11.1220
2015-12-03 20:00:00,2486,(V) FK Akhmat,(H) Mordovya,0,0,0.372356,0.471027,11.1972,11.2611,9.2724,9.3116,11.122,11.2105
2016-03-06 18:00:00,2497,(H) FK Akhmat,(V) Lokomotiv Moscow,2,1,0.967412,1.49017,11.2611,10.8523,9.3116,8.5221,11.2105,10.9324
