Dátum,Meccs-Id,Fő-Csapat,Ellenfél-Csapat,Hazai-Gól,Ellenfél-Gól,Hazai-XG,Ellenfél-XG,Vendég-PR,Meccs-Előtti-PR,Meccs-Utáni-PR,Vendég-xgPR,Meccs-Előtti-xgPR,Meccs-Utáni-xgPR,Vendég-Mixed_PR,Meccs-Előtti-Mixed_PR,Meccs-Utáni-Mixed_PR
2014-08-30 19:45:00,5150,(V) Fiorentina,(H) Roma,0,2,0.377616,2.24014,10,10,9.6250,10,10,9.6594,10,10,10.0906
2014-09-14 14:00:00,5114,(H) Fiorentina,(V) Genoa,0,0,2.09923,0.230085,9.625,9.625,9.5000,9.5576,9.6594,10.0017,9.9424,10.0906,9.4983
2014-09-21 17:00:00,5126,(V) Fiorentina,(H) Atalanta,1,0,1.02956,1.1469,10.25,9.5,9.9375,9.4408,10.0017,10.1599,10.8092,9.4983,9.9651
2014-09-24 19:45:00,5130,(H) Fiorentina,(V) Sassuolo,0,0,1.0464,0.159402,8.1875,9.9375,9.5000,9.1243,10.1599,9.9441,9.0007,9.9651,9.3059
2014-09-28 14:00:00,5142,(V) Fiorentina,(H) Torino,1,1,1.37293,1.04433,9.625,9.5,9.4375,10.5445,9.9441,9.9638,9.2055,9.3059,9.1612
2014-10-05 19:45:00,5077,(H) Fiorentina,(V) Inter,3,0,2.12016,0.617229,10.3438,9.4375,10.6406,9.5832,9.9638,10.7927,9.6043,9.1612,9.9886
2014-10-19 11:30:00,5081,(H) Fiorentina,(V) Lazio,0,2,0.570608,1.86,10.5625,10.6406,10.3320,10.2832,10.7927,10.6618,9.8418,9.9886,10.0023
2014-10-26 19:45:00,5098,(V) Fiorentina,(H) AC Milan,1,1,0.359683,0.857287,10.8828,10.332,10.3555,9.6718,10.6618,10.5608,10.5938,10.0023,10.1502
2014-10-29 19:45:00,5106,(H) Fiorentina,(V) Udinese,3,0,2.83189,0.26723,10.0352,10.3555,10.8750,8.3646,10.5608,10.9715,10.4557,10.1502,10.0286
2014-11-02 14:00:00,5033,(V) Fiorentina,(H) Sampdoria,1,3,1.44975,1.8671,10.1816,10.875,10.6074,9.5831,10.9715,11.0996,9.7802,10.0286,9.8653
2014-11-09 17:00:00,5047,(H) Fiorentina,(V) Napoli,0,1,0.640726,2.33933,11.4414,10.6074,10.2488,13.0961,11.0996,10.5663,8.0367,9.8653,9.9313
2014-11-23 14:00:00,5057,(V) Fiorentina,(H) Verona,2,1,2.84785,1.14508,9.343,10.2488,10.1926,8.646,10.5663,10.6858,11.29,9.9313,9.4495
