Dátum,Meccs-Id,Fő-Csapat,Ellenfél-Csapat,Hazai-Gól,Ellenfél-Gól,Hazai-XG,Ellenfél-XG,Vendég-PR,Meccs-Előtti-PR,Meccs-Utáni-PR,Vendég-xgPR,Meccs-Előtti-xgPR,Meccs-Utáni-xgPR,Vendég-Mixed_PR,Meccs-Előtti-Mixed_PR,Meccs-Utáni-Mixed_PR
2018-08-25 16:30:00,10339,(H) Fortuna Duesseldorf,(V) Augsburg,1,2,1.32783,0.755029,8.8779,10,9.5225,7.8926,10,9.9158,17.1145,10,9.3793
2018-09-02 13:30:00,10353,(V) Fortuna Duesseldorf,(H) RasenBallsport Leipzig,1,1,1.43691,2.25033,10.6369,9.5225,9.8993,8.2688,9.9158,10.0892,6.0043,9.3793,9.9595
2018-09-15 13:30:00,10359,(H) Fortuna Duesseldorf,(V) Hoffenheim,2,1,1.78366,2.19977,11.1258,9.8993,10.4350,4.4378,10.0892,10.2708,11.8135,9.9595,10.5992
2018-09-21 18:30:00,10364,(V) Fortuna Duesseldorf,(H) VfB Stuttgart,0,0,1.23964,1.39372,10.5836,10.435,10.9261,19.0622,10.2708,10.7234,13.8558,10.5992,11.1288
2018-09-26 16:30:00,10377,(H) Fortuna Duesseldorf,(V) Bayer Leverkusen,1,2,1.75244,1.48071,9.3391,10.9261,10.1240,8.6551,10.7234,10.2392,-1.977,11.1288,10.2587
2018-09-29 13:30:00,10387,(V) Fortuna Duesseldorf,(H) Nuernberg,0,3,1.17182,2.42225,9.0999,10.124,9.3849,10.6947,10.2392,9.9375,9.0053,10.2587,9.8322
2018-10-06 13:30:00,10399,(H) Fortuna Duesseldorf,(V) Schalke 04,0,2,0.557607,1.75802,9.4997,9.3849,8.5117,5.0298,9.9375,9.2642,9.2188,9.8322,9.2591
2018-10-19 18:30:00,10403,(V) Fortuna Duesseldorf,(H) Eintracht Frankfurt,1,7,0.666096,3.51257,10.7276,8.5117,7.2843,11.8029,9.2642,8.8252,17.1524,9.2591,8.7433
2018-10-27 13:30:00,10416,(H) Fortuna Duesseldorf,(V) Wolfsburg,0,3,0.245269,1.74956,8.9552,7.2843,6.6017,10.8778,8.8252,8.5165,7.2812,8.7433,8.4367
2018-11-04 14:30:00,10426,(V) Fortuna Duesseldorf,(H) Borussia M.Gladbach,0,3,0.719516,3.16198,11.002,6.6017,7.0993,6.3668,8.5165,9.1535,4.8887,8.4367,9.5449
