Dátum,Meccs-Id,Fő-Csapat,Ellenfél-Csapat,Hazai-Gól,Ellenfél-Gól,Hazai-XG,Ellenfél-XG,Meccs-Előtti-PR,Meccs-Utáni-PR,Meccs-Előtti-xgPR,Meccs-Utáni-xgPR,Meccs-Előtti-Mixed_PR,Meccs-Utáni-Mixed_PR
2018-08-11 17:00:00,9201,(H) Fulham,(V) Crystal Palace,0,2,0.638076,1.07816,10,9.4521,10,9.8421,10,9.5622
2018-08-18 17:00:00,9209,(V) Fulham,(H) Tottenham,1,3,1.44253,3.26713,9.4521,8.7802,9.8421,9.2141,9.5622,9.3465
2018-08-25 17:00:00,9220,(H) Fulham,(V) Burnley,4,2,1.92459,1.56882,8.7802,8.7033,9.2141,8.7261,9.3465,9.1806
2018-09-01 14:00:00,9233,(V) Fulham,(H) Brighton,2,2,1.51555,2.68216,8.7033,8.7256,8.7261,8.4567,9.1806,9.4945
2018-09-15 14:00:00,9239,(V) Fulham,(H) Manchester City,0,3,0.342698,4.91621,8.7256,8.8462,8.4567,8.1840,9.4945,10.7585
2018-09-22 11:30:00,9247,(H) Fulham,(V) Watford,1,1,1.77245,1.76133,8.8462,8.4842,8.184,7.8248,10.7585,10.3937
2018-09-29 14:00:00,9262,(V) Fulham,(H) Everton,0,3,0.536317,2.31538,8.4842,7.3528,7.8248,6.9986,10.3937,9.7071
2018-10-07 11:00:00,9274,(H) Fulham,(V) Arsenal,1,5,1.31588,1.13706,7.3528,6.5327,6.9986,7.2232,9.7071,8.8423
2018-10-20 14:00:00,9282,(V) Fulham,(H) Cardiff,2,4,0.947712,1.7562,6.5327,6.0713,7.2232,7.0597,8.8423,8.5830
2018-10-27 14:00:00,9289,(H) Fulham,(V) Bournemouth,0,3,0.383833,2.10555,6.0713,5.6191,7.0597,6.9271,8.583,8.5613
2018-11-05 20:00:00,9306,(V) Fulham,(H) Huddersfield,0,1,0.354166,0.51433,5.6191,5.8786,6.9271,7.3965,8.5613,8.8608
2018-11-11 12:00:00,9313,(V) Fulham,(H) Liverpool,0,2,0.571301,2.22417,5.8786,6.5434,7.3965,8.1481,8.8608,9.9388
2018-11-24 15:00:00,9320,(H) Fulham,(V) Southampton,3,2,1.3875,1.67163,6.5434,6.9794,8.1481,8.2630,9.9388,10.4458
2018-12-02 12:00:00,9334,(V) Fulham,(H) Chelsea,0,2,0.285256,2.17105,6.9794,7.3594,8.263,8.6715,10.4458,11.2972
2018-12-05 19:45:00,9342,(H) Fulham,(V) Leicester,1,1,1.47593,1.21575,7.3594,7.5468,8.6715,8.9240,11.2972,11.4196
