Dátum,Meccs-Id,Fő-Csapat,Ellenfél-Csapat,Hazai-Gól,Ellenfél-Gól,Hazai-XG,Ellenfél-XG,Vendég-PR,Meccs-Előtti-PR,Meccs-Utáni-PR,Vendég-xgPR,Meccs-Előtti-xgPR,Meccs-Utáni-xgPR,Vendég-Mixed_PR,Meccs-Előtti-Mixed_PR,Meccs-Utáni-Mixed_PR
2015-08-08 23:00:00,1875,(V) GFC Ajaccio,(H) Troyes,0,0,1.05977,0.394458,10,10,10.1250,10,10,10.2913,10,10,9.9587
2015-08-16 23:00:00,1888,(V) GFC Ajaccio,(H) Paris Saint Germain,0,2,0.150143,1.58401,11.42,10.125,10.3090,12.0697,10.2913,10.6169,-1.2299,9.9587,10.5012
2015-08-22 22:00:00,1895,(H) GFC Ajaccio,(V) Angers,0,2,0.384935,1.15678,10.3963,10.309,9.8337,10.1624,10.6169,10.4487,10.1302,10.5012,10.2189
2015-08-29 22:00:00,1901,(V) GFC Ajaccio,(H) Lille,0,1,0.397943,0.756427,10.2974,9.8337,9.7134,9.6014,10.4487,10.4888,10.9934,10.2189,10.1882
2015-09-13 16:00:00,1916,(H) GFC Ajaccio,(V) Monaco,0,1,0.970684,2.98213,9.4311,9.7134,9.3947,8.4029,10.4888,9.9172,4.7088,10.1882,10.3723
2015-09-19 22:00:00,1924,(V) GFC Ajaccio,(H) Guingamp,1,2,0.222122,1.31453,10.2743,9.3947,9.2207,12.9117,9.9172,9.7200,11.636,10.3723,10.4714
2015-09-23 21:00:00,1935,(H) GFC Ajaccio,(V) Rennes,1,1,0.502333,1.6963,11.1033,9.2207,9.5695,12.1966,9.72,9.7703,10.5099,10.4714,11.1187
2015-09-26 22:00:00,1943,(V) GFC Ajaccio,(H) Caen,0,2,0.270893,2.22963,9.3366,9.5695,9.2622,5.7391,9.7703,9.4734,13.6847,11.1187,11.3011
2015-10-03 22:00:00,1953,(H) GFC Ajaccio,(V) Toulouse,2,2,0.807682,0.647119,9.6928,9.2622,9.3517,14.8693,9.4734,9.6031,11.0157,11.3011,11.3505
2015-10-17 22:00:00,1962,(V) GFC Ajaccio,(H) Saint-Etienne,0,2,0.0897244,0.616442,9.1856,9.3517,9.0698,6.9211,9.6031,9.6895,5.9493,11.3505,11.2003
2015-10-24 22:00:00,1971,(H) GFC Ajaccio,(V) Nice,3,1,0.65245,0.265865,13.2189,9.0698,10.3053,12.2247,9.6895,10.5216,13.4635,11.2003,12.3391
2015-10-31 23:00:00,1981,(H) GFC Ajaccio,(V) Bordeaux,2,0,0.269548,0.285349,9.7556,10.3053,10.8455,10.9168,10.5216,10.5579,8.3445,12.3391,12.8833
