Dátum,Meccs-Id,Fő-Csapat,Ellenfél-Csapat,Hazai-Gól,Ellenfél-Gól,Hazai-XG,Ellenfél-XG,Vendég-PR,Meccs-Előtti-PR,Meccs-Utáni-PR,Vendég-xgPR,Meccs-Előtti-xgPR,Meccs-Utáni-xgPR,Vendég-Mixed_PR,Meccs-Előtti-Mixed_PR,Meccs-Utáni-Mixed_PR
2014-08-23 14:30:00,5449,(H) Hannover 96,(V) Schalke 04,2,1,1.17979,0.956665,10,10,10.1250,10,10,9.9308,10,10,10.0692
2014-08-31 14:30:00,5463,(V) Hannover 96,(H) Mainz 05,0,0,0.561787,1.0088,10.125,10.125,10.2500,10.4972,9.9308,9.9440,9.7528,10.0692,10.3060
2014-09-14 16:30:00,5419,(H) Hannover 96,(V) Hamburger SV,2,0,2.22631,0.976735,9.25,10.25,10.6250,9.7904,9.944,10.1314,9.4596,10.306,10.3686
2014-09-20 14:30:00,5424,(V) Hannover 96,(H) Paderborn,0,2,0.550873,2.05175,10.625,10.625,10.3750,9.7954,10.1314,10.0062,10.7046,10.3686,10.4938
2014-09-24 19:00:00,5436,(H) Hannover 96,(V) FC Cologne,1,0,0.408032,0.695122,10.375,10.375,10.5000,9.8808,10.0062,9.8094,10.3692,10.4938,10.6906
2014-09-27 14:30:00,5440,(V) Hannover 96,(H) VfB Stuttgart,0,1,0.853246,0.826395,9.1562,10.5,9.9688,9.6693,9.8094,9.5349,10.1432,10.6906,10.1526
2014-10-04 14:30:00,5385,(V) Hannover 96,(H) Bayern Munich,0,4,0.443178,2.69879,11.9688,9.9688,9.3125,11.9803,9.5349,9.3147,9.7072,10.1526,10.0603
2014-10-18 14:30:00,5394,(H) Hannover 96,(V) Borussia M.Gladbach,0,3,0.558311,1.61826,10.8711,9.3125,8.6797,10.8777,9.3147,9.1669,9.6145,10.0603,9.6925
2014-10-25 14:30:00,5406,(V) Hannover 96,(H) Borussia Dortmund,1,0,0.695852,1.61946,8.7617,8.6797,8.9199,10.5489,9.1669,8.9262,7.9746,9.6925,10.1636
2014-11-01 14:30:00,5349,(H) Hannover 96,(V) Eintracht Frankfurt,1,0,1.11725,0.353128,9.2501,8.9199,9.3184,9.1904,8.9262,9.2657,9.5596,10.1636,10.3710
2014-11-07 19:30:00,5356,(V) Hannover 96,(H) Hertha Berlin,2,0,1.09164,0.363993,9.9276,9.3184,10.2537,10.3712,9.2657,9.8829,10.4843,10.371,11.1244
2014-11-22 14:30:00,5369,(H) Hannover 96,(V) Bayer Leverkusen,1,3,0.780087,2.36608,9.8198,10.2537,9.7874,10.8034,9.8829,9.5201,8.3361,11.1244,11.0546
2014-11-29 17:30:00,5380,(V) Hannover 96,(H) Hoffenheim,3,4,1.81072,1.99562,9.2041,9.7874,9.5115,9.337,9.5201,9.4480,9.3209,11.0546,10.8250
2014-12-06 14:30:00,5314,(H) Hannover 96,(V) Wolfsburg,1,3,1.6788,1.85576,11.2644,9.5115,9.2889,10.0518,9.448,9.6812,9.2265,10.825,10.6467
2014-12-13 14:30:00,5323,(V) Hannover 96,(H) Werder Bremen,3,3,1.54036,1.84609,9.9409,9.2889,9.6505,11.6957,9.6812,9.9664,10.9362,10.6467,11.0848
2014-12-16 19:00:00,5330,(H) Hannover 96,(V) Augsburg,2,0,1.33926,0.693534,10.1897,9.6505,10.4611,9.9206,9.9664,10.4384,9.9588,11.0848,11.7339
2014-12-21 16:30:00,5347,(V) Hannover 96,(H) Freiburg,2,2,1.52484,1.28555,9.2508,10.4611,10.3978,9.921,10.4384,10.4349,10.5803,11.7339,11.6107
2015-01-31 14:30:00,5310,(V) Hannover 96,(H) Schalke 04,0,1,0.91702,1.99671,9.8375,10.3978,10.2007,7.3222,10.4349,10.2179,10.6029,11.6107,11.6836
2015-02-03 19:00:00,5262,(H) Hannover 96,(V) Mainz 05,1,1,1.7109,1.19042,10.8075,10.2007,9.8436,10.1966,10.2179,9.9909,11.168,11.6836,11.1964
2015-02-07 17:30:00,5277,(V) Hannover 96,(H) Hamburger SV,1,2,2.24545,0.674771,9.8122,9.8436,9.3819,10.5455,9.9909,10.1718,11.3291,11.1964,10.3420
2015-02-15 16:30:00,5288,(H) Hannover 96,(V) Paderborn,1,2,0.858803,0.98493,7.9802,9.3819,8.4008,8.4443,10.1718,9.4091,10.7658,10.342,9.3924
2015-02-21 17:30:00,5295,(V) Hannover 96,(H) FC Cologne,1,1,0.979608,1.54226,9.4123,8.4008,8.5290,9.3189,9.4091,9.3967,10.7558,9.3924,9.6613
2015-02-28 14:30:00,5302,(H) Hannover 96,(V) VfB Stuttgart,1,1,1.5399,0.742277,9.1775,8.529,8.6074,11.3854,9.3967,9.6745,11.2198,9.6613,9.5403
2015-03-07 14:30:00,5236,(H) Hannover 96,(V) Bayern Munich,1,3,0.205925,1.33559,13.1344,8.6074,9.1490,8.9423,9.6745,10.4337,4.0768,9.5403,10.3643
2015-03-15 16:30:00,5250,(V) Hannover 96,(H) Borussia M.Gladbach,0,2,0.395038,3.30586,10.3198,9.149,9.2234,8.572,10.4337,10.2804,8.8178,10.3643,11.1664
2015-03-21 14:30:00,5254,(H) Hannover 96,(V) Borussia Dortmund,2,3,0.927629,2.31429,10.4101,9.2234,9.3478,13.4748,10.2804,10.3082,7.3453,11.1664,11.6375
2015-04-04 14:30:00,5196,(V) Hannover 96,(H) Eintracht Frankfurt,2,2,1.33074,1.03699,9.1317,9.3478,9.5318,9.5172,10.3082,10.5657,9.4958,11.6375,11.7481
2015-04-10 19:30:00,5204,(H) Hannover 96,(V) Hertha Berlin,1,1,1.67956,0.358149,9.7847,9.5318,9.6063,9.8618,10.5657,10.9705,12.4576,11.7481,11.4922
2015-04-18 14:30:00,5218,(V) Hannover 96,(H) Bayer Leverkusen,0,4,0.326006,2.60733,11.8768,9.6063,9.2823,10.0316,10.9705,11.0762,8.4722,11.4922,11.7386
2015-04-25 14:30:00,5223,(H) Hannover 96,(V) Hoffenheim,1,2,1.30305,1.26477,9.0213,9.2823,8.7388,9.9592,11.0762,10.7923,9.0832,11.7386,11.1855
2015-05-02 14:30:00,5160,(V) Hannover 96,(H) Wolfsburg,2,2,1.41691,1.52891,10.7349,8.7388,9.1594,7.4745,10.7923,11.1849,6.2444,11.1855,11.6341
2015-05-09 14:30:00,5172,(H) Hannover 96,(V) Werder Bremen,1,1,1.17255,0.490122,9.3489,9.1594,9.1275,10.6394,11.1849,11.3236,11.0583,11.6341,11.4316
2015-05-16 14:30:00,5180,(V) Hannover 96,(H) Augsburg,2,1,0.466165,1.03797,9.8189,9.1275,9.4134,9.4049,11.3236,11.2165,10.4834,11.4316,11.8605
2015-05-23 14:30:00,5189,(H) Hannover 96,(V) Freiburg,2,1,0.593454,0.661015,9.6422,9.4134,9.5347,10.3197,11.2165,11.0710,11.4648,11.8605,11.9987
2015-08-15 17:30:00,1026,(V) Hannover 96,(H) Darmstadt,2,2,1.85731,1.80912,10,9.5347,9.8064,10,11.071,11.3547,10,11.9987,12.2583
