Dátum,Meccs-Id,Fő-Csapat,Ellenfél-Csapat,Hazai-Gól,Ellenfél-Gól,Hazai-XG,Ellenfél-XG,Vendég-PR,Meccs-Előtti-PR,Meccs-Utáni-PR,Vendég-xgPR,Meccs-Előtti-xgPR,Meccs-Utáni-xgPR,Vendég-Mixed_PR,Meccs-Előtti-Mixed_PR,Meccs-Utáni-Mixed_PR
2014-08-23 14:30:00,5450,(H) Hertha Berlin,(V) Werder Bremen,2,2,1.75585,1.19453,10,10,9.8750,10,10,10.0153,10,10,9.7347
2014-08-30 14:30:00,5460,(V) Hertha Berlin,(H) Bayer Leverkusen,2,4,0.712547,2.53036,10.625,9.875,9.5000,10.2917,10.0153,9.6858,10.4583,9.7347,9.8142
2014-09-13 14:30:00,5415,(H) Hertha Berlin,(V) Mainz 05,1,3,1.71631,2.36643,10.0,9.5,8.9375,10.484,9.6858,9.4608,9.516,9.8142,9.4142
2014-09-19 19:30:00,5420,(V) Hertha Berlin,(H) Freiburg,2,2,0.285542,0.869782,9.25,8.9375,9.1250,9.7882,9.4608,9.5022,9.4618,9.4142,9.7478
2014-09-24 19:00:00,5437,(H) Hertha Berlin,(V) Wolfsburg,1,0,0.428365,0.855691,10.9375,9.125,9.5156,10.3015,9.5022,9.5360,11.0735,9.7478,10.2453
2014-09-28 14:30:00,5445,(V) Hertha Berlin,(H) Augsburg,0,1,0.283655,1.25743,10.4375,9.5156,9.6875,10.0408,9.536,9.7144,11.0842,10.2453,10.6606
2014-10-03 19:30:00,5383,(H) Hertha Berlin,(V) VfB Stuttgart,3,2,2.36582,1.42919,9.6875,9.6875,9.7226,9.9438,9.7144,9.7337,10.6812,10.6606,10.4616
2014-10-18 17:30:00,5398,(V) Hertha Berlin,(H) Schalke 04,0,2,0.848507,0.80457,10.4765,9.7226,9.5780,10.0702,9.7337,10.1001,11.133,10.4616,10.3061
2014-10-25 14:30:00,5405,(H) Hertha Berlin,(V) Hamburger SV,3,0,2.51297,0.784655,9.7578,9.578,10.1610,10.4094,10.1001,10.3652,10.6062,10.3061,10.4570
2014-11-02 16:30:00,5355,(V) Hertha Berlin,(H) Paderborn,1,3,0.925677,1.96835,10.2442,10.161,9.9276,9.6824,10.3652,10.3712,10.5559,10.457,10.4843
2014-11-07 19:30:00,5356,(H) Hertha Berlin,(V) Hannover 96,0,2,0.363993,1.09164,9.3184,9.9276,8.9923,9.2657,10.3712,9.7540,10.371,10.4843,9.7309
2014-11-22 17:30:00,5371,(V) Hertha Berlin,(H) FC Cologne,2,1,0.473541,1.12625,9.7629,8.9923,9.1944,8.6111,9.754,9.5430,10.915,9.7309,10.0962
2014-11-29 14:30:00,5378,(H) Hertha Berlin,(V) Bayern Munich,0,1,0.25622,1.94047,12.5576,9.1944,9.5992,10.4516,9.543,9.7767,7.6637,10.0962,10.9221
2014-12-06 14:30:00,5313,(V) Hertha Berlin,(H) Borussia M.Gladbach,2,3,1.42138,1.82786,9.7027,9.5992,9.5681,8.9201,9.7767,9.8940,8.9857,10.9221,10.9926
2014-12-13 14:30:00,5322,(H) Hertha Berlin,(V) Borussia Dortmund,1,0,0.764752,0.842366,9.7117,9.5681,9.7910,12.6697,9.894,9.8475,8.2535,10.9926,11.2349
2014-12-17 19:00:00,5334,(V) Hertha Berlin,(H) Eintracht Frankfurt,4,4,2.04957,2.73817,10.9009,9.791,10.3662,10.718,9.8475,10.2505,11.0835,11.2349,11.9822
2014-12-21 14:30:00,5346,(H) Hertha Berlin,(V) Hoffenheim,0,5,0.706377,3.62858,10.3097,10.3662,9.1002,9.9357,10.2505,9.5039,10.9332,11.9822,11.4468
2015-02-01 14:30:00,5260,(V) Hertha Berlin,(H) Werder Bremen,0,2,0.0990819,0.839904,9.0049,9.1002,8.3593,11.3375,9.5039,9.0778,9.9224,11.4468,10.8911
2015-02-04 19:00:00,5269,(H) Hertha Berlin,(V) Bayer Leverkusen,0,1,0.531751,1.06863,10.4169,8.3593,8.4206,10.7365,9.0778,9.2549,8.0974,10.8911,11.0866
2015-02-07 14:30:00,5275,(V) Hertha Berlin,(H) Mainz 05,2,0,1.77083,1.5201,11.1646,8.4206,9.6577,10.4236,9.2549,10.0546,11.6552,11.0866,12.2610
2015-02-15 14:30:00,5287,(H) Hertha Berlin,(V) Freiburg,0,2,0.491416,0.927697,9.5517,9.6577,9.5389,10.3314,10.0546,10.3267,11.022,12.261,12.2512
2015-02-22 16:30:00,5297,(V) Hertha Berlin,(H) Wolfsburg,1,2,0.563215,1.77626,12.1283,9.5389,10.0092,9.3834,10.3267,10.7437,9.1222,12.2512,13.0247
2015-02-28 14:30:00,5303,(H) Hertha Berlin,(V) Augsburg,1,0,1.26944,0.663246,10.0382,10.0092,10.3044,9.1244,10.7437,10.9405,10.2023,13.0247,13.1684
2015-03-06 19:30:00,5233,(V) Hertha Berlin,(H) VfB Stuttgart,0,0,0.682492,1.07906,9.0991,10.3044,10.2215,11.1076,10.9405,10.7584,11.3408,13.1684,13.1846
2015-03-14 14:30:00,5245,(H) Hertha Berlin,(V) Schalke 04,2,2,1.64453,1.99192,10.1655,10.2215,10.0177,7.0482,10.7584,10.4678,11.533,13.1846,13.0677
2015-03-20 19:30:00,5251,(V) Hertha Berlin,(H) Hamburger SV,1,0,0.7084,0.482112,8.9402,10.0177,10.1456,10.4452,10.4678,10.4023,12.4356,13.0677,13.1390
2015-04-05 16:30:00,5203,(H) Hertha Berlin,(V) Paderborn,2,0,1.84498,0.563136,7.4992,10.1456,9.7847,10.4569,10.4023,9.8618,11.2914,13.139,12.4576
2015-04-10 19:30:00,5204,(V) Hertha Berlin,(H) Hannover 96,1,1,0.358149,1.67956,9.5318,9.7847,9.7103,10.5657,9.8618,9.4570,11.7481,12.4576,12.7135
2015-04-18 14:30:00,5216,(H) Hertha Berlin,(V) FC Cologne,0,0,1.06799,0.54042,10.1585,9.7103,9.7152,10.1052,9.457,9.5938,11.7116,12.7135,12.5865
2015-04-25 17:30:00,5228,(V) Hertha Berlin,(H) Bayern Munich,0,1,0.951998,0.896545,11.4737,9.7152,10.0533,6.3143,9.5938,10.1958,0.8834,12.5865,12.9108
2015-05-03 16:30:00,5167,(H) Hertha Berlin,(V) Borussia M.Gladbach,1,2,1.09646,2.19034,11.3741,10.0533,10.1606,8.6049,10.1958,10.2796,8.3934,12.9108,13.2915
2015-05-09 14:30:00,5170,(V) Hertha Berlin,(H) Borussia Dortmund,0,2,0.135418,1.78902,10.222,10.1606,9.8858,13.6625,10.2796,10.0913,6.0315,13.2915,13.4301
2015-05-16 14:30:00,5183,(H) Hertha Berlin,(V) Eintracht Frankfurt,0,0,1.08366,0.0408065,9.8228,9.8858,9.5927,9.8468,10.0913,10.0589,11.5487,13.4301,12.8763
2015-05-23 14:30:00,5190,(V) Hertha Berlin,(H) Hoffenheim,1,2,0.485545,0.893112,9.6601,9.5927,9.3617,11.2995,10.0589,9.9760,9.7706,12.8763,12.7472
2015-08-15 17:30:00,1023,(V) Hertha Berlin,(H) Augsburg,1,0,1.23291,1.14869,10.7088,9.3617,9.7218,10.022,9.976,10.1071,11.3962,12.7472,13.0862
2015-08-21 22:30:00,1030,(H) Hertha Berlin,(V) Werder Bremen,1,1,0.494279,0.957641,8.6219,9.7218,9.6037,10.5617,10.1071,9.8732,11.182,13.0862,13.0839
2015-08-30 17:30:00,1046,(V) Hertha Berlin,(H) Borussia Dortmund,1,3,0.633538,3.73248,12.6239,9.6037,9.6880,15.9451,9.8732,9.6828,6.0528,13.0839,13.9430
2015-09-12 17:30:00,1051,(H) Hertha Berlin,(V) VfB Stuttgart,2,1,1.47686,1.02726,8.9428,9.688,9.8238,14.8956,9.6828,9.6810,8.9899,13.943,13.9664
2015-09-19 17:30:00,1059,(V) Hertha Berlin,(H) Wolfsburg,0,2,0.271584,2.42975,10.8947,9.8238,9.8043,6.7475,9.681,9.6220,5.5411,13.9664,14.4865
2015-09-22 22:00:00,1067,(H) Hertha Berlin,(V) FC Cologne,2,0,1.34684,0.853586,9.1304,9.8043,10.0905,7.6661,9.622,9.5315,12.0942,14.4865,14.6493
2015-09-27 17:30:00,1082,(V) Hertha Berlin,(H) Eintracht Frankfurt,1,1,2.23038,1.41369,10.8502,10.0905,10.7192,9.2758,9.5315,10.3644,12.9248,14.6493,15.0739
2015-10-03 17:30:00,1087,(H) Hertha Berlin,(V) Hamburger SV,3,0,2.0435,0.315135,10.3239,10.7192,11.5371,10.6205,10.3644,10.8644,16.7779,15.0739,15.4597
2015-10-17 17:30:00,1096,(V) Hertha Berlin,(H) Schalke 04,1,2,0.933849,2.51235,10.0577,11.5371,11.5947,7.5786,10.8644,10.7773,11.5366,15.4597,15.9119
2015-10-24 20:30:00,1108,(V) Hertha Berlin,(H) Ingolstadt,1,0,0.702791,0.66126,9.926,11.5947,11.6720,9.2158,10.7773,10.6150,10.8859,15.9119,15.9789
2015-10-31 18:30:00,1113,(H) Hertha Berlin,(V) Borussia M.Gladbach,1,4,2.31638,1.29051,11.9808,11.672,10.8265,8.0996,10.615,10.7759,8.6122,15.9789,14.8769
2015-11-06 23:30:00,1120,(V) Hertha Berlin,(H) Hannover 96,3,1,1.8958,1.1491,9.7514,10.8265,10.8934,10.326,10.7759,10.5295,15.1769,14.8769,14.7571
2015-11-22 18:30:00,1136,(H) Hertha Berlin,(V) Hoffenheim,1,0,0.100337,0.328805,9.0928,10.8934,10.6458,9.3774,10.5295,9.9748,12.0581,14.7571,14.5666
2015-11-28 18:30:00,1142,(V) Hertha Berlin,(H) Bayern Munich,0,2,0.218952,3.93799,12.023,10.6458,10.5509,7.1706,9.9748,9.4501,-7.3741,14.5666,15.4015
2015-12-05 18:30:00,1151,(H) Hertha Berlin,(V) Bayer Leverkusen,2,1,1.02556,1.2452,9.9789,10.5509,10.5156,8.3328,9.4501,9.1099,5.3753,15.4015,15.4211
2015-12-12 18:30:00,1157,(V) Hertha Berlin,(H) Darmstadt,4,0,1.99133,0.26179,9.5429,10.5156,11.2608,8.9953,9.1099,9.2875,11.0905,15.4211,15.7339
2015-12-20 18:30:00,1172,(H) Hertha Berlin,(V) Mainz 05,2,0,1.52652,0.26315,10.2768,11.2608,11.7211,8.8687,9.2875,9.5636,11.6841,15.7339,15.8783
2016-01-23 18:30:00,1177,(H) Hertha Berlin,(V) Augsburg,0,0,0.638542,0.704125,10.8963,11.7211,11.4253,10.152,9.5636,9.2514,12.8914,15.8783,15.5989
2016-01-30 18:30:00,1188,(V) Hertha Berlin,(H) Werder Bremen,3,3,1.33238,2.40454,9.4759,11.4253,10.7120,12.5717,9.2514,8.2701,13.3792,15.5989,15.1536
2016-02-06 18:30:00,1196,(H) Hertha Berlin,(V) Borussia Dortmund,0,0,0.881103,0.391491,11.097,10.712,10.5124,16.6498,8.2701,8.1929,-2.7057,15.1536,14.8316
2016-02-13 18:30:00,1205,(V) Hertha Berlin,(H) VfB Stuttgart,0,2,1.12753,1.27221,10.8162,10.5124,10.0899,17.9609,8.1929,8.2342,10.6716,14.8316,14.4452
2016-02-20 18:30:00,1212,(H) Hertha Berlin,(V) Wolfsburg,1,1,0.693683,0.743911,8.8136,10.0899,9.3864,6.617,8.2342,7.5182,1.7595,14.4452,13.7543
2016-02-26 23:30:00,1219,(V) Hertha Berlin,(H) FC Cologne,1,0,0.842565,0.787942,9.9957,9.3864,9.7130,9.8313,7.5182,7.6085,12.6597,13.7543,14.0673
2016-03-02 23:00:00,1231,(H) Hertha Berlin,(V) Eintracht Frankfurt,2,0,1.21008,0.339767,8.8519,9.713,9.9159,6.9357,7.6085,7.5290,14.768,14.0673,14.0527
2016-03-06 20:30:00,1245,(V) Hertha Berlin,(H) Hamburger SV,0,2,0.22915,1.10346,9.4237,9.9159,9.4672,8.7255,7.529,7.3617,17.8727,14.0527,13.8226
2016-03-11 23:30:00,1246,(H) Hertha Berlin,(V) Schalke 04,2,0,1.41068,1.08126,10.4351,9.4672,9.8280,7.8257,7.3617,7.3048,11.294,13.8226,14.1010
2016-03-19 18:30:00,1260,(H) Hertha Berlin,(V) Ingolstadt,2,1,1.12049,0.67263,9.3469,9.828,9.9907,9.5477,7.3048,7.3295,10.8959,14.101,14.1517
2016-04-03 17:30:00,1271,(V) Hertha Berlin,(H) Borussia M.Gladbach,0,5,0.280578,2.41386,10.7291,9.9907,9.1588,5.9665,7.3295,7.2143,6.2427,14.1517,13.8531
2016-04-08 22:30:00,1273,(H) Hertha Berlin,(V) Hannover 96,2,2,1.66964,1.25141,7.3554,9.1588,8.4748,8.7944,7.2143,6.6348,17.4167,13.8531,13.0645
2016-04-16 17:30:00,1283,(V) Hertha Berlin,(H) Hoffenheim,1,2,1.09114,1.31625,10.4307,8.4748,8.6083,9.839,6.6348,6.9620,15.2719,13.0645,13.2543
2016-04-23 17:30:00,1295,(H) Hertha Berlin,(V) Bayern Munich,0,2,0.351189,0.192443,11.4293,8.6083,8.6747,6.3074,6.962,7.5681,-13.448,13.2543,13.2811
2016-04-30 20:30:00,1307,(V) Hertha Berlin,(H) Bayer Leverkusen,1,2,0.344918,2.98724,11.7567,8.6747,9.3472,7.4044,7.5681,7.8300,6.1092,13.2811,14.6142
2016-05-07 17:30:00,1316,(H) Hertha Berlin,(V) Darmstadt,1,2,1.35682,1.26224,8.9136,9.3472,9.2233,9.8081,7.83,7.9797,11.5187,14.6142,14.4666
2016-05-14 17:30:00,1324,(V) Hertha Berlin,(H) Mainz 05,0,0,0.873124,1.48776,9.8504,9.2233,9.3653,8.3087,7.9797,7.9681,10.8915,14.4666,14.7623
2016-08-28 17:30:00,1334,(H) Hertha Berlin,(V) Freiburg,2,1,0.869084,0.360723,9.5209,9.3653,9.5950,10.4652,7.9681,8.0749,11.3266,14.7623,14.8649
2016-09-10 17:30:00,1338,(V) Hertha Berlin,(H) Ingolstadt,2,0,0.854096,0.986677,9.9183,9.595,10.3190,11.194,8.0749,8.2658,10.8924,14.8649,15.6220
2016-09-18 19:30:00,1353,(H) Hertha Berlin,(V) Schalke 04,2,0,0.724842,0.424457,10.5569,10.319,11.1221,8.1436,8.2658,8.6439,12.7195,15.622,16.3500
2016-09-21 22:00:00,1360,(V) Hertha Berlin,(H) Bayern Munich,0,3,0.153422,2.71721,12.7323,11.1221,11.1474,5.2382,8.6439,8.7783,-13.5228,16.35,17.0162
2016-09-24 17:30:00,1368,(V) Hertha Berlin,(H) Eintracht Frankfurt,3,3,1.17158,1.50633,10.5478,11.1474,11.0378,9.015,8.7783,8.5850,17.3306,17.0162,16.9903
2016-10-01 17:30:00,1374,(H) Hertha Berlin,(V) Hamburger SV,2,0,2.44266,1.11245,9.2375,11.0378,10.7722,8.2499,8.585,8.1519,19.976,16.9903,16.3921
2016-10-14 22:30:00,1381,(V) Hertha Berlin,(H) Borussia Dortmund,1,1,0.994838,2.60334,11.5837,10.7722,11.2685,15.8257,8.1519,8.2460,-8.4084,16.3921,17.2905
2016-10-22 17:30:00,1394,(H) Hertha Berlin,(V) FC Cologne,2,1,1.43523,1.35639,11.4774,11.2685,11.7035,10.5051,8.246,8.4507,12.9489,17.2905,17.7058
2016-10-30 18:30:00,3306,(V) Hertha Berlin,(H) Hoffenheim,0,1,0.251867,2.77857,11.4286,11.7035,11.3171,11.1448,8.4507,7.6826,15.4622,17.7058,17.9511
2016-11-04 23:30:00,2806,(H) Hertha Berlin,(V) Borussia M.Gladbach,3,0,1.66602,0.636014,9.4527,11.3171,11.3131,4.2147,7.6826,7.1861,4.1913,17.9511,17.6896
2016-11-19 18:30:00,2819,(V) Hertha Berlin,(H) Augsburg,0,0,1.42162,1.1004,10.109,11.3131,10.9629,8.4947,7.1861,6.9163,15.2244,17.6896,17.2591
2016-11-27 20:30:00,2832,(H) Hertha Berlin,(V) Mainz 05,2,1,1.63472,1.52234,10.1032,10.9629,10.6134,8.0114,6.9163,6.3449,11.4447,17.2591,16.8815
2016-12-03 18:30:00,3193,(V) Hertha Berlin,(H) Wolfsburg,3,2,1.54821,1.13683,10.0973,10.6134,10.8079,9.0079,6.3449,6.3922,4.4357,16.8815,16.9732
2016-12-10 21:30:00,3207,(H) Hertha Berlin,(V) Werder Bremen,0,1,0.521946,1.371,9.306,10.8079,10.0832,15.088,6.3922,5.7053,14.7728,16.9732,16.4608
2016-12-17 18:30:00,3213,(V) Hertha Berlin,(H) RasenBallsport Leipzig,0,2,0.199768,1.64142,10.919,10.0832,9.8995,10.7221,5.7053,5.6612,6.8655,16.4608,16.6375
2016-12-21 23:00:00,3225,(H) Hertha Berlin,(V) Darmstadt,2,0,2.04959,1.07625,8.4438,9.8995,9.8009,9.751,5.6612,5.3059,15.1364,16.6375,16.2956
2017-01-22 17:30:00,3729,(V) Hertha Berlin,(H) Bayer Leverkusen,1,3,1.18956,2.20774,9.7399,9.8009,9.3739,7.2325,5.3059,5.1244,2.2479,16.2956,16.1232
2017-01-29 17:30:00,3738,(V) Hertha Berlin,(H) Freiburg,1,2,0.529186,0.618883,10.3308,9.3739,9.3335,11.8411,5.1244,5.3116,13.3207,16.1232,16.1052
2017-02-04 14:30:00,3745,(H) Hertha Berlin,(V) Ingolstadt,1,0,0.810684,0.523057,9.7966,9.3335,9.4443,12.7914,5.3116,5.2443,12.0516,16.1052,16.1441
2017-02-11 17:30:00,3755,(V) Hertha Berlin,(H) Schalke 04,0,2,0.577284,1.20548,10.3613,9.4443,9.1546,7.8161,5.2443,5.2975,11.6557,16.1441,16.0114
2017-02-18 14:30:00,3762,(H) Hertha Berlin,(V) Bayern Munich,1,1,0.925318,1.28308,11.3339,9.1546,9.4790,3.0483,5.2975,5.5325,-19.8798,16.0114,16.4252
2017-02-25 17:30:00,3773,(H) Hertha Berlin,(V) Eintracht Frankfurt,2,0,0.743606,0.550767,8.7838,9.479,9.9591,6.9165,5.5325,5.5608,15.4015,16.4252,16.8571
2017-03-05 16:30:00,3784,(V) Hertha Berlin,(H) Hamburger SV,0,1,0.385743,0.696504,9.0129,9.9591,10.1607,9.4783,5.5608,5.9347,22.2982,16.8571,17.1364
2017-03-11 14:30:00,3790,(H) Hertha Berlin,(V) Borussia Dortmund,2,1,1.73774,1.08133,12.3232,10.1607,10.6119,18.4739,5.9347,6.3000,-13.8274,17.1364,17.4235
2017-03-18 14:30:00,3796,(V) Hertha Berlin,(H) FC Cologne,2,4,1.69998,1.0584,9.36,10.6119,9.9936,9.3553,6.3,6.3421,10.364,17.4235,16.6448
2017-03-31 19:30:00,3803,(H) Hertha Berlin,(V) Hoffenheim,1,3,0.269789,3.16527,10.6213,9.9936,9.4473,8.3635,6.3421,5.5719,12.8791,16.6448,16.8223
