Dátum,Meccs-Id,Fő-Csapat,Ellenfél-Csapat,Hazai-Gól,Ellenfél-Gól,Hazai-XG,Ellenfél-XG,Meccs-Előtti-PR,Meccs-Utáni-PR,Meccs-Előtti-xgPR,Meccs-Utáni-xgPR,Meccs-Előtti-Mixed_PR,Meccs-Utáni-Mixed_PR
2014-08-16 15:00:00,4751,(V) Hull,(H) Queens Park Rangers,1,0,1.11757,1.90067,10,10.3750,10,9.9292,10,10.5708
2014-08-24 13:30:00,4765,(H) Hull,(V) Stoke,1,1,0.870175,1.60916,10.375,10.2500,9.9292,9.6195,10.5708,10.6305
2014-08-31 13:30:00,4776,(V) Hull,(H) Aston Villa,1,2,0.28888,0.639316,10.25,10.1250,9.6195,9.6569,10.6305,10.5931
2014-09-15 20:00:00,4728,(H) Hull,(V) West Ham,2,2,0.439084,0.661678,10.125,10.0000,9.6569,9.4763,10.5931,10.5237
2014-09-20 15:00:00,4733,(V) Hull,(H) Newcastle United,2,2,0.854291,1.91632,10.0,9.9688,9.4763,9.1795,10.5237,10.7580
2014-09-27 15:00:00,4744,(H) Hull,(V) Manchester City,2,4,1.12374,1.78953,9.9688,9.4219,9.1795,8.9662,10.758,10.3776
2014-10-04 15:00:00,4689,(H) Hull,(V) Crystal Palace,2,0,1.07209,0.616109,9.4219,9.6797,8.9662,8.8380,10.3776,10.5214
2014-10-18 15:00:00,4705,(V) Hull,(H) Arsenal,2,2,0.552062,2.14845,9.6797,10.2188,8.838,8.9780,10.5214,11.4595
2014-10-25 15:00:00,4713,(V) Hull,(H) Liverpool,0,0,0.222999,0.678924,10.2188,10.3194,8.978,8.9646,11.4595,11.6741
2014-11-01 15:00:00,4655,(H) Hull,(V) Southampton,0,1,0.256678,1.90484,10.3194,10.4024,8.9646,8.8856,11.6741,12.1692
2014-11-08 15:00:00,4660,(V) Hull,(H) Burnley,0,1,0.526656,1.10315,10.4024,9.7632,8.8856,8.3523,12.1692,11.6741
2014-11-23 16:00:00,4677,(H) Hull,(V) Tottenham,1,2,0.94244,2.16438,9.7632,9.1499,8.3523,7.6835,11.6741,11.3663
2014-11-29 15:00:00,4683,(V) Hull,(H) Manchester United,0,3,0.230407,1.76885,9.1499,8.8207,7.6835,7.7196,11.3663,11.4217
2014-12-03 19:45:00,4596,(V) Hull,(H) Everton,1,1,0.29547,1.27965,8.8207,9.1733,7.7196,7.8262,11.4217,12.0203
2014-12-06 15:00:00,4603,(H) Hull,(V) West Bromwich Albion,0,0,0.586305,1.06151,9.1733,9.1610,7.8262,7.6951,12.0203,12.1268
2014-12-13 15:00:00,4610,(V) Hull,(H) Chelsea,0,2,0.435091,1.21862,9.161,9.2772,7.6951,8.1154,12.1268,12.4389
2014-12-20 15:00:00,4625,(H) Hull,(V) Swansea,0,1,0.825885,1.45331,9.2772,9.1371,8.1154,8.0684,12.4389,12.4557
2014-12-26 15:00:00,4632,(V) Hull,(H) Sunderland,3,1,0.85573,1.35551,9.1371,9.7942,8.0684,8.1006,12.4557,13.2377
2014-12-28 15:00:00,4642,(H) Hull,(V) Leicester,0,1,1.72314,0.180127,9.7942,9.4755,8.1006,8.4177,13.2377,12.5333
2015-01-01 15:00:00,4558,(H) Hull,(V) Everton,2,0,1.95682,0.957698,9.4755,9.6853,8.4177,8.3773,12.5333,12.4933
2015-01-10 15:00:00,4563,(V) Hull,(H) West Bromwich Albion,0,1,0.395844,0.784159,9.6853,9.4657,8.3773,8.3106,12.4933,12.3708
2015-01-18 13:30:00,4578,(V) Hull,(H) West Ham,0,3,0.423719,2.68629,9.4657,8.8061,8.3106,7.8354,12.3708,12.2769
2015-01-31 12:45:00,4581,(H) Hull,(V) Newcastle United,0,3,0.989377,0.50926,8.8061,7.9141,7.8354,7.8134,12.2769,11.2649
2015-02-07 15:00:00,4519,(V) Hull,(H) Manchester City,1,1,1.13348,0.992526,7.9141,8.2296,7.8134,8.1642,11.2649,11.5452
2015-02-10 19:45:00,4527,(H) Hull,(V) Aston Villa,2,0,0.985975,0.423817,8.2296,8.6605,8.1642,8.2356,11.5452,11.8355
2015-02-21 15:00:00,4540,(H) Hull,(V) Queens Park Rangers,2,1,1.09259,0.190631,8.6605,9.0285,8.2356,8.5791,11.8355,11.9780
2015-02-28 15:00:00,4547,(V) Hull,(H) Stoke,0,1,0.344489,0.895577,9.0285,9.0821,8.5791,8.7450,11.978,12.1694
