Dátum,Meccs-Id,Fő-Csapat,Ellenfél-Csapat,Hazai-Gól,Ellenfél-Gól,Hazai-XG,Ellenfél-XG,Meccs-Előtti-PR,Meccs-Utáni-PR,Meccs-Előtti-xgPR,Meccs-Utáni-xgPR,Meccs-Előtti-Mixed_PR,Meccs-Utáni-Mixed_PR
2015-08-15 17:30:00,1025,(V) Ingolstadt,(H) Mainz 05,1,0,0.577316,0.547769,10,10.3750,10,10.1324,10,10.3676
2015-08-23 17:30:00,1037,(H) Ingolstadt,(V) Borussia Dortmund,0,4,0.0514071,3.63386,10.375,9.3102,10.1324,9.1720,10.3676,10.1984
2015-08-29 17:30:00,1041,(V) Ingolstadt,(H) Augsburg,1,0,1.24787,0.832315,9.3102,9.6786,9.172,9.3943,10.1984,10.4629
2015-09-12 17:30:00,1052,(H) Ingolstadt,(V) Wolfsburg,0,0,0.178191,0.732037,9.6786,9.8814,9.3943,9.4587,10.4629,10.8042
2015-09-19 17:30:00,1061,(V) Ingolstadt,(H) Werder Bremen,1,0,1.47429,1.22829,9.8814,10.1187,9.4587,9.5076,10.8042,10.9801
2015-09-22 22:00:00,1068,(H) Ingolstadt,(V) Hamburger SV,0,1,0.718034,1.16174,10.1187,9.8524,9.5076,9.3803,10.9801,10.8247
2015-09-25 22:30:00,1075,(V) Ingolstadt,(H) FC Cologne,1,1,0.638071,1.3352,9.8524,9.7373,9.3803,9.0909,10.8247,10.8839
2015-10-03 17:30:00,1089,(H) Ingolstadt,(V) Eintracht Frankfurt,2,0,1.185,0.740308,9.7373,10.3662,9.0909,9.3309,10.8839,11.4016
2015-10-18 19:30:00,1101,(V) Ingolstadt,(H) VfB Stuttgart,0,1,1.63336,1.33256,10.3662,9.7772,9.3309,9.0671,11.4016,10.7374
2015-10-24 20:30:00,1108,(H) Ingolstadt,(V) Hertha Berlin,0,1,0.66126,0.702791,9.7772,9.6966,9.0671,9.2261,10.7374,10.6672
2015-10-31 18:30:00,1116,(V) Ingolstadt,(H) Schalke 04,1,1,0.26092,1.07951,9.6966,9.8837,9.2261,9.2086,10.6672,11.0590
2015-11-07 18:30:00,1124,(V) Ingolstadt,(H) Borussia M.Gladbach,0,0,0.939938,1.28313,9.8837,10.5848,9.2086,9.8239,11.059,11.8459
2015-11-22 20:40:00,1137,(H) Ingolstadt,(V) Darmstadt,3,1,2.73623,0.58372,10.5848,10.5392,9.8239,9.8164,11.8459,11.2621
2015-11-28 18:30:00,1140,(V) Ingolstadt,(H) Hannover 96,0,4,0.366248,1.50396,10.5392,9.4198,9.8164,9.4126,11.2621,10.4271
2015-12-05 18:30:00,1152,(H) Ingolstadt,(V) Hoffenheim,1,1,0.489495,1.12887,9.4198,8.9546,9.4126,8.7875,10.4271,10.1217
2015-12-12 18:30:00,1161,(V) Ingolstadt,(H) Bayern Munich,0,2,1.00727,2.49703,8.9546,9.2020,8.7875,9.1625,10.1217,10.7416
2015-12-19 18:30:00,1166,(H) Ingolstadt,(V) Bayer Leverkusen,0,1,0.461211,0.717973,9.202,9.0196,9.1625,9.1659,10.7416,10.6234
2016-01-23 18:30:00,1179,(H) Ingolstadt,(V) Mainz 05,1,0,1.79614,0.651914,9.0196,9.2519,9.1659,9.4343,10.6234,10.5697
2016-01-30 18:30:00,1185,(V) Ingolstadt,(H) Borussia Dortmund,0,2,0.145484,2.19495,9.2519,9.1771,9.4343,9.3472,10.5697,11.0073
2016-02-06 18:30:00,1197,(H) Ingolstadt,(V) Augsburg,2,1,2.8596,0.232784,9.1771,9.6423,9.3472,10.2191,11.0073,10.8157
2016-02-13 18:30:00,1204,(V) Ingolstadt,(H) Wolfsburg,0,2,0.549133,1.37415,9.6423,8.9680,10.2191,9.8386,10.8157,10.3477
2016-02-20 18:30:00,1214,(H) Ingolstadt,(V) Werder Bremen,2,0,1.85348,0.572222,8.968,9.1328,9.8386,9.8237,10.3477,10.1922
2016-02-27 18:30:00,1222,(V) Ingolstadt,(H) Hamburger SV,1,1,1.01142,0.897328,9.1328,9.2035,9.8237,9.9230,10.1922,10.2344
2016-03-01 23:00:00,1229,(H) Ingolstadt,(V) FC Cologne,1,1,1.40092,1.14458,9.2035,9.1366,9.923,9.9202,10.2344,10.1034
2016-03-05 18:30:00,1240,(V) Ingolstadt,(H) Eintracht Frankfurt,1,1,1.55385,2.63935,9.1366,9.0177,9.9202,9.5299,10.1034,10.2559
2016-03-12 18:30:00,1248,(H) Ingolstadt,(V) VfB Stuttgart,3,3,1.86907,3.11394,9.0177,8.7603,9.5299,8.9613,10.2559,10.3097
2016-03-19 18:30:00,1260,(V) Ingolstadt,(H) Hertha Berlin,1,2,0.67263,1.12049,8.7603,8.5868,8.9613,8.9258,10.3097,10.2481
2016-04-02 17:30:00,1267,(H) Ingolstadt,(V) Schalke 04,3,0,1.86933,0.864055,8.5868,9.3838,8.9258,9.2241,10.2481,10.7938
