Dátum,Meccs-Id,Hazai-Csapat,Vendég-Csapat,Hazai-Gól,Ellenfél-Gól,Hazai-XG,Ellenfél-XG,Ellenfél-PR,Meccs-Előtti-PR,Meccs-Utáni-PR,Vendég-xgPR,Meccs-Előtti-xgPR,Meccs-Utáni-xgPR,Vendég-Mixed_PR,Meccs-Előtti-Mixed_PR,Meccs-Utáni-Mixed_PR
2014-08-31 19:45:00,5157,(H) Torino,(V) Inter,0,0,1.31374,1.09973,10.000,10.000,10.125,10.000,10.000,10.179,10.000,10.000,10.071
2014-09-14 14:00:00,5116,(H) Inter,(V) Sassuolo,7,0,3.96571,0.483421,9.875,10.125,11.687,9.932,10.179,10.863,9.818,10.071,10.762
2014-09-21 19:45:00,5128,(H) Palermo,(V) Inter,1,1,0.477134,0.584764,9.813,11.687,11.344,9.896,10.863,10.719,9.979,10.762,10.718
2014-09-24 19:45:00,5132,(H) Inter,(V) Atalanta,2,0,1.81087,0.421513,9.735,11.344,11.317,9.508,10.719,10.639,10.133,10.718,10.599
2014-09-28 14:00:00,5145,(H) Inter,(V) Cagliari,1,4,1.30307,3.32315,9.109,11.317,9.890,10.094,10.639,9.873,8.937,10.599,9.814
2014-10-05 19:45:00,5077,(H) Fiorentina,(V) Inter,3,0,0.617229,2.12016,9.776,9.890,9.236,10.252,9.873,9.717,9.610,9.814,9.514
2014-10-19 19:45:00,5087,(H) Inter,(V) Napoli,2,2,1.55031,1.09733,9.993,9.236,9.300,10.903,9.717,10.002,9.008,9.514,9.149
2014-10-26 17:00:00,5097,(H) Cesena,(V) Inter,0,1,2.06734,0.645724,9.307,9.300,9.677,10.089,10.002,10.504,9.415,9.149,9.235
2014-10-29 19:45:00,5101,(H) Inter,(V) Sampdoria,1,0,2.31775,0.529139,10.522,9.677,10.013,10.419,10.504,10.805,10.051,9.235,9.117
2014-11-01 19:45:00,5032,(H) Parma,(V) Inter,2,0,0.525,1.67779,8.954,10.013,9.373,9.258,10.805,10.255,9.770,9.117,9.193
