Dátum,Meccs-Id,Fő-Csapat,Ellenfél-Csapat,Hazai-Gól,Ellenfél-Gól,Meccs-Előtti-PR,Meccs-Utáni-PR,Meccs-Előtti-xgPR,Meccs-Utáni-xgPR,Meccs-Előtti-Mixed_PR,Meccs-Utáni-Mixed_PR
2019-08-26 19:45:00,13098,Lecce,Inter,0,4,10,9.1250,10,9.6913,10,9.5587
2019-09-01 19:45:00,13103,Lecce,Verona,0,1,9.125,8.3938,9.6913,9.0028,9.5587,9.0348
2019-09-16 18:45:00,13118,Lecce,Torino,2,1,8.3938,9.1014,9.0028,9.3863,9.0348,9.8165
2019-09-22 13:00:00,13124,Lecce,Napoli,1,4,9.1014,8.8485,9.3863,9.4607,9.8165,9.9862
2019-09-25 19:00:00,13137,Lecce,SPAL 2013,3,1,8.8485,9.7978,9.4607,10.1524,9.9862,10.6932
2019-09-29 13:00:00,13142,Lecce,Roma,0,1,9.7978,9.9851,10.1524,10.0384,10.6932,11.4318
2019-10-06 14:00:00,13149,Lecce,Atalanta,1,3,9.9851,9.9484,10.0384,9.6535,11.4318,12.2434
2019-10-20 19:45:00,13163,Lecce,AC Milan,2,2,9.9484,9.9284,9.6535,9.5104,12.2434,12.3465
2019-10-26 14:00:00,13175,Lecce,Juventus,1,1,9.9284,10.2455,9.5104,9.1984,12.3465,13.2927
2019-10-30 20:00:00,13186,Lecce,Sampdoria,1,1,10.2455,10.2433,9.1984,9.0506,13.2927,13.4361
2019-11-03 14:00:00,13194,Lecce,Sassuolo,2,2,10.2433,10.1181,9.0506,8.5034,13.4361,13.7328
2019-11-10 14:00:00,13203,Lecce,Lazio,2,4,10.1181,10.2250,8.5034,8.8360,13.7328,14.1141
2019-11-25 15:00:00,13212,Lecce,Cagliari,2,2,10.225,10.5239,8.836,9.9182,14.1141,13.6297
2019-11-30 19:45:00,13221,Lecce,Fiorentina,1,0,10.5239,10.8391,9.9182,9.9038,13.6297,14.0245
2019-12-08 11:30:00,13233,Lecce,Genoa,2,2,10.8391,10.4910,9.9038,9.1306,14.0245,14.1015
2019-12-14 14:00:00,13240,Lecce,Brescia,0,3,10.491,9.1380,9.1306,7.8362,14.1015,13.4398
2019-12-22 14:00:00,13253,Lecce,Bologna,2,3,9.138,8.6018,7.8362,6.7330,13.4398,13.7207
2020-01-06 17:00:00,13264,Lecce,Udinese,0,1,8.6018,8.3151,6.733,6.6855,13.7207,13.4447
2020-01-13 19:45:00,13274,Lecce,Parma Calcio 1913,0,2,8.3151,8.4079,6.6855,6.9427,13.4447,13.8732
2020-01-19 14:00:00,13285,Lecce,Inter,1,1,8.4079,9.0769,6.9427,7.3249,13.8732,14.8290
2020-01-26 14:00:00,13298,Lecce,Verona,0,3,9.0769,8.8712,7.3249,7.1699,14.829,15.3227
2020-02-02 17:00:00,13304,Lecce,Torino,4,0,8.8712,10.1183,7.1699,7.7760,15.3227,16.2109
2020-02-09 14:00:00,13313,Lecce,Napoli,3,2,10.1183,10.8458,7.776,7.8415,16.2109,17.3504
2020-02-15 14:00:00,13324,Lecce,SPAL 2013,2,1,10.8458,10.8211,7.8415,7.6250,17.3504,17.2675
2020-02-23 17:00:00,13335,Lecce,Roma,0,4,10.8211,9.6508,7.625,6.6470,17.2675,16.9049
2020-03-01 14:00:00,13342,Lecce,Atalanta,2,7,9.6508,8.5621,6.647,5.5407,16.9049,17.0837
2020-06-22 17:30:00,13354,Lecce,AC Milan,1,4,8.5621,7.6964,5.5407,5.1056,17.0837,16.5375
2020-06-26 19:45:00,13361,Lecce,Juventus,0,4,7.6964,7.5023,5.1056,4.9026,16.5375,17.3524
2020-07-01 19:45:00,13377,Lecce,Sampdoria,1,2,7.5023,7.7518,4.9026,5.3669,17.3524,17.6372
2020-07-04 17:30:00,13383,Lecce,Sassuolo,2,4,7.7518,8.1134,5.3669,6.2855,17.6372,17.9419
2020-07-07 17:30:00,13393,Lecce,Lazio,2,1,8.1134,9.1810,6.2855,7.3658,17.9419,18.7467
2020-07-12 17:30:00,13408,Lecce,Cagliari,0,0,9.181,9.8830,7.3658,8.0768,18.7467,19.4396
2020-07-15 19:45:00,13417,Lecce,Fiorentina,1,3,9.883,9.5148,8.0768,7.6737,19.4396,19.6062
2020-07-19 17:30:00,13422,Lecce,Genoa,1,2,9.5148,9.4006,7.6737,8.1227,19.6062,19.1789
2020-07-22 19:45:00,13432,Lecce,Brescia,3,1,9.4006,9.3995,8.1227,8.0156,19.1789,18.7838
2020-07-26 15:15:00,13439,Lecce,Bologna,2,3,9.3995,9.4357,8.0156,8.1913,18.7838,18.9305
2020-07-29 17:30:00,13453,Lecce,Udinese,2,1,9.4357,10.0744,8.1913,8.6751,18.9305,19.4740
2020-08-02 18:45:00,13468,Lecce,Parma Calcio 1913,3,4,10.0744,9.9228,8.6751,8.5462,19.474,19.5497
