Dátum,Meccs-Id,Fő-Csapat,Ellenfél-Csapat,Hazai-Gól,Ellenfél-Gól,Hazai-XG,Ellenfél-XG,Ellenfél-PR,Meccs-Előtti-PR,Meccs-Utáni-PR,Vendég-xgPR,Meccs-Előtti-xgPR,Meccs-Utáni-xgPR,Vendég-Mixed_PR,Meccs-Előtti-Mixed_PR,Meccs-Utáni-Mixed_PR
2014-08-10 16:00:00,6193,(H) Lyon,(V) Rennes,2,0,2.064,0.375946,10.000,10.000,10.375,10.000,10.000,10.297,10.000,10.000,9.953
2014-08-16 19:00:00,6198,(H) Toulouse,(V) Lyon,2,1,1.28964,1.43956,9.875,10.375,10.125,9.962,10.297,10.301,10.038,9.953,9.887
2014-08-24 13:00:00,6212,(H) Lyon,(V) Lens,0,1,0.907071,1.83188,9.375,10.125,9.563,9.699,10.301,9.794,9.613,9.887,9.675
2014-08-31 16:00:00,6223,(H) Metz,(V) Lyon,2,1,2.14951,1.50793,9.719,9.563,9.477,10.058,9.794,10.145,9.755,9.675,9.410
2014-09-12 19:30:00,6145,(H) Lyon,(V) Monaco,2,1,1.78993,0.920354,9.945,9.477,9.719,9.747,10.145,10.138,10.190,9.410,9.513
2014-09-21 20:00:00,6164,(H) Paris Saint Germain,(V) Lyon,1,1,0.538028,1.71499,11.358,9.719,10.254,10.910,10.138,10.162,10.545,9.513,10.190
2014-09-24 18:00:00,6169,(H) Lyon,(V) Lorient,4,0,2.15635,0.450279,9.829,10.254,11.023,9.523,10.162,10.304,10.217,10.190,10.645
2014-09-28 16:00:00,6183,(H) Nantes,(V) Lyon,1,1,0.693743,1.90868,9.870,11.023,10.860,10.604,10.304,10.200,9.304,10.645,10.738
2014-10-05 16:00:00,6122,(H) Lyon,(V) Lille,3,0,2.33678,0.368029,10.151,10.860,11.308,9.578,10.200,10.412,10.401,10.738,10.787
2014-10-19 20:00:00,6133,(H) Lyon,(V) Montpellier,5,1,2.47834,1.23199,10.168,11.308,11.898,9.761,10.412,10.436,10.366,10.787,11.245
2014-10-26 20:00:00,6143,(H) Lyon,(V) Marseille,1,0,0.780099,1.13587,11.954,11.898,12.037,11.266,10.436,10.430,10.680,11.245,11.318
