Dátum,Meccs-Id,Fő-Csapat,Ellenfél-Csapat,Hazai-Gól,Ellenfél-Gól,Hazai-XG,Ellenfél-XG,Meccs-Előtti-PR,Meccs-Utáni-PR,Meccs-Előtti-xgPR,Meccs-Utáni-xgPR,Meccs-Előtti-Mixed_PR,Meccs-Utáni-Mixed_PR
2019-08-17 19:00:00,12025,(H) Mallorca,(V) Eibar,2,1,1.68856,0.794158,10,9.9766,10,9.9502,10,9.7530
2019-08-25 16:00:00,12040,(H) Mallorca,(V) Real Sociedad,0,1,0.871995,1.59382,9.9766,9.6567,9.9502,9.6998,9.753,9.6136
2019-09-01 16:00:00,12049,(V) Mallorca,(H) Valencia,0,2,1.16388,2.09044,9.6567,9.5387,9.6998,9.8501,9.6136,9.7272
2019-09-13 19:00:00,12059,(H) Mallorca,(V) Athletic Club,0,0,2.1905,1.39203,9.5387,9.4173,9.8501,9.9283,9.7272,9.4062
2019-09-22 10:00:00,12071,(V) Mallorca,(H) Getafe,2,4,0.726341,2.70951,9.4173,8.8992,9.9283,9.4145,9.4062,9.3839
2019-09-25 17:00:00,12079,(H) Mallorca,(V) Atletico Madrid,0,2,0.673477,1.21545,8.8992,7.8957,9.4145,8.7755,9.3839,8.5159
2019-09-29 14:00:00,12083,(V) Mallorca,(H) Alaves,0,2,0.16946,1.84115,7.8957,7.6523,8.7755,8.6142,8.5159,8.6904
2019-10-06 11:00:00,12097,(H) Mallorca,(V) Espanyol,2,0,1.02963,0.731578,7.6523,7.8973,8.6142,8.4337,8.6904,8.8609
2019-10-19 20:00:00,12110,(H) Mallorca,(V) Real Madrid,1,0,0.245649,0.808026,7.8973,8.5204,8.4337,8.6662,8.8609,9.6246
2019-10-26 15:00:00,12117,(V) Mallorca,(H) Leganes,0,1,0.858516,1.7617,8.5204,8.6257,8.6662,8.7957,9.6246,9.9557
2019-10-31 18:00:00,12129,(H) Mallorca,(V) Osasuna,2,2,2.15631,0.869837,8.6257,8.7035,8.7957,9.1952,9.9557,9.7119
2019-11-03 11:00:00,12142,(V) Mallorca,(H) Real Valladolid,0,3,0.590538,1.96371,8.7035,8.3300,9.1952,9.2284,9.7119,9.6816
2019-11-10 11:00:00,12150,(H) Mallorca,(V) Villarreal,3,1,1.56727,3.04498,8.33,8.9381,9.2284,8.9670,9.6816,10.6591
2019-11-22 20:00:00,12158,(V) Mallorca,(H) Levante,1,2,1.41139,1.83517,8.9381,9.1759,8.967,9.3489,10.6591,11.0028
