Dátum,Meccs-Id,Fő-Csapat,Ellenfél-Csapat,Hazai-Gól,Ellenfél-Gól,Hazai-XG,Ellenfél-XG,Ellenfél-PR,Meccs-Előtti-PR,Meccs-Utáni-PR,Vendég-xgPR,Meccs-Előtti-xgPR,Meccs-Utáni-xgPR,Vendég-Mixed_PR,Meccs-Előtti-Mixed_PR,Meccs-Utáni-Mixed_PR
2016-08-13 18:00:00,465,(H) Middlesbrough,(V) Stoke,1,1,1.80523,0.485626,9.582,10.000,9.771,9.180,10.000,10.000,10.306,10.000,9.622
2016-08-21 16:30:00,479,(H) Sunderland,(V) Middlesbrough,1,2,0.854908,1.4645,10.431,9.771,10.311,9.768,10.000,9.915,10.832,9.622,10.452
2016-08-28 16:30:00,489,(H) West Bromwich Albion,(V) Middlesbrough,0,0,0.396816,0.696845,9.512,10.311,10.236,10.248,9.915,10.048,9.180,10.452,10.334
2016-09-10 18:00:00,492,(H) Middlesbrough,(V) Crystal Palace,1,2,0.611959,1.12437,9.059,10.236,9.567,10.091,10.048,9.806,8.983,10.334,9.749
2016-09-17 20:30:00,506,(H) Everton,(V) Middlesbrough,3,1,0.178081,1.17467,10.941,9.567,9.536,10.777,9.806,9.925,10.224,9.749,9.742
2016-09-24 18:00:00,512,(H) Middlesbrough,(V) Tottenham,1,2,0.361508,1.4158,10.595,9.536,9.426,10.625,9.925,9.711,9.900,9.742,9.670
2016-10-01 18:00:00,526,(H) West Ham,(V) Middlesbrough,1,1,0.852603,0.883385,8.322,9.426,9.275,9.456,9.711,9.765,8.761,9.670,9.575
2016-10-16 16:30:00,538,(H) Middlesbrough,(V) Watford,0,1,0.528576,0.0893749,9.765,9.275,9.023,9.707,9.765,9.735,9.933,9.575,9.180
2016-10-22 18:00:00,547,(H) Arsenal,(V) Middlesbrough,0,0,1.55581,0.711811,11.608,9.023,9.794,11.211,9.735,10.440,10.229,9.180,9.356
2016-10-29 18:00:00,2681,(H) Middlesbrough,(V) Bournemouth,2,0,1.44317,1.54599,10.703,9.794,10.396,9.942,10.440,10.165,10.621,9.356,10.073
2016-11-05 19:00:00,2689,(H) Manchester City,(V) Middlesbrough,1,1,0.208762,2.49606,11.811,10.396,10.875,11.660,10.165,10.092,10.212,10.073,10.805
2016-11-20 20:00:00,2705,(H) Middlesbrough,(V) Chelsea,0,1,0.55976,1.68738,12.994,10.875,11.030,11.640,10.092,10.072,11.268,10.805,10.828
2016-11-26 19:00:00,2711,(H) Leicester,(V) Middlesbrough,2,2,0.425252,2.0478,9.366,11.030,10.739,9.764,10.072,9.714,9.724,10.828,11.083
2016-12-06 00:00:00,3114,(H) Middlesbrough,(V) Hull,1,0,1.94961,0.221339,8.883,10.739,10.400,8.893,9.714,9.816,9.912,11.083,10.483
2016-12-11 18:15:00,3123,(H) Southampton,(V) Middlesbrough,1,0,0.493941,1.72919,9.376,10.400,10.019,10.322,9.816,9.759,9.044,10.483,10.307
2016-12-14 23:45:00,3127,(H) Middlesbrough,(V) Liverpool,0,3,0.161583,2.13526,10.364,10.019,9.230,10.728,9.759,9.383,9.564,10.307,9.740
2016-12-17 19:00:00,3136,(H) Middlesbrough,(V) Swansea,3,0,1.71549,0.602249,9.609,9.230,9.950,9.684,9.383,9.612,10.006,9.740,10.153
2016-12-26 19:00:00,3150,(H) Burnley,(V) Middlesbrough,1,0,0.698814,0.275704,9.794,9.950,9.786,10.181,9.612,9.985,9.799,10.153,9.834
2016-12-31 15:00:00,3159,(H) Manchester United,(V) Middlesbrough,2,1,0.64492,2.53996,11.384,9.786,10.061,10.619,9.985,9.795,10.694,9.834,10.398
2017-01-02 16:30:00,3330,(H) Middlesbrough,(V) Leicester,0,0,0.697108,0.477078,9.829,10.061,9.878,9.852,9.795,9.739,9.838,10.398,10.078
2017-01-14 19:00:00,3341,(H) Watford,(V) Middlesbrough,0,0,0.325347,0.835827,8.758,9.878,9.723,9.389,9.739,9.649,9.401,10.078,10.161
2017-01-21 18:00:00,3351,(H) Middlesbrough,(V) West Ham,1,3,0.958825,2.6558,10.092,9.723,9.190,10.039,9.649,9.197,9.877,10.161,9.889
2017-01-31 22:45:00,3363,(H) Middlesbrough,(V) West Bromwich Albion,1,1,1.18135,1.25288,10.211,9.190,9.320,9.658,9.197,9.169,10.426,9.889,9.916
2017-02-04 17:30:00,3377,(H) Tottenham,(V) Middlesbrough,1,0,0.50484,2.10053,11.502,9.320,9.741,10.777,9.169,9.297,10.853,9.916,10.424
2017-02-11 15:00:00,3382,(H) Middlesbrough,(V) Everton,0,0,0.651056,0.831644,11.132,9.741,9.964,10.009,9.297,9.305,11.019,10.424,10.493
2017-02-25 15:00:00,3392,(H) Crystal Palace,(V) Middlesbrough,1,0,0.82885,0.808522,8.792,9.964,9.546,10.103,9.305,9.635,8.698,10.493,9.914
2017-03-04 15:00:00,3403,(H) Stoke,(V) Middlesbrough,2,0,0.274611,2.97584,9.219,9.546,9.089,9.889,9.635,9.148,9.339,9.914,10.071
2017-03-19 12:00:00,3425,(H) Middlesbrough,(V) Manchester United,1,3,1.09037,2.47484,10.594,9.089,8.840,11.094,9.148,9.163,9.367,10.071,9.616
2017-04-02 13:30:00,3438,(H) Swansea,(V) Middlesbrough,0,0,0.748206,0.64382,9.515,8.840,9.134,9.854,9.163,9.487,9.887,9.616,9.783
2017-04-05 19:45:00,3442,(H) Hull,(V) Middlesbrough,4,2,1.30673,2.23261,9.454,9.134,8.839,9.277,9.487,9.328,10.060,9.783,9.709
2017-04-08 15:00:00,3456,(H) Middlesbrough,(V) Burnley,0,0,0.684683,0.809899,9.817,8.839,8.958,9.444,9.328,9.201,10.320,9.709,9.768
2017-04-17 20:00:00,3461,(H) Middlesbrough,(V) Arsenal,1,2,1.72075,1.0689,9.593,8.958,8.742,9.792,9.201,9.387,9.862,9.768,9.254
2017-04-22 15:00:00,3471,(H) Bournemouth,(V) Middlesbrough,4,0,0.2072,3.27712,9.802,8.742,8.132,9.653,9.387,8.811,10.221,9.254,9.388
2017-04-26 19:45:00,3413,(H) Middlesbrough,(V) Sunderland,1,0,0.825839,0.445766,8.604,8.132,8.375,9.360,8.811,8.918,9.050,9.388,9.333
2017-04-30 14:05:00,3483,(H) Middlesbrough,(V) Manchester City,2,2,1.17715,3.10725,11.479,8.375,9.026,11.772,8.918,9.024,9.676,9.333,9.776
2017-05-08 20:00:00,3493,(H) Chelsea,(V) Middlesbrough,3,0,0.0718773,2.28046,11.908,9.026,9.121,10.967,9.024,9.083,11.051,9.776,10.022
2017-05-13 15:00:00,3504,(H) Middlesbrough,(V) Southampton,1,2,1.32885,1.52569,9.642,9.121,8.876,9.804,9.083,9.089,9.786,10.022,9.637
2017-05-21 15:00:00,3515,(H) Liverpool,(V) Middlesbrough,3,0,0.899691,2.16957,11.393,8.876,8.880,11.233,9.089,9.433,10.198,9.637,9.470
