Dátum,Meccs-Id,Hazai-Csapat,Vendég-Csapat,Hazai-Gól,Ellenfél-Gól,Hazai-XG,Ellenfél-XG,Ellenfél-PR,Meccs-Előtti-PR,Meccs-Utáni-PR,Vendég-xgPR,Meccs-Előtti-xgPR,Meccs-Utáni-xgPR,Vendég-Mixed_PR,Meccs-Előtti-Mixed_PR,Meccs-Utáni-Mixed_PR
2018-08-11 21:00:00,10647,(H) Angers,(V) Nimes,3,4,1.21376,2.62438,9.286,10.000,10.196,10.207,10.000,9.824,9.124,10.000,10.509
2018-08-19 22:00:00,10662,(H) Nimes,(V) Marseille,3,1,1.63136,0.967387,11.490,10.196,10.895,11.235,9.824,10.218,10.047,10.509,10.603
2018-08-25 21:00:00,10666,(H) Toulouse,(V) Nimes,1,0,0.486732,2.72202,9.702,10.895,10.472,9.622,10.218,9.635,9.955,10.603,10.875
2018-09-01 15:00:00,10674,(H) Nimes,(V) Paris Saint Germain,2,4,1.1751,2.55182,10.958,10.472,9.969,10.981,9.635,9.502,9.976,10.875,10.369
2018-09-16 15:00:00,10684,(H) Bordeaux,(V) Nimes,3,3,1.4185,0.987408,10.048,9.969,10.114,10.177,9.502,9.904,9.948,10.369,10.281
2018-09-21 18:45:00,10696,(H) Monaco,(V) Nimes,1,1,0.776658,1.71296,10.275,10.114,10.279,10.236,9.904,9.878,10.126,10.281,10.601
2018-09-26 17:00:00,10710,(H) Nimes,(V) Guingamp,0,0,0.922377,0.355414,8.287,10.279,9.656,10.004,9.878,9.926,8.205,10.601,9.735
2018-09-30 15:00:00,10718,(H) Montpellier,(V) Nimes,3,0,0.941051,2.65101,10.590,9.656,9.264,10.336,9.926,9.726,10.270,9.735,9.671
2018-10-06 18:00:00,10730,(H) Nimes,(V) Reims,0,0,0.760306,1.4833,9.891,9.264,9.296,9.558,9.726,9.378,10.251,9.671,9.872
2018-10-19 18:45:00,10735,(H) Lyon,(V) Nimes,2,0,1.39758,1.71752,10.387,9.296,9.194,10.577,9.378,9.723,9.880,9.872,9.579
2018-10-26 18:45:00,10749,(H) Nimes,(V) Saint-Etienne,1,1,1.32474,1.21742,10.341,9.194,9.356,10.920,9.723,9.924,9.358,9.579,9.372
2018-11-03 19:00:00,10754,(H) Dijon,(V) Nimes,0,4,2.02604,1.27921,9.527,9.356,10.524,10.078,9.924,10.274,9.559,9.372,10.357
2018-11-10 19:00:00,10767,(H) Nimes,(V) Nice,0,1,1.00634,1.11076,10.376,10.524,10.112,9.776,10.274,9.998,10.547,10.357,10.056
2018-11-24 19:00:00,10782,(H) Strasbourg,(V) Nimes,0,1,1.10329,0.726506,10.467,10.112,10.576,9.778,9.998,10.162,10.760,10.056,10.513
2018-12-01 19:00:00,10787,(H) Nimes,(V) Amiens,3,0,2.01592,0.737512,9.411,10.576,10.910,9.568,10.162,10.208,9.868,10.513,10.657
2018-12-05 18:00:00,10797,(H) Caen,(V) Nimes,1,2,2.56928,0.783167,9.844,10.910,11.018,9.694,10.208,10.651,10.232,10.657,10.479
2018-12-16 14:00:00,10821,(H) Nimes,(V) Lille,2,3,1.21197,0.799215,10.560,11.018,10.528,10.323,10.651,10.547,10.145,10.479,9.917
2018-12-22 19:00:00,10830,(H) Rennes,(V) Nimes,4,0,0.716404,3.07216,10.675,10.528,9.690,10.527,10.547,10.078,10.084,9.917,9.673
2019-01-16 18:00:00,10807,(H) Nimes,(V) Nantes,1,0,0.79587,0.551147,10.748,9.690,10.079,10.605,10.078,10.146,9.902,9.673,9.794
2019-01-19 19:00:00,10847,(H) Nimes,(V) Toulouse,0,1,0.847241,1.07431,10.220,10.079,9.739,9.868,10.146,9.895,10.229,9.794,9.585
2019-01-23 18:00:00,10837,(H) Nimes,(V) Angers,3,1,1.76356,1.58031,10.118,9.739,10.209,9.980,9.895,9.837,9.975,9.585,10.012
2019-01-26 19:00:00,10860,(H) Nice,(V) Nimes,2,0,0.689154,1.72169,10.343,10.209,9.868,10.417,9.837,9.849,10.057,10.012,9.906
2019-02-03 14:00:00,10866,(H) Nimes,(V) Montpellier,1,1,0.489402,0.733137,10.546,9.868,9.912,10.186,9.849,9.747,10.405,9.906,9.967
2019-02-10 14:00:00,10877,(H) Nantes,(V) Nimes,2,4,1.85321,1.83127,10.079,9.912,10.579,10.614,9.747,10.094,9.371,9.967,10.438
2019-02-15 18:00:00,10890,(H) Nimes,(V) Dijon,2,0,0.947223,0.847362,9.378,10.579,10.654,9.552,10.094,9.858,9.807,10.438,10.630
2019-02-23 16:00:00,10898,(H) Paris Saint Germain,(V) Nimes,3,0,0.655467,3.96354,12.635,10.654,10.524,11.876,9.858,9.660,10.730,10.630,10.857
2019-03-09 19:00:00,10920,(H) Amiens,(V) Nimes,2,1,0.756547,2.30832,10.304,10.524,10.344,10.542,9.660,9.618,9.920,10.857,10.886
2019-03-16 19:00:00,10924,(H) Nimes,(V) Strasbourg,2,2,2.35969,0.548576,10.116,10.344,10.162,9.316,9.618,9.870,10.769,10.886,10.279
2019-04-01 19:30:00,10936,(H) Saint-Etienne,(V) Nimes,2,1,1.66277,2.20428,11.258,10.162,10.311,10.411,9.870,9.995,10.964,10.279,10.461
2019-04-06 19:00:00,10947,(H) Nimes,(V) Caen,2,0,1.08376,0.18775,9.355,10.311,10.447,9.049,9.995,9.858,10.350,10.461,10.584
2019-04-09 18:00:00,10912,(H) Nimes,(V) Rennes,3,1,1.4484,0.816818,10.518,10.447,10.840,10.737,9.858,10.111,9.806,10.584,10.607
2019-04-13 16:00:00,10955,(H) Marseille,(V) Nimes,2,1,0.998275,1.2573,10.255,10.840,10.569,10.415,10.111,10.247,9.910,10.607,10.373
2019-04-20 19:00:00,10968,(H) Nimes,(V) Bordeaux,2,1,1.2151,1.21334,10.201,10.569,10.602,10.003,10.247,10.061,10.276,10.373,10.473
2019-04-28 14:00:00,10979,(H) Lille,(V) Nimes,5,0,0.915687,2.44144,11.440,10.602,9.686,11.017,10.061,10.044,10.589,10.473,9.758
2019-05-04 19:00:00,10984,(H) Reims,(V) Nimes,0,3,1.83967,0.371217,9.961,9.686,10.630,9.948,10.044,10.512,10.166,9.758,10.368
2019-05-11 19:00:00,10999,(H) Nimes,(V) Monaco,1,0,1.5884,0.618531,9.858,10.630,10.562,10.619,10.512,10.656,9.264,10.368,9.975
2019-05-18 19:00:00,11004,(H) Guingamp,(V) Nimes,2,2,2.28203,2.24663,9.441,10.562,10.407,10.083,10.656,10.647,9.422,9.975,9.953
2019-05-24 19:05:00,11020,(H) Nimes,(V) Lyon,2,3,1.61612,1.4558,12.048,10.407,10.442,11.443,10.647,10.761,10.551,9.953,9.687
2019-08-11 20:00:00,12718,(H) Paris Saint Germain,(V) Nimes,3,0,0.305387,3.61599,10.591,10.442,9.854,11.102,10.761,10.144,9.634,9.687,9.876
2019-08-17 19:00:00,12723,(H) Nimes,(V) Nice,1,2,1.26223,2.00012,10.472,9.854,9.634,10.159,10.144,9.838,10.070,9.876,9.734
2019-08-25 14:00:00,12733,(H) Monaco,(V) Nimes,2,2,2.24062,2.40125,8.766,9.634,9.542,9.559,9.838,9.853,9.342,9.734,9.801
2019-08-31 18:00:00,12746,(H) Nimes,(V) Brest,3,0,2.334,0.8598,10.390,9.542,10.379,9.623,9.853,10.039,10.681,9.801,10.277
2019-09-14 18:00:00,12749,(H) Dijon,(V) Nimes,0,0,0.342108,0.789744,8.672,10.379,10.077,9.779,10.039,9.987,8.911,10.277,10.172
2019-09-21 18:00:00,12765,(H) Nimes,(V) Toulouse,1,0,1.62783,0.844257,9.916,10.077,10.162,9.981,9.987,10.056,10.044,10.172,10.069
2019-09-25 17:00:00,12774,(H) Montpellier,(V) Nimes,1,0,0.719947,0.579923,11.160,10.162,10.286,10.764,10.056,10.393,10.516,10.069,10.021
2019-09-29 15:00:00,12787,(H) Nimes,(V) Saint-Etienne,0,1,1.71161,0.856429,8.820,10.286,9.545,9.576,10.393,10.278,9.194,10.021,9.225
2019-10-06 14:00:00,12793,(H) Lille,(V) Nimes,2,2,1.76186,2.57207,10.937,9.545,10.018,11.121,10.278,10.411,9.869,9.225,9.714
2019-10-19 19:00:00,12805,(H) Nimes,(V) Amiens,1,1,0.317325,0.941379,10.476,10.018,10.008,10.650,10.411,10.190,9.736,9.714,9.751
2019-10-26 19:00:00,12816,(H) Reims,(V) Nimes,0,0,0.409188,0.327724,11.074,10.008,10.400,10.868,10.190,10.505,10.128,9.751,9.950
2019-11-09 19:00:00,12837,(H) Strasbourg,(V) Nimes,4,1,0.728859,3.34398,9.815,10.400,9.629,10.243,10.505,9.911,9.708,9.950,9.918
2019-11-23 19:00:00,12847,(H) Angers,(V) Nimes,1,0,0.569399,1.13196,10.193,9.629,9.645,10.349,9.911,10.005,9.913,9.918,9.932
2019-11-30 19:00:00,12852,(H) Nimes,(V) Metz,1,1,0.467733,0.605779,9.740,9.645,9.544,9.576,10.005,9.738,10.046,9.932,9.870
2019-12-03 18:00:00,12860,(H) Bordeaux,(V) Nimes,6,0,0.192769,2.0996,10.516,9.544,8.412,9.802,9.738,9.402,10.767,9.870,9.196
2019-12-06 19:45:00,12869,(H) Nimes,(V) Lyon,0,4,0.455948,2.68047,10.547,8.412,7.821,10.271,9.402,8.938,10.197,9.196,8.877
2019-12-14 19:00:00,12879,(H) Nimes,(V) Nantes,0,1,0.848701,1.31851,10.134,7.821,8.024,10.422,8.938,9.067,9.597,8.877,8.799
2019-12-21 19:45:00,12898,(H) Marseille,(V) Nimes,3,1,1.14972,1.97361,11.106,8.024,8.420,11.244,9.067,9.530,9.913,8.799,8.908
2020-01-11 19:00:00,12904,(H) Nimes,(V) Reims,2,0,1.63031,0.504333,10.452,8.420,9.303,10.201,9.530,9.854,10.077,8.908,9.294
2020-01-15 18:00:00,12820,(H) Nimes,(V) Rennes,0,1,0.190223,0.666492,10.606,9.303,9.254,10.442,9.854,9.757,9.938,9.294,9.199
2020-01-25 19:00:00,12918,(H) Saint-Etienne,(V) Nimes,2,1,0.690494,2.13523,9.113,9.254,9.094,9.836,9.757,9.541,9.168,9.199,9.427
2020-02-01 19:00:00,12922,(H) Nimes,(V) Monaco,3,1,1.72671,0.732842,10.285,9.094,9.767,10.558,9.541,9.919,9.568,9.427,9.589
2020-02-05 18:00:00,12933,(H) Nimes,(V) Dijon,2,0,1.43959,0.500338,10.865,9.767,10.417,9.723,9.919,9.980,11.071,9.589,10.100
2020-02-08 19:00:00,12945,(H) Nice,(V) Nimes,1,3,1.71921,0.704132,10.921,10.417,11.168,10.185,9.980,10.410,10.738,10.100,10.631
2020-02-15 19:00:00,12957,(H) Nimes,(V) Angers,1,0,0.977294,0.480458,9.095,11.168,10.775,10.029,10.410,10.314,8.976,10.631,10.218
2020-02-23 16:00:00,12960,(H) Rennes,(V) Nimes,2,1,0.3864,2.42942,10.028,10.775,10.463,10.030,10.314,9.857,10.100,10.218,10.574
2020-02-28 19:45:00,12976,(H) Nimes,(V) Marseille,2,3,2.4154,1.97133,10.288,10.463,10.044,10.227,9.857,9.936,10.031,10.574,9.952
2020-03-07 18:00:00,12986,(H) Metz,(V) Nimes,2,1,1.57289,1.40623,10.325,10.044,9.989,9.635,9.936,10.027,10.780,9.952,9.992
2020-08-23 13:00:00,13985,(H) Nimes,(V) Brest,4,0,2.14597,0.468011,9.746,9.989,10.803,10.114,10.027,10.343,9.752,9.992,10.388
2020-08-30 13:00:00,13992,(H) Nantes,(V) Nimes,2,1,0.874864,2.15547,10.363,10.803,10.568,10.192,10.343,10.110,10.384,10.388,10.582
2020-09-13 13:00:00,14198,(H) Nimes,(V) Rennes,2,4,1.00844,2.0941,11.270,10.568,10.118,11.277,10.110,10.005,9.916,10.582,10.062
2020-09-18 19:00:00,14204,(H) Lyon,(V) Nimes,0,0,0.714832,1.62529,10.958,10.118,10.453,11.675,10.005,10.320,9.472,10.062,10.267
2020-09-27 13:00:00,14221,(H) Nimes,(V) Lens,1,1,0.370624,1.37195,10.574,10.453,10.358,11.399,10.320,10.214,9.041,10.267,10.086
2020-10-04 11:00:00,15809,(H) Montpellier,(V) Nimes,0,1,0.588829,0.686408,10.697,10.358,10.818,10.210,10.214,10.314,10.439,10.086,10.574
2020-10-16 19:00:00,15822,(H) Nimes,(V) Paris Saint Germain,0,4,0.138218,4.12316,12.346,10.818,10.075,11.881,10.314,9.585,10.426,10.574,10.408
2020-10-25 14:00:00,15826,(H) Bordeaux,(V) Nimes,2,0,0.712337,1.92729,10.116,10.075,9.710,9.669,9.585,9.427,10.391,10.408,10.332
2020-11-01 14:00:00,15840,(H) Nimes,(V) Metz,0,1,0.78372,0.859238,10.467,9.710,9.524,9.785,9.427,9.373,10.575,10.332,10.037
2020-11-08 14:00:00,15850,(H) Nimes,(V) Angers,1,5,1.66648,2.03947,9.480,9.524,8.388,9.381,9.373,9.157,9.996,10.037,8.995
2020-11-22 14:00:00,15864,(H) Reims,(V) Nimes,0,1,0.955282,1.05404,10.755,8.388,9.355,9.993,9.157,9.466,10.882,8.995,9.866
2020-11-29 14:00:00,15869,(H) Monaco,(V) Nimes,3,0,0.208733,3.43581,11.793,9.355,9.339,11.788,9.466,9.365,9.885,9.866,10.053
2020-12-04 20:00:00,15883,(H) Nimes,(V) Marseille,0,2,0.384633,2.16881,11.385,9.339,9.225,10.703,9.365,9.128,10.699,10.053,10.036
2020-12-13 14:00:00,15889,(H) Lorient,(V) Nimes,3,0,0.562896,2.82061,8.962,9.225,8.534,9.360,9.128,8.747,9.682,10.036,9.887
2020-12-16 18:00:00,15903,(H) Nimes,(V) Nice,0,2,0.994031,1.97897,9.386,8.534,8.122,10.233,8.747,8.747,8.975,9.887,9.280
2020-12-20 14:00:00,15914,(H) Saint-Etienne,(V) Nimes,2,2,1.50557,2.94469,10.419,8.122,8.821,10.774,8.747,9.019,9.730,9.280,9.877
2020-12-23 18:00:00,15925,(H) Nimes,(V) Dijon,1,3,0.958657,1.60068,9.373,8.821,8.334,9.707,9.019,8.905,9.420,9.877,9.298
2021-01-06 18:00:00,15934,(H) Strasbourg,(V) Nimes,5,0,0.826798,4.64764,9.668,8.334,7.542,9.629,8.905,8.256,10.093,9.298,9.327
2021-01-09 20:00:00,15942,(H) Nimes,(V) Lille,0,1,0.34513,1.01419,10.719,7.542,7.961,10.346,8.256,8.486,10.230,9.327,9.345
2021-01-16 16:00:00,15951,(H) Marseille,(V) Nimes,1,2,1.58781,2.16279,10.618,7.961,9.000,10.941,8.486,9.081,9.779,9.345,9.972
2021-01-31 14:00:00,15966,(H) Angers,(V) Nimes,3,1,0.9424,1.59464,10.294,9.000,8.949,10.659,9.081,9.437,9.765,9.972,9.708
2021-02-03 20:00:00,15981,(H) Paris Saint Germain,(V) Nimes,3,0,1.73501,1.69188,11.388,8.949,8.934,11.599,9.437,10.113,9.788,9.708,9.092
2021-02-07 14:00:00,15989,(H) Nimes,(V) Monaco,3,4,1.54024,1.24576,10.808,8.934,9.028,11.049,10.113,10.296,9.652,9.092,8.783
2021-02-14 14:00:00,15998,(H) Dijon,(V) Nimes,0,2,1.90774,0.466986,9.633,9.028,9.804,8.571,10.296,10.350,11.161,8.783,9.642
2021-02-21 14:00:00,16012,(H) Nimes,(V) Bordeaux,2,0,0.364183,0.791842,9.721,9.804,10.158,10.225,10.350,10.087,9.416,9.642,10.067
2021-02-24 20:00:00,15961,(H) Nimes,(V) Lorient,1,0,0.914735,0.3945,10.039,10.158,10.253,9.976,10.087,10.064,9.926,10.067,10.027
2021-02-28 14:00:00,16022,(H) Nimes,(V) Nantes,1,1,0.474343,1.48858,10.130,10.253,10.097,9.820,10.064,9.624,10.294,10.027,10.222
2021-03-03 18:00:00,16033,(H) Nice,(V) Nimes,2,1,2.37864,1.50673,10.159,10.097,9.988,10.074,9.624,10.079,10.224,10.222,9.880
2021-03-14 12:00:00,16045,(H) Nimes,(V) Montpellier,1,1,1.83162,1.56372,10.552,9.988,10.004,9.627,10.079,9.908,10.751,9.880,9.906
2021-03-21 16:00:00,16050,(H) Lille,(V) Nimes,1,2,0.80422,0.787438,11.573,10.004,10.771,11.077,9.908,10.329,10.513,9.906,10.429
