Dátum,Meccs-Id,Fő-Csapat,Ellenfél-Csapat,Hazai-Gól,Ellenfél-Gól,Hazai-XG,Ellenfél-XG,Meccs-Előtti-PR,Meccs-Utáni-PR,Meccs-Előtti-xgPR,Meccs-Utáni-xgPR,Meccs-Előtti-Mixed_PR,Meccs-Utáni-Mixed_PR
2021-07-26 16:00:00,16143,(H) Nizhny Novgorod,(V) PFC Sochi,1,0,0.462043,0.568304,10,10.1721,10,9.8955,10,10.1987
2021-08-01 14:30:00,16148,(V) Nizhny Novgorod,(H) Ural,1,1,1.00805,1.08859,10.1721,10.3794,9.8955,10.0826,10.1987,10.4261
2021-08-07 17:00:00,16155,(V) Nizhny Novgorod,(H) Spartak Moscow,2,1,0.903656,1.31048,10.3794,10.8537,10.0826,10.2052,10.4261,11.0021
2021-08-14 14:30:00,16161,(H) Nizhny Novgorod,(V) FC Ufa,1,2,1.66054,1.49607,10.8537,10.5094,10.2052,10.1520,11.0021,10.6167
2021-08-22 15:00:00,16172,(H) Nizhny Novgorod,(V) FC Rostov,1,2,0.178674,0.580155,10.5094,9.8639,10.152,9.6561,10.6167,10.0716
2021-08-27 15:30:00,16177,(V) Nizhny Novgorod,(H) Khimki,1,1,0.887752,2.1673,9.8639,9.7445,9.6561,9.2168,10.0716,10.2721
2021-09-12 16:00:00,16187,(V) Nizhny Novgorod,(H) Dinamo Moscow,2,1,1.46278,2.33983,9.7445,10.3674,9.2168,9.3705,10.2721,11.1143
2021-09-19 13:30:00,16197,(H) Nizhny Novgorod,(V) Arsenal Tula,2,3,1.84973,0.857868,10.3674,10.0309,9.3705,9.5319,11.1143,10.5298
2021-09-27 16:00:00,16205,(H) Nizhny Novgorod,(V) CSKA Moscow,0,2,0.620358,3.4291,10.0309,9.5736,9.5319,8.8724,10.5298,10.7747
2021-10-02 11:00:00,16213,(V) Nizhny Novgorod,(H) Rubin Kazan,1,0,1.12561,1.109,9.5736,10.0880,8.8724,9.1409,10.7747,11.2849
2021-10-17 13:30:00,16218,(V) Nizhny Novgorod,(H) Krylya Sovetov Samara,0,2,1.08876,2.34198,10.088,10.0871,9.1409,9.3267,11.2849,11.5973
2021-10-23 11:00:00,16230,(H) Nizhny Novgorod,(V) FC Krasnodar,1,4,0.0766626,3.52152,10.0871,9.7208,9.3267,8.8492,11.5973,12.0923
2021-10-30 16:00:00,16235,(H) Nizhny Novgorod,(V) Lokomotiv Moscow,1,2,0.89755,0.786608,9.7208,9.3466,8.8492,8.7528,12.0923,11.6904
2021-11-07 16:00:00,16244,(V) Nizhny Novgorod,(H) FK Akhmat,1,3,0.336352,1.63938,9.3466,8.9859,8.7528,8.5663,11.6904,11.6555
2021-11-19 16:00:00,16248,(V) Nizhny Novgorod,(H) Zenit St. Petersburg,1,5,0.684394,4.47097,8.9859,8.9219,8.5663,8.5556,11.6555,12.5381
2021-11-28 11:00:00,16260,(H) Nizhny Novgorod,(V) Krylya Sovetov Samara,0,0,0.237747,0.321144,8.9219,9.4979,8.5556,9.1108,12.5381,13.1349
