Dátum,Meccs-Id,Hazai-Csapat,Vendég-Csapat,Hazai-Gól,Ellenfél-Gól,Hazai-XG,Ellenfél-XG,Ellenfél-PR,Meccs-Előtti-PR,Meccs-Utáni-PR,Vendég-xgPR,Meccs-Előtti-xgPR,Meccs-Utáni-xgPR,Vendég-Mixed_PR,Meccs-Előtti-Mixed_PR,Meccs-Utáni-Mixed_PR
2015-08-08 18:00:00,85,(H) Norwich,(V) Crystal Palace,1,3,1.13076,2.10975,10.420,10.000,9.480,10.407,10.000,9.732,9.922,10.000,9.600
2015-08-15 18:00:00,93,(H) Sunderland,(V) Norwich,1,3,1.71686,0.329128,9.841,9.480,10.195,10.041,9.732,10.281,9.994,9.600,9.977
2015-08-22 18:00:00,102,(H) Norwich,(V) Stoke,1,1,3.14888,0.698228,10.168,10.195,10.063,10.559,10.281,10.838,9.674,9.977,9.164
2015-08-30 16:30:00,119,(H) Southampton,(V) Norwich,3,0,0.639434,2.85501,9.626,10.063,9.329,9.835,10.838,10.158,9.884,9.164,9.273
2015-09-12 18:00:00,126,(H) Norwich,(V) Bournemouth,3,1,1.33151,0.389495,9.914,9.329,9.850,9.691,10.158,10.152,10.182,9.273,9.640
2015-09-20 19:00:00,140,(H) Liverpool,(V) Norwich,1,1,0.556271,1.90447,8.839,9.850,9.722,10.117,10.152,9.931,8.806,9.640,9.894
2015-09-26 18:00:00,147,(H) West Ham,(V) Norwich,2,2,1.38603,2.60407,11.358,9.722,10.256,9.755,9.931,9.707,11.653,9.894,10.763
2015-10-03 18:00:00,155,(H) Norwich,(V) Leicester,1,2,1.18074,3.00282,9.395,10.256,9.666,9.591,9.707,9.097,9.757,10.763,10.592
2015-10-18 19:00:00,169,(H) Newcastle United,(V) Norwich,6,2,1.34395,2.24896,8.554,9.666,8.513,9.327,9.097,9.053,9.203,10.592,9.596
2015-10-24 18:00:00,174,(H) Norwich,(V) West Bromwich Albion,0,1,1.03228,1.45436,9.832,8.513,8.468,9.638,9.053,8.969,10.175,9.596,9.471
2015-10-31 19:00:00,183,(H) Manchester City,(V) Norwich,2,1,1.17497,2.83557,11.812,8.468,9.179,11.641,8.969,9.347,10.145,9.471,9.930
2015-11-07 19:00:00,194,(H) Norwich,(V) Swansea,1,0,1.19517,0.402284,9.376,9.179,9.353,9.724,9.347,9.514,9.476,9.930,9.743
2015-11-21 19:00:00,207,(H) Chelsea,(V) Norwich,1,0,0.202798,2.16487,9.360,9.353,9.230,10.254,9.514,9.333,9.137,9.743,9.957
2015-11-29 20:15:00,220,(H) Norwich,(V) Arsenal,1,1,1.01025,1.65699,11.022,9.230,9.553,11.840,9.333,9.673,9.268,9.957,9.821
2015-12-05 19:00:00,223,(H) Watford,(V) Norwich,2,0,0.310524,2.07199,10.427,9.553,9.396,10.078,9.673,9.459,10.450,9.821,10.044
