Dátum,Meccs-Id,Fő-Csapat,Ellenfél-Csapat,Hazai-Gól,Ellenfél-Gól,Hazai-XG,Ellenfél-XG,Meccs-Előtti-PR,Meccs-Utáni-PR,Meccs-Előtti-xgPR,Meccs-Utáni-xgPR,Meccs-Előtti-Mixed_PR,Meccs-Utáni-Mixed_PR
2016-08-19 22:45:00,1779,(V) Osasuna,(H) Malaga,1,1,0.829951,0.834224,10,10.1250,10,10.1239,10,10.1261
2016-08-27 20:15:00,1791,(H) Osasuna,(V) Real Sociedad,0,2,0.342253,0.758033,10.125,9.4152,10.1239,9.8101,10.1261,9.5202
2016-09-10 18:00:00,1801,(V) Osasuna,(H) Real Madrid,2,5,1.03534,3.7979,9.4152,8.9482,9.8101,9.4025,9.5202,9.7438
2016-09-18 14:00:00,1814,(H) Osasuna,(V) Celta Vigo,0,0,0.259738,0.683638,8.9482,8.8593,9.4025,9.2076,9.7438,9.7609
2016-09-22 22:00:00,1827,(H) Osasuna,(V) Espanyol,1,2,1.06944,1.39628,8.8593,8.4182,9.2076,8.9348,9.7609,9.4015
2016-09-25 20:30:00,1836,(V) Osasuna,(H) Villarreal,1,3,1.7961,2.9887,8.4182,8.2848,8.9348,9.0032,9.4015,9.5662
2016-10-01 20:30:00,1842,(H) Osasuna,(V) Las Palmas,2,2,0.988479,1.37115,8.2848,8.3786,9.0032,9.0013,9.5662,9.7557
2016-10-17 22:45:00,1858,(V) Osasuna,(H) Eibar,3,2,1.40368,0.802032,8.3786,8.9464,9.0013,9.4695,9.7557,10.1730
2016-10-21 22:45:00,1859,(H) Osasuna,(V) Real Betis,1,2,0.929293,1.23524,8.9464,8.6997,9.4695,9.3963,10.173,10.0027
2016-10-30 19:15:00,3314,(V) Osasuna,(H) Athletic Club,1,1,0.338045,1.4373,8.6997,8.9386,9.3963,9.3604,10.0027,10.5164
2016-11-05 21:30:00,2779,(H) Osasuna,(V) Alaves,0,1,0.471469,1.62667,8.9386,8.4264,9.3604,8.8094,10.5164,10.2930
