Dátum,Meccs-Id,Fő-Csapat,Ellenfél-Csapat,Hazai-Gól,Ellenfél-Gól,Hazai-XG,Ellenfél-XG,Ellenfél-PR,Meccs-Előtti-PR,Meccs-Utáni-PR,Vendég-xgPR,Meccs-Előtti-xgPR,Meccs-Utáni-xgPR,Vendég-Mixed_PR,Meccs-Előtti-Mixed_PR,Meccs-Utáni-Mixed_PR
2019-07-13 16:00:00,11025,(H) Spartak Moscow,(V) PFC Sochi,1,0,1.80674,0.892691,10.416,10.000,9.979,10.267,10.000,10.420,10.467,10.000,9.763
2019-07-21 18:30:00,11038,(H) PFC Sochi,(V) Zenit St. Petersburg,0,2,0.451965,3.49532,11.129,9.979,9.642,10.646,10.420,9.591,10.134,9.763,9.992
2019-07-27 16:00:00,11042,(H) FC Krasnodar,(V) PFC Sochi,3,0,0.636108,2.78278,11.535,9.642,9.490,11.256,9.591,9.596,10.538,9.992,10.040
2019-08-04 19:30:00,11053,(H) PFC Sochi,(V) FC Ufa,0,0,0.745677,0.314473,10.049,9.490,9.505,10.007,9.596,9.682,9.951,10.040,9.785
2019-08-11 17:00:00,11060,(H) CSKA Moscow,(V) PFC Sochi,0,0,0.709087,0.663134,11.229,9.505,10.061,10.859,9.682,10.113,10.271,9.785,10.020
2019-08-16 16:00:00,11063,(H) FC Orenburg,(V) PFC Sochi,1,1,1.15442,0.956093,10.018,10.061,10.175,10.655,10.113,10.423,9.318,10.020,9.920
2019-08-26 16:00:00,11078,(H) Ural,(V) PFC Sochi,3,1,1.20384,2.44765,9.111,10.175,9.534,9.159,10.423,9.921,9.848,9.920,9.838
2019-08-31 12:00:00,11081,(H) Rubin Kazan,(V) PFC Sochi,0,3,3.20643,1.17139,10.535,9.534,10.659,10.126,9.921,10.606,10.474,9.838,10.363
2019-09-14 16:00:00,11087,(H) PFC Sochi,(V) Lokomotiv Moscow,0,1,0.696383,1.50506,11.115,10.659,10.398,11.419,10.606,10.482,9.673,10.363,10.018
2019-09-22 11:00:00,11096,(H) Dinamo Moscow,(V) PFC Sochi,2,3,1.18294,0.727353,10.535,10.398,10.807,10.797,10.482,10.800,9.596,10.018,10.174
2019-09-30 16:30:00,11103,(H) PFC Sochi,(V) FK Akhmat,2,0,1.80726,0.74923,9.854,10.807,10.944,9.708,10.800,10.667,10.095,10.174,10.265
2019-10-05 17:00:00,11111,(H) PFC Sochi,(V) Krylya Sovetov Samara,0,2,0.861406,2.46547,10.564,10.944,10.224,10.695,10.667,10.148,9.797,10.265,9.924
2019-10-20 14:30:00,11120,(H) Arsenal Tula,(V) PFC Sochi,1,1,0.451437,3.40361,10.412,10.224,10.396,10.068,10.148,9.515,10.500,9.924,10.931
2019-10-26 17:00:00,11127,(H) FC Rostov,(V) PFC Sochi,2,0,1.08688,1.53901,10.832,10.396,10.130,10.462,9.515,9.764,10.567,10.931,10.578
2019-11-02 13:30:00,11135,(H) PFC Sochi,(V) FC Tambov,1,2,1.20402,1.60876,9.985,10.130,9.719,9.517,9.764,9.476,10.227,10.578,10.216
