Dátum,Meccs-Id,Fő-Csapat,Ellenfél-Csapat,Hazai-Gól,Ellenfél-Gól,Hazai-XG,Ellenfél-XG,Ellenfél-PR,Meccs-Előtti-PR,Meccs-Utáni-PR,Vendég-xgPR,Meccs-Előtti-xgPR,Meccs-Utáni-xgPR,Vendég-Mixed_PR,Meccs-Előtti-Mixed_PR,Meccs-Utáni-Mixed_PR
2014-08-24 14:30:00,5454,(H) Paderborn,(V) Mainz 05,2,2,0.35254,1.84123,10.000,10.000,9.875,10.000,10.000,9.503,10.000,10.000,10.247
2014-08-30 14:30:00,5459,(H) Hamburger SV,(V) Paderborn,0,3,2.37004,1.14049,10.125,9.875,10.813,10.223,9.503,10.115,10.027,10.247,10.760
2014-09-13 14:30:00,5416,(H) Paderborn,(V) FC Cologne,0,0,0.327136,0.386458,10.563,10.813,10.625,10.009,10.115,9.949,10.616,10.760,10.614
2014-09-20 14:30:00,5424,(H) Paderborn,(V) Hannover 96,2,0,2.05175,0.550873,10.359,10.625,10.933,10.155,9.949,10.251,10.111,10.614,10.488
2014-09-23 19:00:00,5430,(H) Bayern Munich,(V) Paderborn,4,0,0.402844,3.48286,10.176,10.933,9.869,10.384,10.251,9.639,9.869,10.488,10.228
2014-09-27 14:30:00,5443,(H) Paderborn,(V) Borussia M.Gladbach,1,2,1.5747,1.43504,10.504,9.869,9.653,10.554,9.639,9.778,9.882,10.228,9.732
2014-10-04 14:30:00,5387,(H) Bayer Leverkusen,(V) Paderborn,2,2,1.12552,1.60118,10.070,9.653,9.882,10.472,9.778,9.958,9.647,9.732,9.955
2014-10-19 16:30:00,5400,(H) Paderborn,(V) Eintracht Frankfurt,3,1,2.37575,0.558647,10.178,9.882,10.331,9.782,9.958,10.243,10.320,9.955,9.967
2014-10-25 14:30:00,5404,(H) Hoffenheim,(V) Paderborn,1,0,0.673226,1.5035,10.370,10.331,10.216,10.343,10.243,10.185,10.116,9.967,10.087
2014-11-02 16:30:00,5355,(H) Paderborn,(V) Hertha Berlin,3,1,1.96835,0.925677,10.213,10.216,10.590,10.152,10.185,10.312,9.983,10.087,10.175
2014-11-08 14:30:00,5357,(H) Augsburg,(V) Paderborn,3,0,0.968616,1.66135,10.090,10.590,9.840,9.992,10.312,10.184,10.233,10.175,9.738
2014-11-22 14:30:00,5370,(H) Paderborn,(V) Borussia Dortmund,2,2,0.638364,1.92358,10.148,9.840,9.792,10.714,10.184,9.870,9.322,9.738,9.830
2014-11-29 14:30:00,5379,(H) Werder Bremen,(V) Paderborn,4,0,0.839366,4.47976,9.191,9.792,8.767,9.340,9.870,8.952,9.928,9.830,9.890
2014-12-06 14:30:00,5316,(H) Paderborn,(V) Freiburg,1,1,1.38276,0.883469,8.965,8.767,8.692,9.007,8.952,8.966,9.933,9.890,9.651
2014-12-14 16:30:00,5329,(H) Wolfsburg,(V) Paderborn,1,1,0.996117,3.22294,11.090,8.692,9.416,10.573,8.966,8.936,10.582,9.651,10.565
