Dátum,Meccs-Id,Hazai-Csapat,Vendég-Csapat,Hazai-Gól,Ellenfél-Gól,Hazai-XG,Ellenfél-XG,Ellenfél-PR,Meccs-Előtti-PR,Meccs-Utáni-PR,Vendég-xgPR,Meccs-Előtti-xgPR,Meccs-Utáni-xgPR,Vendég-Mixed_PR,Meccs-Előtti-Mixed_PR,Meccs-Utáni-Mixed_PR
2014-08-08 19:30:00,6185,(H) Reims,(V) Paris Saint Germain,2,2,2.65538,1.36787,10.000,10.000,10.125,10.000,10.000,10.447,10.000,10.000,9.803
2014-08-16 16:00:00,6196,(H) Paris Saint Germain,(V) SC Bastia,2,0,1.50758,0.164539,9.875,10.125,10.437,9.895,10.447,10.520,9.855,9.803,9.855
2014-08-22 19:30:00,6205,(H) Evian Thonon Gaillard,(V) Paris Saint Germain,0,0,0.388902,0.632883,8.375,10.437,10.047,9.688,10.520,10.376,8.749,9.855,9.764
2014-08-31 20:00:00,6224,(H) Paris Saint Germain,(V) Saint-Etienne,5,0,1.60888,0.384577,10.578,10.047,11.305,10.437,10.376,10.572,9.953,9.764,10.630
2014-09-13 16:00:00,6146,(H) Rennes,(V) Paris Saint Germain,1,1,1.49453,0.28586,11.016,11.305,11.358,10.215,10.572,10.910,10.997,10.630,10.545
2014-09-21 20:00:00,6164,(H) Paris Saint Germain,(V) Lyon,1,1,1.71499,0.538028,9.719,11.358,10.823,10.138,10.910,10.886,9.513,10.545,9.868
2014-09-24 20:00:00,6173,(H) Caen,(V) Paris Saint Germain,0,2,2.14743,0.943355,9.878,10.823,11.212,9.161,10.886,10.881,10.938,9.868,10.459
2014-09-27 16:00:00,6176,(H) Toulouse,(V) Paris Saint Germain,1,1,0.504659,0.661996,10.381,11.212,11.129,10.618,10.881,10.901,9.897,10.459,10.483
2014-10-05 20:00:00,6123,(H) Paris Saint Germain,(V) Monaco,1,1,1.23205,1.28795,9.826,11.129,10.678,9.973,10.901,10.530,9.766,10.483,10.193
2014-10-17 19:30:00,6124,(H) Lens,(V) Paris Saint Germain,1,3,2.32314,0.887858,8.948,10.678,10.870,9.574,10.530,10.775,9.483,10.193,10.282
2014-10-25 16:00:00,6135,(H) Paris Saint Germain,(V) Bordeaux,3,0,2.26339,0.451124,9.517,10.870,11.157,9.635,10.775,10.818,9.819,10.282,10.338
2014-11-01 16:00:00,6076,(H) Lorient,(V) Paris Saint Germain,1,2,1.72464,1.17192,9.251,11.157,11.055,9.295,10.818,10.700,10.047,10.338,10.502
2014-11-09 20:00:00,6094,(H) Paris Saint Germain,(V) Marseille,2,0,2.92373,0.757773,11.454,11.055,11.530,10.913,10.700,11.170,10.506,10.502,10.337
2014-11-21 19:30:00,6095,(H) Metz,(V) Paris Saint Germain,2,3,2.21682,2.04314,9.100,11.530,11.298,9.992,11.170,11.044,9.233,10.337,10.393
2014-11-29 16:00:00,6105,(H) Paris Saint Germain,(V) Nice,1,0,1.77541,0.367226,9.948,11.298,11.086,9.919,11.044,10.990,9.863,10.393,10.033
2014-12-03 20:00:00,6044,(H) Lille,(V) Paris Saint Germain,1,1,3.24668,1.32825,9.121,11.086,10.720,9.380,10.990,11.192,9.991,10.033,9.668
2014-12-06 16:00:00,6047,(H) Paris Saint Germain,(V) Nantes,2,1,1.86018,0.152992,9.501,10.720,10.540,10.291,11.192,11.269,9.133,9.668,9.232
2014-12-14 16:00:00,6063,(H) Guingamp,(V) Paris Saint Germain,1,0,1.24333,0.67697,10.342,10.540,10.366,10.106,11.269,11.245,10.221,9.232,9.213
2014-12-20 16:00:00,6067,(H) Paris Saint Germain,(V) Montpellier,0,0,0.514465,0.0415991,10.506,10.366,10.276,10.318,11.245,11.006,10.138,9.213,9.201
2015-01-10 16:00:00,6000,(H) SC Bastia,(V) Paris Saint Germain,4,2,1.31274,1.4467,9.841,10.276,9.792,10.032,11.006,10.854,9.809,9.201,9.011
2015-01-18 13:00:00,6016,(H) Paris Saint Germain,(V) Evian Thonon Gaillard,4,2,3.42779,0.39894,9.171,9.792,10.012,9.205,10.854,11.074,9.963,9.011,8.867
2015-01-25 20:00:00,6028,(H) Saint-Etienne,(V) Paris Saint Germain,0,1,2.36079,0.351107,10.952,10.012,10.622,10.152,11.074,11.471,10.951,8.867,9.261
2015-01-30 19:30:00,6029,(H) Paris Saint Germain,(V) Rennes,1,0,1.84905,0.464159,8.741,10.622,10.277,9.435,11.471,11.183,9.080,9.261,8.995
2015-02-08 20:00:00,5972,(H) Lyon,(V) Paris Saint Germain,1,1,2.59822,0.719121,11.542,10.277,10.718,10.659,11.183,11.647,10.971,8.995,9.144
2015-02-14 15:00:00,5974,(H) Paris Saint Germain,(V) Caen,2,2,1.58468,0.674238,10.741,10.718,10.599,10.012,11.647,11.341,10.472,9.144,9.123
2015-02-21 16:00:00,5983,(H) Paris Saint Germain,(V) Toulouse,3,1,1.89117,1.00428,9.386,10.599,10.671,9.507,11.341,10.979,9.731,9.123,9.428
2015-03-01 20:00:00,5928,(H) Monaco,(V) Paris Saint Germain,0,0,1.25139,0.269429,10.738,10.671,10.813,10.703,10.979,11.280,10.237,9.428,9.510
2015-03-07 16:00:00,5931,(H) Paris Saint Germain,(V) Lens,4,1,4.74794,0.623449,8.619,10.813,10.889,9.749,11.280,11.803,8.751,9.510,8.914
2015-03-15 16:00:00,5948,(H) Bordeaux,(V) Paris Saint Germain,3,2,2.24977,2.38445,10.356,10.889,10.631,10.241,11.803,11.504,10.172,8.914,9.137
2015-03-20 19:30:00,5950,(H) Paris Saint Germain,(V) Lorient,3,1,3.60171,0.385115,10.197,10.631,10.897,9.671,11.504,11.725,10.485,9.137,9.045
2015-04-05 20:00:00,5894,(H) Marseille,(V) Paris Saint Germain,2,3,0.396874,0.634944,11.543,10.897,11.433,10.189,11.725,11.406,11.381,9.045,10.064
2015-04-18 16:00:00,5906,(H) Nice,(V) Paris Saint Germain,1,3,2.84076,1.35219,10.290,11.433,11.772,10.081,11.406,11.572,10.365,10.064,10.392
2015-04-25 16:00:00,5916,(H) Paris Saint Germain,(V) Lille,6,1,2.94967,0.30206,10.983,11.772,12.700,10.339,11.572,11.801,10.516,10.392,10.886
2015-04-28 20:00:00,5925,(H) Paris Saint Germain,(V) Metz,3,1,1.0084,0.447795,9.703,12.700,12.326,10.329,11.801,11.448,9.288,10.886,10.721
2015-05-03 20:00:00,5854,(H) Nantes,(V) Paris Saint Germain,0,2,2.21276,0.51294,10.004,12.326,12.370,9.930,11.448,11.618,10.159,10.721,10.781
2015-05-08 19:30:00,5855,(H) Paris Saint Germain,(V) Guingamp,6,0,4.38112,0.23496,10.332,12.370,13.236,9.819,11.618,12.080,10.499,10.781,11.049
2015-05-16 20:00:00,5872,(H) Montpellier,(V) Paris Saint Germain,1,2,2.33917,0.344417,10.028,13.236,12.809,10.322,12.080,12.264,9.782,11.049,10.609
2015-05-23 20:00:00,5878,(H) Paris Saint Germain,(V) Reims,3,2,2.06974,1.54416,9.842,12.809,12.192,10.190,12.264,11.752,9.715,10.609,10.379
2015-08-07 22:30:00,1869,(H) Lille,(V) Paris Saint Germain,0,1,1.33457,0.914879,9.566,12.192,11.911,9.614,11.752,11.447,9.983,10.379,10.550
2015-08-16 23:00:00,1888,(H) Paris Saint Germain,(V) GFC Ajaccio,2,0,1.58401,0.150143,10.125,11.911,11.840,10.291,11.447,11.391,9.959,10.550,10.419
2015-08-21 22:30:00,1889,(H) Montpellier,(V) Paris Saint Germain,0,1,0.755727,0.372892,9.414,11.840,11.608,9.666,11.391,11.180,9.846,10.419,10.555
2015-08-30 23:00:00,1908,(H) Monaco,(V) Paris Saint Germain,0,3,2.13619,0.13557,10.478,11.608,12.200,10.745,11.180,11.696,9.839,10.555,10.751
2015-09-11 22:30:00,1909,(H) Paris Saint Germain,(V) Bordeaux,2,2,1.55094,0.858052,10.700,12.200,11.700,10.995,11.696,11.569,9.683,10.751,10.186
2015-09-19 19:30:00,1920,(H) Reims,(V) Paris Saint Germain,1,1,1.48008,0.871294,10.777,11.700,11.594,10.102,11.569,11.479,10.768,10.186,10.304
2015-09-22 23:00:00,1930,(H) Paris Saint Germain,(V) Guingamp,3,0,3.11111,0.415048,10.339,11.594,11.905,10.411,11.479,11.761,9.888,10.304,10.151
2015-09-26 19:30:00,1939,(H) Nantes,(V) Paris Saint Germain,1,4,1.86069,0.54464,9.414,11.905,12.157,9.439,11.761,11.635,10.083,10.151,10.680
2015-10-04 23:00:00,1957,(H) Paris Saint Germain,(V) Marseille,2,1,3.63872,1.77639,10.311,12.157,11.820,10.071,11.635,11.585,10.061,10.680,10.185
2015-10-17 19:00:00,1959,(H) SC Bastia,(V) Paris Saint Germain,0,2,1.78051,0.631104,10.153,11.820,12.028,9.262,11.585,11.417,10.979,10.185,10.721
2015-10-26 00:00:00,1977,(H) Paris Saint Germain,(V) Saint-Etienne,4,1,4.46576,0.565349,10.055,12.028,12.160,10.191,11.417,11.961,9.749,10.721,10.128
2015-10-30 23:30:00,1978,(H) Rennes,(V) Paris Saint Germain,0,1,0.699325,0.185016,10.096,12.160,12.019,10.025,11.961,11.731,10.206,10.128,10.394
2015-11-07 20:00:00,1990,(H) Paris Saint Germain,(V) Toulouse,5,0,2.03364,0.218218,9.183,12.019,12.435,9.877,11.731,11.596,9.278,10.394,10.786
2015-11-21 20:00:00,2000,(H) Lorient,(V) Paris Saint Germain,1,2,1.66927,1.05284,10.616,12.435,12.355,10.405,11.596,11.577,10.142,10.786,10.846
2015-11-28 20:00:00,2010,(H) Paris Saint Germain,(V) Troyes,4,1,3.14432,0.294756,8.899,12.355,12.116,9.355,11.577,11.609,9.508,10.846,10.424
2015-12-01 22:00:00,2019,(H) Angers,(V) Paris Saint Germain,0,0,0.653705,0.589837,10.202,12.116,11.763,10.106,11.609,11.374,10.022,10.424,10.433
2015-12-04 23:30:00,2029,(H) Nice,(V) Paris Saint Germain,0,3,3.77388,0.562786,10.752,11.763,12.385,10.559,11.374,12.098,10.434,10.433,10.505
2015-12-14 00:00:00,2048,(H) Paris Saint Germain,(V) Lyon,5,1,2.93193,0.19264,9.563,12.385,12.555,10.152,12.098,12.171,9.299,10.505,10.394
2015-12-19 20:00:00,2050,(H) Caen,(V) Paris Saint Germain,0,3,2.46206,1.11522,10.292,12.555,12.864,10.013,12.171,12.093,10.397,10.394,10.933
2016-01-08 23:30:00,2059,(H) Paris Saint Germain,(V) SC Bastia,2,0,2.58941,0.227448,9.922,12.864,12.503,9.008,12.093,11.787,10.764,10.933,10.675
2016-01-16 20:00:00,2070,(H) Toulouse,(V) Paris Saint Germain,0,1,0.851646,0.672012,10.703,12.503,12.428,10.574,11.787,11.654,10.243,10.675,10.897
2016-01-23 20:00:00,2080,(H) Paris Saint Germain,(V) Angers,5,1,2.62942,0.338627,10.428,12.428,12.803,9.905,11.654,11.664,10.597,10.897,11.124
2016-02-01 00:00:00,2098,(H) Saint-Etienne,(V) Paris Saint Germain,0,2,2.05075,0.66288,10.147,12.803,12.764,9.379,11.664,11.565,10.846,11.124,11.333
2016-02-04 00:00:00,2107,(H) Paris Saint Germain,(V) Lorient,3,1,2.60881,0.513408,10.088,12.764,12.470,10.194,11.565,11.621,9.820,11.333,10.806
2016-02-08 00:00:00,2118,(H) Marseille,(V) Paris Saint Germain,1,2,1.74708,0.985051,10.603,12.470,12.378,10.252,11.621,11.594,10.504,10.806,10.915
2016-02-13 20:00:00,2120,(H) Paris Saint Germain,(V) Lille,0,0,1.71392,0.0978456,9.760,12.378,11.598,10.079,11.594,11.494,9.501,10.915,10.032
2016-02-20 20:00:00,2130,(H) Paris Saint Germain,(V) Reims,4,1,2.123,0.678292,9.960,11.598,11.814,10.168,11.494,11.399,9.724,10.032,10.219
2016-02-29 00:00:00,2146,(H) Lyon,(V) Paris Saint Germain,2,1,0.341938,1.44709,11.298,11.814,11.560,10.967,11.399,11.140,10.422,10.219,10.421
2016-03-05 20:00:00,2148,(H) Paris Saint Germain,(V) Montpellier,0,0,1.58349,0.238527,11.337,11.560,11.379,10.800,11.140,11.266,10.459,10.421,9.969
2016-03-13 17:00:00,2166,(H) Troyes,(V) Paris Saint Germain,0,9,4.30333,1.37172,9.120,11.379,13.189,8.861,11.266,11.523,10.443,9.969,11.730
2016-03-21 00:00:00,2178,(H) Paris Saint Germain,(V) Monaco,0,2,2.31249,1.90627,10.570,13.189,11.909,9.900,11.523,11.094,10.717,11.730,10.750
2016-04-02 19:00:00,2180,(H) Paris Saint Germain,(V) Nice,4,1,2.07953,0.571402,11.129,11.909,12.339,10.279,11.094,11.142,10.711,10.750,10.988
2016-04-09 19:00:00,2190,(H) Guingamp,(V) Paris Saint Germain,0,2,2.09637,0.381495,10.000,12.339,12.379,9.699,11.142,11.335,10.299,10.988,11.012
2016-04-16 19:00:00,2200,(H) Paris Saint Germain,(V) Caen,6,0,3.92379,0.801306,8.876,12.379,12.878,9.338,11.335,11.491,9.477,11.012,11.223
2016-04-29 22:30:00,2218,(H) Paris Saint Germain,(V) Rennes,4,0,3.8578,0.233848,9.638,12.878,12.943,9.136,11.491,11.683,10.266,11.223,10.953
2016-05-07 23:00:00,2232,(H) GFC Ajaccio,(V) Paris Saint Germain,0,4,2.04865,0.360549,9.935,12.943,13.316,10.275,11.683,11.878,9.644,10.953,11.329
2016-05-11 22:30:00,2238,(H) Bordeaux,(V) Paris Saint Germain,1,1,2.09697,0.869861,10.356,13.316,12.701,10.058,11.878,11.855,10.294,11.329,10.888
2016-05-14 23:00:00,2244,(H) Paris Saint Germain,(V) Nantes,4,0,4.17612,0.561186,9.320,12.701,12.731,9.927,11.855,12.152,9.244,10.888,10.448
2016-08-12 22:00:00,2249,(H) SC Bastia,(V) Paris Saint Germain,0,1,0.664887,0.828385,9.900,12.731,12.398,9.580,12.152,11.593,10.484,10.448,10.873
2016-08-21 22:45:00,2268,(H) Paris Saint Germain,(V) Metz,3,0,3.85662,0.996438,8.672,12.398,12.092,9.511,11.593,11.663,8.928,10.873,10.297
2016-08-28 22:45:00,2278,(H) Monaco,(V) Paris Saint Germain,3,1,1.11721,1.20927,10.402,12.092,11.294,10.566,11.663,11.491,9.844,10.297,9.832
2016-09-09 22:45:00,2279,(H) Paris Saint Germain,(V) Saint-Etienne,1,1,1.93914,0.293162,10.465,11.294,10.962,9.985,11.491,11.401,10.281,9.832,9.408
2016-09-16 22:45:00,2289,(H) Caen,(V) Paris Saint Germain,0,6,3.50276,1.00689,10.083,10.962,12.367,10.233,11.401,11.858,9.933,9.408,10.540
2016-09-20 23:00:00,2300,(H) Paris Saint Germain,(V) Dijon,3,0,2.11535,0.300163,9.718,12.367,12.330,9.946,11.858,11.709,9.720,10.540,10.506
2016-09-23 22:45:00,2309,(H) Toulouse,(V) Paris Saint Germain,2,0,1.04576,1.44408,10.750,12.330,11.560,10.631,11.709,11.465,10.301,10.506,10.179
2016-10-01 19:00:00,2320,(H) Paris Saint Germain,(V) Bordeaux,2,0,2.34986,0.741264,10.394,11.560,11.643,10.362,11.465,11.466,10.008,10.179,10.109
2016-10-15 19:00:00,2331,(H) Nancy,(V) Paris Saint Germain,1,2,0.603299,0.203584,9.474,11.643,11.476,9.414,11.466,11.178,10.146,10.109,10.393
2016-10-23 22:45:00,2348,(H) Paris Saint Germain,(V) Marseille,0,0,1.51451,0,9.668,11.476,10.899,9.746,11.178,11.074,9.846,10.393,9.753
2016-10-28 22:45:00,3318,(H) Lille,(V) Paris Saint Germain,0,1,2.23771,1.18702,9.517,10.899,10.929,10.042,11.074,11.204,9.405,9.753,9.778
2016-11-06 23:45:00,2842,(H) Paris Saint Germain,(V) Rennes,4,0,2.56751,0.181636,9.928,10.929,11.554,9.851,11.204,11.337,9.960,9.778,10.102
2016-11-19 20:00:00,2845,(H) Paris Saint Germain,(V) Nantes,2,0,1.52321,0.665853,9.605,11.554,11.442,10.127,11.337,11.124,9.367,10.102,10.079
2016-11-27 23:45:00,2862,(H) Lyon,(V) Paris Saint Germain,1,2,2.29947,0.869106,10.523,11.442,11.587,10.992,11.124,11.574,9.588,10.079,9.974
2016-12-01 00:00:00,3228,(H) Paris Saint Germain,(V) Angers,2,0,1.876,0.301573,9.790,11.587,11.513,10.091,11.574,11.472,9.612,9.974,9.865
2016-12-03 20:00:00,3230,(H) Montpellier,(V) Paris Saint Germain,3,0,1.2177,0.537489,9.592,11.513,10.408,9.976,11.472,11.393,9.740,9.865,9.039
2016-12-11 23:45:00,3248,(H) Paris Saint Germain,(V) Nice,2,2,3.50337,0.505159,11.220,10.408,10.486,10.168,11.393,11.711,11.006,9.039,8.656
2016-12-17 20:00:00,3250,(H) Guingamp,(V) Paris Saint Germain,2,1,1.69325,0.914417,9.709,10.486,10.167,9.967,11.711,11.595,9.721,8.656,8.603
2016-12-21 23:50:00,3263,(H) Paris Saint Germain,(V) Lorient,5,0,2.03863,0.102987,9.828,10.167,11.207,10.240,11.595,11.615,9.584,8.603,9.489
2017-01-14 20:00:00,4106,(H) Rennes,(V) Paris Saint Germain,0,1,0.757739,0.381715,10.074,11.207,11.299,9.910,11.615,11.408,10.229,9.489,9.955
2017-01-21 19:00:00,4116,(H) Nantes,(V) Paris Saint Germain,0,2,1.97617,0.728342,10.360,11.299,11.689,10.073,11.408,11.511,10.174,9.955,10.323
2017-01-29 23:00:00,4134,(H) Paris Saint Germain,(V) Monaco,1,1,1.34725,0.567186,12.597,11.689,11.791,11.354,11.511,11.542,11.115,10.323,10.201
2017-02-04 19:00:00,4139,(H) Dijon,(V) Paris Saint Germain,1,3,2.9385,0.30456,10.396,11.791,12.067,9.835,11.542,11.899,10.645,10.201,10.279
2017-02-07 23:00:00,4150,(H) Paris Saint Germain,(V) Lille,2,1,2.8525,0.317243,10.081,12.067,11.695,9.934,11.899,11.917,10.084,10.279,9.721
2017-02-10 19:45:00,4157,(H) Bordeaux,(V) Paris Saint Germain,0,3,1.0688,0.930204,11.260,11.695,12.461,10.431,11.917,11.705,10.935,9.721,10.865
2017-02-19 20:00:00,4170,(H) Paris Saint Germain,(V) Toulouse,0,0,1.19449,0.117021,10.320,12.461,11.801,10.090,11.705,11.446,10.112,10.865,10.282
2017-02-26 20:00:00,4179,(H) Marseille,(V) Paris Saint Germain,1,5,3.52241,0.772502,10.415,11.801,12.579,10.115,11.446,11.926,10.228,10.282,10.706
2017-03-04 16:00:00,4188,(H) Paris Saint Germain,(V) Nancy,1,0,3.26565,0.583319,9.066,12.579,11.826,9.281,11.926,11.810,9.829,10.706,9.941
2017-03-12 20:00:00,4199,(H) Lorient,(V) Paris Saint Germain,1,2,1.34893,0.232821,8.305,11.826,11.321,9.107,11.810,11.538,9.117,9.941,9.831
2017-03-19 20:00:00,4213,(H) Paris Saint Germain,(V) Lyon,2,1,1.4683,1.2114,12.116,11.321,11.645,11.371,11.538,11.435,10.592,9.831,10.082
2017-04-09 20:00:00,4229,(H) Paris Saint Germain,(V) Guingamp,4,0,2.70624,0.592491,9.868,11.645,12.076,10.566,11.435,11.621,9.210,10.082,10.211
2017-04-14 19:45:00,4239,(H) Angers,(V) Paris Saint Germain,0,2,0.822594,0.586893,10.504,12.076,12.308,10.360,11.621,11.490,10.110,10.211,10.752
2017-04-18 17:30:00,4223,(H) Metz,(V) Paris Saint Germain,2,3,2.67049,0.336657,8.622,12.308,11.762,9.402,11.490,11.676,9.075,10.752,10.124
2017-04-22 16:00:00,4250,(H) Paris Saint Germain,(V) Montpellier,2,0,2.8096,1.00547,10.338,11.762,11.781,9.676,11.676,11.502,10.597,10.124,10.166
2017-04-30 20:00:00,4256,(H) Nice,(V) Paris Saint Germain,3,1,1.31731,1.17983,10.897,11.781,11.185,10.214,11.502,11.339,10.800,10.166,9.915
2017-05-06 16:00:00,4271,(H) Paris Saint Germain,(V) SC Bastia,5,0,5.35893,0.10292,9.250,11.185,11.826,9.475,11.339,12.062,9.770,9.915,9.690
2017-05-14 20:00:00,4275,(H) Saint-Etienne,(V) Paris Saint Germain,0,5,5.06788,0.308928,9.915,11.826,12.723,10.346,12.062,12.948,9.515,9.690,9.832
2017-05-20 20:00:00,4290,(H) Paris Saint Germain,(V) Caen,1,1,2.00237,1.69999,8.652,12.723,11.580,9.315,12.948,11.990,9.230,9.832,9.481
2017-08-05 16:15:00,8566,(H) Paris Saint Germain,(V) Amiens,2,0,2.25264,0.190301,10.000,11.580,11.560,10.000,11.990,11.883,10.000,9.481,9.470
2017-08-13 20:00:00,8584,(H) Guingamp,(V) Paris Saint Germain,0,3,2.51121,0.0609477,10.174,11.560,12.088,9.996,11.883,12.149,10.174,9.470,9.908
2017-08-20 20:00:00,8591,(H) Paris Saint Germain,(V) Toulouse,6,2,3.19678,0.338766,9.838,12.088,12.400,10.036,12.149,12.210,9.706,9.908,10.018
2017-08-25 19:45:00,8602,(H) Paris Saint Germain,(V) Saint-Etienne,3,0,2.36555,0.621197,10.427,12.400,12.532,10.238,12.210,12.028,10.177,10.018,10.247
2017-09-08 19:45:00,8614,(H) Metz,(V) Paris Saint Germain,1,5,4.87729,1.20793,9.344,12.532,12.860,9.317,12.028,12.393,10.146,10.247,10.429
2017-09-17 20:00:00,8624,(H) Paris Saint Germain,(V) Lyon,2,0,1.77327,0.928593,10.837,12.860,12.729,10.360,12.393,11.971,10.382,10.429,10.581
2017-09-23 16:00:00,8631,(H) Montpellier,(V) Paris Saint Germain,0,0,0.664671,0.156853,9.631,12.729,12.080,10.136,11.971,11.764,9.548,10.581,10.321
2017-09-30 16:00:00,8644,(H) Paris Saint Germain,(V) Bordeaux,6,2,2.40637,2.19609,10.997,12.080,12.684,11.025,11.764,11.507,9.995,10.321,11.062
2017-10-14 16:00:00,8652,(H) Dijon,(V) Paris Saint Germain,1,2,2.55828,0.704259,9.490,12.684,12.261,9.710,11.507,11.646,9.688,11.062,10.630
2017-10-22 20:00:00,8664,(H) Marseille,(V) Paris Saint Germain,2,2,0.324335,1.31442,10.740,12.261,12.006,10.778,11.646,11.306,10.171,10.630,10.888
2017-10-27 19:45:00,8672,(H) Paris Saint Germain,(V) Nice,3,0,3.30483,0.198721,9.352,12.006,11.968,10.437,11.306,11.740,8.785,10.888,10.211
2017-11-04 16:00:00,8680,(H) Angers,(V) Paris Saint Germain,0,5,2.78391,0.663491,10.280,11.968,12.921,10.118,11.740,11.990,10.284,10.211,11.074
2017-11-18 16:00:00,8692,(H) Paris Saint Germain,(V) Nantes,4,1,2.15231,0.855253,10.331,12.921,12.899,10.144,11.990,11.728,10.102,11.074,11.132
2017-11-26 20:00:00,8704,(H) Monaco,(V) Paris Saint Germain,1,2,4.41005,0.379619,11.914,12.899,13.028,10.937,11.728,12.663,11.110,11.132,10.494
2017-11-29 20:00:00,8712,(H) Paris Saint Germain,(V) Troyes,2,0,1.70266,0.446889,9.999,13.028,12.646,9.996,12.663,12.185,9.945,10.494,10.418
2017-12-02 16:00:00,8716,(H) Strasbourg,(V) Paris Saint Germain,2,1,2.27373,0.38814,9.288,12.646,11.681,9.283,12.185,12.056,9.886,10.418,9.689
2017-12-09 16:00:00,8733,(H) Paris Saint Germain,(V) Lille,3,1,1.621,0.509177,10.240,11.681,11.696,9.346,12.056,11.531,10.933,9.689,10.097
2017-12-16 16:00:00,8741,(H) Rennes,(V) Paris Saint Germain,1,4,3.94333,2.20762,10.235,11.696,12.206,10.002,11.531,11.708,10.316,10.097,10.593
2017-12-20 19:50:00,8747,(H) Paris Saint Germain,(V) Caen,3,1,2.4519,1.01868,9.477,12.206,11.899,10.154,11.708,11.553,9.206,10.593,10.263
2018-01-14 20:00:00,8759,(H) Nantes,(V) Paris Saint Germain,0,1,2.45162,0.703414,10.203,11.899,11.850,10.409,11.553,11.829,9.829,10.263,10.092
2018-01-17 20:00:00,8773,(H) Paris Saint Germain,(V) Dijon,8,0,4.27396,0.154688,10.044,11.850,13.274,9.518,11.829,12.156,10.445,10.092,11.025
2018-01-21 20:00:00,8777,(H) Lyon,(V) Paris Saint Germain,2,1,0.67226,0.502457,11.639,13.274,12.740,10.929,12.156,12.017,10.834,11.025,10.810
2018-01-27 19:00:00,8790,(H) Paris Saint Germain,(V) Montpellier,4,0,4.24887,0.680381,10.083,12.740,12.951,10.294,12.017,12.353,9.700,10.810,10.515
2018-02-03 16:00:00,8797,(H) Lille,(V) Paris Saint Germain,0,3,1.95356,0.275223,9.412,12.951,12.941,9.811,12.353,12.262,9.563,10.515,10.732
2018-02-10 16:00:00,8805,(H) Toulouse,(V) Paris Saint Germain,0,1,2.03292,0.143229,10.072,12.941,12.599,9.927,12.262,12.276,10.236,10.732,10.511
2018-02-17 16:00:00,8821,(H) Paris Saint Germain,(V) Strasbourg,5,2,4.62554,0.536092,9.173,12.599,12.367,9.285,12.276,12.426,9.742,10.511,9.921
2018-02-25 20:00:00,8828,(H) Paris Saint Germain,(V) Marseille,3,0,0.971169,0.990539,11.451,12.367,12.763,11.551,12.426,12.077,9.740,9.921,10.506
2018-03-03 16:00:00,8835,(H) Troyes,(V) Paris Saint Germain,0,2,2.02971,0.285736,9.090,12.763,12.470,9.466,12.077,11.985,9.718,10.506,10.498
2018-03-10 16:00:00,8851,(H) Paris Saint Germain,(V) Metz,5,0,3.85034,0.31453,9.798,12.470,12.927,9.038,11.985,12.007,10.763,10.498,10.805
2018-03-14 16:00:00,8871,(H) Paris Saint Germain,(V) Angers,2,1,1.9662,2.0685,10.482,12.927,12.441,10.505,12.007,11.481,9.981,10.805,10.750
2018-03-18 12:00:00,8862,(H) Nice,(V) Paris Saint Germain,1,2,2.51648,1.0998,10.447,12.441,12.317,9.875,11.481,11.559,10.622,10.750,10.739
2018-04-06 18:45:00,8882,(H) Saint-Etienne,(V) Paris Saint Germain,1,1,1.19571,2.9457,11.123,12.317,12.143,10.458,11.559,10.971,10.802,10.739,11.317
2018-04-15 19:00:00,8894,(H) Paris Saint Germain,(V) Monaco,7,1,3.21957,1.62801,10.883,12.143,13.203,10.313,10.971,11.079,10.478,11.317,12.084
2018-04-22 00:00:00,8903,(H) Bordeaux,(V) Paris Saint Germain,0,1,0.63507,1.06375,10.361,13.203,12.868,10.514,11.079,10.956,9.909,12.084,12.022
2018-04-29 00:00:00,8912,(H) Paris Saint Germain,(V) Guingamp,2,2,2.01264,2.20389,10.211,12.868,12.079,10.230,10.956,10.602,9.862,12.022,11.405
2018-05-04 19:45:00,8915,(H) Amiens,(V) Paris Saint Germain,2,2,2.05621,0.517774,10.305,12.079,11.760,9.637,10.602,10.870,10.800,11.405,10.994
2018-05-12 20:00:00,8931,(H) Paris Saint Germain,(V) Rennes,0,2,0.619551,1.15359,10.184,11.760,10.741,10.640,10.870,10.554,9.308,10.994,10.081
2018-05-19 19:00:00,8938,(H) Caen,(V) Paris Saint Germain,0,0,1.0188,0.442461,8.350,10.741,10.268,9.326,10.554,10.516,9.244,10.081,9.853
2018-08-12 22:00:00,10652,(H) Paris Saint Germain,(V) Caen,3,0,3.34692,0.189346,8.823,10.268,10.532,9.364,10.516,10.892,9.472,9.853,9.593
2018-08-18 18:00:00,10654,(H) Guingamp,(V) Paris Saint Germain,1,3,2.62399,1.3524,10.114,10.532,11.053,10.158,10.892,11.151,10.171,9.593,10.045
