Dátum,Meccs-Id,Hazai-Csapat,Vendég-Csapat,Hazai-Gól,Ellenfél-Gól,Hazai-XG,Ellenfél-XG,Ellenfél-PR,Meccs-Előtti-PR,Meccs-Utáni-PR,Vendég-xgPR,Meccs-Előtti-xgPR,Meccs-Utáni-xgPR,Vendég-Mixed_PR,Meccs-Előtti-Mixed_PR,Meccs-Utáni-Mixed_PR
2016-08-28 19:30:00,1335,(H) Hoffenheim,(V) RasenBallsport Leipzig,2,2,2.47526,1.15624,8.963,10.000,9.866,9.784,10.000,10.401,9.043,10.000,9.556
2016-09-10 20:30:00,1342,(H) RasenBallsport Leipzig,(V) Borussia Dortmund,1,0,0.950658,0.482478,10.762,9.866,10.215,10.850,10.401,10.505,9.724,9.556,9.606
2016-09-17 17:30:00,1346,(H) Hamburger SV,(V) RasenBallsport Leipzig,0,4,3.30009,1.08134,9.755,10.215,11.225,9.551,10.505,10.946,10.339,9.606,10.360
2016-09-21 22:00:00,1358,(H) RasenBallsport Leipzig,(V) Borussia M.Gladbach,1,1,1.58682,0.224262,10.759,11.225,10.984,10.522,10.946,11.056,10.159,10.360,9.844
2016-09-25 19:45:00,1371,(H) FC Cologne,(V) RasenBallsport Leipzig,1,1,0.819612,0.366844,11.692,10.984,11.286,10.549,11.056,11.167,11.270,9.844,10.212
2016-09-30 22:30:00,1372,(H) RasenBallsport Leipzig,(V) Augsburg,2,1,1.04258,0.313816,9.363,11.286,10.930,9.491,11.167,10.805,9.758,10.212,10.041
2016-10-16 19:30:00,1389,(H) Wolfsburg,(V) RasenBallsport Leipzig,0,1,1.82053,0.684268,9.114,10.930,10.851,10.208,10.805,11.065,8.803,10.041,9.822
2016-10-23 17:30:00,1397,(H) RasenBallsport Leipzig,(V) Werder Bremen,3,1,3.33619,0.913725,9.728,10.851,10.945,9.902,11.065,11.255,9.672,9.822,9.554
2016-10-29 17:30:00,3304,(H) Darmstadt,(V) RasenBallsport Leipzig,0,2,1.64364,0.199603,9.299,10.945,11.158,9.200,11.255,11.227,9.958,9.554,9.919
2016-11-06 18:30:00,2813,(H) RasenBallsport Leipzig,(V) Mainz 05,3,1,2.98005,0.510631,9.751,11.158,11.181,10.249,11.227,11.475,9.430,9.919,9.554
2016-11-18 23:30:00,2815,(H) Bayer Leverkusen,(V) RasenBallsport Leipzig,2,3,1.13026,1.85187,9.710,11.181,11.188,9.752,11.475,10.989,9.802,9.554,10.171
2016-11-25 23:30:00,2824,(H) Freiburg,(V) RasenBallsport Leipzig,1,4,1.90539,0.683397,9.002,11.188,11.517,9.636,10.989,11.081,9.427,10.171,10.555
2016-12-03 21:30:00,3198,(H) RasenBallsport Leipzig,(V) Schalke 04,2,1,1.8836,1.12833,10.867,11.517,11.480,10.675,11.081,11.043,10.066,10.555,10.369
2016-12-10 18:30:00,3205,(H) Ingolstadt,(V) RasenBallsport Leipzig,1,0,1.51305,0.577386,9.183,11.480,10.781,9.613,11.043,11.044,9.634,10.369,9.826
2016-12-17 18:30:00,3213,(H) RasenBallsport Leipzig,(V) Hertha Berlin,2,0,1.64142,0.199768,10.338,10.781,11.045,9.499,11.044,10.893,10.762,9.826,10.075
2016-12-21 23:00:00,3227,(H) Bayern Munich,(V) RasenBallsport Leipzig,3,0,0.135897,4.92205,11.558,11.045,10.548,10.697,10.893,9.772,10.907,10.075,10.855
2017-01-21 20:30:00,3728,(H) RasenBallsport Leipzig,(V) Eintracht Frankfurt,3,0,3.05773,0.617185,11.002,10.548,11.287,10.053,9.772,10.327,10.895,10.855,10.880
2017-01-28 17:30:00,3732,(H) RasenBallsport Leipzig,(V) Hoffenheim,2,1,1.47923,0.793259,11.429,11.287,11.447,10.793,10.327,10.490,10.699,10.880,10.788
2017-02-04 17:30:00,3746,(H) Borussia Dortmund,(V) RasenBallsport Leipzig,1,0,0.0680623,3.12438,10.918,11.447,11.190,11.204,10.490,10.029,9.961,10.788,11.220
2017-02-11 14:30:00,3752,(H) RasenBallsport Leipzig,(V) Hamburger SV,0,3,1.39703,1.4821,9.547,11.190,9.904,10.112,10.029,9.903,9.400,11.220,9.911
2017-02-19 14:30:00,3765,(H) Borussia M.Gladbach,(V) RasenBallsport Leipzig,1,2,0.75509,1.38933,10.919,9.904,10.533,10.555,9.903,10.032,10.464,9.911,10.583
2017-02-25 14:30:00,3769,(H) RasenBallsport Leipzig,(V) FC Cologne,3,1,0.94132,0.696948,10.317,10.533,10.854,10.026,10.032,9.967,10.214,10.583,10.805
2017-03-03 19:30:00,3776,(H) Augsburg,(V) RasenBallsport Leipzig,2,2,1.38005,0.825387,9.679,10.854,10.685,9.673,9.967,10.157,10.068,10.805,10.607
2017-03-11 14:30:00,3789,(H) RasenBallsport Leipzig,(V) Wolfsburg,0,1,0.594929,1.70049,9.952,10.685,10.127,10.297,10.157,9.791,9.719,10.607,10.286
2017-03-18 14:30:00,3798,(H) Werder Bremen,(V) RasenBallsport Leipzig,3,0,0.689398,1.39387,10.479,10.127,9.590,9.662,9.791,9.708,10.929,10.286,9.998
2017-04-01 14:30:00,3808,(H) RasenBallsport Leipzig,(V) Darmstadt,4,0,4.00225,1.05189,9.511,9.590,10.445,9.540,9.708,10.279,10.071,9.998,10.154
2017-04-05 19:00:00,3818,(H) Mainz 05,(V) RasenBallsport Leipzig,2,3,1.62551,2.90081,9.469,10.445,10.576,10.033,10.279,10.024,9.486,10.154,10.681
2017-04-08 14:30:00,3823,(H) RasenBallsport Leipzig,(V) Bayer Leverkusen,1,0,1.51489,0.629889,10.171,10.576,10.600,10.044,10.024,10.125,10.254,10.681,10.478
2017-04-15 14:30:00,3837,(H) RasenBallsport Leipzig,(V) Freiburg,4,0,1.19051,0.690412,9.944,10.600,11.311,9.741,10.125,10.029,10.133,10.478,11.142
2017-04-23 16:30:00,3844,(H) Schalke 04,(V) RasenBallsport Leipzig,1,1,0.73343,0.768932,10.149,11.311,11.145,10.165,10.029,10.179,10.091,11.142,11.013
2017-04-29 14:30:00,3851,(H) RasenBallsport Leipzig,(V) Ingolstadt,0,0,1.50493,0.593622,8.896,11.145,10.458,10.031,10.179,10.245,8.798,11.013,10.106
2017-05-06 17:30:00,3862,(H) Hertha Berlin,(V) RasenBallsport Leipzig,1,4,2.56445,0.23152,9.776,10.458,11.162,9.877,10.245,10.861,9.979,10.106,10.366
2017-05-13 14:30:00,3874,(H) RasenBallsport Leipzig,(V) Bayern Munich,4,5,2.0471,3.61687,12.255,11.162,11.060,11.245,10.861,10.440,10.960,10.366,10.532
