Dátum,Meccs-Id,Hazai-Csapat,Vendég-Csapat,Hazai-Gól,Ellenfél-Gól,Hazai-XG,Ellenfél-XG,Ellenfél-PR,Meccs-Előtti-PR,Meccs-Utáni-PR,Vendég-xgPR,Meccs-Előtti-xgPR,Meccs-Utáni-xgPR,Vendég-Mixed_PR,Meccs-Előtti-Mixed_PR,Meccs-Utáni-Mixed_PR
2014-08-25 21:00:00,5835,(H) Rayo Vallecano,(V) Atletico Madrid,0,0,0.357337,0.901586,10.000,10.000,9.875,10.000,10.000,9.739,10.000,10.000,10.011
2014-08-31 20:00:00,5843,(H) Deportivo La Coruna,(V) Rayo Vallecano,2,2,2.23586,1.89944,9.875,9.875,10.000,10.083,9.739,10.034,9.917,10.011,10.028
2014-09-14 11:00:00,5791,(H) Rayo Vallecano,(V) Elche,2,3,1.42044,0.570631,9.437,10.000,9.484,9.828,10.034,10.070,9.547,10.028,9.320
2014-09-21 16:00:00,5802,(H) Villarreal,(V) Rayo Vallecano,4,2,1.40506,4.38395,10.328,9.484,9.320,10.160,10.070,9.473,10.263,9.320,9.925
2014-09-24 19:00:00,5809,(H) Rayo Vallecano,(V) Athletic Club,2,1,3.17965,1.06179,9.738,9.320,9.549,9.836,9.473,9.968,9.824,9.925,9.495
2014-09-27 21:00:00,5821,(H) Levante,(V) Rayo Vallecano,0,2,1.39355,0.637848,9.198,9.549,10.086,9.145,9.968,10.076,10.191,9.495,10.105
2014-10-04 17:00:00,5756,(H) Rayo Vallecano,(V) Barcelona,0,2,0.515599,2.97834,12.407,10.086,10.041,11.862,10.076,9.782,10.571,10.105,10.212
2014-10-17 20:00:00,5764,(H) Granada,(V) Rayo Vallecano,0,1,0.471785,0.432469,8.736,10.041,10.090,8.946,9.782,9.708,10.040,10.212,10.534
2014-10-26 11:00:00,5780,(H) Malaga,(V) Rayo Vallecano,4,0,0.395055,3.90394,9.786,10.090,9.139,9.986,9.708,9.025,9.916,10.534,10.382
2014-11-03 19:45:00,5724,(H) Rayo Vallecano,(V) Eibar,2,3,1.21559,2.50481,9.347,9.139,8.816,9.461,9.025,8.687,9.857,10.382,10.198
2014-11-08 19:00:00,5728,(H) Real Madrid,(V) Rayo Vallecano,5,1,0.843676,2.69643,13.352,8.816,9.075,11.717,8.687,9.106,11.762,10.198,10.177
2014-11-23 11:00:00,5740,(H) Rayo Vallecano,(V) Celta Vigo,1,0,0.865947,0.704494,10.278,9.075,9.501,9.678,9.106,9.164,10.549,10.177,10.355
2014-12-01 19:45:00,5686,(H) Almeria,(V) Rayo Vallecano,0,1,1.25863,0.80016,9.234,9.501,9.809,9.077,9.164,9.382,10.267,10.355,10.593
2014-12-07 11:00:00,5691,(H) Rayo Vallecano,(V) Sevilla,0,1,1.41398,1.58437,10.104,9.809,9.508,10.380,9.382,9.464,9.663,10.593,10.028
2014-12-13 17:00:00,5699,(H) Valencia,(V) Rayo Vallecano,3,0,0.603533,3.01549,9.807,9.508,8.958,9.913,9.464,9.098,9.990,10.028,9.996
2014-12-20 21:00:00,5711,(H) Rayo Vallecano,(V) Espanyol,1,3,1.37834,2.25875,9.172,8.958,8.387,9.756,9.098,8.917,9.335,9.996,9.426
2015-01-04 11:00:00,5647,(H) Getafe,(V) Rayo Vallecano,1,2,2.5901,0.518609,9.855,8.387,9.129,9.543,8.917,9.716,10.385,9.426,9.523
2015-01-12 19:45:00,5661,(H) Rayo Vallecano,(V) Cordoba,0,1,1.78825,0.573866,9.252,9.129,8.785,9.753,9.716,9.904,9.390,9.523,8.811
2015-01-17 15:00:00,5663,(H) Real Sociedad,(V) Rayo Vallecano,0,1,0.710475,0.569536,10.036,8.785,9.473,9.643,9.904,9.999,10.430,8.811,9.556
2015-01-24 19:00:00,5674,(H) Atletico Madrid,(V) Rayo Vallecano,3,1,0.696507,1.4904,10.778,9.473,9.424,10.618,9.999,10.080,10.011,9.556,9.493
2015-01-30 19:45:00,5682,(H) Rayo Vallecano,(V) Deportivo La Coruna,1,2,1.31894,2.38957,8.855,9.424,8.907,10.005,10.080,9.669,8.593,9.493,9.161
2015-02-09 19:45:00,5617,(H) Elche,(V) Rayo Vallecano,2,0,0.406262,2.96514,8.734,8.907,8.489,9.158,9.669,9.027,9.502,9.161,9.511
2015-02-15 18:00:00,5625,(H) Rayo Vallecano,(V) Villarreal,2,0,1.25027,2.06078,10.986,8.489,9.488,10.414,9.027,9.046,10.401,9.511,10.311
2015-02-22 16:00:00,5634,(H) Athletic Club,(V) Rayo Vallecano,1,0,0.144942,1.93713,9.690,9.488,9.413,9.752,9.046,8.899,9.983,10.311,10.552
2015-02-28 17:00:00,5640,(H) Rayo Vallecano,(V) Levante,4,2,2.10446,1.5619,9.511,9.413,9.812,9.550,8.899,9.072,9.790,10.552,10.601
2015-03-08 11:00:00,5576,(H) Barcelona,(V) Rayo Vallecano,6,1,0.955753,5.199,11.722,9.812,9.165,11.947,9.072,8.855,9.719,10.601,10.316
2015-03-14 19:00:00,5584,(H) Rayo Vallecano,(V) Granada,3,1,3.07872,1.13426,9.601,9.165,9.649,9.873,8.855,9.471,9.454,10.316,9.989
2015-03-21 17:00:00,5593,(H) Rayo Vallecano,(V) Malaga,1,0,0.578125,0.787002,10.064,9.649,9.878,9.773,9.471,9.369,10.192,9.989,10.217
2015-04-03 19:45:00,5505,(H) Eibar,(V) Rayo Vallecano,1,2,1.33096,1.32137,9.154,9.878,10.072,9.530,9.369,9.537,9.617,10.217,10.440
2015-04-08 21:00:00,5521,(H) Rayo Vallecano,(V) Real Madrid,0,2,1.19622,1.94497,12.158,10.072,9.969,12.148,9.537,9.878,9.842,10.440,9.853
2015-04-11 21:00:00,5529,(H) Celta Vigo,(V) Rayo Vallecano,6,1,0.962212,6.56908,9.446,9.969,8.713,9.866,9.878,8.598,9.596,9.853,10.065
2015-04-19 11:00:00,5540,(H) Rayo Vallecano,(V) Almeria,2,0,2.62824,0.372844,8.971,8.713,9.153,9.286,8.598,9.209,9.550,10.065,9.747
2015-04-26 18:00:00,5552,(H) Sevilla,(V) Rayo Vallecano,2,0,1.37722,3.21575,10.607,9.153,9.141,10.230,9.209,9.130,10.423,9.747,10.001
2015-04-30 19:00:00,5563,(H) Rayo Vallecano,(V) Valencia,1,1,0.486759,1.25767,11.329,9.141,9.563,10.666,9.130,9.196,10.555,10.001,10.207
2015-05-03 11:00:00,5470,(H) Espanyol,(V) Rayo Vallecano,1,1,0.614259,0.760792,10.159,9.563,9.837,9.734,9.196,9.419,10.501,10.207,10.442
2015-05-11 19:45:00,5484,(H) Rayo Vallecano,(V) Getafe,2,0,1.40202,0.866413,7.937,9.837,9.737,9.016,9.419,9.327,8.849,10.442,10.285
2015-05-17 18:00:00,5490,(H) Cordoba,(V) Rayo Vallecano,1,2,2.20767,1.05152,7.734,9.737,9.611,8.172,9.327,9.452,9.678,10.285,10.219
2015-05-23 17:30:00,5501,(H) Rayo Vallecano,(V) Real Sociedad,2,4,1.0083,1.55136,9.586,9.611,8.980,9.500,9.452,9.203,10.059,10.219,9.690
