Dátum,Meccs-Id,Fő-Csapat,Ellenfél-Csapat,Hazai-Gól,Ellenfél-Gól,Hazai-XG,Ellenfél-XG,Meccs-Előtti-PR,Meccs-Utáni-PR,Meccs-Előtti-xgPR,Meccs-Utáni-xgPR,Meccs-Előtti-Mixed_PR,Meccs-Utáni-Mixed_PR
2015-08-24 00:30:00,1407,(H) Real Betis,(V) Villarreal,1,1,1.4954,1.63096,10,9.9388,10,9.9049,10,9.9727
2015-08-30 00:30:00,1413,(V) Real Betis,(H) Real Madrid,0,5,0.941159,3.14512,9.9388,6.5586,9.9049,7.2237,9.9727,7.1435
2015-09-13 00:00:00,1423,(H) Real Betis,(V) Real Sociedad,1,0,0.75201,0.663712,6.5586,6.7669,7.2237,7.2041,7.1435,7.3297
2015-09-19 20:15:00,1431,(V) Real Betis,(H) Valencia,0,0,0.190749,1.81097,6.7669,7.9034,7.2041,7.9356,7.3297,8.8713
2015-09-25 00:05:00,1448,(H) Real Betis,(V) Deportivo La Coruna,1,2,1.11886,0.264158,7.9034,8.6468,7.9356,9.1427,8.8713,9.4010
2015-09-27 14:00:00,1455,(V) Real Betis,(H) Sporting Gijon,2,1,1.65258,1.75847,8.6468,9.7144,9.1427,9.9339,9.401,10.4951
2015-10-04 14:00:00,1465,(V) Real Betis,(H) Rayo Vallecano,2,0,1.68781,1.2884,9.7144,10.6194,9.9339,10.4388,10.4951,11.3003
2015-10-18 00:05:00,1473,(H) Real Betis,(V) Espanyol,1,3,1.86579,1.85292,10.6194,9.4167,10.4388,9.7393,11.3003,10.0944
2015-10-24 20:15:00,1481,(V) Real Betis,(H) Granada,1,1,1.11054,1.06647,9.4167,8.7149,9.7393,9.0485,10.0944,9.3816
2015-11-01 23:30:00,1498,(H) Real Betis,(V) Athletic Club,1,3,1.23993,4.022,8.7149,7.8662,9.0485,8.0043,9.3816,9.2284
2015-11-08 01:05:00,1504,(V) Real Betis,(H) Malaga,1,0,0.876923,0.890995,7.8662,8.0709,8.0043,7.9555,9.2284,9.4366
2015-11-22 23:30:00,1517,(H) Real Betis,(V) Atletico Madrid,0,1,0.128682,2.26452,8.0709,7.9554,7.9555,7.5560,9.4366,9.8551
2015-11-27 23:30:00,1519,(V) Real Betis,(H) Levante,1,0,0.943363,1.10847,7.9554,7.8969,7.556,7.2062,9.8551,9.8379
2015-12-06 01:05:00,1533,(H) Real Betis,(V) Celta Vigo,1,1,2.41831,0.535918,7.8969,7.6524,7.2062,7.4323,9.8379,9.1228
2015-12-13 01:05:00,1544,(V) Real Betis,(H) Las Palmas,0,1,0.36831,2.11811,7.6524,7.7496,7.4323,7.3420,9.1228,9.6574
2015-12-19 23:30:00,1551,(H) Real Betis,(V) Sevilla,0,0,0.377247,1.02024,7.7496,8.3349,7.342,7.7666,9.6574,10.4035
2015-12-30 23:30:00,1564,(V) Real Betis,(H) Barcelona,0,4,0.457226,4.34983,8.3349,8.7678,7.7666,8.2263,10.4035,11.8096
2016-01-03 19:00:00,1572,(H) Real Betis,(V) Eibar,0,4,1.53245,1.49466,8.7678,7.9770,8.2263,8.4449,11.8096,11.0093
2016-01-09 21:15:00,1580,(V) Real Betis,(H) Getafe,0,1,0.602107,1.28639,7.977,8.2185,8.4449,8.7654,11.0093,11.4219
2016-01-16 23:30:00,1590,(V) Real Betis,(H) Villarreal,0,0,0.839004,0.806178,8.2185,9.2579,8.7654,9.8130,11.4219,12.4531
2016-01-24 23:30:00,1606,(H) Real Betis,(V) Real Madrid,1,1,0.211024,3.34615,9.2579,10.2484,9.813,10.0197,12.4531,14.2274
2016-01-31 01:05:00,1612,(V) Real Betis,(H) Real Sociedad,1,2,0.773957,1.08259,10.2484,10.1490,10.0197,10.0931,14.2274,14.2051
2016-02-07 19:00:00,1624,(H) Real Betis,(V) Valencia,1,0,1.00904,1.13142,10.149,9.8769,10.0931,9.5405,14.2051,13.9636
2016-02-14 01:05:00,1632,(V) Real Betis,(H) Deportivo La Coruna,2,2,0.598716,3.22944,9.8769,9.6063,9.5405,8.6122,13.9636,14.3507
2016-02-20 23:30:00,1642,(H) Real Betis,(V) Sporting Gijon,1,1,0.953419,0.408199,9.6063,9.3540,8.6122,8.4962,14.3507,13.9621
2016-02-27 23:30:00,1653,(H) Real Betis,(V) Rayo Vallecano,2,2,2.46401,1.42394,9.354,9.2568,8.4962,8.6590,13.9621,13.6049
2016-03-03 23:30:00,1667,(V) Real Betis,(H) Espanyol,3,0,1.92223,0.780555,9.2568,9.6957,8.659,8.6333,13.6049,13.7583
2016-03-06 15:00:00,1673,(H) Real Betis,(V) Granada,2,0,0.844439,0.363768,9.6957,9.9025,8.6333,8.4603,13.7583,13.8450
2016-03-13 21:15:00,1686,(V) Real Betis,(H) Athletic Club,1,3,1.09836,2.14502,9.9025,9.7842,8.4603,8.5804,13.845,13.9884
2016-03-20 01:05:00,1694,(H) Real Betis,(V) Malaga,0,1,1.65417,1.33486,9.7842,9.3259,8.5804,8.4520,13.9884,13.4503
2016-04-02 18:00:00,1700,(V) Real Betis,(H) Atletico Madrid,1,5,0.68708,4.5488,9.3259,8.8486,8.452,8.0093,13.4503,13.9384
2016-04-10 00:05:00,1713,(H) Real Betis,(V) Levante,1,0,0.623216,1.17874,8.8486,8.9285,8.0093,7.7003,13.9384,14.1572
2016-04-17 00:05:00,1723,(V) Real Betis,(H) Celta Vigo,1,1,1.54169,1.74985,8.9285,9.1361,7.7003,7.8559,14.1572,14.4169
2016-04-19 23:00:00,1730,(H) Real Betis,(V) Las Palmas,1,0,1.92261,0.217396,9.1361,9.5950,7.8559,8.4911,14.4169,14.4495
2016-04-24 18:00:00,1745,(V) Real Betis,(H) Sevilla,0,2,0.394998,2.03176,9.595,8.9516,8.4911,7.9385,14.4495,14.2153
2016-04-30 22:30:00,1752,(H) Real Betis,(V) Barcelona,0,2,0.0828961,2.07851,8.9516,8.6042,7.9385,7.5922,14.2153,14.3668
2016-05-08 19:00:00,1766,(V) Real Betis,(H) Eibar,1,1,1.13808,2.67637,8.6042,8.3732,7.5922,6.9767,14.3668,14.5204
2016-05-15 21:30:00,1776,(H) Real Betis,(V) Getafe,2,1,1.59407,1.28875,8.3732,8.6127,6.9767,7.0426,14.5204,14.6836
2016-08-20 20:15:00,1781,(V) Real Betis,(H) Barcelona,2,6,0.250977,3.84325,8.6127,8.8188,7.0426,7.3506,14.6836,15.7878
2016-08-26 22:45:00,1789,(H) Real Betis,(V) Deportivo La Coruna,0,0,0.593093,0.590187,8.8188,8.6038,7.3506,7.1363,15.7878,15.5720
2016-09-11 18:00:00,1806,(V) Real Betis,(H) Valencia,3,2,1.96896,1.81116,8.6038,8.8504,7.1363,7.1724,15.572,15.7792
2016-09-16 22:45:00,1809,(H) Real Betis,(V) Granada,2,2,1.96299,1.41911,8.8504,8.7119,7.1724,7.1699,15.7792,15.5047
2016-09-21 00:00:00,1820,(V) Real Betis,(H) Sevilla,0,1,0.450469,0.74909,8.7119,8.5931,7.1699,7.2264,15.5047,15.4606
2016-09-23 22:45:00,1829,(H) Real Betis,(V) Malaga,1,0,0.741813,0.786565,8.5931,8.7239,7.2264,7.0960,15.4606,15.6026
2016-09-30 22:45:00,1839,(V) Real Betis,(H) Real Sociedad,0,1,0.68749,1.18527,8.7239,8.8916,7.096,7.3892,15.6026,15.8947
2016-10-15 22:45:00,1853,(H) Real Betis,(V) Real Madrid,1,6,0.908061,3.98737,8.8916,7.9597,7.3892,6.9375,15.8947,15.7327
2016-10-21 22:45:00,1859,(V) Real Betis,(H) Osasuna,2,1,1.23524,0.929293,7.9597,8.2065,6.9375,7.0107,15.7327,15.9030
2016-10-30 21:30:00,3315,(H) Real Betis,(V) Espanyol,0,1,0.72975,0.750127,8.2065,8.1051,7.0107,7.1542,15.903,15.8067
2016-11-06 21:30:00,2784,(V) Real Betis,(H) Villarreal,0,2,0.28961,1.38858,8.1051,8.4739,7.1542,7.7483,15.8067,16.4502
2016-11-18 23:45:00,2786,(H) Real Betis,(V) Las Palmas,2,0,0.590307,0.358719,8.4739,9.1132,7.7483,7.9454,16.4502,17.0316
2016-11-25 23:45:00,2796,(V) Real Betis,(H) Eibar,1,3,0.347362,2.55337,9.1132,9.0127,7.9454,7.7934,17.0316,17.4826
2016-12-04 15:00:00,3167,(H) Real Betis,(V) Celta Vigo,3,3,2.0817,1.49435,9.0127,9.0794,7.7934,8.0069,17.4826,17.4024
2016-12-11 23:45:00,3181,(H) Real Betis,(V) Athletic Club,1,0,0.684846,0.562742,9.0794,9.2830,8.0069,7.9910,17.4024,17.5755
2016-12-16 23:45:00,3183,(V) Real Betis,(H) Alaves,0,1,0.523568,0.854496,9.283,9.2232,7.991,8.0985,17.5755,17.5985
2017-01-08 19:15:00,3890,(H) Real Betis,(V) Leganes,2,0,1.4196,0.345675,9.2232,9.4333,8.0985,8.0771,17.5985,17.5401
2017-01-14 21:30:00,3896,(V) Real Betis,(H) Atletico Madrid,0,1,0.429648,0.880766,9.4333,9.1732,8.0771,7.9543,17.5401,17.3928
2017-01-22 20:30:00,3911,(H) Real Betis,(V) Sporting Gijon,0,0,1.22587,0.725506,9.1732,8.6983,7.9543,7.6045,17.3928,16.7929
2017-01-29 14:00:00,3919,(H) Real Betis,(V) Barcelona,1,1,1.31719,1.12935,8.6983,9.1259,7.6045,8.0791,16.7929,17.1736
2017-02-11 12:00:00,3938,(H) Real Betis,(V) Valencia,0,0,1.51524,0.291369,9.1259,9.2145,8.0791,8.4736,17.1736,16.9562
2017-02-17 19:45:00,3948,(V) Real Betis,(H) Granada,1,4,0.249724,1.56422,9.2145,8.4013,8.4736,8.0818,16.9562,16.4716
2017-02-25 15:15:00,3957,(H) Real Betis,(V) Sevilla,1,2,0.552998,1.94867,8.4013,8.1867,8.0818,7.7682,16.4716,16.6059
2017-02-28 20:30:00,3973,(V) Real Betis,(H) Malaga,2,1,1.35901,1.00658,8.1867,8.7404,7.7682,8.1600,16.6059,17.0715
2017-03-03 19:45:00,3981,(H) Real Betis,(V) Real Sociedad,2,3,1.0855,0.586888,8.7404,8.7930,8.16,8.5873,17.0715,16.9995
