Dátum,Meccs-Id,Fő-Csapat,Ellenfél-Csapat,Hazai-Gól,Ellenfél-Gól,Hazai-XG,Ellenfél-XG,Vendég-PR,Meccs-Előtti-PR,Meccs-Utáni-PR,Vendég-xgPR,Meccs-Előtti-xgPR,Meccs-Utáni-xgPR,Vendég-Mixed_PR,Meccs-Előtti-Mixed_PR,Meccs-Utáni-Mixed_PR
2014-08-10 16:00:00,6193,(V) Rennes,(H) Lyon,0,2,0.375946,2.064,10,10,9.6250,10,10,9.7030,10,10,10.0470
2014-08-16 19:00:00,6197,(H) Rennes,(V) Evian Thonon Gaillard,6,2,1.81988,1.06246,9.125,9.625,10.5000,9.7688,9.703,9.7674,9.2312,10.047,10.7326
2014-08-24 16:00:00,6213,(V) Rennes,(H) Saint-Etienne,0,0,0.364811,1.16489,11.0,10.5,10.8750,10.7515,9.7674,9.9424,10.2485,10.7326,11.3076
2014-08-30 19:00:00,6219,(V) Rennes,(H) Caen,1,0,1.17366,0.419379,10.875,10.875,11.2500,9.7958,9.9424,10.2560,10.9542,11.3076,11.4940
2014-09-13 16:00:00,6146,(H) Rennes,(V) Paris Saint Germain,1,1,0.28586,1.49453,11.625,11.25,11.0000,10.7778,10.256,9.7038,10.7222,11.494,11.5462
2014-09-20 16:00:00,6156,(V) Rennes,(H) Marseille,0,3,1.37752,1.4979,11.0469,11.0,10.2500,10.7758,9.7038,9.6737,10.0679,11.5462,10.8263
2014-09-23 20:00:00,6166,(H) Rennes,(V) Toulouse,0,3,0.642791,0.479571,9.1094,10.25,8.8750,10.4673,9.6737,9.0895,8.2515,10.8263,9.4105
2014-09-28 13:00:00,6181,(V) Rennes,(H) Bordeaux,1,2,2.28274,1.73816,9.875,8.875,8.6797,8.7491,9.0895,9.2803,9.5009,9.4105,9.0791
2014-10-04 19:00:00,6118,(H) Rennes,(V) Lens,2,0,2.26447,0.191323,9.1328,8.6797,9.1240,9.5965,9.2803,9.7429,8.9191,9.0791,9.0051
2014-10-18 19:00:00,6127,(V) Rennes,(H) Metz,0,0,0.676471,0.343316,10.1992,9.124,9.8437,9.8347,9.7429,10.5459,10.3137,9.0051,9.6415
2014-10-26 13:00:00,6140,(H) Rennes,(V) Lille,2,0,2.16826,0.387805,9.0742,9.8437,10.3310,8.9164,10.5459,10.9783,8.9821,9.6415,9.6837
2014-11-02 13:00:00,6082,(V) Rennes,(H) Nantes,1,1,0.476723,0.993801,10.5261,10.331,10.3981,11.8001,10.9783,10.9162,8.502,9.6837,9.8801
2014-11-07 19:30:00,6085,(H) Rennes,(V) Lorient,1,0,1.68988,0.152455,9.3074,10.3981,10.2479,9.6683,10.9162,10.9004,10.4463,9.8801,9.3456
2014-11-22 19:00:00,6097,(V) Rennes,(H) Guingamp,1,0,1.07493,0.86725,9.0985,10.2479,10.1478,11.577,10.9004,10.6022,10.1197,9.3456,9.1936
